<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
A.S.P.CO,20200722,20100.00,20100.00,20000.00,20078.00,60837215100,3026762,1055,D,19143.00,20100.00
A.S.P.CO,20200721,19146.00,19146.00,18800.00,19143.00,104407255995,5454125,1416,D,18235.00,19146.00
A.S.P.CO,20200720,18532.00,18532.00,18532.00,18235.00,38072307588,2054409,768,D,17650.00,18532.00
A.S.P.CO,20200719,17653.00,17653.00,17500.00,17650.00,60988428072,3455430,1246,D,16813.00,17653.00
A.S.P.CO,20200718,16955.00,16955.00,16214.00,16813.00,50502161990,2999862,1357,D,16148.00,16955.00
A.S.P.CO,20200715,16378.00,16378.00,16374.00,16148.00,40403050332,2466910,869,D,15599.00,16378.00
A.S.P.CO,20200714,15620.00,15620.00,15220.00,15599.00,53572115929,3430971,1169,D,14877.00,15620.00
A.S.P.CO,20200713,15150.00,15209.00,13820.00,14877.00,77693975545,5222573,1577,D,14485.00,15209.00
A.S.P.CO,20200712,14915.00,14915.00,14915.00,14485.00,20569604630,1379122,448,D,14205.00,14915.00
A.S.P.CO,20200711,13563.00,14989.00,13563.00,14205.00,121060344373,8522388,2218,D,14276.00,14960.00
A.S.P.CO,20200708,14060.00,15400.00,14057.00,14276.00,93305945726,6535660,2046,D,14796.00,14057.00
A.S.P.CO,20200707,14789.00,15289.00,14789.00,14796.00,96942480761,6551964,1407,D,15567.00,14789.00
A.S.P.CO,20200706,15741.00,16500.00,15289.00,15567.00,182447733696,11720286,3627,D,16093.00,15289.00
A.S.P.CO,20200705,15741.00,17200.00,15741.00,16093.00,132722651147,8247149,2515,D,16569.00,16000.00
A.S.P.CO,20200704,17520.00,17536.00,15866.00,16569.00,91410477619,5516898,1862,D,16701.00,15889.00
A.S.P.CO,20200629,17004.00,17004.00,16343.00,16701.00,40874835977,2421041,549,D,16195.00,16500.00
A.S.P.CO,20200628,16343.00,16343.00,14790.00,16195.00,104874808811,6475794,1363,D,15565.00,16343.00
A.S.P.CO,20200627,15929.00,15929.00,15929.00,15565.00,27262722435,1711515,236,D,15171.00,15929.00
A.S.P.CO,20200624,15689.00,15689.00,15689.00,15171.00,18155608891,1157219,235,D,14942.00,15689.00
A.S.P.CO,20200623,15136.00,15136.00,15136.00,14942.00,41754805312,2758642,625,D,14416.00,15136.00
A.S.P.CO,20200622,15010.00,15010.00,15010.00,14416.00,9557512430,636743,170,D,14296.00,15010.00
A.S.P.CO,20200621,14475.00,14475.00,14475.00,14296.00,40516335600,2799056,629,D,13786.00,14475.00
A.S.P.CO,20200620,13896.00,13896.00,13896.00,13786.00,43760185416,3149121,645,D,13235.00,13896.00
A.S.P.CO,20200616,13699.00,13699.00,13699.00,13235.00,16194026268,1182132,225,D,13047.00,13699.00
A.S.P.CO,20200615,13388.00,13388.00,13388.00,13047.00,25452743468,1901161,317,D,12751.00,13388.00
