<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arman.Ashena.ETF,20200722,130000.00,132200.00,125000.00,129643.00,9998103780,77120,143,D,129936.00,129799.00
Arman.Ashena.ETF,20200721,122000.00,132000.00,119580.00,129936.00,21953992180,168960,311,D,129978.00,128010.00
Arman.Ashena.ETF,20200720,128881.00,132500.00,127000.00,129978.00,7439926730,57240,234,D,127617.00,127010.00
Arman.Ashena.ETF,20200719,124000.00,128999.00,124000.00,127617.00,12817862680,100440,208,D,123222.00,128000.00
Arman.Ashena.ETF,20200718,121990.00,124906.00,119000.00,123222.00,16549889650,134310,265,D,122064.00,124600.00
Arman.Ashena.ETF,20200715,124200.00,124200.00,111000.00,122064.00,7340907130,60140,177,D,124537.00,122000.00
Arman.Ashena.ETF,20200714,127436.00,128000.00,122000.00,124537.00,13493554750,108350,308,D,127245.00,124330.00
Arman.Ashena.ETF,20200713,128000.00,130800.00,125500.00,127245.00,9360139420,73560,281,D,130408.00,125900.00
Arman.Ashena.ETF,20200712,126901.00,131580.00,126901.00,130408.00,11550219420,88570,279,D,123155.00,128800.00
Arman.Ashena.ETF,20200711,122500.00,127200.00,115500.00,123155.00,16725651140,135810,328,D,127870.00,126400.00
Arman.Ashena.ETF,20200708,129510.00,130000.00,117000.00,127870.00,420646699440,3289640,525,D,131061.00,124000.00
Arman.Ashena.ETF,20200707,135200.00,135200.00,127600.00,131061.00,26849165710,204860,435,D,131304.00,131000.00
Arman.Ashena.ETF,20200706,131580.00,134000.00,130230.00,131304.00,176175945660,1341740,509,D,127574.00,132000.00
Arman.Ashena.ETF,20200705,127900.00,131000.00,123000.00,127574.00,17115320250,134160,340,D,125952.00,130201.00
Arman.Ashena.ETF,20200704,126650.00,128000.00,121000.00,125952.00,20079309900,159420,421,D,125305.00,125597.00
Arman.Ashena.ETF,20200701,124500.00,126480.00,124410.00,125305.00,20783084620,165860,308,D,120886.00,125999.00
Arman.Ashena.ETF,20200630,117247.00,125999.00,117247.00,120886.00,215958460660,1786460,420,D,116708.00,124400.00
Arman.Ashena.ETF,20200629,122005.00,122005.00,114000.00,116708.00,14232483870,121950,372,D,123257.00,117400.00
Arman.Ashena.ETF,20200628,126100.00,129990.00,115000.00,123257.00,16229198840,131670,333,D,126061.00,122000.00
Arman.Ashena.ETF,20200627,126700.00,130000.00,125470.00,126061.00,38497871670,305390,472,D,122797.00,126020.00
Arman.Ashena.ETF,20200624,120000.00,126000.00,113000.00,122797.00,20435803980,166420,375,D,113747.00,124505.00
Arman.Ashena.ETF,20200623,108641.00,118489.00,108641.00,113747.00,18409953430,161850,435,D,106012.00,113150.00
Arman.Ashena.ETF,20200622,105000.00,108000.00,104000.00,106012.00,10215308070,96360,254,D,104838.00,107800.00
