<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Asan.Pardakht.Pers,20200722,35610.00,36800.00,35050.00,35230.00,286001810710,8117183,3490,D,36890.00,35050.00
Asan.Pardakht.Pers,20200721,37500.00,37500.00,36820.00,36890.00,256205449600,6944721,3176,D,38750.00,36820.00
Asan.Pardakht.Pers,20200720,39000.00,39990.00,37920.00,38750.00,355778500930,9180466,4831,D,39360.00,37920.00
Asan.Pardakht.Pers,20200719,41910.00,41910.00,38020.00,39360.00,380244883000,9661016,5163,D,39940.00,38790.00
Asan.Pardakht.Pers,20200718,39100.00,40410.00,38510.00,39940.00,419936234830,10515052,5250,D,38490.00,40410.00
Asan.Pardakht.Pers,20200715,37000.00,39700.00,37000.00,38490.00,265219320290,6890675,4524,D,37850.00,38400.00
Asan.Pardakht.Pers,20200714,37490.00,38190.00,36520.00,37850.00,351098734570,9276001,5056,D,36380.00,37120.00
Asan.Pardakht.Pers,20200713,36190.00,39500.00,36130.00,36380.00,383303853380,10535449,4799,D,38030.00,36130.00
Asan.Pardakht.Pers,20200712,39000.00,39500.00,36290.00,38030.00,458801467990,12063074,6701,D,38190.00,36400.00
Asan.Pardakht.Pers,20200711,37930.00,39500.00,37930.00,38190.00,260054817480,6808733,3077,D,39920.00,38750.00
Asan.Pardakht.Pers,20200708,41600.00,41630.00,39440.00,39920.00,421580646490,10561224,4134,D,41510.00,39440.00
Asan.Pardakht.Pers,20200707,41600.00,41630.00,40260.00,41510.00,958519807180,23093235,5862,D,39650.00,41470.00
Asan.Pardakht.Pers,20200706,39900.00,40260.00,38150.00,39650.00,632488588860,15952611,6143,D,38350.00,40260.00
Asan.Pardakht.Pers,20200705,36750.00,40100.00,36630.00,38350.00,439300012950,11454957,6100,D,38550.00,39260.00
Asan.Pardakht.Pers,20200704,41100.00,41100.00,38220.00,38550.00,368944565980,9570606,5560,D,40230.00,38220.00
Asan.Pardakht.Pers,20200701,41010.00,42600.00,39180.00,40230.00,699259944180,17382869,9528,D,41240.00,40460.00
Asan.Pardakht.Pers,20200630,40010.00,42030.00,40000.00,41240.00,803519626630,19482980,9627,D,40030.00,40800.00
Asan.Pardakht.Pers,20200629,40000.00,41390.00,39800.00,40030.00,482265813430,12046456,5490,D,41890.00,39800.00
Asan.Pardakht.Pers,20200628,42720.00,42720.00,39050.00,41890.00,1502018374910,35858720,11115,D,40690.00,40010.00
Asan.Pardakht.Pers,20200627,40690.00,40690.00,40690.00,40690.00,153682793420,3776918,580,D,38760.00,40690.00
Asan.Pardakht.Pers,20200624,37400.00,38880.00,35990.00,38760.00,1289202887480,33259017,4302,D,37030.00,38880.00
Asan.Pardakht.Pers,20200623,37450.00,37450.00,35400.00,37030.00,424658241800,11467368,4100,D,35670.00,35550.00
Asan.Pardakht.Pers,20200622,35670.00,35670.00,35670.00,35670.00,44926721700,1259510,687,D,33980.00,35670.00
Asan.Pardakht.Pers,20200621,34000.00,34000.00,33000.00,33980.00,701225606950,20637233,3903,D,32390.00,34000.00
Asan.Pardakht.Pers,20200620,30570.00,33690.00,30570.00,32390.00,503484080500,15543208,7922,D,32170.00,33400.00
Asan.Pardakht.Pers,20200616,31610.00,33000.00,31000.00,32170.00,291253062670,9053201,4981,D,31540.00,32530.00
Asan.Pardakht.Pers,20200615,32300.00,32790.00,30550.00,31540.00,216095956890,6850703,4083,D,32080.00,31000.00
Asan.Pardakht.Pers,20200614,33500.00,33880.00,31750.00,32080.00,314849542330,9814492,4107,D,33420.00,32000.00
Asan.Pardakht.Pers,20200613,34890.00,34900.00,32810.00,33420.00,275573428780,8244797,5064,D,33294.00,33310.00
Asan.Pardakht.Pers,20200610,34000.00,34000.00,32800.00,33294.00,145725723712,4376926,2879,D,32614.00,33100.00
Asan.Pardakht.Pers,20200609,34000.00,34000.00,31534.00,32614.00,130160864999,3990970,2528,D,33193.00,31942.00
Asan.Pardakht.Pers,20200608,31932.00,35292.00,31932.00,33193.00,189007272696,5694181,3584,D,33612.00,32220.00
Asan.Pardakht.Pers,20200607,33846.00,33846.00,32550.00,33612.00,457438222783,13609274,7051,D,32235.00,33590.00
Asan.Pardakht.Pers,20200606,32235.00,32235.00,32235.00,32235.00,74480418075,2310545,581,D,30700.00,32235.00
Asan.Pardakht.Pers,20200602,30705.00,30705.00,30000.00,30700.00,304935109017,9932809,1199,D,29243.00,30705.00
Asan.Pardakht.Pers,20200601,29902.00,30796.00,28302.00,29243.00,83967589574,2871327,1665,D,29702.00,28899.00
Asan.Pardakht.Pers,20200531,31000.00,31685.00,28944.00,29702.00,73528445130,2475576,1774,D,30467.00,29200.00
Asan.Pardakht.Pers,20200530,30474.00,30478.00,30360.00,30467.00,116062500543,3809395,2308,D,29027.00,30430.00
Asan.Pardakht.Pers,20200527,27524.00,30000.00,27524.00,29027.00,86900274877,2993734,1959,D,28972.00,29580.00
Asan.Pardakht.Pers,20200526,28500.00,30999.00,28259.00,28972.00,123810000000,4273496,2037,D,28500.00,28270.00
Asan.Pardakht.Pers,20200523,31034.00,31034.00,29483.00,29746.00,77328490250,2599653,1806,D,31034.00,30102.00
Asan.Pardakht.Pers,20200520,32000.00,32899.00,30857.00,31034.00,123806540107,3989401,2469,D,32481.00,31203.00
Asan.Pardakht.Pers,20200519,32850.00,32982.00,31500.00,32481.00,173267010243,5334459,3143,D,31420.00,32856.00
Asan.Pardakht.Pers,20200518,31451.00,31453.00,30300.00,31420.00,243846543531,7760849,3128,D,29956.00,31453.00
