<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Aseman.Armani.ETF,20200722,170070.00,173484.00,167200.00,168591.00,27181221758,161226,428,D,170808.00,167410.00
Aseman.Armani.ETF,20200721,173934.00,174000.00,167161.00,170808.00,46845133045,274256,640,D,173185.00,169250.00
Aseman.Armani.ETF,20200720,170770.00,175000.00,170770.00,173185.00,91477204063,528206,916,D,164695.00,174000.00
Aseman.Armani.ETF,20200719,160000.00,169010.00,160000.00,164695.00,103557928192,628785,816,D,155992.00,169010.00
Aseman.Armani.ETF,20200718,150618.00,159990.00,150000.00,155992.00,138212136507,886023,876,D,157819.00,153897.00
Aseman.Armani.ETF,20200715,161950.00,161950.00,154800.00,157819.00,94117524710,596362,673,D,161619.00,155200.00
Aseman.Armani.ETF,20200714,163000.00,166900.00,159500.00,161619.00,93950196002,581306,793,D,162568.00,159505.00
Aseman.Armani.ETF,20200713,162900.00,165500.00,159500.00,162568.00,54299881127,334013,641,D,164479.00,162200.00
Aseman.Armani.ETF,20200712,165000.00,165700.00,162601.00,164479.00,73165496278,444833,781,D,153875.00,163310.00
Aseman.Armani.ETF,20200711,151000.00,162000.00,151000.00,153875.00,64602999824,419841,684,D,159000.00,159510.00
Aseman.Armani.ETF,20200708,164904.00,164904.00,153000.00,159000.00,119653233930,752538,1028,D,164904.00,154500.00
Aseman.Armani.ETF,20200707,170000.00,170000.00,162950.00,164904.00,119003592852,721653,1307,D,165584.00,163900.00
Aseman.Armani.ETF,20200706,164000.00,166500.00,164000.00,165584.00,145051618777,875998,1228,D,158196.00,165650.00
Aseman.Armani.ETF,20200705,153290.00,161979.00,152000.00,158196.00,70993362662,448768,826,D,153992.00,160000.00
Aseman.Armani.ETF,20200704,158000.00,158000.00,147700.00,153992.00,75987402743,493450,1029,D,154110.00,153300.00
Aseman.Armani.ETF,20200701,149310.00,156000.00,149310.00,154110.00,65304616923,423754,859,D,145465.00,155000.00
Aseman.Armani.ETF,20200630,139449.00,149000.00,139449.00,145465.00,123942828609,852045,1051,D,139449.00,148999.00
Aseman.Armani.ETF,20200629,140985.00,142100.00,130000.00,139449.00,144926527875,1039279,802,D,140985.00,140996.00
Aseman.Armani.ETF,20200628,144210.00,147800.00,130000.00,140985.00,66810066815,473880,870,D,143043.00,143100.00
Aseman.Armani.ETF,20200627,139520.00,143980.00,139520.00,143043.00,20481476548,143184,444,D,137061.00,143960.00
Aseman.Armani.ETF,20200624,137500.00,139601.00,130000.00,137061.00,44687467875,326040,624,D,138009.00,139500.00
Aseman.Armani.ETF,20200623,137280.00,139400.00,135830.00,138009.00,292411467825,2118785,1051,D,133178.00,137920.00
Aseman.Armani.ETF,20200622,132000.00,134500.00,129011.00,133178.00,36324781472,272754,595,D,128955.00,134340.00
Aseman.Armani.ETF,20200621,130000.00,131405.00,128000.00,128955.00,49559379335,384315,804,D,128219.00,128801.00
Aseman.Armani.ETF,20200620,129000.00,129000.00,127100.00,128219.00,72787110581,567680,839,D,123194.00,128389.00
Aseman.Armani.ETF,20200616,120000.00,124490.00,119210.00,123194.00,82405997064,668914,802,D,118632.00,124010.00
Aseman.Armani.ETF,20200615,118900.00,119290.00,110000.00,118632.00,50926423194,429280,716,D,115759.00,119170.00
Aseman.Armani.ETF,20200614,120000.00,120000.00,110000.00,115759.00,40683415816,351448,732,D,118403.00,116999.00
Aseman.Armani.ETF,20200613,114901.00,119500.00,114900.00,118403.00,171482736568,1448302,959,D,112534.00,118949.00
Aseman.Armani.ETF,20200610,108500.00,114900.00,108200.00,112534.00,94187105988,836967,854,D,107197.00,112000.00
Aseman.Armani.ETF,20200609,105940.00,109500.00,105031.00,107197.00,29531682202,275491,603,D,105945.00,107290.00
Aseman.Armani.ETF,20200608,107200.00,110798.00,100000.00,105945.00,83673811092,789786,945,D,108222.00,105653.00
Aseman.Armani.ETF,20200607,105109.00,109881.00,105109.00,108222.00,63940629514,590829,984,D,103241.00,108000.00
Aseman.Armani.ETF,20200606,101435.00,104774.00,101435.00,103241.00,44370397533,429776,752,D,99600.00,104774.00
Aseman.Armani.ETF,20200602,96000.00,101600.00,96000.00,99600.00,50067953436,502688,653,D,95961.00,99300.00
Aseman.Armani.ETF,20200601,94999.00,97788.00,94001.00,95961.00,57108138686,595119,560,D,94039.00,96790.00
Aseman.Armani.ETF,20200531,97002.00,97282.00,89000.00,94039.00,59021348836,627624,650,D,95445.00,95000.00
Aseman.Armani.ETF,20200530,94501.00,96000.00,94500.00,95445.00,45756964563,479408,666,D,90792.00,96000.00
Aseman.Armani.ETF,20200527,86950.00,92400.00,86940.00,90792.00,39279697540,432632,581,D,87517.00,92000.00
Aseman.Armani.ETF,20200526,90005.00,90500.00,84000.00,87517.00,46027146846,525920,682,D,92489.00,84120.00
Aseman.Armani.ETF,20200523,94950.00,94950.00,90999.00,92489.00,44192206427,477810,708,D,94673.00,92500.00
Aseman.Armani.ETF,20200520,97771.00,97771.00,91001.00,94673.00,51963569319,548872,723,D,97104.00,95700.00
Aseman.Armani.ETF,20200519,98000.00,99000.00,94820.00,97104.00,71895871295,740398,771,D,95819.00,95497.00
Aseman.Armani.ETF,20200518,93600.00,97600.00,91000.00,95819.00,67317408351,702546,826,D,88923.00,96990.00
Aseman.Armani.ETF,20200517,86000.00,92000.00,82000.00,88923.00,79126787650,889833,765,D,90912.00,90000.00
Aseman.Armani.ETF,20200516,93714.00,94200.00,88100.00,90912.00,70270024983,772949,913,D,96147.00,88220.00
Aseman.Armani.ETF,20200513,93000.00,99450.00,90010.00,96147.00,91154776864,948080,945,D,96206.00,93160.00
Aseman.Armani.ETF,20200512,97142.00,100500.00,90000.00,96206.00,121142113999,1259194,1318,D,101781.00,93900.00
Aseman.Armani.ETF,20200511,103000.00,103500.00,100000.00,101781.00,84902748307,834170,1212,D,102798.00,100815.00
Aseman.Armani.ETF,20200510,104000.00,104300.00,100890.00,102798.00,180357417925,1754491,1479,D,99153.00,103000.00
Aseman.Armani.ETF,20200509,97003.00,100000.00,97003.00,99153.00,101755336552,1026246,1164,D,94527.00,99701.00
Aseman.Armani.ETF,20200506,90900.00,96500.00,88000.00,94527.00,271368321431,2870803,1616,D,93618.00,96400.00
Aseman.Armani.ETF,20200505,96950.00,98500.00,89000.00,93618.00,121221950973,1294854,1734,D,96154.00,91000.00
Aseman.Armani.ETF,20200504,97720.00,98000.00,93000.00,96154.00,196898881714,2047748,1887,D,96818.00,96700.00
Aseman.Armani.ETF,20200503,97000.00,97723.00,94999.00,96818.00,213427805585,2204419,2707,D,93806.00,97479.00
Aseman.Armani.ETF,20200502,93102.00,95320.00,92700.00,93806.00,405939009050,4327437,3155,D,90482.00,94996.00
Aseman.Armani.ETF,20200429,88889.00,91500.00,88770.00,90482.00,228200605449,2522044,2066,D,88710.00,91500.00
