<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Asia.Bime,20200722,36450.00,38000.00,36450.00,36530.00,422962110550,11577379,5219,D,38360.00,37300.00
Asia.Bime,20200721,38330.00,39460.00,38330.00,38360.00,516526224910,13464792,5697,D,40340.00,38330.00
Asia.Bime,20200720,42000.00,42000.00,39900.00,40340.00,112414892810,2786598,1492,D,41840.00,39900.00
Asia.Bime,20200714,43500.00,43510.00,41800.00,42190.00,667246399390,15816215,7309,D,43990.00,41800.00
Asia.Bime,20200713,44100.00,46000.00,42810.00,43990.00,588747850310,13384076,7614,D,45000.00,43500.00
Asia.Bime,20200712,45080.00,45080.00,43470.00,45000.00,889114603050,19758645,6205,D,42940.00,44500.00
Asia.Bime,20200711,39800.00,43380.00,39800.00,42940.00,429610994250,10005332,4031,D,41320.00,43380.00
Asia.Bime,20200708,40200.00,43470.00,39330.00,41320.00,1542030192850,37315624,14680,D,41400.00,39610.00
Asia.Bime,20200707,41410.00,43420.00,41250.00,41400.00,810201976470,19572181,8730,D,43420.00,41250.00
Asia.Bime,20200706,43380.00,43780.00,42000.00,43420.00,849492144070,19562645,9692,D,41700.00,43080.00
Asia.Bime,20200705,40340.00,44580.00,40340.00,41700.00,1456218234440,34922158,13284,D,42460.00,42300.00
Asia.Bime,20200704,42340.00,43300.00,42330.00,42460.00,388851980110,9158603,6393,D,44550.00,42330.00
Asia.Bime,20200701,47080.00,47080.00,42600.00,44550.00,1634821808120,36693662,20494,D,44840.00,43500.00
Asia.Bime,20200630,44840.00,44840.00,44840.00,44840.00,123721676040,2759181,1223,D,42710.00,44840.00
Asia.Bime,20200628,42710.00,42710.00,42000.00,42710.00,101702973740,2381474,1395,D,40680.00,42000.00
Asia.Bime,20200627,40790.00,40790.00,39100.00,40680.00,641471976900,15769275,6846,D,38850.00,40790.00
Asia.Bime,20200624,37000.00,39600.00,35900.00,38850.00,844060425770,21723970,7070,D,37720.00,39600.00
Asia.Bime,20200623,37830.00,37830.00,35030.00,37720.00,2380694423970,63116829,17705,D,36030.00,36960.00
