<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Atieh.Dade.Pardaz,20200722,31500.00,32000.00,29925.00,31172.00,20311737046,661903,309,D,31520.00,30020.00
Atieh.Dade.Pardaz,20200719,33800.00,33800.00,31462.00,31920.00,317450145186,9945254,4952,D,33117.00,31900.00
Atieh.Dade.Pardaz,20200718,31010.00,33500.00,31010.00,33117.00,170165418463,5138284,2878,D,31984.00,33500.00
Atieh.Dade.Pardaz,20200715,32800.00,33475.00,31574.00,31984.00,172872622407,5404963,2568,D,33235.00,31650.00
Atieh.Dade.Pardaz,20200714,34150.00,34155.00,31000.00,33235.00,207828007480,6253280,3484,D,32535.00,33000.00
Atieh.Dade.Pardaz,20200713,32700.00,32928.00,30700.00,32535.00,241854773360,7433705,3263,D,31360.00,32928.00
Atieh.Dade.Pardaz,20200712,31000.00,31389.00,31000.00,31360.00,163534330477,5214691,2006,D,29895.00,31389.00
Atieh.Dade.Pardaz,20200711,29477.00,32444.00,29477.00,29895.00,243905871849,8158671,3259,D,31028.00,29991.00
Atieh.Dade.Pardaz,20200708,31545.00,32100.00,30627.00,31028.00,127099506058,4096237,2175,D,32238.00,30627.00
Atieh.Dade.Pardaz,20200707,32530.00,33180.00,31930.00,32238.00,211867818243,6572083,3780,D,33610.00,32272.00
Atieh.Dade.Pardaz,20200706,33785.00,33787.00,31535.00,33610.00,281455389147,8374161,3142,D,32179.00,32530.00
Atieh.Dade.Pardaz,20200705,31600.00,33600.00,30793.00,32179.00,264450396864,8218023,4045,D,32413.00,32980.00
Atieh.Dade.Pardaz,20200704,34170.00,34170.00,31961.00,32413.00,266761187696,8230106,3693,D,33643.00,31961.00
Atieh.Dade.Pardaz,20200701,35130.00,35130.00,32000.00,33643.00,299552807193,8903829,3853,D,33473.00,34200.00
Atieh.Dade.Pardaz,20200630,32500.00,33692.00,32300.00,33473.00,143360627830,4282824,2278,D,32088.00,33692.00
Atieh.Dade.Pardaz,20200629,32206.00,32983.00,32022.00,32088.00,204482600515,6372576,2896,D,33707.00,32035.00
Atieh.Dade.Pardaz,20200628,35500.00,35631.00,33530.00,33707.00,322569828600,9569759,3185,D,35294.00,33530.00
Atieh.Dade.Pardaz,20200627,34990.00,36700.00,34466.00,35294.00,278628696521,7894435,3105,D,35276.00,34980.00
Atieh.Dade.Pardaz,20200624,34892.00,36728.00,34892.00,35276.00,236847254972,6714056,2766,D,36728.00,34892.00
Atieh.Dade.Pardaz,20200623,37270.00,38500.00,35343.00,36728.00,427015612272,11626399,5289,D,37203.00,35343.00
Atieh.Dade.Pardaz,20200622,37000.00,37447.00,35800.00,37203.00,308098550914,8281539,3976,D,35664.00,36699.00
Atieh.Dade.Pardaz,20200621,35721.00,35721.00,34120.00,35664.00,213879808972,5997112,2160,D,34020.00,35721.00
Atieh.Dade.Pardaz,20200620,34022.00,34022.00,33800.00,34020.00,120088572422,3529907,1509,D,32402.00,34022.00
Atieh.Dade.Pardaz,20200616,32400.00,34100.00,31000.00,32402.00,288336540321,8898769,4055,D,32499.00,33590.00
Atieh.Dade.Pardaz,20200615,32500.00,33500.00,31800.00,32499.00,192991947861,5938399,3106,D,31955.00,31891.00
Atieh.Dade.Pardaz,20200614,33000.00,33000.00,31564.00,31955.00,273086325782,8546095,3864,D,33225.00,32139.00
Atieh.Dade.Pardaz,20200613,33437.00,33437.00,32005.00,33225.00,315337202392,9490906,4190,D,31845.00,32689.00
Atieh.Dade.Pardaz,20200610,31080.00,32499.00,30300.00,31845.00,345872020360,10861016,3867,D,30952.00,32499.00
Atieh.Dade.Pardaz,20200609,31699.00,32482.00,29999.00,30952.00,153685407450,4965345,1880,D,31230.00,30700.00
Atieh.Dade.Pardaz,20200608,30800.00,31984.00,29102.00,31230.00,260578891005,8343754,3079,D,30461.00,30895.00
Atieh.Dade.Pardaz,20200607,29780.00,30734.00,29000.00,30461.00,281948383508,9255916,2759,D,29271.00,30734.00
Atieh.Dade.Pardaz,20200606,29999.00,29999.00,28110.00,29271.00,212684233251,7266038,3179,D,28965.00,29330.00
Atieh.Dade.Pardaz,20200602,28890.00,29091.00,28220.00,28965.00,232261730614,8018771,2300,D,27706.00,29090.00
Atieh.Dade.Pardaz,20200601,27300.00,27837.00,26512.00,27706.00,119760308817,4322614,1055,D,26512.00,27837.00
Atieh.Dade.Pardaz,20200531,27799.00,27799.00,26319.00,26512.00,153305639489,5782452,1289,D,27704.00,26319.00
Atieh.Dade.Pardaz,20200530,27247.00,27775.00,27000.00,27704.00,227116685657,8197845,2092,D,26453.00,27587.00
Atieh.Dade.Pardaz,20200527,26208.00,27580.00,26208.00,26453.00,248957216843,9411426,2888,D,27587.00,26800.00
Atieh.Dade.Pardaz,20200526,27587.00,27587.00,27587.00,27587.00,55230691285,2002055,168,D,29038.00,27587.00
Atieh.Dade.Pardaz,20200523,28521.00,28521.00,28521.00,29038.00,31142650320,1091920,294,D,30022.00,28521.00
Atieh.Dade.Pardaz,20200520,30022.00,30022.00,30022.00,30022.00,55016425814,1832537,381,D,31602.00,30022.00
