<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bahman.Group,20200722,27500.00,28870.00,27500.00,28540.00,385340988040,13499818,1488,D,26060.00,28870.00
Bahman.Group,20200719,25000.00,27620.00,25000.00,26460.00,3643224746750,137705001,28277,D,26310.00,27620.00
Bahman.Group,20200718,26310.00,26310.00,26310.00,26310.00,178663580100,6790710,3099,D,27690.00,26310.00
Bahman.Group,20200715,27690.00,27690.00,27690.00,27690.00,355039297080,12821932,5477,D,29140.00,27690.00
Bahman.Group,20200714,29490.00,30520.00,27620.00,29140.00,3566442836690,122383450,48197,D,29070.00,27620.00
Bahman.Group,20200713,28000.00,29400.00,28000.00,29070.00,3030094735270,104219242,26776,D,23800.00,29400.00
Bahman.Group,20200711,22100.00,24260.00,22100.00,23800.00,2205594777570,92665344,15197,D,23110.00,24260.00
Bahman.Group,20200708,23230.00,23230.00,21120.00,23110.00,2003441793040,86674213,10763,D,22130.00,22600.00
Bahman.Group,20200707,22130.00,22130.00,22130.00,22130.00,124083131300,5607010,881,D,21080.00,22130.00
Bahman.Group,20200706,21080.00,21080.00,21080.00,21080.00,179202576680,8501071,892,D,20080.00,21080.00
Bahman.Group,20200705,20080.00,20080.00,20080.00,20080.00,212074819600,10561495,1133,D,19130.00,20080.00
Bahman.Group,20200704,19350.00,19350.00,17510.00,19130.00,1983743099440,103694617,13683,D,18430.00,19350.00
Bahman.Group,20200701,18430.00,18430.00,18430.00,18430.00,98681186540,5354378,1250,D,17560.00,18430.00
Bahman.Group,20200630,17560.00,17560.00,17560.00,17560.00,86618071520,4932692,1066,D,16730.00,17560.00
Bahman.Group,20200629,16000.00,16800.00,16000.00,16730.00,450008918170,26891551,3139,D,14940.00,16800.00
Bahman.Group,20200627,14940.00,14940.00,14940.00,14940.00,124143586380,8309477,954,D,14230.00,14940.00
Bahman.Group,20200624,13590.00,14280.00,13310.00,14230.00,1441208326550,101256026,6877,D,13600.00,14280.00
Bahman.Group,20200623,13380.00,13760.00,13100.00,13600.00,1950963914320,143500873,17340,D,13110.00,13450.00
Bahman.Group,20200622,13220.00,13890.00,13030.00,13110.00,1657883868630,126419740,19268,D,13710.00,13180.00
Bahman.Group,20200621,14350.00,14500.00,13440.00,13710.00,1028671146610,75010990,15649,D,14140.00,13440.00
Bahman.Group,20200620,14140.00,14140.00,13800.00,14140.00,1254115078540,88721027,11498,D,13470.00,14140.00
Bahman.Group,20200616,13070.00,13510.00,12960.00,13470.00,689056698150,51171328,7999,D,12870.00,13510.00
