<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bank.Melli.Inv.,20200722,28780.00,28780.00,27500.00,28770.00,6329776089810,220028150,10593,D,27410.00,28780.00
Bank.Melli.Inv.,20200721,26600.00,28610.00,26600.00,27410.00,4678921085830,170679221,14636,D,27250.00,28610.00
Bank.Melli.Inv.,20200720,26500.00,27820.00,26000.00,27250.00,3356768284070,123202442,11718,D,23340.00,27000.00
Bank.Melli.Inv.,20200714,24460.00,25200.00,23250.00,24190.00,793775829150,32808099,7449,D,24450.00,23900.00
Bank.Melli.Inv.,20200713,24400.00,24900.00,24400.00,24450.00,596655341100,24407993,5445,D,25680.00,24400.00
Bank.Melli.Inv.,20200712,25040.00,25850.00,23420.00,25680.00,1196307432140,46581484,6117,D,24620.00,24470.00
Bank.Melli.Inv.,20200711,24580.00,25230.00,24580.00,24620.00,969721612210,39380074,5161,D,25870.00,24580.00
Bank.Melli.Inv.,20200708,25850.00,26950.00,25850.00,25870.00,247883765580,9580672,2661,D,27210.00,25850.00
Bank.Melli.Inv.,20200707,28850.00,28850.00,26950.00,27210.00,1044237487310,38378474,8585,D,28360.00,26950.00
Bank.Melli.Inv.,20200706,28360.00,28360.00,28000.00,28360.00,799447062500,28191308,3422,D,27010.00,28360.00
Bank.Melli.Inv.,20200705,26300.00,27390.00,24800.00,27010.00,989638430370,36641295,5225,D,26090.00,27390.00
Bank.Melli.Inv.,20200704,26990.00,26990.00,24430.00,26090.00,833927413690,31958918,7226,D,25710.00,25600.00
Bank.Melli.Inv.,20200701,25720.00,25720.00,25210.00,25710.00,909559324150,35383794,4100,D,24500.00,25720.00
Bank.Melli.Inv.,20200630,23600.00,24540.00,23600.00,24500.00,665262012570,27148027,2618,D,23380.00,24540.00
Bank.Melli.Inv.,20200629,23880.00,24500.00,22820.00,23380.00,1168018940160,49959778,6398,D,24020.00,23790.00
Bank.Melli.Inv.,20200628,23100.00,24700.00,22360.00,24020.00,1068105281790,44460747,6232,D,23530.00,24010.00
Bank.Melli.Inv.,20200623,23530.00,23530.00,23530.00,23530.00,221462218770,9411909,547,D,22410.00,23530.00
Bank.Melli.Inv.,20200622,22220.00,22430.00,21800.00,22410.00,790105756680,35263561,3458,D,21370.00,22430.00
Bank.Melli.Inv.,20200621,21840.00,21840.00,20500.00,21370.00,1257370634100,58825342,10494,D,20800.00,21840.00
Bank.Melli.Inv.,20200620,20800.00,20800.00,20800.00,20800.00,220617529600,10606612,1806,D,19810.00,20800.00
Bank.Melli.Inv.,20200616,19390.00,20010.00,18900.00,19810.00,453482032340,22897101,3606,D,19060.00,20010.00
Bank.Melli.Inv.,20200615,18210.00,19390.00,18210.00,19060.00,947889668740,49743273,7218,D,18470.00,18700.00
Bank.Melli.Inv.,20200614,19100.00,19110.00,18250.00,18470.00,594540555780,32195748,5707,D,19200.00,18400.00
Bank.Melli.Inv.,20200613,19700.00,19800.00,19000.00,19200.00,480663260930,25030878,6355,D,19051.00,19100.00
Bank.Melli.Inv.,20200610,19000.00,19400.00,18550.00,19051.00,497112602739,26093475,5907,D,19032.00,19400.00
Bank.Melli.Inv.,20200609,18783.00,19900.00,18400.00,19032.00,357284166294,18772640,5150,D,19013.00,18720.00
Bank.Melli.Inv.,20200608,17495.00,19335.00,17495.00,19013.00,893292763069,46984453,8204,D,18415.00,18500.00
Bank.Melli.Inv.,20200607,18572.00,18572.00,18572.00,18415.00,90727172948,4885159,555,D,17688.00,18572.00
Bank.Melli.Inv.,20200606,17688.00,17688.00,17688.00,17688.00,197588915832,11170789,1329,D,16846.00,17688.00
Bank.Melli.Inv.,20200602,16854.00,16854.00,16584.00,16846.00,173969507211,10327013,1416,D,16052.00,16854.00
Bank.Melli.Inv.,20200601,15500.00,16120.00,15000.00,16052.00,287006045768,17879729,2078,D,15353.00,16120.00
Bank.Melli.Inv.,20200531,16373.00,16373.00,14964.00,15353.00,313599428363,20426030,3739,D,15751.00,15500.00
