<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behpardakht.Mellat,20200722,43510.00,45920.00,43510.00,45610.00,181345346770,3975622,992,D,43740.00,45920.00
Behpardakht.Mellat,20200721,45980.00,45980.00,43470.00,43740.00,59722203940,1365400,1063,D,45750.00,43920.00
Behpardakht.Mellat,20200720,46750.00,46800.00,44910.00,45750.00,45813360930,1002249,1186,D,46110.00,44910.00
Behpardakht.Mellat,20200719,48500.00,48510.00,44480.00,46110.00,94615719660,2051912,1275,D,46820.00,45000.00
Behpardakht.Mellat,20200718,45450.00,47700.00,45440.00,46820.00,53685316720,1146562,1052,D,45440.00,46690.00
Behpardakht.Mellat,20200715,45990.00,47320.00,44010.00,45440.00,38047273580,841474,788,D,46170.00,46000.00
Behpardakht.Mellat,20200714,45120.00,47360.00,43600.00,46170.00,50350553250,1090459,1106,D,45110.00,44150.00
Behpardakht.Mellat,20200713,44260.00,46160.00,44260.00,45110.00,46433611790,1030566,687,D,45980.00,45010.00
Behpardakht.Mellat,20200712,46160.00,46160.00,45500.00,45980.00,47103260890,1021254,848,D,43970.00,45750.00
Behpardakht.Mellat,20200711,44000.00,46750.00,43350.00,43970.00,63749108150,1449958,1162,D,45630.00,43970.00
Behpardakht.Mellat,20200708,45800.00,47000.00,45450.00,45630.00,52427055290,1148998,919,D,47840.00,45450.00
Behpardakht.Mellat,20200707,49800.00,49800.00,47480.00,47840.00,74471539380,1556620,1192,D,49970.00,47480.00
Behpardakht.Mellat,20200706,50400.00,51000.00,49010.00,49970.00,108000424230,2161115,1929,D,50300.00,49250.00
Behpardakht.Mellat,20200705,48250.00,52880.00,48250.00,50300.00,67613934220,1344260,1138,D,50500.00,51450.00
Behpardakht.Mellat,20200704,52500.00,53940.00,49800.00,50500.00,61316161850,1214255,1416,D,52420.00,50100.00
Behpardakht.Mellat,20200701,52730.00,52730.00,48400.00,52420.00,130237938750,2484294,1393,D,50220.00,52730.00
Behpardakht.Mellat,20200630,50300.00,50670.00,48720.00,50220.00,145789043720,2903108,1556,D,48260.00,50670.00
Behpardakht.Mellat,20200629,49190.00,49190.00,46500.00,48260.00,60600280690,1255718,1252,D,48260.00,48700.00
Behpardakht.Mellat,20200628,49600.00,49610.00,45010.00,48260.00,100258022990,2077282,1594,D,47250.00,48620.00
Behpardakht.Mellat,20200627,47000.00,48300.00,45020.00,47250.00,75866124540,1605750,1034,D,46890.00,47000.00
Behpardakht.Mellat,20200624,46100.00,47700.00,45700.00,46890.00,37311266050,803175,772,D,48100.00,46000.00
Behpardakht.Mellat,20200623,48000.00,48910.00,45200.00,48100.00,71069903980,1477657,1497,D,46590.00,45520.00
Behpardakht.Mellat,20200622,45000.00,46960.00,44740.00,46590.00,53187716890,1141658,738,D,44730.00,46960.00
Behpardakht.Mellat,20200621,46350.00,46350.00,44010.00,44730.00,74896891250,1674537,1458,D,45920.00,44030.00
Behpardakht.Mellat,20200620,46210.00,47000.00,45000.00,45920.00,70535712370,1536086,1715,D,45800.00,45900.00
Behpardakht.Mellat,20200616,46980.00,47470.00,43960.00,45800.00,122641573000,2677701,2073,D,45210.00,47000.00
Behpardakht.Mellat,20200615,45150.00,45220.00,44000.00,45210.00,117008376240,2588329,903,D,43070.00,45220.00
Behpardakht.Mellat,20200614,43700.00,43710.00,40200.00,43070.00,87964816980,2042533,1213,D,41630.00,43710.00
Behpardakht.Mellat,20200613,40200.00,41830.00,40200.00,41630.00,64532104000,1550070,987,D,39845.00,41830.00
Behpardakht.Mellat,20200610,39347.00,41875.00,39001.00,39845.00,48947161560,1230042,1235,D,40728.00,39899.00
Behpardakht.Mellat,20200609,41400.00,41400.00,39347.00,40728.00,21770985611,547318,737,D,41417.00,39780.00
Behpardakht.Mellat,20200608,42490.00,44377.00,40151.00,41417.00,35736645964,871649,1109,D,42264.00,40151.00
Behpardakht.Mellat,20200607,42286.00,42286.00,41714.00,42264.00,55876025535,1322062,882,D,40273.00,41800.00
Behpardakht.Mellat,20200606,40304.00,40304.00,40003.00,40273.00,51708972471,1283055,843,D,38385.00,40304.00
Behpardakht.Mellat,20200602,39299.00,39388.00,38500.00,38385.00,29977069557,768609,1037,D,37622.00,39299.00
Behpardakht.Mellat,20200601,38000.00,38796.00,37000.00,37622.00,26141686867,692901,501,D,37516.00,37891.00
Behpardakht.Mellat,20200531,38770.00,38796.00,35102.00,37516.00,36915591350,977760,739,D,36949.00,37215.00
Behpardakht.Mellat,20200530,37790.00,37790.00,37000.00,36949.00,29426423780,780630,785,D,35991.00,37790.00
Behpardakht.Mellat,20200527,35107.00,36100.00,35105.00,35991.00,28052118206,792030,982,D,36952.00,35400.00
Behpardakht.Mellat,20200526,36002.00,37576.00,35839.00,36952.00,19480620583,542293,491,D,37725.00,35839.00
Behpardakht.Mellat,20200523,37602.00,38984.00,37576.00,37725.00,44917984605,1194074,593,D,39553.00,37576.00
Behpardakht.Mellat,20200520,40000.00,40000.00,38831.00,39553.00,32103939742,825313,459,D,40874.00,38831.00
Behpardakht.Mellat,20200519,42800.00,42800.00,39500.00,40874.00,40149202725,982609,850,D,40930.00,39500.00
Behpardakht.Mellat,20200518,40798.00,41020.00,40110.00,40930.00,74230705028,1813611,1086,D,39067.00,41019.00
Behpardakht.Mellat,20200517,37854.00,41500.00,37854.00,39067.00,46418885183,1189077,1034,D,39846.00,39790.00
Behpardakht.Mellat,20200516,38488.00,39500.00,38488.00,39846.00,15743362704,408923,344,D,40513.00,38488.00
Behpardakht.Mellat,20200513,40200.00,41990.00,40178.00,40513.00,24126183013,595514,499,D,42292.00,40178.00
Behpardakht.Mellat,20200509,43640.00,45000.00,41458.00,43745.00,212336484459,4853993,2799,D,43640.00,43800.00
Behpardakht.Mellat,20200506,43635.00,44500.00,43635.00,43640.00,67220938021,1540358,918,D,45931.00,43635.00
Behpardakht.Mellat,20200505,46800.00,47746.00,44870.00,45931.00,44229154688,966788,832,D,47231.00,44870.00
Behpardakht.Mellat,20200504,48500.00,48500.00,46934.00,47231.00,112614398042,2384342,1573,D,49404.00,46934.00
Behpardakht.Mellat,20200503,49870.00,49992.00,47500.00,49404.00,142197708017,2878287,2485,D,47612.00,47840.00
Behpardakht.Mellat,20200502,47613.00,47613.00,47506.00,47612.00,98586418944,2070602,1485,D,45346.00,47613.00
Behpardakht.Mellat,20200429,44400.00,47007.00,42540.00,45346.00,209394260930,4617711,2028,D,44769.00,47005.00
Behpardakht.Mellat,20200428,46790.00,46790.00,44464.00,44769.00,94679060198,2114816,1660,D,46804.00,44464.00
Behpardakht.Mellat,20200427,49496.00,49496.00,45100.00,46804.00,102412057218,2188096,1566,D,47376.00,45996.00
Behpardakht.Mellat,20200426,47751.00,47751.00,43800.00,47376.00,175757085519,3709808,1585,D,45478.00,47751.00
