<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
DPI,20200722,51490.00,51490.00,51490.00,53980.00,3936410500,76450,114,D,54200.00,51490.00
DPI,20200721,51940.00,51940.00,51940.00,54200.00,8616949880,165902,175,D,54670.00,51940.00
DPI,20200720,57190.00,57190.00,52690.00,54670.00,97857788690,1789907,1276,D,55460.00,52690.00
DPI,20200719,56090.00,56100.00,50760.00,55460.00,114929776840,2072463,1260,D,53430.00,56100.00
DPI,20200718,52400.00,54520.00,50100.00,53430.00,116824250010,2186671,1210,D,51930.00,54520.00
DPI,20200715,51400.00,55500.00,51400.00,51930.00,169956246770,3273099,1207,D,54100.00,51400.00
DPI,20200714,54100.00,54100.00,54100.00,54100.00,99009113300,1830113,654,D,56940.00,54100.00
DPI,20200713,54880.00,59520.00,53860.00,56940.00,13090636160,238532,225,D,57760.00,54880.00
DPI,20200712,56020.00,59520.00,53860.00,57760.00,96957639190,1678565,1254,D,56690.00,53860.00
DPI,20200711,56370.00,59900.00,56370.00,56690.00,102353368920,1805560,843,D,59330.00,56800.00
DPI,20200708,61190.00,61250.00,55430.00,59330.00,165390231850,2787508,1777,D,58340.00,55430.00
DPI,20200707,61250.00,61380.00,55540.00,58340.00,156687898900,2685603,2254,D,58460.00,59700.00
DPI,20200706,58470.00,58470.00,58000.00,58460.00,102436706980,1752278,1271,D,55690.00,58470.00
DPI,20200705,55690.00,55690.00,55000.00,55690.00,172443138510,3096633,1186,D,53040.00,55690.00
DPI,20200704,53850.00,53850.00,48730.00,53040.00,225456795820,4250306,2117,D,51290.00,53850.00
DPI,20200701,51290.00,51290.00,50500.00,51290.00,59760392550,1165160,485,D,48850.00,51290.00
DPI,20200630,48850.00,48850.00,48850.00,48850.00,61930417950,1267767,589,D,46530.00,48850.00
DPI,20200629,43340.00,47770.00,43340.00,46530.00,85908492750,1846500,1054,D,45500.00,47770.00
DPI,20200628,46210.00,46260.00,43000.00,45500.00,137466307620,3021155,1181,D,44060.00,46200.00
DPI,20200627,43000.00,45180.00,42300.00,44060.00,142417255680,3232398,1319,D,43030.00,45180.00
DPI,20200624,42610.00,44210.00,42610.00,43030.00,72889123260,1693776,847,D,44850.00,42610.00
DPI,20200623,44520.00,45790.00,43040.00,44850.00,126085073820,2811026,1689,D,44020.00,44030.00
DPI,20200622,43860.00,46130.00,43860.00,44020.00,185445843730,4212464,1966,D,46160.00,44400.00
DPI,20200621,49100.00,49100.00,44690.00,46160.00,97466420870,2111335,1564,D,47040.00,44690.00
DPI,20200620,47080.00,47080.00,46500.00,47040.00,80804579530,1717962,985,D,44840.00,47080.00
DPI,20200616,41800.00,45800.00,41800.00,44840.00,103833616790,2315847,1346,D,43620.00,45800.00
DPI,20200615,46300.00,46300.00,42370.00,43620.00,93789050120,2150254,1877,D,44590.00,42370.00
DPI,20200614,45110.00,45120.00,42130.00,44590.00,139974558890,3139360,1605,D,42980.00,45120.00
DPI,20200613,42900.00,43010.00,42000.00,42980.00,73609353480,1712456,1135,D,40966.00,43010.00
DPI,20200610,40250.00,42262.00,40250.00,40966.00,44995202495,1077641,456,D,38335.00,42262.00
DPI,20200607,39268.00,39268.00,35728.00,38835.00,158860643568,4090703,2250,D,37399.00,39187.00
DPI,20200606,37399.00,37490.00,36002.00,37399.00,70187550370,1876702,727,D,35705.00,37490.00
DPI,20200602,33193.00,36687.00,33193.00,35705.00,222391328376,6228514,2383,D,34940.00,36686.00
DPI,20200601,35642.00,36208.00,33000.00,34940.00,194979854818,5580448,2167,D,34484.00,33680.00
DPI,20200531,35020.00,35020.00,31867.00,34484.00,90737537802,2631257,1214,D,33353.00,35020.00
DPI,20200530,33353.00,33353.00,33353.00,33353.00,65139476296,1953032,428,D,31765.00,33353.00
DPI,20200527,31000.00,31925.00,31000.00,31765.00,64263951503,2023093,737,D,30405.00,31925.00
DPI,20200526,30477.00,30477.00,29201.00,30405.00,201095000000,6613850,1907,D,29656.00,30477.00
DPI,20200523,27200.00,29201.00,27200.00,29026.00,54338689916,1872049,648,D,27811.00,29201.00
DPI,20200520,29400.00,29400.00,27027.00,27811.00,72322609045,2600511,1294,D,28449.00,27900.00
DPI,20200519,28462.00,28462.00,27700.00,28449.00,120227973801,4226050,1024,D,27107.00,28462.00
DPI,20200518,26030.00,27475.00,26030.00,27107.00,115920826028,4276421,1353,D,26167.00,27475.00
DPI,20200517,26163.00,26990.00,26163.00,26167.00,81867374571,3128686,867,D,27539.00,26163.00
DPI,20200516,27081.00,28351.00,27081.00,27539.00,33733481912,1242881,423,D,28506.00,27081.00
DPI,20200513,28351.00,29700.00,28351.00,28506.00,160854894500,5642931,1875,D,29843.00,28351.00
DPI,20200512,28493.00,28493.00,28493.00,29843.00,4968039480,174360,132,D,29992.00,28493.00
