<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Damavand.Co.,20200722,80600.00,83700.00,78563.00,81106.00,1162431647340,14332255,20048,D,81836.00,82487.00
Damavand.Co.,20200721,83101.00,85740.00,81487.00,81836.00,1663098711662,20322321,22592,D,85775.00,81487.00
Damavand.Co.,20200720,84900.00,89988.00,83001.00,85775.00,1494906435248,17428182,25089,D,86091.00,83500.00
Damavand.Co.,20200719,90700.00,90700.00,84684.00,86091.00,2268636930499,26351626,32856,D,89141.00,84740.00
Damavand.Co.,20200718,84125.00,92850.00,84125.00,89141.00,1571853184424,17633384,25553,D,88552.00,88800.00
Damavand.Co.,20200715,88539.00,90000.00,88539.00,88552.00,824533833685,9311286,10516,D,93198.00,88539.00
Damavand.Co.,20200714,93601.00,97000.00,92130.00,93198.00,1112226474206,11934001,15550,D,96978.00,92130.00
Damavand.Co.,20200713,98001.00,99400.00,94883.00,96978.00,3172204943202,32710522,24528,D,99876.00,94883.00
Damavand.Co.,20200712,100446.00,100446.00,95500.00,99876.00,3184109414159,31880780,22649,D,95663.00,98000.00
Damavand.Co.,20200711,91912.00,101490.00,91912.00,95663.00,2304632764582,24091147,28661,D,96749.00,99000.00
Damavand.Co.,20200708,99381.00,99381.00,90011.00,96749.00,4820930584316,49829187,46125,D,94649.00,90780.00
Damavand.Co.,20200707,94687.00,94687.00,92917.00,94649.00,2906710989335,30710405,18549,D,90179.00,94687.00
Damavand.Co.,20200706,90179.00,90179.00,90100.00,90179.00,2263196532137,25096752,13498,D,85885.00,90179.00
Damavand.Co.,20200705,85934.00,85934.00,84000.00,85885.00,722994168712,8418205,6168,D,81842.00,85934.00
Damavand.Co.,20200704,82518.00,82518.00,77000.00,81842.00,2238734973838,27354192,23365,D,78589.00,82518.00
Damavand.Co.,20200701,78589.00,78589.00,78589.00,78589.00,386120095473,4913157,7486,D,74847.00,78589.00
Damavand.Co.,20200630,72655.00,75060.00,72655.00,74847.00,442412080403,5910850,8413,D,71486.00,75060.00
Damavand.Co.,20200629,72950.00,73570.00,70801.00,71486.00,1031866407722,14434507,17664,D,74527.00,72450.00
Damavand.Co.,20200628,78300.00,78300.00,71584.00,74527.00,1092527810677,14659446,17374,D,75350.00,72580.00
Damavand.Co.,20200627,74440.00,75791.00,72999.00,75350.00,789518595645,10477999,9837,D,72182.00,75791.00
Damavand.Co.,20200624,71200.00,74550.00,70845.00,72182.00,948121814571,13135152,16330,D,74556.00,72996.00
Damavand.Co.,20200623,75253.00,76800.00,72477.00,74556.00,1891944045008,25376062,32301,D,76291.00,72483.00
Damavand.Co.,20200622,76800.00,78450.00,73322.00,76291.00,1194353868629,15655243,23337,D,75999.00,75074.00
Damavand.Co.,20200621,76900.00,76950.00,74100.00,75999.00,3593769468944,47287112,30894,D,73315.00,75999.00
Damavand.Co.,20200620,73321.00,73321.00,72010.00,73315.00,2998229725642,40895269,18243,D,69830.00,73321.00
Damavand.Co.,20200616,69700.00,70670.00,68000.00,69830.00,824954969523,11813806,16000,D,68928.00,70275.00
Damavand.Co.,20200615,69270.00,71750.00,67120.00,68928.00,723832278920,10501277,14801,D,69261.00,68045.00
Damavand.Co.,20200614,72201.00,72201.00,68591.00,69261.00,860667141314,12426404,17149,D,72201.00,69270.00
Damavand.Co.,20200613,73990.00,73990.00,71112.00,72201.00,1438101745807,19918099,20690,D,71112.00,71499.00
Damavand.Co.,20200610,69800.00,71328.00,68068.00,71112.00,2582778530909,36319961,18130,D,67932.00,71328.00
Damavand.Co.,20200609,69000.00,71905.00,67145.00,67932.00,707100824456,10408925,14564,D,70678.00,67160.00
Damavand.Co.,20200608,71900.00,71999.00,70159.00,70678.00,677025390889,9578972,14330,D,73851.00,70159.00
Damavand.Co.,20200607,74900.00,75890.00,71120.00,73851.00,1293350634879,17512884,24422,D,72654.00,71999.00
Damavand.Co.,20200606,72500.00,72729.00,70450.00,72654.00,2108143955992,29016201,12733,D,69266.00,72729.00
Damavand.Co.,20200602,67997.00,70100.00,67112.00,69266.00,435709137998,6290407,10609,D,67037.00,68900.00
