<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Daroupakhsh.P.,20200722,68000.00,68000.00,64010.00,66130.00,33476349370,510100,762,D,67090.00,67000.00
Daroupakhsh.P.,20200721,71340.00,71340.00,65860.00,67090.00,63847958870,951698,1039,D,69310.00,67990.00
Daroupakhsh.P.,20200720,71990.00,71990.00,67020.00,69310.00,85216884680,1229480,1339,D,70260.00,68400.00
Daroupakhsh.P.,20200719,71130.00,71130.00,68370.00,70260.00,75746568810,1078081,1387,D,67750.00,69330.00
Daroupakhsh.P.,20200718,67600.00,67800.00,66660.00,67750.00,60328069180,890416,697,D,64580.00,67800.00
Daroupakhsh.P.,20200715,65000.00,66760.00,63000.00,64580.00,56813147500,879715,995,D,65800.00,64420.00
Daroupakhsh.P.,20200714,65500.00,70000.00,63920.00,65800.00,87045510160,1322857,1280,D,67280.00,65700.00
Daroupakhsh.P.,20200713,66900.00,70000.00,66870.00,67280.00,44560221130,664434,1005,D,70380.00,66870.00
Daroupakhsh.P.,20200712,70000.00,71650.00,64830.00,70380.00,55035736380,782035,1147,D,68240.00,66050.00
Daroupakhsh.P.,20200711,66860.00,73880.00,66860.00,68240.00,54472866820,798198,922,D,70370.00,69570.00
Daroupakhsh.P.,20200708,72500.00,72500.00,69180.00,70370.00,31254018460,451022,735,D,72820.00,69180.00
Daroupakhsh.P.,20200707,76970.00,76970.00,72600.00,72820.00,75860413530,1041789,1404,D,76420.00,72600.00
Daroupakhsh.P.,20200706,76750.00,77490.00,75410.00,76420.00,47460464060,620218,1201,D,74150.00,75420.00
Daroupakhsh.P.,20200705,74100.00,76600.00,70410.00,74150.00,75153918840,1013504,1136,D,74110.00,75030.00
Daroupakhsh.P.,20200704,80700.00,80700.00,73360.00,74110.00,89964713440,1213870,1222,D,77220.00,74210.00
Daroupakhsh.P.,20200701,77290.00,77290.00,74250.00,77220.00,112848380890,1461366,885,D,73610.00,77290.00
Daroupakhsh.P.,20200630,70000.00,74180.00,69100.00,73610.00,66890701040,908721,955,D,70650.00,74180.00
Daroupakhsh.P.,20200629,70600.00,73200.00,70600.00,70650.00,72289142180,1023154,989,D,74310.00,70600.00
Daroupakhsh.P.,20200628,78650.00,78650.00,73640.00,74310.00,108806956960,1464152,1132,D,77510.00,74480.00
Daroupakhsh.P.,20200627,80020.00,80030.00,75700.00,77510.00,42586792800,548769,781,D,77010.00,76200.00
Daroupakhsh.P.,20200624,79400.00,79400.00,75010.00,77010.00,33743753460,437059,689,D,76710.00,78970.00
Daroupakhsh.P.,20200623,76740.00,76740.00,75310.00,76710.00,95276808270,1241975,1151,D,73090.00,76740.00
Daroupakhsh.P.,20200622,72400.00,75250.00,69010.00,73090.00,119896241930,1640380,1554,D,71670.00,75250.00
Daroupakhsh.P.,20200621,74390.00,74400.00,68400.00,71670.00,59812212660,834545,1343,D,72000.00,72000.00
Daroupakhsh.P.,20200620,71500.00,73670.00,68750.00,72000.00,92150967700,1279820,1689,D,70170.00,73670.00
Daroupakhsh.P.,20200616,72000.00,72000.00,67990.00,70170.00,90143981850,1284580,1797,D,70920.00,71500.00
Daroupakhsh.P.,20200615,74450.00,74450.00,68120.00,70920.00,76129198100,1073521,1318,D,71700.00,71700.00
Daroupakhsh.P.,20200614,76600.00,76600.00,69340.00,71700.00,52214165520,728220,1231,D,72980.00,73000.00
Daroupakhsh.P.,20200613,73280.00,73280.00,71000.00,72980.00,60699418660,831707,980,D,69795.00,73280.00
Daroupakhsh.P.,20200610,69200.00,70782.00,66501.00,69795.00,69339184213,993470,1314,D,67412.00,70782.00
Daroupakhsh.P.,20200609,68000.00,69100.00,64567.00,67412.00,61142248571,906996,1067,D,67795.00,69100.00
Daroupakhsh.P.,20200608,71140.00,71140.00,64366.00,67795.00,65237125232,962269,1345,D,67753.00,69000.00
Daroupakhsh.P.,20200607,67774.00,67782.00,65229.00,67753.00,74378371624,1097782,859,D,64555.00,67782.00
Daroupakhsh.P.,20200606,65095.00,65218.00,63000.00,64555.00,56761016050,879265,1006,D,62113.00,65218.00
Daroupakhsh.P.,20200602,61000.00,63500.00,58001.00,62113.00,72119051264,1161090,1378,D,60968.00,63002.00
Daroupakhsh.P.,20200601,59600.00,62250.00,57000.00,60968.00,71842045867,1178358,1299,D,59651.00,62150.00
Daroupakhsh.P.,20200531,63150.00,63150.00,58239.00,59651.00,79380938019,1330753,1213,D,61304.00,60999.00
Daroupakhsh.P.,20200530,60085.00,62994.00,60085.00,61304.00,65302802723,1065229,1324,D,60074.00,60678.00
Daroupakhsh.P.,20200527,59307.00,63000.00,59307.00,60074.00,92826079569,1545201,1715,D,62428.00,62439.00
Daroupakhsh.P.,20200526,61763.00,64670.00,61763.00,62428.00,36082685756,584212,385,D,64943.00,61763.00
Daroupakhsh.P.,20200523,69995.00,69995.00,64670.00,65013.00,65218644541,1003159,974,D,68073.00,64670.00
Daroupakhsh.P.,20200520,68657.00,68657.00,65606.00,68073.00,153817782867,2259605,2341,D,65388.00,68657.00
Daroupakhsh.P.,20200519,66100.00,66100.00,65000.00,65388.00,42282330465,639778,733,D,62953.00,66100.00
Daroupakhsh.P.,20200518,62999.00,63709.00,61011.00,62953.00,125290694707,1990240,1791,D,60676.00,63709.00
Daroupakhsh.P.,20200517,61999.00,64990.00,58900.00,60676.00,180516239868,2975074,2231,D,55469.00,61002.00
Daroupakhsh.P.,20200511,58416.00,58418.00,56006.00,58314.00,162314660800,2783470,1548,D,55637.00,58418.00
Daroupakhsh.P.,20200510,55697.00,55721.00,54100.00,55637.00,223780436968,4022180,2745,D,53068.00,55721.00
Daroupakhsh.P.,20200509,50900.00,53354.00,50801.00,53068.00,83651977732,1576310,1689,D,50814.00,53354.00
Daroupakhsh.P.,20200506,50449.00,52378.00,50449.00,50814.00,69967352910,1376939,1865,D,53104.00,50450.00
Daroupakhsh.P.,20200505,54939.00,55134.00,52378.00,53104.00,52493714085,988511,1194,D,55134.00,52378.00
Daroupakhsh.P.,20200504,58600.00,58600.00,53138.00,55134.00,97226822804,1763455,2266,D,55934.00,54700.00
Daroupakhsh.P.,20200503,55934.00,55934.00,55900.00,55934.00,68984139440,1233315,1357,D,53271.00,55934.00
Daroupakhsh.P.,20200502,53300.00,53455.00,52603.00,53271.00,51829783852,972515,972,D,50910.00,53455.00
Daroupakhsh.P.,20200429,49990.00,51594.00,49223.00,50910.00,107412962216,2109878,2519,D,49138.00,51594.00
Daroupakhsh.P.,20200428,50050.00,50600.00,48401.00,49138.00,112607396966,2291662,2584,D,50828.00,49999.00
Daroupakhsh.P.,20200427,52500.00,52500.00,50265.00,50828.00,123810821675,2435881,2904,D,52910.00,50267.00
Daroupakhsh.P.,20200426,54699.00,54699.00,50200.00,52910.00,138148285465,2611027,2794,D,52095.00,52305.00
Daroupakhsh.P.,20200425,52096.00,52096.00,52050.00,52095.00,126859038369,2435126,1951,D,49616.00,52096.00
Daroupakhsh.P.,20200422,48490.00,49887.00,46050.00,49616.00,132106147565,2662596,2072,D,47512.00,49887.00
Daroupakhsh.P.,20200421,48370.00,48370.00,47000.00,47512.00,64489471877,1357336,1590,D,46513.00,48010.00
Daroupakhsh.P.,20200420,44300.00,47763.00,44238.00,46513.00,93636559234,2013142,1887,D,46072.00,47602.00
Daroupakhsh.P.,20200419,47367.00,47367.00,43500.00,46072.00,80697070220,1751556,2127,D,45112.00,43890.00
Daroupakhsh.P.,20200418,45839.00,45839.00,45564.00,45112.00,35296923175,770332,933,D,43657.00,45839.00
Daroupakhsh.P.,20200415,41351.00,44522.00,41351.00,43657.00,77796180557,1782000,1757,D,43394.00,43000.00
Daroupakhsh.P.,20200414,43352.00,45047.00,43352.00,43394.00,74626407196,1719745,1798,D,45633.00,43354.00
