<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Day.Bank,20200722,39800.00,41216.00,38510.00,40616.00,3688255254991,90807170,33400,D,39254.00,41216.00
Day.Bank,20200721,40000.00,41545.00,38388.00,39254.00,4370247575362,111333138,41431,D,40408.00,38388.00
Day.Bank,20200720,42600.00,42790.00,39081.00,40408.00,4130805045754,102227029,42876,D,41137.00,39082.00
Day.Bank,20200719,40240.00,43400.00,40240.00,41137.00,6846732391227,166438498,61620,D,42357.00,40240.00
Day.Bank,20200718,42357.00,42357.00,42357.00,42357.00,496711898172,11726796,7149,D,44586.00,42357.00
Day.Bank,20200715,45000.00,46940.00,42872.00,44586.00,3889866605911,87243461,49861,D,45128.00,42872.00
Day.Bank,20200714,45348.00,45351.00,43500.00,45128.00,3823603189806,84728214,37007,D,43192.00,44500.00
Day.Bank,20200713,41790.00,44105.00,40000.00,43192.00,2903113621323,67213749,29513,D,42005.00,44105.00
Day.Bank,20200712,42049.00,42049.00,40047.00,42005.00,1845701236771,43940029,13904,D,40047.00,42049.00
Day.Bank,20200711,38385.00,42400.00,38385.00,40047.00,5045122201792,125978666,42506,D,40405.00,41950.00
Day.Bank,20200708,42009.00,42009.00,38009.00,40405.00,4681764265769,115871805,42770,D,40009.00,38009.00
Day.Bank,20200707,40101.00,40101.00,38230.00,40009.00,2608177964572,65189105,20544,D,38192.00,40101.00
Day.Bank,20200706,38192.00,38192.00,38192.00,38192.00,633867124352,16596856,5378,D,36374.00,38192.00
Day.Bank,20200705,35560.00,37345.00,33850.00,36374.00,3409281624211,93729732,32257,D,35567.00,37345.00
Day.Bank,20200704,35000.00,35712.00,35000.00,35567.00,1572002325082,44198470,10620,D,34012.00,35691.00
Day.Bank,20200630,34012.00,34012.00,34012.00,34012.00,479404854016,14095168,4570,D,32393.00,34012.00
Day.Bank,20200629,31100.00,32655.00,31100.00,32393.00,2188558736221,67562696,13271,D,27687.00,32655.00
Day.Bank,20200627,27687.00,27687.00,27687.00,27687.00,300612017805,10857515,2046,D,26369.00,27687.00
Day.Bank,20200624,26100.00,26618.00,24700.00,26369.00,972685560917,36887056,7668,D,25351.00,26618.00
Day.Bank,20200623,25408.00,25408.00,24216.00,25351.00,1279910573918,50487994,9683,D,24199.00,25408.00
Day.Bank,20200622,24200.00,24216.00,23550.00,24199.00,1118941204987,46238908,7490,D,23063.00,24216.00
Day.Bank,20200621,22450.00,23667.00,21420.00,23063.00,2326236276448,100864118,25404,D,22540.00,23667.00
Day.Bank,20200620,22542.00,22542.00,22100.00,22540.00,2761146822279,122498070,20970,D,21469.00,22542.00
Day.Bank,20200616,21469.00,21469.00,21469.00,21469.00,1017493327214,47393606,6753,D,20447.00,21469.00
Day.Bank,20200615,20447.00,20447.00,20447.00,20447.00,1521432603306,74408598,6284,D,19474.00,20447.00
Day.Bank,20200610,19400.00,19504.00,18920.00,19474.00,788557412623,40493344,7656,D,18576.00,19501.00
Day.Bank,20200609,18000.00,18883.00,17600.00,18576.00,1834638542076,98765155,16645,D,17984.00,18883.00
Day.Bank,20200608,18000.00,18725.00,17838.00,17984.00,1689177044498,93928640,16699,D,18776.00,17950.00
Day.Bank,20200607,18700.00,19700.00,17825.00,18776.00,2610980921583,139056478,28594,D,18763.00,18300.00
Day.Bank,20200606,18798.00,18798.00,18008.00,18763.00,2553309519644,136081324,20181,D,17903.00,18798.00
Day.Bank,20200602,17903.00,17903.00,17800.00,17903.00,796844994400,44509192,3920,D,17051.00,17903.00
Day.Bank,20200601,16500.00,17128.00,16489.00,17051.00,943818528500,55353851,5119,D,16313.00,17128.00
Day.Bank,20200531,16345.00,16345.00,15703.00,16313.00,1454054641302,89133157,10128,D,15567.00,16345.00
Day.Bank,20200530,15570.00,15570.00,15300.00,15567.00,1107625076020,71152695,6380,D,14829.00,15570.00
Day.Bank,20200527,14636.00,15500.00,14636.00,14829.00,1181437140388,79669529,11424,D,15406.00,14636.00
Day.Bank,20200526,16050.00,16398.00,14919.00,15406.00,735558580201,47743792,8394,D,15704.00,14919.00
Day.Bank,20200523,15718.00,15718.00,15100.00,15704.00,1121066395308,71386798,8294,D,14970.00,15718.00
Day.Bank,20200520,14900.00,14992.00,14355.00,14970.00,1116988627710,74617042,7819,D,14279.00,14992.00
Day.Bank,20200519,14299.00,14299.00,13831.00,14279.00,1020128804348,71442484,6331,D,13619.00,14299.00
Day.Bank,20200518,13631.00,13631.00,13211.00,13619.00,772915694105,56752690,5483,D,12982.00,13631.00
Day.Bank,20200517,12837.00,13670.00,12837.00,12982.00,1218876913501,93892041,9810,D,13512.00,13102.00
Day.Bank,20200516,13708.00,13708.00,12777.00,13512.00,971100595956,71871998,8384,D,13056.00,13250.00
Day.Bank,20200513,12050.00,13218.00,12050.00,13056.00,1615939207328,123773474,10379,D,12589.00,13218.00
Day.Bank,20200512,13117.00,13117.00,11869.00,12589.00,2246621428303,178458057,18541,D,12493.00,12000.00
Day.Bank,20200511,12493.00,12493.00,12493.00,12493.00,337251083572,26995204,905,D,11899.00,12493.00
Day.Bank,20200510,11899.00,11899.00,11899.00,11899.00,100476524385,8444115,683,D,11333.00,11899.00
Day.Bank,20200509,11333.00,11333.00,11333.00,11333.00,166981215310,14734070,1492,D,10794.00,11333.00
Day.Bank,20200506,9913.00,10922.00,9913.00,10794.00,773243694191,71637050,5852,D,10402.00,10922.00
Day.Bank,20200505,10467.00,10990.00,9944.00,10402.00,824323451910,79243305,7807,D,9969.00,9971.00
Day.Bank,20200502,9969.00,9969.00,9969.00,9969.00,136973870589,13739981,586,D,9495.00,9969.00
