<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Etebari.Iran.Co,20200722,21850.00,23030.00,21700.00,22050.00,191906709480,8701767,1797,D,22750.00,22200.00
Etebari.Iran.Co,20200721,23000.00,23380.00,22680.00,22750.00,248763998260,10934063,2400,D,23870.00,22680.00
Etebari.Iran.Co,20200720,24000.00,24370.00,22900.00,23870.00,279613530010,11715730,2639,D,23210.00,23350.00
Etebari.Iran.Co,20200719,23290.00,23290.00,21500.00,23210.00,581578208210,25057159,3884,D,22190.00,23290.00
Etebari.Iran.Co,20200718,22150.00,22270.00,21650.00,22190.00,138439153210,6239916,1164,D,21210.00,22270.00
Etebari.Iran.Co,20200715,20000.00,21400.00,20000.00,21210.00,174636693330,8233481,1633,D,20390.00,21400.00
Etebari.Iran.Co,20200714,19570.00,20920.00,19100.00,20390.00,270985428360,13289291,3121,D,19930.00,20700.00
Etebari.Iran.Co,20200713,20600.00,20920.00,19570.00,19930.00,175073986140,8785684,1979,D,20600.00,19650.00
Etebari.Iran.Co,20200712,20000.00,20920.00,19930.00,20600.00,262391399160,12737507,3426,D,19930.00,19990.00
Etebari.Iran.Co,20200711,19870.00,20790.00,19870.00,19930.00,168153518270,8435817,1849,D,20910.00,19870.00
Etebari.Iran.Co,20200708,21800.00,21880.00,20170.00,20910.00,241879091550,11567166,3203,D,21230.00,20170.00
Etebari.Iran.Co,20200707,22120.00,22200.00,21020.00,21230.00,362704339090,17087347,3480,D,22120.00,22120.00
Etebari.Iran.Co,20200706,22990.00,22990.00,21010.00,22120.00,435937987420,19708844,4848,D,22100.00,22240.00
Etebari.Iran.Co,20200705,21000.00,22600.00,20700.00,22100.00,283039288680,12805420,2926,D,21530.00,22590.00
Etebari.Iran.Co,20200704,22800.00,22800.00,21380.00,21530.00,457577685760,21250966,3434,D,22500.00,21380.00
Etebari.Iran.Co,20200701,22500.00,22500.00,22500.00,22500.00,171283567500,7612603,1062,D,21430.00,22500.00
Etebari.Iran.Co,20200630,21430.00,21430.00,21430.00,21430.00,88658631610,4137127,789,D,20410.00,21430.00
Etebari.Iran.Co,20200629,19900.00,21350.00,19330.00,20410.00,343455961020,16825530,3118,D,20340.00,21350.00
Etebari.Iran.Co,20200628,21500.00,21600.00,19930.00,20340.00,437010181760,21481538,2825,D,20970.00,19930.00
Etebari.Iran.Co,20200627,20700.00,22000.00,20520.00,20970.00,435222408420,20750223,3638,D,21600.00,20900.00
Etebari.Iran.Co,20200624,21000.00,22230.00,20150.00,21600.00,373988592730,17316032,3027,D,21190.00,20600.00
Etebari.Iran.Co,20200623,21270.00,21270.00,20280.00,21190.00,228079452790,10763130,1277,D,20260.00,20640.00
Etebari.Iran.Co,20200622,20260.00,20260.00,20260.00,20260.00,57534570860,2839811,394,D,19300.00,20260.00
Etebari.Iran.Co,20200621,19470.00,19470.00,19470.00,19300.00,45059498880,2314304,417,D,18550.00,19470.00
Etebari.Iran.Co,20200620,18550.00,18550.00,18550.00,18550.00,53814032300,2901026,453,D,17670.00,18550.00
Etebari.Iran.Co,20200616,17700.00,18560.00,16800.00,17670.00,479369475140,27135286,5073,D,17680.00,18560.00
Etebari.Iran.Co,20200615,17700.00,18490.00,16820.00,17680.00,111117579710,6283503,1236,D,16760.00,18000.00
Etebari.Iran.Co,20200608,17488.00,17488.00,15824.00,16848.00,312223843608,18531653,3530,D,16656.00,16498.00
Etebari.Iran.Co,20200607,16662.00,16662.00,16500.00,16656.00,321977659229,19330628,3131,D,15869.00,16655.00
Etebari.Iran.Co,20200606,15877.00,15877.00,15344.00,15869.00,67768244573,4270462,793,D,15121.00,15877.00
Etebari.Iran.Co,20200602,15121.00,15121.00,15121.00,15121.00,59689451934,3947454,460,D,14401.00,15121.00
Etebari.Iran.Co,20200601,14406.00,14406.00,14406.00,14401.00,55304590782,3838997,560,D,13720.00,14406.00
Etebari.Iran.Co,20200531,13760.00,14191.00,12855.00,13720.00,148610044936,10831612,1695,D,13516.00,14191.00
Etebari.Iran.Co,20200530,13500.00,13576.00,13321.00,13516.00,80670307900,5968467,1498,D,12930.00,13576.00
