<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Fanavaran.Petr.,20200722,439690.00,439990.00,400310.00,427820.00,370596982630,866254,2146,D,421370.00,434020.00
Fanavaran.Petr.,20200721,405810.00,426090.00,386100.00,421370.00,328127567530,778707,2127,D,405800.00,421000.00
Fanavaran.Petr.,20200720,405810.00,405810.00,405180.00,405800.00,395377942460,974313,1277,D,386490.00,405810.00
Fanavaran.Petr.,20200719,386900.00,387540.00,375000.00,386490.00,280063543660,724630,1441,D,369090.00,387540.00
Fanavaran.Petr.,20200718,373330.00,373330.00,344400.00,369090.00,361418375560,979217,2051,D,355560.00,373320.00
Fanavaran.Petr.,20200715,355560.00,355560.00,355560.00,355560.00,291299996760,819271,435,D,338630.00,355560.00
Fanavaran.Petr.,20200714,338630.00,338630.00,338630.00,338630.00,259195867750,765425,320,D,322510.00,338630.00
Fanavaran.Petr.,20200713,322510.00,322510.00,319100.00,322510.00,281417415670,872593,621,D,307160.00,322510.00
Fanavaran.Petr.,20200712,307160.00,307160.00,307150.00,307160.00,118074443900,384407,377,D,292540.00,307160.00
Fanavaran.Petr.,20200711,288720.00,313050.00,288720.00,292540.00,266918740330,912433,1607,D,303910.00,312000.00
Fanavaran.Petr.,20200708,330300.00,330300.00,298890.00,303910.00,158671715210,522104,1449,D,314620.00,298890.00
Fanavaran.Petr.,20200707,310000.00,325500.00,302000.00,314620.00,165355943350,525580,963,D,297950.00,319000.00
Fanavaran.Petr.,20200701,315000.00,315390.00,304000.00,314450.00,232100385210,738106,1250,D,300380.00,315390.00
Fanavaran.Petr.,20200630,290000.00,303330.00,290000.00,300380.00,147223194930,490117,1460,D,288890.00,303330.00
Fanavaran.Petr.,20200629,286860.00,300080.00,286860.00,288890.00,107177446020,370991,1275,D,301950.00,294000.00
Fanavaran.Petr.,20200628,316970.00,316980.00,286810.00,301950.00,116455564790,385672,1411,D,301900.00,296010.00
Fanavaran.Petr.,20200627,278830.00,308170.00,278830.00,301900.00,80425175910,264267,802,D,293500.00,308170.00
Fanavaran.Petr.,20200624,293530.00,293530.00,288000.00,293500.00,117343226080,399803,765,D,279560.00,293530.00
Fanavaran.Petr.,20200623,281070.00,281070.00,280000.00,279560.00,94810683270,337332,643,D,267690.00,281070.00
Fanavaran.Petr.,20200622,267690.00,267690.00,267650.00,267690.00,131087981980,489701,817,D,254950.00,267690.00
Fanavaran.Petr.,20200621,256430.00,256430.00,255000.00,254950.00,86062391400,335701,1242,D,244220.00,256430.00
Fanavaran.Petr.,20200620,244990.00,246250.00,236120.00,244220.00,82183392350,334722,759,D,234530.00,246250.00
Fanavaran.Petr.,20200616,244400.00,244400.00,232000.00,234530.00,64874189710,275894,842,D,232920.00,237450.00
Fanavaran.Petr.,20200615,231870.00,239970.00,226410.00,232920.00,62554908610,267920,864,D,231580.00,232410.00
Fanavaran.Petr.,20200614,231870.00,231870.00,225000.00,231580.00,217425042540,938877,1289,D,220830.00,231870.00
Fanavaran.Petr.,20200613,226880.00,226880.00,226880.00,220830.00,37904841600,167070,232,D,216077.00,226880.00
Fanavaran.Petr.,20200610,216199.00,220000.00,210824.00,216077.00,72629334128,335106,777,D,211162.00,220000.00
Fanavaran.Petr.,20200609,209080.00,211764.00,202384.00,211162.00,141647292196,670798,878,D,201680.00,211570.00
