<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Fars.Cement,20200722,157820.00,157820.00,155000.00,157760.00,92957095310,589223,1435,D,150310.00,157820.00
Fars.Cement,20200721,147600.00,155780.00,140960.00,150310.00,143826078990,956894,1861,D,148370.00,155780.00
Fars.Cement,20200720,157000.00,157000.00,145560.00,148370.00,159363452220,1074110,2735,D,153220.00,148500.00
Fars.Cement,20200719,154000.00,163350.00,147880.00,153220.00,192685281830,1257579,2829,D,155660.00,147880.00
Fars.Cement,20200718,152620.00,152620.00,152620.00,155660.00,29539601000,193550,473,D,160650.00,152620.00
Fars.Cement,20200715,154460.00,154460.00,154460.00,160650.00,11782981100,76285,156,D,162580.00,154460.00
Fars.Cement,20200714,155070.00,155070.00,155070.00,162580.00,3977700570,25651,102,D,163230.00,155070.00
Fars.Cement,20200713,160810.00,160810.00,160810.00,163230.00,36824685950,228995,423,D,169270.00,160810.00
Fars.Cement,20200712,169630.00,169630.00,165500.00,169270.00,59351599640,350627,756,D,161560.00,169600.00
Fars.Cement,20200711,163610.00,163610.00,155830.00,161560.00,117428325280,726854,1355,D,155820.00,163610.00
Fars.Cement,20200708,155970.00,155970.00,155970.00,155820.00,64356809310,412623,746,D,148550.00,155970.00
Fars.Cement,20200707,148780.00,148780.00,143000.00,148550.00,100611868840,677298,1150,D,141700.00,148780.00
Fars.Cement,20200706,141980.00,141980.00,141510.00,141700.00,57371140410,404082,762,D,135220.00,141980.00
Fars.Cement,20200705,130010.00,136510.00,130010.00,135220.00,162065390190,1198532,1387,D,118650.00,136510.00
Fars.Cement,20200701,120980.00,120980.00,120980.00,118650.00,33263934920,274954,385,D,115220.00,120980.00
Fars.Cement,20200630,118780.00,118780.00,118780.00,115220.00,20335017220,171199,305,D,113130.00,118780.00
Fars.Cement,20200629,115250.00,115250.00,115250.00,113130.00,32639722000,283208,366,D,109770.00,115250.00
Fars.Cement,20200628,109620.00,110460.00,105200.00,109770.00,69627576230,634328,788,D,105200.00,110460.00
Fars.Cement,20200627,111900.00,111900.00,102850.00,105200.00,46563098220,443141,1100,D,108260.00,103160.00
Fars.Cement,20200624,104850.00,110000.00,104850.00,108260.00,23570358410,221832,656,D,110360.00,106000.00
Fars.Cement,20200623,113580.00,113580.00,103000.00,110360.00,42349811230,382736,1326,D,108180.00,107000.00
Fars.Cement,20200622,109500.00,109500.00,106970.00,108180.00,39150046650,359183,911,D,104290.00,109500.00
Fars.Cement,20200621,104920.00,108000.00,104090.00,104290.00,77667754960,744737,2102,D,109560.00,106970.00
Fars.Cement,20200620,110150.00,111890.00,109400.00,109560.00,103062991030,940669,2866,D,115150.00,109400.00
Fars.Cement,20200616,117410.00,117410.00,106230.00,115150.00,89286629650,775393,2060,D,111820.00,114290.00
Fars.Cement,20200615,111100.00,116650.00,111100.00,111820.00,16633879160,143411,281,D,109860.00,116650.00
Fars.Cement,20200609,112602.00,112602.00,111003.00,111438.00,44987191884,399556,904,D,107240.00,112602.00
Fars.Cement,20200608,107634.00,107634.00,97384.00,107240.00,53466556512,498067,1197,D,102509.00,107634.00
Fars.Cement,20200607,105172.00,105172.00,105172.00,102509.00,25089201288,238554,647,D,100164.00,105172.00
Fars.Cement,20200606,103050.00,103055.00,101201.00,100164.00,23239352451,226317,842,D,98148.00,103055.00
Fars.Cement,20200602,94302.00,101500.00,94302.00,98148.00,26481938305,267392,914,D,97174.00,101117.00
