<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Firooze.ETF,20200722,206000.00,208800.00,204340.00,206090.00,54324588990,263591,874,D,208610.00,205390.00
Firooze.ETF,20200721,208800.00,212570.00,206010.00,208610.00,139108500980,666835,1299,D,212900.00,207340.00
Firooze.ETF,20200720,213990.00,215990.00,209300.00,212900.00,164412948740,772256,1631,D,202780.00,212900.00
Firooze.ETF,20200719,194000.00,206530.00,194000.00,202780.00,177154526880,873619,1530,D,192980.00,205590.00
Firooze.ETF,20200718,191750.00,195000.00,191000.00,192980.00,187512340120,971672,1570,D,200140.00,191000.00
Firooze.ETF,20200715,199290.00,203060.00,192010.00,200140.00,231709035160,1157723,1444,D,206440.00,197730.00
Firooze.ETF,20200714,206330.00,210390.00,201610.00,206440.00,223883583660,1084500,2057,D,202610.00,202250.00
Firooze.ETF,20200713,199980.00,206400.00,198000.00,202610.00,219427688210,1083001,1779,D,203540.00,204000.00
Firooze.ETF,20200712,204000.00,206100.00,200000.00,203540.00,351429286040,1726574,2258,D,189240.00,202000.00
Firooze.ETF,20200711,185400.00,198500.00,179900.00,189240.00,252748534720,1335627,1792,D,194860.00,194000.00
Firooze.ETF,20200708,201500.00,201500.00,185000.00,194860.00,233873069620,1200228,2191,D,201590.00,186000.00
Firooze.ETF,20200707,205700.00,205710.00,197420.00,201590.00,339149186210,1682337,2607,D,200650.00,200000.00
Firooze.ETF,20200706,201350.00,205500.00,197000.00,200650.00,370660088400,1847314,2865,D,190250.00,203490.00
Firooze.ETF,20200705,184800.00,198100.00,177500.00,190250.00,200678191910,1054790,1985,D,183210.00,194500.00
Firooze.ETF,20200704,190200.00,191880.00,170010.00,183210.00,214423406700,1170369,2508,D,182530.00,183090.00
Firooze.ETF,20200701,179200.00,184650.00,179000.00,182530.00,206544337110,1131579,2182,D,170040.00,184650.00
Firooze.ETF,20200630,165190.00,175000.00,165190.00,170040.00,190403614330,1119773,1459,D,159550.00,175000.00
Firooze.ETF,20200629,158300.00,164000.00,153000.00,159550.00,201585685770,1263429,1254,D,161280.00,163300.00
Firooze.ETF,20200628,166990.00,167000.00,155110.00,161280.00,183908881380,1140280,1437,D,159440.00,158510.00
Firooze.ETF,20200627,155880.00,162100.00,155880.00,159440.00,151922826820,952825,945,D,151920.00,161880.00
