<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
General.Mechanic,20200722,34500.00,35000.00,33483.00,33872.00,184705755294,5453024,4830,D,35245.00,33557.00
General.Mechanic,20200721,36000.00,36150.00,35114.00,35245.00,273335176478,7755234,5436,D,36962.00,35114.00
General.Mechanic,20200720,37900.00,39096.00,35949.00,36962.00,369531501390,9997630,8018,D,37841.00,36160.00
General.Mechanic,20200719,40700.00,40700.00,36947.00,37841.00,409388762654,10818717,7910,D,38891.00,36948.00
General.Mechanic,20200718,37100.00,38962.00,37100.00,38891.00,219231664087,5637091,3909,D,37107.00,38962.00
General.Mechanic,20200715,36705.00,38950.00,36703.00,37107.00,300622766118,8101414,5157,D,38634.00,37200.00
General.Mechanic,20200714,38540.00,40000.00,38540.00,38634.00,227456484450,5887506,3555,D,40568.00,38540.00
General.Mechanic,20200713,40531.00,41980.00,40531.00,40568.00,274522382615,6766934,3290,D,42664.00,40531.00
General.Mechanic,20200712,43620.00,43746.00,40000.00,42664.00,516264199607,12100785,7018,D,41663.00,40805.00
General.Mechanic,20200711,40765.00,43000.00,40765.00,41663.00,429965485923,10320027,5660,D,42910.00,42100.00
General.Mechanic,20200708,44100.00,44315.00,40095.00,42910.00,913360626199,21285373,9126,D,42205.00,40320.00
General.Mechanic,20200707,42253.00,42253.00,41100.00,42205.00,542817096616,12861445,5684,D,40241.00,42253.00
General.Mechanic,20200706,41250.00,43300.00,39320.00,40241.00,1263509199405,31398434,9734,D,37633.00,41000.00
General.Mechanic,20200629,37000.00,39990.00,36386.00,37920.00,331153973782,8732917,6717,D,38301.00,39000.00
General.Mechanic,20200628,40940.00,40940.00,38019.00,38301.00,290737804605,7590777,4646,D,40020.00,38019.00
General.Mechanic,20200627,39450.00,41030.00,39450.00,40020.00,234673113559,5863831,4299,D,39825.00,39490.00
General.Mechanic,20200624,39519.00,41000.00,39516.00,39825.00,245490339902,6164206,4633,D,41595.00,39940.00
General.Mechanic,20200623,41500.00,42999.00,39894.00,41595.00,349862113826,8411084,6812,D,41196.00,39900.00
General.Mechanic,20200622,41500.00,42800.00,40437.00,41196.00,436576894971,10597490,8623,D,42565.00,40600.00
General.Mechanic,20200621,43391.00,43391.00,40956.00,42565.00,539654936363,12678323,8753,D,41325.00,41650.00
General.Mechanic,20200620,40490.00,41686.00,39697.00,41325.00,384102602525,9294628,4921,D,39701.00,41686.00
General.Mechanic,20200616,39705.00,39705.00,39002.00,39701.00,377717074173,9514124,4494,D,37815.00,39705.00
General.Mechanic,20200615,37815.00,37815.00,37815.00,37815.00,64703544825,1711055,1377,D,36015.00,37815.00
General.Mechanic,20200614,35800.00,38988.00,35374.00,36015.00,313792850453,8712854,6444,D,37235.00,37600.00
General.Mechanic,20200613,38000.00,38000.00,36420.00,37235.00,256223132333,6881288,6363,D,37231.00,36500.00
General.Mechanic,20200610,37600.00,38495.00,36500.00,37231.00,206581653810,5548589,4973,D,37865.00,36990.00
General.Mechanic,20200609,36980.00,38550.00,36600.00,37865.00,194027423963,5124236,4235,D,37651.00,37661.00
General.Mechanic,20200608,38200.00,39000.00,36100.00,37651.00,195523031608,5193060,4447,D,37999.00,36400.00
General.Mechanic,20200607,38001.00,38001.00,37000.00,37999.00,119876687011,3154715,1841,D,36192.00,38001.00
General.Mechanic,20200606,35500.00,36361.00,34810.00,36192.00,112977935609,3121637,1959,D,34630.00,36361.00
General.Mechanic,20200602,34000.00,35366.00,33500.00,34630.00,100019009498,2888239,3027,D,33683.00,34800.00
General.Mechanic,20200601,33123.00,34900.00,33001.00,33683.00,78159255175,2320457,2495,D,34002.00,33844.00
General.Mechanic,20200531,35000.00,35000.00,33735.00,34002.00,127605646998,3752868,3225,D,35510.00,33736.00
General.Mechanic,20200530,35000.00,36111.00,34712.00,35510.00,77560272613,2184192,2771,D,34620.00,35001.00
General.Mechanic,20200527,32337.00,35499.00,32337.00,34620.00,101253786222,2924738,3441,D,34035.00,34559.00
General.Mechanic,20200526,33700.00,36800.00,33494.00,34035.00,87303428691,2565144,2177,D,35256.00,33494.00
General.Mechanic,20200523,35137.00,36986.00,35137.00,35256.00,172745781577,4899776,4002,D,36986.00,35300.00
General.Mechanic,20200520,36964.00,37850.00,36964.00,36986.00,106216146534,2871782,2352,D,38909.00,36964.00
General.Mechanic,20200519,40993.00,40993.00,37411.00,38909.00,215724431573,5544363,5290,D,39286.00,37476.00
General.Mechanic,20200518,39498.00,39569.00,37922.00,39286.00,248354569920,6321746,5838,D,37685.00,39569.00
General.Mechanic,20200517,37600.00,37868.00,35500.00,37685.00,256393243590,6803524,4787,D,36065.00,37868.00
General.Mechanic,20200516,36237.00,36237.00,35200.00,36065.00,320773182947,8894313,6453,D,34512.00,36237.00
General.Mechanic,20200513,31935.00,35289.00,31935.00,34512.00,236004211689,6838231,6261,D,33609.00,35279.00
General.Mechanic,20200512,34002.00,34500.00,33447.00,33609.00,107279528816,3191950,2896,D,35207.00,33447.00
General.Mechanic,20200511,36910.00,36910.00,35054.00,35207.00,175207471339,4976504,5273,D,36898.00,35054.00
General.Mechanic,20200510,38520.00,38520.00,36121.00,36898.00,265267863185,7189161,7676,D,38022.00,36300.00
General.Mechanic,20200509,38020.00,38500.00,37079.00,38022.00,320686564356,8434193,7406,D,37079.00,37995.00
General.Mechanic,20200506,37125.00,38249.00,36450.00,37079.00,178848229275,4823499,5492,D,38249.00,36950.00
General.Mechanic,20200505,39549.00,40999.00,37125.00,38249.00,354629583027,9271682,7602,D,39078.00,37125.00
General.Mechanic,20200504,40800.00,40800.00,38113.00,39078.00,424594339022,10865361,10215,D,40118.00,38800.00
General.Mechanic,20200503,40152.00,40152.00,39000.00,40118.00,428787975777,10688071,7440,D,38240.00,40152.00
General.Mechanic,20200502,37999.00,38341.00,37000.00,38240.00,332760369510,8701963,6249,D,36516.00,38341.00
General.Mechanic,20200429,37300.00,37300.00,35700.00,36516.00,332898732465,9116616,10058,D,36344.00,36540.00
General.Mechanic,20200428,35455.00,36851.00,35455.00,36344.00,269418571106,7412962,7726,D,35756.00,35849.00
General.Mechanic,20200427,36200.00,37050.00,35454.00,35756.00,397159428789,11107344,9501,D,37320.00,35454.00
General.Mechanic,20200426,38870.00,39050.00,36927.00,37320.00,578590150986,15503581,10524,D,38870.00,36927.00
General.Mechanic,20200425,39474.00,39474.00,38265.00,38870.00,332293985781,8548961,8641,D,37849.00,38501.00
General.Mechanic,20200422,37500.00,38265.00,37000.00,37849.00,234326857784,6191109,6342,D,36444.00,38017.00
General.Mechanic,20200421,35800.00,37051.00,35300.00,36444.00,370528450599,10167045,7821,D,35287.00,37051.00
General.Mechanic,20200420,35043.00,36370.00,35043.00,35287.00,550636319525,15604613,10427,D,36887.00,35115.00
General.Mechanic,20200419,37800.00,38140.00,36411.00,36887.00,306895160823,8319939,7637,D,38327.00,36411.00
General.Mechanic,20200418,39290.00,39811.00,37151.00,38327.00,554192822342,14459652,14398,D,38708.00,37518.00
General.Mechanic,20200415,39072.00,39072.00,37955.00,38708.00,609315895621,15741437,9575,D,37212.00,38051.00
General.Mechanic,20200414,34000.00,37556.00,34000.00,37212.00,828505673786,22264473,7530,D,35768.00,37556.00
General.Mechanic,20200413,36683.00,36683.00,34210.00,35768.00,193649210751,5414023,4399,D,34937.00,35700.00
General.Mechanic,20200412,34900.00,34982.00,34420.00,34937.00,179106149738,5126479,2540,D,33317.00,34982.00
General.Mechanic,20200411,33363.00,33363.00,32500.00,33317.00,265201179950,7960029,4377,D,31775.00,33363.00
General.Mechanic,20200408,31750.00,31824.00,31000.00,31775.00,220189287752,6929665,3826,D,30309.00,31824.00
General.Mechanic,20200407,30426.00,31000.00,28905.00,30309.00,181007734388,5972061,7528,D,30426.00,30545.00
General.Mechanic,20200406,30385.00,31780.00,30380.00,30426.00,169436229659,5568732,4723,D,31978.00,30600.00
General.Mechanic,20200405,34100.00,34100.00,31138.00,31978.00,187061434197,5849712,5522,D,32776.00,31215.00
General.Mechanic,20200404,31750.00,32888.00,31750.00,32776.00,97779162981,2983268,3830,D,31373.00,32839.00
General.Mechanic,20200330,31800.00,32997.00,30923.00,31373.00,116593849881,3716352,4269,D,32550.00,31630.00
General.Mechanic,20200329,33138.00,33138.00,31231.00,32550.00,227498757057,6989111,6054,D,31560.00,31713.00
General.Mechanic,20200328,31400.00,31682.00,30748.00,31560.00,119570263436,3788639,3035,D,30174.00,31682.00
General.Mechanic,20200325,29425.00,30950.00,29425.00,30174.00,278421506097,9227327,8187,D,30973.00,30748.00
General.Mechanic,20200324,32480.00,32480.00,30856.00,30973.00,95585551467,3086061,2864,D,32153.00,30856.00
General.Mechanic,20200318,33333.00,33333.00,31667.00,32153.00,119846001937,3727372,3524,D,27695.00,32095.00
General.Mechanic,20200311,41026.00,42989.00,39874.00,41043.00,129206627412,3148106,4833,D,39073.00,41398.00
General.Mechanic,20200310,38908.00,40500.00,38908.00,39073.00,151218475210,3870150,3251,D,40955.00,38908.00
General.Mechanic,20200309,40500.00,40500.00,40500.00,40955.00,35535753000,877426,953,D,42631.00,40500.00
General.Mechanic,20200307,42586.00,43195.00,42586.00,42631.00,127484733436,2990432,4284,D,44827.00,42586.00
General.Mechanic,20200304,45156.00,46500.00,44000.00,44827.00,164983550659,3680476,4244,D,43006.00,44000.00
