<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghand.Shirvan,20200722,41000.00,41490.00,40490.00,40901.00,42839945728,1054571,447,D,42621.00,40500.00
Ghand.Shirvan,20200719,44668.00,44668.00,40600.00,42621.00,345854448947,8114617,6068,D,42731.00,41001.00
Ghand.Shirvan,20200718,42843.00,42846.00,41201.00,42731.00,83576213908,1955870,1159,D,40806.00,42846.00
Ghand.Shirvan,20200715,40600.00,42086.00,38100.00,40806.00,215855907661,5289784,3666,D,40082.00,42086.00
Ghand.Shirvan,20200714,42000.00,42000.00,39757.00,40082.00,232135158636,5791440,3816,D,41849.00,40000.00
Ghand.Shirvan,20200713,42500.00,43520.00,41000.00,41849.00,174510232937,4169997,3359,D,42993.00,41270.00
Ghand.Shirvan,20200712,43300.00,43354.00,40500.00,42993.00,207143189406,4818121,3068,D,41290.00,41800.00
Ghand.Shirvan,20200711,38920.00,43004.00,38910.00,41290.00,325818403955,7891001,4843,D,40957.00,42360.00
Ghand.Shirvan,20200708,43700.00,43700.00,40547.00,40957.00,226911372275,5540278,3882,D,42681.00,40547.00
Ghand.Shirvan,20200707,43000.00,43500.00,42442.00,42681.00,302615519031,7090166,4945,D,44675.00,43020.00
Ghand.Shirvan,20200706,44970.00,45415.00,43260.00,44675.00,339237634622,7593438,5198,D,43253.00,43401.00
Ghand.Shirvan,20200705,41290.00,43653.00,40000.00,43253.00,233771920825,5404775,3873,D,41575.00,43653.00
Ghand.Shirvan,20200704,43499.00,43499.00,41290.00,41575.00,317118907755,7627593,5424,D,43463.00,41290.00
Ghand.Shirvan,20200701,45300.00,45300.00,42156.00,43463.00,266532397538,6132447,5005,D,43232.00,43220.00
Ghand.Shirvan,20200630,43250.00,43346.00,41700.00,43232.00,119494865829,2764009,2539,D,41282.00,43346.00
Ghand.Shirvan,20200629,41500.00,42704.00,40920.00,41282.00,271159042122,6568504,4697,D,43073.00,41420.00
Ghand.Shirvan,20200628,45350.00,45350.00,42631.00,43073.00,337992834099,7846925,4583,D,44874.00,42631.00
Ghand.Shirvan,20200627,46200.00,46490.00,44264.00,44874.00,396937027565,8845672,5198,D,46593.00,44264.00
Ghand.Shirvan,20200624,46493.00,47503.00,46493.00,46593.00,182568424343,3918341,2124,D,48940.00,46493.00
Ghand.Shirvan,20200623,51400.00,51499.00,47206.00,48940.00,360301241456,7362052,5659,D,49690.00,47206.00
Ghand.Shirvan,20200622,49500.00,50477.00,48150.00,49690.00,489221706192,9845543,5563,D,48074.00,50477.00
Ghand.Shirvan,20200621,48113.00,48113.00,47000.00,48074.00,342024924042,7114497,2972,D,45822.00,48113.00
Ghand.Shirvan,20200620,43560.00,45993.00,43560.00,45822.00,167184911455,3648548,2054,D,43803.00,45993.00
Ghand.Shirvan,20200616,44400.00,45600.00,42750.00,43803.00,269822725939,6159954,5414,D,44464.00,44402.00
Ghand.Shirvan,20200615,45799.00,46810.00,42909.00,44464.00,304540490437,6849167,4247,D,45167.00,44000.00
Ghand.Shirvan,20200614,47600.00,47600.00,44666.00,45167.00,318138599723,7043584,4719,D,47016.00,45238.00
Ghand.Shirvan,20200613,46250.00,47136.00,45739.00,47016.00,267631697357,5692407,3345,D,44892.00,47136.00
Ghand.Shirvan,20200610,44149.00,45440.00,43222.00,44892.00,264251576569,5886438,3775,D,43277.00,45440.00
Ghand.Shirvan,20200609,44000.00,45700.00,42053.00,43277.00,129970664221,3003256,2803,D,44056.00,43387.00
Ghand.Shirvan,20200608,45690.00,45690.00,43396.00,44056.00,242368329980,5501418,3683,D,45680.00,43396.00
Ghand.Shirvan,20200607,45722.00,45722.00,45230.00,45680.00,129637273396,2837926,1716,D,43545.00,45250.00
Ghand.Shirvan,20200606,43773.00,44641.00,42000.00,43545.00,181459710441,4167220,3145,D,42516.00,44641.00
Ghand.Shirvan,20200602,42516.00,42516.00,42512.00,42516.00,148274569385,3487501,1602,D,40492.00,42516.00
Ghand.Shirvan,20200601,39680.00,41898.00,38600.00,40492.00,112225470563,2771554,2046,D,40486.00,41295.00
Ghand.Shirvan,20200531,43400.00,43400.00,39680.00,40486.00,100187526473,2474611,2005,D,41768.00,40093.00
Ghand.Shirvan,20200530,42094.00,42094.00,40100.00,41768.00,94358550864,2259123,2106,D,40090.00,42094.00
Ghand.Shirvan,20200527,39590.00,41804.00,39590.00,40090.00,114670425796,2860352,2792,D,41673.00,39590.00
Ghand.Shirvan,20200526,41180.00,42064.00,41154.00,41673.00,36646033392,888141,759,D,43320.00,41154.00
Ghand.Shirvan,20200523,45309.00,45309.00,42782.00,43320.00,196980944637,4547130,3527,D,45033.00,42786.00
Ghand.Shirvan,20200520,45715.00,45715.00,42600.00,45033.00,386877092267,8591035,6786,D,43539.00,45715.00
Ghand.Shirvan,20200519,43539.00,43539.00,43539.00,43539.00,75971941263,1744917,1022,D,41466.00,43539.00
Ghand.Shirvan,20200518,41466.00,41466.00,41466.00,41466.00,70788350172,1707142,754,D,39492.00,41466.00
Ghand.Shirvan,20200517,38171.00,40062.00,37300.00,39492.00,114094922564,2889061,2092,D,38155.00,40062.00
Ghand.Shirvan,20200516,40800.00,40800.00,37501.00,38155.00,184963457145,4847695,3579,D,39474.00,37502.00
Ghand.Shirvan,20200513,37000.00,40528.00,37000.00,39474.00,281124948519,7121730,5210,D,38599.00,38258.00
Ghand.Shirvan,20200512,40000.00,41700.00,38148.00,38599.00,203418077320,5269983,3476,D,40155.00,38148.00
Ghand.Shirvan,20200511,41000.00,41600.00,39685.00,40155.00,294678895446,7338541,5948,D,41773.00,39686.00
Ghand.Shirvan,20200510,42366.00,44916.00,41094.00,41773.00,322767806417,7726662,7272,D,43256.00,41281.00
