<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Glucosan,20200722,10910.00,11000.00,10570.00,10600.00,832367644600,78488343,16479,D,11120.00,10570.00
Glucosan,20200721,11400.00,12050.00,10910.00,11120.00,2140333191580,192465635,38573,D,11480.00,10910.00
Glucosan,20200720,11500.00,11500.00,11200.00,11480.00,3095270973760,269603357,36079,D,10960.00,11460.00
Glucosan,20200719,10960.00,10960.00,10960.00,10960.00,353949396880,32294653,5111,D,10440.00,10960.00
Glucosan,20200718,9950.00,10510.00,9950.00,10440.00,1223832898890,117174413,18205,D,10010.00,10510.00
Glucosan,20200715,10440.00,10440.00,9930.00,10010.00,2056865428280,205441408,40349,D,10450.00,9930.00
Glucosan,20200714,10620.00,10750.00,9730.00,10450.00,3538400387210,338466632,49125,D,10240.00,10150.00
Glucosan,20200713,10330.00,10400.00,10210.00,10240.00,1289833782890,126011193,22037,D,10740.00,10210.00
Glucosan,20200712,10670.00,10920.00,10010.00,10740.00,2126337213370,197961902,35036,D,10400.00,10300.00
Glucosan,20200711,10360.00,11440.00,10360.00,10400.00,2336037958360,224709664,33735,D,10900.00,10360.00
Glucosan,20200708,11260.00,11290.00,10230.00,10900.00,3729094113570,342212658,63259,D,10760.00,10230.00
Glucosan,20200707,10800.00,10840.00,10400.00,10760.00,2626285025380,244068832,35511,D,10330.00,10840.00
Glucosan,20200706,10330.00,10330.00,10330.00,10330.00,855793209260,82845422,10206,D,9840.00,10330.00
Glucosan,20200705,9850.00,9870.00,9600.00,9840.00,1491446389440,151535313,19841,D,9400.00,9870.00
Glucosan,20200704,9600.00,9600.00,8700.00,9400.00,2902310348060,308754254,47017,D,9150.00,9600.00
Glucosan,20200701,9020.00,9200.00,8810.00,9150.00,2541637972910,277632538,37655,D,8770.00,9200.00
Glucosan,20200630,8540.00,8790.00,8540.00,8770.00,1753309459500,199942273,32187,D,8380.00,8790.00
Glucosan,20200629,8420.00,8600.00,8330.00,8380.00,1321804535600,157772426,29057,D,8760.00,8400.00
Glucosan,20200628,9060.00,9060.00,8270.00,8760.00,1702086761700,194372577,31125,D,8630.00,8550.00
Glucosan,20200627,8410.00,8670.00,8410.00,8630.00,609713616500,70657981,10078,D,8260.00,8670.00
Glucosan,20200624,8230.00,9090.00,8230.00,8260.00,1107676321680,134022194,24888,D,8660.00,8250.00
Glucosan,20200623,8720.00,8990.00,8260.00,8660.00,1920969505040,221695294,42905,D,8680.00,8280.00
Glucosan,20200622,9000.00,9000.00,8530.00,8680.00,1903010134240,219256190,43863,D,8970.00,8590.00
Glucosan,20200621,9000.00,9000.00,8700.00,8970.00,1857821205940,207198276,31493,D,8580.00,8990.00
Glucosan,20200620,8590.00,8590.00,8300.00,8580.00,1358716208460,158343513,22268,D,8190.00,8590.00
Glucosan,20200616,8070.00,8240.00,7900.00,8190.00,1484749380120,181312967,25006,D,7850.00,8240.00
Glucosan,20200615,7880.00,8050.00,7600.00,7850.00,992271626020,126454563,25165,D,7790.00,7900.00
Glucosan,20200614,8220.00,8420.00,7620.00,7790.00,990752652800,127142735,24798,D,8020.00,7810.00
Glucosan,20200613,8060.00,8100.00,7800.00,8020.00,1004110254240,125241789,26800,D,7761.00,8100.00
Glucosan,20200610,7700.00,7945.00,7641.00,7761.00,829581668876,106890414,24133,D,7689.00,7748.00
Glucosan,20200609,7830.00,7990.00,7619.00,7689.00,726944859297,94539623,19123,D,8019.00,7643.00
Glucosan,20200608,8725.00,8725.00,7895.00,8019.00,744841038479,92881885,20841,D,8310.00,7895.00
Glucosan,20200607,8300.00,8323.00,8101.00,8310.00,977942960244,117676270,19823,D,7927.00,8190.00
Glucosan,20200606,7997.00,8060.00,7700.00,7927.00,912625907848,115130497,24246,D,7677.00,8060.00
Glucosan,20200602,7450.00,7800.00,7450.00,7677.00,763561748275,99459553,19947,D,7432.00,7700.00
