<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Hafez.Tile,20200722,14590.00,15200.00,14570.00,14630.00,121921413580,8333777,3409,D,15330.00,14570.00
Hafez.Tile,20200721,15400.00,15990.00,15260.00,15330.00,109646412730,7152204,2917,D,16060.00,15260.00
Hafez.Tile,20200720,16720.00,16720.00,15300.00,16060.00,155197156520,9660844,4617,D,16040.00,15390.00
Hafez.Tile,20200719,16040.00,16040.00,16040.00,16040.00,66530343080,4147777,1627,D,15280.00,16040.00
Hafez.Tile,20200718,15250.00,15310.00,15000.00,15280.00,69334886610,4539100,1454,D,14590.00,15310.00
Hafez.Tile,20200715,14250.00,15450.00,14250.00,14590.00,125221678620,8583182,4024,D,14980.00,14460.00
Hafez.Tile,20200714,14850.00,16000.00,14750.00,14980.00,130577500880,8716213,4333,D,15520.00,14750.00
Hafez.Tile,20200713,16400.00,16400.00,15350.00,15520.00,110101101390,7094680,3534,D,16150.00,15350.00
Hafez.Tile,20200712,16000.00,16450.00,15600.00,16150.00,151604754490,9385138,4334,D,15670.00,15670.00
Hafez.Tile,20200711,15460.00,16710.00,15460.00,15670.00,124088015930,7916967,3115,D,16270.00,16010.00
Hafez.Tile,20200708,16750.00,16750.00,16210.00,16270.00,127390087770,7827702,3662,D,17060.00,16210.00
Hafez.Tile,20200707,17980.00,17980.00,16970.00,17060.00,211922930870,12418842,5568,D,17860.00,16970.00
Hafez.Tile,20200706,17900.00,18030.00,17240.00,17860.00,293976501400,16455578,6677,D,17180.00,17720.00
Hafez.Tile,20200705,17200.00,17280.00,16600.00,17180.00,192047021960,11180684,3848,D,16460.00,17280.00
Hafez.Tile,20200704,17200.00,17200.00,16270.00,16460.00,173080765020,10515303,4884,D,17120.00,16280.00
Hafez.Tile,20200701,17450.00,17450.00,16720.00,17120.00,196633359800,11483554,5334,D,16640.00,16990.00
Hafez.Tile,20200630,15950.00,16720.00,15950.00,16640.00,96534485700,5799676,3066,D,15930.00,16720.00
Hafez.Tile,20200629,16100.00,16200.00,15900.00,15930.00,176096229250,11056042,4749,D,16730.00,15920.00
Hafez.Tile,20200628,17800.00,17800.00,16200.00,16730.00,201035115110,12018380,5119,D,17050.00,16330.00
Hafez.Tile,20200627,17040.00,17060.00,16800.00,17050.00,120658816220,7078323,2466,D,16250.00,17060.00
Hafez.Tile,20200624,16240.00,16510.00,16240.00,16250.00,109210900550,6721427,2687,D,17090.00,16240.00
Hafez.Tile,20200623,17850.00,17860.00,16620.00,17090.00,309022236140,18086919,8135,D,17490.00,16630.00
Hafez.Tile,20200622,17650.00,17750.00,17200.00,17490.00,217731304590,12452212,5990,D,17050.00,17580.00
Hafez.Tile,20200621,17280.00,17800.00,16570.00,17050.00,334692597470,19629829,8183,D,17440.00,17200.00
Hafez.Tile,20200620,18550.00,18550.00,17230.00,17440.00,372827128200,21383336,10038,D,18130.00,17230.00
Hafez.Tile,20200616,18100.00,18180.00,17500.00,18130.00,202327953180,11160701,3953,D,17320.00,18180.00
Hafez.Tile,20200615,16310.00,17590.00,16090.00,17320.00,351051917750,20269958,7043,D,16760.00,17590.00
Hafez.Tile,20200614,17750.00,17750.00,16630.00,16760.00,295550407090,17635914,6444,D,17500.00,16630.00
Hafez.Tile,20200613,17500.00,17500.00,17500.00,17500.00,98511840000,5629248,2044,D,16675.00,17500.00
Hafez.Tile,20200610,16675.00,16675.00,16675.00,16675.00,56274106325,3374759,1244,D,15881.00,16675.00
Hafez.Tile,20200609,15500.00,16275.00,14726.00,15881.00,129260155274,8139482,2686,D,15874.00,16275.00
Hafez.Tile,20200526,15441.00,15896.00,15441.00,15874.00,21561519021,1396381,441,D,16239.00,15441.00
Hafez.Tile,20200523,15896.00,15896.00,15896.00,16253.00,27235681832,1713367,814,D,16732.00,15896.00
Hafez.Tile,20200520,17600.00,17600.00,16525.00,16732.00,60466783976,3613858,1800,D,17394.00,16525.00
Hafez.Tile,20200519,17495.00,17603.00,16675.00,17394.00,233458792819,13421475,5962,D,16765.00,17280.00
Hafez.Tile,20200518,16433.00,17965.00,16433.00,16765.00,445042864477,26546311,10800,D,17297.00,16548.00
Hafez.Tile,20200517,16843.00,16843.00,16843.00,17297.00,22796259408,1353456,618,D,17729.00,16843.00
Hafez.Tile,20200516,17119.00,17119.00,17119.00,17729.00,15306337566,894114,510,D,18019.00,17119.00
Hafez.Tile,20200513,18019.00,18019.00,18019.00,18019.00,99867532574,5542346,2260,D,18967.00,18019.00
Hafez.Tile,20200512,18493.00,18493.00,18493.00,18967.00,24985503947,1351079,617,D,19466.00,18493.00
Hafez.Tile,20200511,19466.00,19466.00,19466.00,19466.00,62035416760,3186860,1524,D,20490.00,19466.00
Hafez.Tile,20200510,21790.00,21790.00,19724.00,20490.00,324858575102,15854310,8395,D,20762.00,19724.00
Hafez.Tile,20200509,19929.00,20925.00,19929.00,20762.00,199664045204,9616902,3360,D,18980.00,20925.00
Hafez.Tile,20200504,19600.00,19640.00,17800.00,18980.00,482861224818,25440586,10040,D,18705.00,19640.00
Hafez.Tile,20200503,18705.00,18705.00,18705.00,18705.00,118146859125,6316325,2283,D,17815.00,18705.00
Hafez.Tile,20200502,17889.00,17889.00,17038.00,17815.00,220385464323,12370786,5123,D,17038.00,17889.00
Hafez.Tile,20200429,17038.00,17038.00,17038.00,17038.00,111584451776,6549152,2507,D,16227.00,17038.00
Hafez.Tile,20200428,16227.00,16227.00,16227.00,16227.00,104112448227,6416001,1567,D,15455.00,16227.00
Hafez.Tile,20200427,15533.00,15536.00,14798.00,15455.00,235413405074,15232366,4551,D,14797.00,15536.00
Hafez.Tile,20200426,15080.00,15080.00,14000.00,14797.00,428424155922,28953068,9292,D,14362.00,15080.00
Hafez.Tile,20200425,14362.00,14362.00,14362.00,14362.00,53523942550,3726775,1331,D,13679.00,14362.00
Hafez.Tile,20200422,13440.00,13831.00,13200.00,13679.00,203764229406,14896204,5672,D,13173.00,13831.00
Hafez.Tile,20200421,13640.00,13640.00,13001.00,13173.00,156573001997,11885655,5607,D,13588.00,13126.00
Hafez.Tile,20200420,13500.00,14220.00,13250.00,13588.00,168455472179,12397537,5174,D,13811.00,13440.00
Hafez.Tile,20200419,14266.00,14266.00,12908.00,13811.00,310891869757,22510412,8702,D,13587.00,13130.00
Hafez.Tile,20200418,13587.00,13587.00,13587.00,13587.00,55958575806,4118538,1433,D,12940.00,13587.00
Hafez.Tile,20200415,12350.00,13025.00,12350.00,12940.00,49490636201,3824535,1879,D,12405.00,13025.00
Hafez.Tile,20200414,12352.00,12925.00,12348.00,12405.00,174201610037,14042292,6063,D,12997.00,12348.00
Hafez.Tile,20200413,13594.00,13594.00,12910.00,12997.00,173467851183,13346542,5722,D,13589.00,12926.00
Hafez.Tile,20200412,14000.00,14000.00,13432.00,13589.00,257255878486,18930640,7850,D,14138.00,13545.00
Hafez.Tile,20200411,14500.00,14500.00,13500.00,14138.00,209333076340,14806201,6114,D,14018.00,13940.00
Hafez.Tile,20200408,14018.00,14018.00,14018.00,14018.00,52855233468,3770526,1583,D,13351.00,14018.00
Hafez.Tile,20200407,12900.00,13430.00,12900.00,13351.00,93246009617,6983986,2531,D,12791.00,13430.00
Hafez.Tile,20200406,12779.00,13300.00,12779.00,12791.00,101644235478,7946330,3213,D,13451.00,12779.00
Hafez.Tile,20200405,14240.00,14240.00,13357.00,13451.00,149841653706,11140211,5360,D,14059.00,13357.00
Hafez.Tile,20200404,13800.00,14400.00,13800.00,14059.00,248925468656,17706062,8020,D,13743.00,13890.00
Hafez.Tile,20200330,14210.00,14248.00,13606.00,13743.00,255013065589,18555405,8232,D,14322.00,13800.00
Hafez.Tile,20200329,14588.00,14588.00,13936.00,14322.00,237375086395,16574124,6651,D,13894.00,14210.00
Hafez.Tile,20200328,13500.00,14104.00,13500.00,13894.00,323832751164,23306571,6509,D,13433.00,14104.00
Hafez.Tile,20200325,13212.00,13212.00,13212.00,13433.00,31331703096,2371458,1596,D,13907.00,13212.00
Hafez.Tile,20200324,14300.00,14500.00,13650.00,13907.00,61487153989,4421322,2044,D,14368.00,13650.00
