<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Hamkaran.System.Co,20200722,29810.00,32680.00,29720.00,31460.00,86067917630,2735852,833,D,31210.00,31600.00
Hamkaran.System.Co,20200721,32850.00,32850.00,31100.00,31210.00,139854672990,4481502,723,D,32730.00,31100.00
Hamkaran.System.Co,20200720,33950.00,34000.00,31140.00,32730.00,85031693000,2598038,1087,D,32770.00,32510.00
Hamkaran.System.Co,20200719,33690.00,33690.00,31500.00,32770.00,105680797800,3225109,1378,D,32180.00,32850.00
Hamkaran.System.Co,20200718,29340.00,32420.00,29340.00,32180.00,98307988800,3055098,1093,D,30880.00,32420.00
Hamkaran.System.Co,20200715,30730.00,31900.00,30730.00,30880.00,146697841400,4750005,1349,D,32340.00,31000.00
Hamkaran.System.Co,20200714,32270.00,33950.00,32270.00,32340.00,127710470710,3948423,1246,D,33960.00,32270.00
Hamkaran.System.Co,20200713,33970.00,37880.00,33960.00,33960.00,66109477820,1946579,597,D,35740.00,33960.00
Hamkaran.System.Co,20200712,37000.00,37880.00,34550.00,35740.00,408179323140,11421165,3450,D,36360.00,34550.00
Hamkaran.System.Co,20200711,35420.00,38890.00,35420.00,36360.00,208729539270,5741204,1968,D,37280.00,36530.00
Hamkaran.System.Co,20200708,37280.00,37280.00,36380.00,37280.00,242243972820,6497996,677,D,35510.00,37250.00
Hamkaran.System.Co,20200707,35510.00,35510.00,35510.00,35510.00,128427561090,3616659,417,D,33820.00,35510.00
Hamkaran.System.Co,20200704,35130.00,35130.00,35130.00,33820.00,11341088160,322832,39,D,33460.00,35130.00
Hamkaran.System.Co,20200701,33460.00,33460.00,33460.00,33460.00,68124693840,2036004,185,D,31870.00,33460.00
Hamkaran.System.Co,20200630,32000.00,32000.00,32000.00,31870.00,54790240000,1712195,295,D,30480.00,32000.00
Hamkaran.System.Co,20200629,30530.00,30530.00,29630.00,30480.00,495855335330,16266296,1545,D,29080.00,30530.00
Hamkaran.System.Co,20200628,29420.00,29420.00,29420.00,29080.00,41530684160,1411648,168,D,28020.00,29420.00
Hamkaran.System.Co,20200627,28030.00,28030.00,27500.00,28020.00,101433628920,3620372,481,D,26700.00,28030.00
