<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
HastiBakhshAgahETF,20200722,281330.00,286100.00,279400.00,281399.00,537873833540,1911428,3986,D,283571.00,280000.00
HastiBakhshAgahETF,20200721,279996.00,288397.00,275010.00,283571.00,914489957697,3224903,5990,D,292212.00,280800.00
HastiBakhshAgahETF,20200720,292330.00,297000.00,286602.00,292212.00,835417816662,2858948,7461,D,282930.00,289010.00
HastiBakhshAgahETF,20200719,272000.00,288900.00,272000.00,282930.00,688427940880,2433205,6236,D,266185.00,288500.00
HastiBakhshAgahETF,20200718,266990.00,271998.00,255010.00,266185.00,574689091044,2158986,6737,D,277227.00,261900.00
HastiBakhshAgahETF,20200715,276400.00,281540.00,273180.00,277227.00,700181379806,2525660,6204,D,287858.00,275960.00
HastiBakhshAgahETF,20200714,290800.00,296000.00,280512.00,287858.00,755289212026,2623825,6936,D,287444.00,280660.00
HastiBakhshAgahETF,20200713,284888.00,295000.00,278000.00,287444.00,792743514481,2757905,7419,D,295249.00,291050.00
HastiBakhshAgahETF,20200712,295000.00,298600.00,286001.00,295249.00,923286873360,3127142,7236,D,272367.00,290000.00
HastiBakhshAgahETF,20200711,262000.00,287727.00,252200.00,272367.00,945503556459,3471429,8358,D,282613.00,283500.00
HastiBakhshAgahETF,20200708,296101.00,296900.00,272800.00,282613.00,1077574745030,3812892,11207,D,297752.00,272850.00
HastiBakhshAgahETF,20200707,298800.00,309000.00,288000.00,297752.00,1266872443570,4254795,10104,D,296492.00,295605.00
HastiBakhshAgahETF,20200706,290450.00,299005.00,290450.00,296492.00,915845546065,3088939,8716,D,276553.00,296500.00
HastiBakhshAgahETF,20200705,267000.00,286500.00,261183.00,276553.00,1040387438578,3761978,8730,D,274290.00,286100.00
HastiBakhshAgahETF,20200704,285000.00,285000.00,260194.00,274290.00,1344028145513,4900032,12573,D,273880.00,268200.00
HastiBakhshAgahETF,20200701,271000.00,279000.00,270990.00,273880.00,1322997851995,4830571,8538,D,257405.00,278000.00
HastiBakhshAgahETF,20200630,244010.00,264990.00,244010.00,257405.00,833496048861,3238076,8615,D,236589.00,263999.00
HastiBakhshAgahETF,20200629,239400.00,244000.00,230111.00,236589.00,620026155456,2620689,7060,D,245114.00,242227.00
HastiBakhshAgahETF,20200628,255000.00,259500.00,235011.00,245114.00,735722459293,3001555,6621,D,248069.00,239000.00
HastiBakhshAgahETF,20200627,241202.00,250900.00,241202.00,248069.00,353771150141,1426098,3780,D,238282.00,250000.00
HastiBakhshAgahETF,20200624,229000.00,245000.00,220000.00,238282.00,362955569395,1523219,4374,D,241127.00,240199.00
HastiBakhshAgahETF,20200623,237490.00,245000.00,231100.00,241127.00,781687435398,3241803,8506,D,226181.00,234590.00
HastiBakhshAgahETF,20200622,218500.00,230000.00,217475.00,226181.00,582021321948,2573252,5544,D,213814.00,229888.00
HastiBakhshAgahETF,20200621,212200.00,217834.00,207020.00,213814.00,775552009709,3627230,5903,D,210369.00,216400.00
HastiBakhshAgahETF,20200620,208000.00,213280.00,206110.00,210369.00,438996272403,2086796,5386,D,203125.00,212280.00
HastiBakhshAgahETF,20200616,200000.00,207000.00,198900.00,203125.00,662503094137,3261557,5554,D,198893.00,205599.00
HastiBakhshAgahETF,20200615,198058.00,202495.00,195100.00,198893.00,621553812072,3125064,5531,D,197999.00,199000.00
HastiBakhshAgahETF,20200614,204000.00,205000.00,192233.00,197999.00,605214628147,3056653,6947,D,203174.00,197449.00
HastiBakhshAgahETF,20200613,202000.00,203901.00,202000.00,203174.00,548803599575,2701145,6043,D,193611.00,203699.00
HastiBakhshAgahETF,20200610,188353.00,195300.00,188352.00,193611.00,728705581247,3763760,6971,D,188022.00,195020.00
