<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Housing.Inv.,20200722,11740.00,12900.00,11740.00,11800.00,617482303090,52307604,7323,D,12350.00,11740.00
Housing.Inv.,20200721,12600.00,12600.00,12310.00,12350.00,110390492110,8936492,2193,D,12950.00,12310.00
Housing.Inv.,20200720,13260.00,13790.00,12600.00,12950.00,359468741080,27758030,6039,D,12880.00,12600.00
Housing.Inv.,20200719,13980.00,13980.00,12660.00,12880.00,834505299160,64793289,11303,D,13320.00,12660.00
Housing.Inv.,20200718,12530.00,13830.00,12530.00,13320.00,979080270810,73490822,10993,D,13180.00,13640.00
Housing.Inv.,20200715,13190.00,13190.00,12800.00,13180.00,343385176720,26045774,3701,D,12570.00,13190.00
Housing.Inv.,20200714,12570.00,12570.00,12570.00,12570.00,108165176820,8605026,1695,D,11980.00,12570.00
Housing.Inv.,20200713,11450.00,12200.00,11060.00,11980.00,539792860540,45045381,6357,D,11620.00,12200.00
Housing.Inv.,20200712,11660.00,11660.00,11200.00,11620.00,483672714200,41639654,5149,D,11110.00,11400.00
Housing.Inv.,20200711,10530.00,11630.00,10530.00,11110.00,550578486730,49567955,6507,D,11080.00,11620.00
Housing.Inv.,20200708,10950.00,11280.00,10400.00,11080.00,966498235770,87204098,8903,D,10750.00,10550.00
Housing.Inv.,20200707,11070.00,11250.00,10520.00,10750.00,640128565620,59561295,8629,D,11070.00,10910.00
Housing.Inv.,20200706,11330.00,11590.00,10600.00,11070.00,773121483180,69815159,10541,D,11140.00,11000.00
Housing.Inv.,20200705,10930.00,11700.00,10930.00,11140.00,553845387790,49726322,7587,D,11500.00,11140.00
Housing.Inv.,20200704,12060.00,12060.00,11320.00,11500.00,151896696820,13211037,2890,D,11910.00,11320.00
Housing.Inv.,20200701,11900.00,11970.00,11650.00,11910.00,449830636900,37777837,5820,D,11400.00,11840.00
Housing.Inv.,20200630,11380.00,11430.00,11070.00,11400.00,437163196310,38332577,5241,D,10890.00,11430.00
Housing.Inv.,20200629,10820.00,11380.00,10820.00,10890.00,351846862630,32307901,4423,D,11380.00,10820.00
Housing.Inv.,20200628,11900.00,11900.00,10780.00,11380.00,691872940150,60792214,7295,D,11340.00,10880.00
Housing.Inv.,20200627,11340.00,11340.00,11340.00,11340.00,180671987160,15932274,1671,D,10800.00,11340.00
Housing.Inv.,20200624,10300.00,10980.00,10120.00,10800.00,336769072710,31170901,3496,D,10460.00,10980.00
Housing.Inv.,20200623,10400.00,10470.00,10030.00,10460.00,719115015690,68779149,5768,D,9980.00,10100.00
Housing.Inv.,20200622,9760.00,10390.00,9590.00,9980.00,401777077710,40256854,6749,D,9990.00,10140.00
Housing.Inv.,20200621,10180.00,10400.00,9590.00,9990.00,374643461310,37511661,5895,D,10090.00,9700.00
Housing.Inv.,20200620,9980.00,10160.00,9700.00,10090.00,453251353270,44916052,5961,D,9680.00,10000.00
Housing.Inv.,20200616,9700.00,10090.00,9360.00,9680.00,313662134890,32401257,6251,D,9770.00,9690.00
Housing.Inv.,20200615,9710.00,10350.00,9430.00,9770.00,346697654430,35502961,6561,D,9920.00,9540.00
Housing.Inv.,20200614,10500.00,10500.00,9870.00,9920.00,428770905290,43219866,6147,D,10380.00,9870.00
Housing.Inv.,20200613,10410.00,10410.00,10000.00,10380.00,343901069910,33144006,4537,D,9923.00,10410.00
Housing.Inv.,20200610,9899.00,9955.00,9600.00,9923.00,92046066063,9276308,1659,D,9481.00,9955.00
Housing.Inv.,20200609,8955.00,9570.00,8955.00,9481.00,368137205871,38830759,5874,D,9115.00,9570.00
Housing.Inv.,20200608,8376.00,9256.00,8376.00,9115.00,386633861187,42416430,5996,D,8816.00,9000.00
Housing.Inv.,20200607,8845.00,8846.00,8619.00,8816.00,150161893472,17032579,2675,D,8425.00,8700.00
Housing.Inv.,20200606,8320.00,8464.00,8112.00,8425.00,187440060688,22248333,2850,D,8061.00,8464.00
Housing.Inv.,20200602,7950.00,8176.00,7860.00,8061.00,215108966358,26684912,4520,D,7787.00,8097.00
Housing.Inv.,20200601,7400.00,7850.00,7255.00,7787.00,326755959599,41961092,4246,D,7477.00,7850.00
Housing.Inv.,20200531,8000.00,8000.00,7357.00,7477.00,171483811140,22934341,3382,D,7744.00,7357.00
Housing.Inv.,20200530,7754.00,7754.00,7550.00,7744.00,148949653685,19234091,3092,D,7385.00,7754.00
Housing.Inv.,20200527,7380.00,7477.00,7005.00,7385.00,83897303390,11359906,1725,D,7121.00,7477.00
Housing.Inv.,20200526,7020.00,7416.00,6720.00,7121.00,288582000000,40524938,5495,D,7063.00,6722.00
Housing.Inv.,20200523,7175.00,7375.00,7007.00,7063.00,150380842568,21290015,2622,D,7375.00,7007.00
Housing.Inv.,20200520,7900.00,7900.00,7272.00,7375.00,259726206369,35217347,4074,D,7654.00,7369.00
Housing.Inv.,20200519,7675.00,7675.00,7472.00,7654.00,329806377582,43088435,4276,D,7310.00,7675.00
Housing.Inv.,20200518,7108.00,7717.00,7108.00,7310.00,782113077672,106997934,11173,D,7482.00,7540.00
Housing.Inv.,20200517,7244.00,7244.00,7244.00,7482.00,17434163776,2406704,371,D,7625.00,7244.00
Housing.Inv.,20200516,7410.00,7410.00,7410.00,7625.00,21296673450,2874045,395,D,7800.00,7410.00
Housing.Inv.,20200513,7800.00,7800.00,7800.00,7800.00,113522783400,14554203,1603,D,8210.00,7800.00
Housing.Inv.,20200512,7919.00,7919.00,7919.00,8210.00,14466357929,1826791,383,D,8335.00,7919.00
Housing.Inv.,20200511,8190.00,8190.00,8190.00,8335.00,33024160260,4032254,1075,D,8621.00,8190.00
Housing.Inv.,20200510,9319.00,9319.00,8455.00,8621.00,289053305358,33529932,4701,D,8900.00,8455.00
Housing.Inv.,20200509,8632.00,9063.00,8632.00,8900.00,120945010437,13589510,2153,D,8221.00,8997.00
Housing.Inv.,20200504,8600.00,8600.00,7831.00,8221.00,310082334979,37718277,5682,D,8243.00,8150.00
Housing.Inv.,20200503,8243.00,8243.00,8234.00,8243.00,302520809590,36700473,4521,D,7851.00,8243.00
Housing.Inv.,20200502,7855.00,7855.00,7777.00,7851.00,211731551989,26967646,3324,D,7481.00,7855.00
Housing.Inv.,20200429,7183.00,7543.00,7180.00,7481.00,267026706564,35694252,4198,D,7184.00,7543.00
Housing.Inv.,20200428,7599.00,7600.00,7036.00,7184.00,337486873214,46977600,5806,D,7406.00,7141.00
Housing.Inv.,20200427,7199.00,7458.00,7150.00,7406.00,364795477730,49259098,4632,D,7103.00,7450.00
Housing.Inv.,20200426,7141.00,7141.00,6902.00,7103.00,636768465061,89649392,6763,D,6801.00,6907.00
Housing.Inv.,20200425,6801.00,6801.00,6801.00,6801.00,60522160209,8899009,501,D,6478.00,6801.00
Housing.Inv.,20200422,6227.00,6581.00,6227.00,6478.00,382255613455,59009193,4276,D,6268.00,6581.00
Housing.Inv.,20200421,6346.00,6400.00,6181.00,6268.00,183258585267,29235093,3067,D,6264.00,6200.00
Housing.Inv.,20200420,5900.00,6353.00,5900.00,6264.00,167276305350,26704509,3098,D,6051.00,6345.00
Housing.Inv.,20200419,6120.00,6205.00,5615.00,6051.00,206337972540,34097710,4023,D,5910.00,5700.00
Housing.Inv.,20200418,5910.00,5910.00,5890.00,5910.00,101888016264,17240934,1982,D,5629.00,5910.00
