<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ind..&.M..L.,20200722,19600.00,20700.00,19110.00,19340.00,357593688670,18493594,4570,D,20110.00,19110.00
Ind..&.M..L.,20200721,18950.00,20810.00,18950.00,20110.00,692553273530,34429711,7754,D,19820.00,19160.00
Ind..&.M..L.,20200720,19840.00,19840.00,18280.00,19820.00,367652281020,18553627,3490,D,18900.00,19800.00
Ind..&.M..L.,20200719,18900.00,18900.00,18900.00,18900.00,59784064200,3163178,860,D,18000.00,18900.00
Ind..&.M..L.,20200718,18000.00,18000.00,18000.00,18000.00,63234216000,3513012,1188,D,17150.00,18000.00
Ind..&.M..L.,20200715,17150.00,17150.00,17000.00,17150.00,185255774170,10802406,2704,D,16340.00,17150.00
Ind..&.M..L.,20200714,16340.00,16340.00,16340.00,16340.00,110665983360,6772704,1553,D,15570.00,16340.00
Ind..&.M..L.,20200713,15610.00,15910.00,14750.00,15570.00,431974386270,27743824,5518,D,15160.00,15880.00
Ind..&.M..L.,20200712,14750.00,15380.00,14090.00,15160.00,302844919040,19980475,5161,D,14650.00,15000.00
Ind..&.M..L.,20200711,14610.00,15050.00,14610.00,14650.00,250297891590,17080937,3696,D,15370.00,14610.00
Ind..&.M..L.,20200708,15880.00,15880.00,15090.00,15370.00,113184261150,7365765,2233,D,15290.00,15090.00
Ind..&.M..L.,20200707,16000.00,16000.00,14930.00,15290.00,416159760190,27221378,7718,D,15710.00,15000.00
Ind..&.M..L.,20200706,15650.00,15760.00,15320.00,15710.00,466017590230,29662070,7132,D,15010.00,15760.00
Ind..&.M..L.,20200705,14050.00,15510.00,14050.00,15010.00,470650522730,31352859,8095,D,14780.00,15290.00
Ind..&.M..L.,20200704,15500.00,15500.00,14650.00,14780.00,156139839230,10563850,3396,D,15420.00,14650.00
Ind..&.M..L.,20200701,16290.00,16300.00,14990.00,15420.00,372631729580,24163925,6956,D,15630.00,15120.00
Ind..&.M..L.,20200630,15480.00,15660.00,15200.00,15630.00,308726296600,19754209,3882,D,14920.00,15660.00
Ind..&.M..L.,20200629,14890.00,15390.00,14890.00,14920.00,298998495570,20036961,3584,D,15670.00,14890.00
Ind..&.M..L.,20200628,16820.00,16820.00,15220.00,15670.00,439358856680,28038943,5140,D,16020.00,15220.00
Ind..&.M..L.,20200627,16020.00,16020.00,16020.00,16020.00,122966524260,7675813,1461,D,15260.00,16020.00
Ind..&.M..L.,20200624,14890.00,15630.00,14160.00,15260.00,230902552030,15126937,2985,D,14890.00,15630.00
Ind..&.M..L.,20200623,14940.00,14940.00,13720.00,14890.00,198825807450,13356207,2322,D,14230.00,14500.00
Ind..&.M..L.,20200622,14000.00,14870.00,13470.00,14230.00,508186733510,35715052,7026,D,14170.00,14870.00
Ind..&.M..L.,20200621,15000.00,15000.00,13650.00,14170.00,482207924100,34037562,7350,D,14360.00,13670.00
Ind..&.M..L.,20200615,14360.00,14360.00,14360.00,14360.00,60724821280,4228748,830,D,13680.00,14360.00
Ind..&.M..L.,20200614,13710.00,13710.00,13110.00,13680.00,522294116710,38167084,4936,D,13060.00,13710.00
Ind..&.M..L.,20200613,13190.00,13190.00,13190.00,13060.00,42001682020,3184358,582,D,12562.00,13190.00
Ind..&.M..L.,20200610,12500.00,12608.00,12230.00,12562.00,65222692959,5191879,1172,D,12008.00,12608.00
Ind..&.M..L.,20200609,11988.00,12246.00,11544.00,12008.00,136743825462,11387404,2902,D,11728.00,12089.00
Ind..&.M..L.,20200608,11811.00,11811.00,11249.00,11728.00,333789338719,28461856,4875,D,11249.00,11643.00
Ind..&.M..L.,20200607,11287.00,11287.00,11287.00,11249.00,51171375272,4533656,960,D,10750.00,11287.00
Ind..&.M..L.,20200606,10740.00,10761.00,10651.00,10750.00,87416935213,8131544,1492,D,10249.00,10761.00
Ind..&.M..L.,20200602,9999.00,10391.00,9800.00,10249.00,143595117311,14010729,2954,D,9897.00,10391.00
Ind..&.M..L.,20200601,10000.00,10388.00,9648.00,9897.00,108310855603,10943911,2362,D,10142.00,9900.00
Ind..&.M..L.,20200531,10790.00,10790.00,9912.00,10142.00,134180079438,13230216,2634,D,10433.00,10096.00
Ind..&.M..L.,20200530,10450.00,10475.00,10300.00,10433.00,83089095566,7964261,1645,D,9977.00,10475.00
Ind..&.M..L.,20200527,9970.00,10107.00,9381.00,9977.00,149576151722,14992453,2735,D,9626.00,10107.00
Ind..&.M..L.,20200526,9500.00,9976.00,9037.00,9626.00,196175000000,20379798,3750,D,9502.00,9390.00
Ind..&.M..L.,20200523,9470.00,9943.00,9008.00,9501.00,104089049313,10956159,1516,D,9968.00,9255.00
Ind..&.M..L.,20200518,9973.00,9973.00,9600.00,9968.00,144253161114,14472019,1912,D,9499.00,9973.00
Ind..&.M..L.,20200517,9462.00,9800.00,9462.00,9499.00,187455087114,19734660,3567,D,9960.00,9560.00
Ind..&.M..L.,20200516,10451.00,10490.00,9898.00,9960.00,110894498460,11133660,1683,D,10418.00,9898.00
Ind..&.M..L.,20200513,9832.00,10866.00,9832.00,10418.00,311571272513,29908194,4507,D,10349.00,9901.00
Ind..&.M..L.,20200512,10700.00,11198.00,10257.00,10349.00,454265629891,43895481,4603,D,10796.00,10257.00
Ind..&.M..L.,20200511,10800.00,11053.00,10775.00,10796.00,489725745515,45361699,6336,D,11342.00,10775.00
Ind..&.M..L.,20200510,12215.00,12215.00,11053.00,11342.00,242441034481,21376434,4448,D,11634.00,11053.00
Ind..&.M..L.,20200509,11301.00,11653.00,11301.00,11634.00,163494489708,14052844,1983,D,11099.00,11653.00
Ind..&.M..L.,20200506,11046.00,11479.00,11046.00,11099.00,458308334199,41294271,6300,D,11627.00,11046.00
Ind..&.M..L.,20200505,12040.00,12450.00,11433.00,11627.00,337297826588,29010414,4641,D,12034.00,11433.00
Ind..&.M..L.,20200504,12598.00,12598.00,11400.00,12034.00,610622121695,50739917,10169,D,11999.00,11550.00
Ind..&.M..L.,20200503,12046.00,12046.00,12046.00,11999.00,50114395592,4160252,810,D,11473.00,12046.00
Ind..&.M..L.,20200502,11576.00,11576.00,11576.00,11473.00,42705704584,3689159,796,D,11025.00,11576.00
Ind..&.M..L.,20200429,10800.00,11340.00,10316.00,11025.00,416558243354,37781968,7798,D,9030.00,11340.00
Ind..&.M..L.,20200428,9037.00,9037.00,8900.00,9030.00,63733811934,7058347,1033,D,8607.00,9037.00
Ind..&.M..L.,20200427,8624.00,8624.00,8235.00,8607.00,176700411526,20529795,1667,D,8214.00,8624.00
Ind..&.M..L.,20200426,8223.00,8223.00,8031.00,8214.00,261948340990,31889607,3000,D,7832.00,8223.00
Ind..&.M..L.,20200425,8027.00,8027.00,8027.00,7832.00,25680267372,3199236,304,D,7645.00,8027.00
Ind..&.M..L.,20200422,7817.00,7817.00,7817.00,7645.00,28805324503,3684959,312,D,7445.00,7817.00
Ind..&.M..L.,20200421,7646.00,7646.00,7646.00,7445.00,23531352538,3077603,275,D,7282.00,7646.00
Ind..&.M..L.,20200420,7282.00,7282.00,7282.00,7282.00,6075576496,834328,80,D,6936.00,7282.00
Ind..&.M..L.,20200418,7209.00,7209.00,7209.00,6936.00,10720489482,1487098,212,D,6866.00,7209.00
Ind..&.M..L.,20200415,6837.00,6890.00,6600.00,6866.00,49761773486,7247521,1293,D,6562.00,6890.00
Ind..&.M..L.,20200414,6422.00,6847.00,6338.00,6562.00,162410798916,24750711,3686,D,6671.00,6665.00
Ind..&.M..L.,20200413,6949.00,6949.00,6561.00,6671.00,158564022430,23768984,3515,D,6904.00,6740.00
Ind..&.M..L.,20200412,6850.00,7188.00,6700.00,6904.00,156498182072,22669155,3178,D,6528.00,6800.00
Ind..&.M..L.,20200411,6950.00,6950.00,6469.00,6528.00,188685226055,28904921,3401,D,6809.00,6650.00
Ind..&.M..L.,20200408,6800.00,6819.00,6630.00,6809.00,169897360358,24952276,4115,D,6495.00,6819.00
Ind..&.M..L.,20200407,6450.00,6521.00,6330.00,6495.00,113735510903,17510820,2346,D,6211.00,6521.00
Ind..&.M..L.,20200406,6250.00,6304.00,5800.00,6211.00,156279479207,25163261,3587,D,6004.00,6304.00
Ind..&.M..L.,20200405,6014.00,6014.00,5800.00,6004.00,220045311323,36648457,3810,D,5728.00,6014.00
Ind..&.M..L.,20200404,5750.00,5750.00,5681.00,5728.00,49968186228,8705089,855,D,5477.00,5750.00
Ind..&.M..L.,20200330,5350.00,5680.00,5232.00,5477.00,158598863150,28957865,5504,D,5427.00,5680.00
Ind..&.M..L.,20200329,5595.00,5595.00,5224.00,5427.00,192509013102,35475387,5226,D,5329.00,5380.00
Ind..&.M..L.,20200328,5329.00,5329.00,5300.00,5329.00,83016754142,15578978,887,D,5076.00,5329.00
Ind..&.M..L.,20200325,5010.00,5095.00,5000.00,5076.00,62142592014,12242961,1007,D,4853.00,5095.00
Ind..&.M..L.,20200324,5037.00,5039.00,4674.00,4853.00,82933238416,17087605,2275,D,4853.00,4916.00
Ind..&.M..L.,20200318,4628.00,4908.00,4628.00,4853.00,93055843276,19176084,2306,D,4675.00,4908.00
Ind..&.M..L.,20200317,4799.00,4850.00,4623.00,4675.00,42191378550,9061922,1200,D,4866.00,4623.00
Ind..&.M..L.,20200316,4700.00,4893.00,4700.00,4866.00,159962279106,32876370,2631,D,4660.00,4800.00
Ind..&.M..L.,20200315,4657.00,4800.00,4657.00,4660.00,163472675483,35078436,2212,D,4902.00,4657.00
Ind..&.M..L.,20200314,4869.00,5000.00,4763.00,4902.00,30895181352,6383722,702,D,5013.00,4763.00
Ind..&.M..L.,20200311,4970.00,5024.00,4860.00,5013.00,175525817905,35010708,3092,D,4785.00,4950.00
Ind..&.M..L.,20200310,4654.00,5100.00,4654.00,4785.00,204272483429,42689659,3763,D,4898.00,4726.00
Ind..&.M..L.,20200309,4900.00,5124.00,4871.00,4898.00,62892128152,12841551,1604,D,5127.00,4871.00
Ind..&.M..L.,20200307,5180.00,5180.00,4934.00,5127.00,207375448742,40450763,2779,D,4934.00,5180.00
Ind..&.M..L.,20200304,5084.00,5084.00,5084.00,4934.00,21498619288,4228682,417,D,4842.00,5084.00
Ind..&.M..L.,20200303,4967.00,4967.00,4967.00,4842.00,26196340459,5274077,389,D,4731.00,4967.00
Ind..&.M..L.,20200302,4881.00,4881.00,4881.00,4731.00,19289292234,3951914,305,D,4649.00,4881.00
Ind..&.M..L.,20200301,4620.00,4668.00,4500.00,4649.00,40790867113,8774469,829,D,4446.00,4668.00
Ind..&.M..L.,20200229,4400.00,4670.00,4255.00,4446.00,164903957143,37090664,3666,D,4478.00,4510.00
Ind..&.M..L.,20200226,4291.00,4489.00,4291.00,4478.00,243834025530,54455627,3002,D,4276.00,4489.00
Ind..&.M..L.,20200225,4150.00,4359.00,4120.00,4276.00,166490658431,38933929,4102,D,4189.00,4270.00
Ind..&.M..L.,20200224,4350.00,4350.00,4099.00,4189.00,128325201254,30635711,3471,D,4260.00,4150.00
Ind..&.M..L.,20200223,4148.00,4282.00,4081.00,4260.00,302508015472,71016839,4909,D,4079.00,4282.00
Ind..&.M..L.,20200222,4009.00,4189.00,4009.00,4079.00,209284739172,51312450,4886,D,4220.00,4075.00
Ind..&.M..L.,20200219,4150.00,4420.00,4053.00,4220.00,281931944421,66815849,6680,D,4266.00,4170.00
Ind..&.M..L.,20200218,4270.00,4300.00,4180.00,4266.00,108275867457,25379895,814,D,3825.00,4240.00
Ind..&.M..L.,20200215,4079.00,4079.00,3980.00,4075.00,482934188754,118508730,5543,D,3885.00,4079.00
Ind..&.M..L.,20200212,3888.00,3888.00,3718.00,3885.00,184399696649,47465263,1520,D,3703.00,3888.00
Ind..&.M..L.,20200210,3717.00,3717.00,3577.00,3703.00,722790254494,195176504,8891,D,3540.00,3717.00
Ind..&.M..L.,20200209,3440.00,3542.00,3409.00,3540.00,389767738471,110103281,3130,D,3374.00,3542.00
Ind..&.M..L.,20200208,3400.00,3420.00,3301.00,3374.00,61963667636,18364205,1866,D,3329.00,3385.00
Ind..&.M..L.,20200205,3280.00,3388.00,3280.00,3329.00,50227064298,15088722,2113,D,3351.00,3319.00
Ind..&.M..L.,20200204,3480.00,3495.00,3274.00,3351.00,58806182745,17551096,1917,D,3446.00,3286.00
Ind..&.M..L.,20200203,3487.00,3520.00,3405.00,3446.00,44332335232,12864918,1624,D,3387.00,3415.00
Ind..&.M..L.,20200202,3360.00,3440.00,3335.00,3387.00,52358420321,15458526,1870,D,3397.00,3380.00
Ind..&.M..L.,20200201,3449.00,3496.00,3300.00,3397.00,62308692659,18340911,1986,D,3396.00,3350.00
Ind..&.M..L.,20200128,3425.00,3487.00,3339.00,3396.00,53061378600,15626669,1783,D,3430.00,3342.00
Ind..&.M..L.,20200127,3495.00,3560.00,3300.00,3430.00,43296166489,12624552,1423,D,3467.00,3383.00
Ind..&.M..L.,20200126,3590.00,3601.00,3375.00,3467.00,71308343674,20569359,2315,D,3507.00,3420.00
Ind..&.M..L.,20200125,3490.00,3511.00,3450.00,3507.00,152349648403,43445739,2465,D,3344.00,3511.00
Ind..&.M..L.,20200122,3348.00,3400.00,3268.00,3344.00,64044547020,19149598,1796,D,3266.00,3391.00
Ind..&.M..L.,20200121,3230.00,3343.00,3181.00,3266.00,74889191678,22930087,2416,D,3184.00,3201.00
Ind..&.M..L.,20200120,3140.00,3213.00,3130.00,3184.00,47678020000,14971944,1595,D,3110.00,3194.00
Ind..&.M..L.,20200119,3130.00,3155.00,3011.00,3110.00,36459314803,11723765,1266,D,3167.00,3111.00
Ind..&.M..L.,20200118,3080.00,3194.00,3007.00,3167.00,60621785503,19139497,1699,D,3042.00,3133.00
Ind..&.M..L.,20200115,3021.00,3120.00,2981.00,3042.00,37411982532,12299826,1208,D,3125.00,3050.00
Ind..&.M..L.,20200114,3187.00,3187.00,2985.00,3125.00,46534215450,14892977,1103,D,3038.00,3050.00
Ind..&.M..L.,20200113,2990.00,3067.00,2900.00,3038.00,37964367805,12496788,1070,D,2921.00,3067.00
Ind..&.M..L.,20200112,2922.00,2922.00,2808.00,2921.00,37500713808,12838601,808,D,2783.00,2922.00
Ind..&.M..L.,20200111,2783.00,2783.00,2783.00,2783.00,7730186035,2777645,227,D,2729.00,2783.00
Ind..&.M..L.,20200108,2696.00,2696.00,2696.00,2729.00,845382024,313569,73,D,2751.00,2696.00
Ind..&.M..L.,20200107,2745.00,2866.00,2745.00,2751.00,31883724973,11589853,737,D,2889.00,2745.00
Ind..&.M..L.,20200105,2889.00,2889.00,2889.00,2889.00,7003479132,2424188,195,D,3041.00,2889.00
Ind..&.M..L.,20200104,2964.00,2964.00,2964.00,3041.00,1188978960,401140,88,D,3119.00,2964.00
Ind..&.M..L.,20200101,3134.00,3193.00,3013.00,3119.00,38192844631,12246173,1256,D,3074.00,3082.00
Ind..&.M..L.,20191231,3185.00,3185.00,2980.00,3074.00,43868806410,14273076,1680,D,3136.00,3120.00
Ind..&.M..L.,20191230,3279.00,3279.00,3082.00,3136.00,78296147899,24968220,2734,D,3229.00,3168.00
Ind..&.M..L.,20191229,3345.00,3345.00,3118.00,3229.00,51517789678,15954744,1862,D,3280.00,3241.00
Ind..&.M..L.,20191228,3270.00,3288.00,3206.00,3280.00,139085406083,42410300,3007,D,3132.00,3288.00
Ind..&.M..L.,20191225,3010.00,3137.00,3010.00,3132.00,125527190641,40080074,2119,D,2988.00,3137.00
Ind..&.M..L.,20191224,2979.00,3077.00,2867.00,2988.00,28063364510,9392174,1182,D,2970.00,2990.00
Ind..&.M..L.,20191223,3050.00,3169.00,2877.00,2970.00,77197851680,25994292,2325,D,3028.00,2934.00
Ind..&.M..L.,20191222,3090.00,3090.00,2932.00,3028.00,33170714391,10954726,1366,D,3075.00,3040.00
Ind..&.M..L.,20191221,3240.00,3240.00,3025.00,3075.00,65105772503,21169877,2395,D,3184.00,3025.00
Ind..&.M..L.,20191218,3170.00,3202.00,3129.00,3184.00,126582009574,39753043,3286,D,3050.00,3196.00
Ind..&.M..L.,20191217,3050.00,3051.00,3000.00,3050.00,163698762096,53662955,2043,D,2906.00,3051.00
Ind..&.M..L.,20191216,2850.00,2958.00,2771.00,2906.00,38705820286,13319322,1274,D,2818.00,2958.00
Ind..&.M..L.,20191215,2917.00,2940.00,2742.00,2818.00,30214746025,10723525,1160,D,2878.00,2850.00
Ind..&.M..L.,20191214,2801.00,2928.00,2748.00,2878.00,27166037064,9438260,1291,D,2821.00,2905.00
Ind..&.M..L.,20191211,2767.00,2895.00,2746.00,2821.00,18970437181,6723871,945,D,2841.00,2816.00
Ind..&.M..L.,20191210,2928.00,2928.00,2767.00,2841.00,40294489649,14182699,1609,D,2912.00,2772.00
Ind..&.M..L.,20191209,2950.00,2978.00,2860.00,2912.00,27626586360,9488492,1198,D,2886.00,2930.00
Ind..&.M..L.,20191208,2769.00,2990.00,2765.00,2886.00,39180543502,13573783,1596,D,2860.00,2909.00
Ind..&.M..L.,20191207,2935.00,2940.00,2782.00,2860.00,49668388968,17369589,2158,D,2867.00,2790.00
Ind..&.M..L.,20191204,2830.00,2870.00,2778.00,2867.00,70222244918,24496147,1470,D,2734.00,2870.00
Ind..&.M..L.,20191203,2735.00,2772.00,2600.00,2734.00,23593789172,8630349,1101,D,2640.00,2771.00
Ind..&.M..L.,20191202,2600.00,2672.00,2500.00,2640.00,37323337371,14139672,1310,D,2545.00,2672.00
Ind..&.M..L.,20191201,2570.00,2590.00,2520.00,2545.00,17012562065,6684398,833,D,2485.00,2589.00
Ind..&.M..L.,20191130,2499.00,2555.00,2443.00,2485.00,20255798035,8150241,920,D,2443.00,2546.00
Ind..&.M..L.,20191127,2523.00,2523.00,2350.00,2443.00,11279690507,4616890,676,D,2423.00,2490.00
Ind..&.M..L.,20191126,2420.00,2438.00,2350.00,2423.00,16969637070,7002874,837,D,2322.00,2438.00
Ind..&.M..L.,20191125,2309.00,2343.00,2240.00,2322.00,10930880926,4708022,669,D,2232.00,2343.00
Ind..&.M..L.,20191124,2234.00,2280.00,2135.00,2232.00,12990444380,5819067,544,D,2211.00,2261.00
Ind..&.M..L.,20191123,2264.00,2264.00,2151.00,2211.00,6929605976,3134562,414,D,2240.00,2192.00
Ind..&.M..L.,20191120,2189.00,2268.00,2174.00,2240.00,6833639623,3050851,439,D,2169.00,2242.00
Ind..&.M..L.,20191119,2157.00,2178.00,2117.00,2169.00,6634575862,3058260,387,D,2075.00,2171.00
Ind..&.M..L.,20191118,2006.00,2135.00,2006.00,2075.00,4768941691,2298371,279,D,2099.00,2092.00
