<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Inf..Services,20200722,43500.00,44400.00,42690.00,42850.00,541975352270,12648444,5499,D,44930.00,43060.00
Inf..Services,20200721,45100.00,45500.00,44860.00,44930.00,581046707420,12932248,5856,D,47220.00,44860.00
Inf..Services,20200720,47800.00,47970.00,45500.00,47220.00,1126384907080,23854849,11082,D,45690.00,45550.00
Inf..Services,20200719,45690.00,45690.00,45690.00,45690.00,146282109180,3201622,1486,D,43520.00,45690.00
Inf..Services,20200718,43600.00,44000.00,40030.00,43520.00,267391702890,6144740,3245,D,41910.00,44000.00
Inf..Services,20200715,41170.00,44440.00,41160.00,41910.00,1072995730950,25603611,9690,D,43320.00,42680.00
Inf..Services,20200714,44690.00,45030.00,42810.00,43320.00,644168533790,14871405,6316,D,45060.00,42810.00
Inf..Services,20200713,45100.00,48110.00,44900.00,45060.00,942620247720,20918859,7620,D,47390.00,45030.00
Inf..Services,20200712,45820.00,48110.00,44900.00,47390.00,1178466402850,24865676,10573,D,45820.00,45000.00
Inf..Services,20200711,45820.00,45820.00,45820.00,45820.00,181199955280,3954604,1936,D,48230.00,45820.00
Inf..Services,20200708,49200.00,49230.00,48110.00,48230.00,247219823400,5126302,2670,D,50640.00,48110.00
Inf..Services,20200707,53770.00,53770.00,49160.00,50640.00,905184042270,17874720,11014,D,51740.00,49230.00
Inf..Services,20200706,51740.00,51740.00,51740.00,51740.00,533801166080,10316992,3893,D,49280.00,51740.00
Inf..Services,20200705,48060.00,51230.00,48060.00,49280.00,980009394640,19886437,9736,D,50580.00,49350.00
Inf..Services,20200704,54000.00,54000.00,49780.00,50580.00,1287642989540,25459908,10680,D,52390.00,49780.00
Inf..Services,20200701,52440.00,52440.00,51150.00,52390.00,1261372851050,24075199,7653,D,49950.00,52440.00
Inf..Services,20200630,49010.00,50120.00,49010.00,49950.00,483784173520,9684626,5123,D,47740.00,50120.00
Inf..Services,20200629,48000.00,49600.00,47470.00,47740.00,969633660740,20311737,8195,D,49960.00,47500.00
Inf..Services,20200628,51500.00,51500.00,46600.00,49960.00,1279964441960,25620398,9144,D,49050.00,49000.00
Inf..Services,20200627,46800.00,49580.00,46640.00,49050.00,996881856540,20322228,7992,D,47220.00,49580.00
Inf..Services,20200624,47160.00,49550.00,46600.00,47220.00,745796202400,15792969,7127,D,49050.00,46600.00
Inf..Services,20200623,47200.00,49500.00,46000.00,49050.00,1334575228600,27206540,11450,D,47150.00,47160.00
Inf..Services,20200622,46440.00,48880.00,46440.00,47150.00,1395946589530,29608707,16916,D,48880.00,46670.00
Inf..Services,20200621,49570.00,49570.00,46500.00,48880.00,1520398186150,31106641,13126,D,47210.00,47240.00
Inf..Services,20200620,46500.00,47490.00,45550.00,47210.00,690049013880,14616251,5474,D,45230.00,47490.00
Inf..Services,20200616,45370.00,45450.00,44000.00,45230.00,406977026980,8998647,3766,D,43290.00,45450.00
Inf..Services,20200615,43300.00,43400.00,42590.00,43290.00,332057681690,7671265,2674,D,41340.00,43400.00
Inf..Services,20200614,42590.00,42590.00,38610.00,41340.00,1475843352030,35699724,14857,D,40570.00,42590.00
Inf..Services,20200613,40570.00,40570.00,40570.00,40570.00,163050992280,4019004,1787,D,38646.00,40570.00
Inf..Services,20200610,38800.00,38895.00,37511.00,38646.00,402585048745,10417116,4828,D,37043.00,38895.00
Inf..Services,20200609,0.00,37750.00,35800.00,37043.00,391600826219,10571391,3941,D,35587.00,37450.00
Inf..Services,20200606,37000.00,37116.00,36000.00,36937.00,636863215826,17241844,8970,D,35349.00,37116.00
Inf..Services,20200602,34600.00,35529.00,34001.00,35349.00,692238306382,19583052,6195,D,33838.00,35529.00
Inf..Services,20200601,34687.00,34700.00,33170.00,33838.00,348536871225,10300108,5221,D,33808.00,33755.00
Inf..Services,20200531,36500.00,36500.00,33121.00,33808.00,631860550598,18689558,7832,D,34864.00,33490.00
Inf..Services,20200530,34994.00,35496.00,34200.00,34864.00,667699255842,19151304,8689,D,33806.00,35496.00
Inf..Services,20200527,33704.00,34900.00,33704.00,33806.00,1396696625658,41314511,11690,D,35477.00,34300.00
Inf..Services,20200526,34435.00,35650.00,34435.00,35477.00,38983174800,1132080,575,D,36179.00,34435.00
Inf..Services,20200523,35650.00,35650.00,35650.00,36247.00,64747137850,1816189,1064,D,37526.00,35650.00
Inf..Services,20200520,38800.00,38880.00,37449.00,37526.00,312904690669,8338347,3948,D,39420.00,37449.00
Inf..Services,20200519,39800.00,39951.00,38074.00,39420.00,1154257950351,29280709,13632,D,38049.00,38899.00
Inf..Services,20200518,38074.00,38074.00,37100.00,38049.00,963793314726,25330495,6663,D,36261.00,38074.00
Inf..Services,20200517,36838.00,37900.00,34302.00,36261.00,2105521716624,58066023,16593,D,36107.00,36600.00
Inf..Services,20200516,36100.00,36177.00,35000.00,36107.00,1797322536913,49777496,11213,D,34455.00,36177.00
Inf..Services,20200513,33960.00,37345.00,33960.00,34455.00,3450814648833,100154220,20420,D,35747.00,34399.00
Inf..Services,20200512,35747.00,35747.00,35747.00,35747.00,126903351374,3550042,1486,D,37628.00,35747.00
Inf..Services,20200511,37628.00,37628.00,37628.00,37628.00,211602600748,5623541,2405,D,39608.00,37628.00
