<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Int..Const.,20200722,8010.00,8330.00,7790.00,8030.00,1023861824240,127439281,26910,D,8200.00,8110.00
Int..Const.,20200721,8340.00,8350.00,8170.00,8200.00,759686183880,92591040,18783,D,8590.00,8170.00
Int..Const.,20200720,8660.00,9000.00,8360.00,8590.00,1374338774740,160008079,35683,D,8800.00,8360.00
Int..Const.,20200719,9300.00,9300.00,8470.00,8800.00,1277719894890,145277659,31254,D,8910.00,8510.00
Int..Const.,20200718,8700.00,9090.00,8300.00,8910.00,1055409997450,118423467,22661,D,8660.00,9090.00
Int..Const.,20200715,8680.00,9110.00,8390.00,8660.00,347414981160,40111929,5519,D,7900.00,8580.00
Int..Const.,20200708,11550.00,12310.00,11150.00,11350.00,1598431930340,140885091,31065,D,11730.00,11150.00
Int..Const.,20200707,12000.00,12290.00,11410.00,11730.00,1910896143030,162862957,38800,D,12010.00,11430.00
Int..Const.,20200706,12000.00,12060.00,11720.00,12010.00,1473460640350,122652408,25552,D,11490.00,12060.00
Int..Const.,20200705,11100.00,11820.00,11060.00,11490.00,1322967599680,115168595,20257,D,11260.00,11820.00
Int..Const.,20200704,11900.00,12090.00,10950.00,11260.00,2458803304830,218312747,42941,D,11520.00,10970.00
Int..Const.,20200701,11520.00,11520.00,11520.00,11520.00,193718108160,16815808,3084,D,10980.00,11520.00
Int..Const.,20200630,10980.00,10980.00,10980.00,10980.00,342614572740,31203513,5114,D,10460.00,10980.00
Int..Const.,20200629,10460.00,10890.00,9920.00,10460.00,1163253954460,111192568,17156,D,10380.00,10890.00
Int..Const.,20200628,10470.00,10470.00,9800.00,10380.00,1564116391820,150622082,16951,D,9980.00,10470.00
Int..Const.,20200627,9980.00,9980.00,9980.00,9980.00,156713564760,15702762,3053,D,9510.00,9980.00
Int..Const.,20200624,8870.00,9750.00,8870.00,9510.00,1033758119320,108752612,15015,D,9290.00,9750.00
Int..Const.,20200623,9200.00,9420.00,8840.00,9290.00,1044763903150,112463963,15342,D,8980.00,8900.00
Int..Const.,20200622,8780.00,9180.00,8500.00,8980.00,1165747148550,129880783,20357,D,8840.00,9090.00
Int..Const.,20200621,9290.00,9290.00,8680.00,8840.00,1239806734060,140190644,23795,D,9130.00,8750.00
Int..Const.,20200620,9140.00,9140.00,8880.00,9130.00,431524107090,47273728,7173,D,8710.00,9140.00
Int..Const.,20200616,8550.00,8860.00,8260.00,8710.00,681461547120,78248900,12266,D,8440.00,8860.00
Int..Const.,20200615,8620.00,8890.00,8190.00,8440.00,1121529180080,132869166,22732,D,8620.00,8340.00
Int..Const.,20200614,8900.00,8900.00,8580.00,8620.00,1229351896710,142663770,19549,D,9030.00,8580.00
Int..Const.,20200613,9330.00,9430.00,8670.00,9030.00,1326187085700,146835077,30598,D,9101.00,8820.00
Int..Const.,20200610,9199.00,9280.00,8600.00,9101.00,1371080904298,150655418,25216,D,8839.00,9100.00
Int..Const.,20200609,8855.00,8855.00,8600.00,8839.00,441508406212,49951385,5718,D,8434.00,8855.00
Int..Const.,20200608,7646.00,8450.00,7646.00,8434.00,1175330964797,139348501,15027,D,8048.00,8450.00
Int..Const.,20200607,7900.00,8090.00,7884.00,8048.00,225435891071,28010068,3453,D,7705.00,8090.00
Int..Const.,20200606,7678.00,7850.00,7530.00,7705.00,681900523810,88506166,14362,D,7509.00,7809.00
Int..Const.,20200602,7480.00,7698.00,7400.00,7509.00,674416210763,89810687,14387,D,7467.00,7505.00
Int..Const.,20200601,7500.00,7800.00,7197.00,7467.00,408381101835,54690999,9345,D,7534.00,7350.00
Int..Const.,20200531,7885.00,7885.00,7135.00,7534.00,813327745798,107951882,14552,D,7510.00,7404.00
Int..Const.,20200530,7510.00,7510.00,7510.00,7510.00,74004906820,9854182,1552,D,7153.00,7510.00
Int..Const.,20200527,6710.00,7243.00,6710.00,7153.00,521498277546,72901960,9905,D,6899.00,7243.00
Int..Const.,20200526,7000.00,7300.00,6646.00,6899.00,584342000000,84696904,14681,D,6995.00,6646.00
Int..Const.,20200523,7236.00,7236.00,6875.00,6995.00,528540901982,75565058,12439,D,7616.00,6960.00
Int..Const.,20200520,8001.00,8100.00,7332.00,7616.00,664194030183,87204643,14343,D,7717.00,7422.00
Int..Const.,20200519,7719.00,7719.00,7550.00,7717.00,377048602140,48860947,6322,D,7352.00,7719.00
Int..Const.,20200518,7366.00,7366.00,7100.00,7352.00,483582423014,65780016,7165,D,7016.00,7366.00
Int..Const.,20200517,6948.00,7300.00,6948.00,7016.00,860162371635,122599982,15924,D,7313.00,7074.00
Int..Const.,20200516,7651.00,7700.00,7124.00,7313.00,265844536277,36352106,6071,D,7498.00,7124.00
Int..Const.,20200513,7280.00,7998.00,7276.00,7498.00,1320467964293,176108214,24151,D,7658.00,7276.00
Int..Const.,20200512,8036.00,8036.00,7635.00,7658.00,463073639623,60467452,5928,D,8458.00,7635.00
Int..Const.,20200511,8650.00,8820.00,8379.00,8458.00,219518743865,25953165,5584,D,8820.00,8379.00
Int..Const.,20200510,9398.00,9398.00,8504.00,8820.00,1351761467312,153254133,24824,D,8951.00,8565.00
Int..Const.,20200509,8790.00,8977.00,8610.00,8951.00,1224898955356,136842230,16336,D,8550.00,8977.00
Int..Const.,20200506,8525.00,8920.00,8099.00,8550.00,1064750915284,124534161,18403,D,8973.00,8478.00
Int..Const.,20200503,8983.00,8983.00,8647.00,8973.00,1052404237665,117280055,14787,D,8556.00,8720.00
Int..Const.,20200502,8556.00,8556.00,8530.00,8556.00,1051867561664,122939789,11908,D,8149.00,8556.00
Int..Const.,20200429,7931.00,8159.00,7931.00,8149.00,913117154238,112052601,11312,D,7771.00,8159.00
Int..Const.,20200428,8006.00,8050.00,7665.00,7771.00,1212107269611,155969909,26207,D,8068.00,7761.00
Int..Const.,20200427,8133.00,8450.00,7730.00,8068.00,1263457766144,156609711,24618,D,8133.00,7920.00
Int..Const.,20200426,8277.00,8277.00,7600.00,8133.00,1575341869918,193706264,21496,D,7883.00,8277.00
Int..Const.,20200425,7883.00,7883.00,7865.00,7883.00,519118638490,65854646,7261,D,7508.00,7883.00
Int..Const.,20200422,7460.00,7603.00,7150.00,7508.00,843587872227,112365667,14230,D,7241.00,7603.00
Int..Const.,20200421,7170.00,7264.00,6980.00,7241.00,793775710176,109619810,10916,D,6919.00,7264.00
