<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Argham,20200722,54500.00,55500.00,54340.00,54410.00,153579998330,2822811,3643,D,57200.00,54340.00
Iran.Argham,20200721,59600.00,59600.00,56230.00,57200.00,505106870200,8830844,9589,D,59180.00,56230.00
Iran.Argham,20200720,59500.00,59590.00,57010.00,59180.00,1158137007850,19568817,17165,D,56760.00,58900.00
Iran.Argham,20200719,56980.00,60000.00,54630.00,56760.00,1386569251120,24429192,16694,D,57500.00,57850.00
Iran.Argham,20200718,58150.00,58150.00,52630.00,57500.00,330946500390,5755443,3893,D,55390.00,57000.00
Iran.Argham,20200715,52440.00,57960.00,52440.00,55390.00,1270925132850,22943365,10632,D,55200.00,57960.00
Iran.Argham,20200714,55200.00,58850.00,53820.00,55200.00,524623430780,9504394,5515,D,56650.00,53820.00
Iran.Argham,20200713,56650.00,61010.00,55210.00,56650.00,191663962480,3383197,2213,D,59630.00,56650.00
Iran.Argham,20200712,60000.00,61010.00,55210.00,59630.00,972033283020,16300667,8610,D,58110.00,55210.00
Iran.Argham,20200711,58020.00,59000.00,58020.00,58110.00,767523238400,13208635,4830,D,61070.00,58900.00
Iran.Argham,20200708,61070.00,61070.00,61070.00,61070.00,82040399810,1343383,1296,D,64280.00,61070.00
Iran.Argham,20200707,64370.00,65120.00,64170.00,64280.00,310657391220,4832708,3819,D,67540.00,64170.00
Iran.Argham,20200706,69100.00,69100.00,63890.00,67540.00,1031536004350,15272166,8753,D,65810.00,65860.00
Iran.Argham,20200705,62220.00,67270.00,62220.00,65810.00,651491039890,9899838,3978,D,64070.00,67270.00
Iran.Argham,20200704,65120.00,65170.00,59000.00,64070.00,1825412140310,28492450,11822,D,62070.00,62000.00
Iran.Argham,20200701,62070.00,62070.00,62070.00,62070.00,63480851100,1022730,626,D,59120.00,62070.00
Iran.Argham,20200630,59120.00,59120.00,59120.00,59120.00,72689872720,1229531,588,D,56310.00,59120.00
Iran.Argham,20200629,56310.00,56310.00,56310.00,56310.00,107051447790,1901109,690,D,53630.00,56310.00
