<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Fold,20200722,37570.00,39200.00,37560.00,37990.00,299594720610,7886666,2605,D,39530.00,37560.00
Iran.Fold,20200721,41000.00,41010.00,38950.00,39530.00,256707377650,6493386,1867,D,37620.00,38950.00
Iran.Fold,20200715,39700.00,39700.00,37280.00,37970.00,376426160490,9914022,6600,D,39240.00,37280.00
Iran.Fold,20200714,39370.00,39370.00,38000.00,39240.00,472353012410,12036185,6528,D,37500.00,39370.00
Iran.Fold,20200713,37700.00,37700.00,35900.00,37500.00,288206484270,7685583,2353,D,35910.00,37700.00
Iran.Fold,20200712,35910.00,35910.00,35700.00,35910.00,468299407430,13041334,2819,D,34200.00,35910.00
Iran.Fold,20200711,34400.00,34650.00,32000.00,34200.00,284497990700,8319200,2871,D,33000.00,34650.00
Iran.Fold,20200708,33120.00,33120.00,32000.00,33000.00,568495135600,17227773,3783,D,31550.00,33100.00
Iran.Fold,20200707,31550.00,31550.00,31550.00,31550.00,90722182750,2875505,594,D,30050.00,31550.00
Iran.Fold,20200706,30450.00,30450.00,30450.00,30050.00,52748535000,1732300,633,D,29000.00,30450.00
Iran.Fold,20200705,29100.00,29130.00,27600.00,29000.00,300033447350,10347063,3036,D,27750.00,29130.00
Iran.Fold,20200704,29300.00,29300.00,27170.00,27750.00,294324900960,10604681,3787,D,28600.00,27690.00
Iran.Fold,20200701,29620.00,29620.00,27310.00,28600.00,268715977720,9396413,3703,D,28250.00,28390.00
Iran.Fold,20200630,26500.00,28300.00,26500.00,28250.00,298089708810,10553100,3233,D,26960.00,28300.00
Iran.Fold,20200629,26830.00,28000.00,26830.00,26960.00,167055086740,6197475,2363,D,28240.00,26900.00
Iran.Fold,20200628,29790.00,29790.00,26970.00,28240.00,280548454150,9933790,3652,D,28380.00,27180.00
Iran.Fold,20200627,28380.00,28380.00,28380.00,28380.00,86223548400,3038180,829,D,27030.00,28380.00
Iran.Fold,20200624,25200.00,27730.00,25200.00,27030.00,157190928770,5816288,1721,D,26410.00,27730.00
Iran.Fold,20200623,26490.00,26490.00,25000.00,26410.00,269709561880,10214181,3159,D,25230.00,25880.00
