<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Mobil.Tele,20200722,49050.00,51770.00,49000.00,51290.00,515463556390,10050078,3371,D,49310.00,51770.00
Iran.Mobil.Tele,20200721,49600.00,49620.00,47310.00,49310.00,959423825910,19458441,6137,D,47260.00,48490.00
Iran.Mobil.Tele,20200720,47300.00,47360.00,45500.00,47260.00,246148030740,5208517,1896,D,45110.00,47360.00
Iran.Mobil.Tele,20200719,45120.00,45120.00,44600.00,45110.00,479946289640,10639112,4516,D,42980.00,45120.00
Iran.Mobil.Tele,20200718,41110.00,43160.00,41110.00,42980.00,374501949850,8712407,3590,D,41110.00,43160.00
Iran.Mobil.Tele,20200715,41100.00,41900.00,41100.00,41110.00,474637067730,11544703,5844,D,43260.00,41100.00
Iran.Mobil.Tele,20200714,44050.00,45000.00,43020.00,43260.00,467606054370,10808454,5268,D,45280.00,43020.00
Iran.Mobil.Tele,20200713,45250.00,46990.00,45250.00,45280.00,431239502560,9523894,4512,D,47630.00,45250.00
Iran.Mobil.Tele,20200712,48010.00,49630.00,45160.00,47630.00,412631225440,8662449,6197,D,47530.00,45440.00
Iran.Mobil.Tele,20200711,47180.00,49600.00,47180.00,47530.00,424706790550,8934672,3983,D,49660.00,48010.00
Iran.Mobil.Tele,20200708,50500.00,51500.00,48090.00,49660.00,429621264080,8651593,4810,D,50620.00,48090.00
Iran.Mobil.Tele,20200707,52150.00,52150.00,49300.00,50620.00,321081253690,6342876,4895,D,50000.00,50390.00
Iran.Mobil.Tele,20200706,50230.00,50770.00,48300.00,50000.00,477296128370,9546257,5622,D,48360.00,50770.00
Iran.Mobil.Tele,20200705,45710.00,50400.00,45710.00,48360.00,428344809920,8857587,5891,D,48070.00,49040.00
Iran.Mobil.Tele,20200704,51000.00,51000.00,47320.00,48070.00,591114549010,12297987,7856,D,49810.00,47320.00
Iran.Mobil.Tele,20200701,49850.00,49850.00,48110.00,49810.00,463347439380,9301784,5123,D,47480.00,49850.00
Iran.Mobil.Tele,20200630,47480.00,47480.00,47480.00,47480.00,402784330160,8483242,2309,D,45220.00,47480.00
Iran.Mobil.Tele,20200629,45000.00,46720.00,43000.00,45220.00,405686396440,8971028,4634,D,44500.00,46720.00
Iran.Mobil.Tele,20200628,44620.00,44620.00,43500.00,44500.00,648922614450,14583981,4480,D,42500.00,44620.00
Iran.Mobil.Tele,20200627,42780.00,42780.00,42780.00,42500.00,90335317500,2111625,623,D,40750.00,42780.00
Iran.Mobil.Tele,20200624,38400.00,41590.00,38400.00,40750.00,500263256280,12275391,2395,D,39610.00,41590.00
Iran.Mobil.Tele,20200623,39400.00,39770.00,38600.00,39610.00,670989076920,16937843,4944,D,37880.00,38780.00
Iran.Mobil.Tele,20200622,37500.00,39200.00,36000.00,37880.00,465300868590,12284101,6362,D,37770.00,38400.00
Iran.Mobil.Tele,20200621,38000.00,38000.00,37300.00,37770.00,136455518230,3613138,1235,D,35250.00,37590.00
Iran.Mobil.Tele,20200614,36800.00,38040.00,34500.00,36810.00,631298706620,17148554,6280,D,36230.00,37720.00
Iran.Mobil.Tele,20200613,36000.00,37060.00,35510.00,36230.00,427490888050,11799875,4258,D,35408.00,36140.00
Iran.Mobil.Tele,20200610,34500.00,36200.00,34500.00,35408.00,243822414648,6886116,3568,D,34516.00,35300.00
Iran.Mobil.Tele,20200609,34777.00,35902.00,33500.00,34516.00,158734428199,4598860,3066,D,35224.00,34300.00
Iran.Mobil.Tele,20200608,34360.00,37976.00,34360.00,35224.00,321859102863,9137465,5432,D,36168.00,34400.00
Iran.Mobil.Tele,20200607,35799.00,36256.00,35322.00,36168.00,559403666532,15466936,5683,D,34530.00,36256.00
Iran.Mobil.Tele,20200606,34555.00,34555.00,33500.00,34530.00,330455759957,9570196,3843,D,32910.00,34555.00
Iran.Mobil.Tele,20200602,32912.00,32912.00,32743.00,32910.00,269366457421,8184968,2419,D,31345.00,32912.00
Iran.Mobil.Tele,20200601,30678.00,31462.00,29200.00,31345.00,296004709141,9443458,2831,D,29964.00,31462.00
Iran.Mobil.Tele,20200531,30361.00,30361.00,27700.00,29964.00,293624500651,9799381,3035,D,28916.00,30361.00
Iran.Mobil.Tele,20200530,29151.00,29151.00,29151.00,28916.00,87219675396,2991996,581,D,27763.00,29151.00
Iran.Mobil.Tele,20200527,26970.00,28900.00,26970.00,27763.00,178882386899,6443254,2795,D,28389.00,28647.00
Iran.Mobil.Tele,20200526,28202.00,29625.00,28192.00,28389.00,117003000000,4121431,1543,D,29509.00,28192.00
Iran.Mobil.Tele,20200523,29999.00,30000.00,29625.00,29675.00,150208426216,5061752,1642,D,31184.00,29625.00
Iran.Mobil.Tele,20200520,31794.00,32890.00,30000.00,31184.00,297656583809,9545029,4215,D,31389.00,31700.00
Iran.Mobil.Tele,20200519,31451.00,31452.00,30705.00,31389.00,358157108126,11410149,3229,D,29955.00,31452.00
Iran.Mobil.Tele,20200518,29997.00,30016.00,29200.00,29955.00,204455394973,6825380,3047,D,28587.00,30016.00
Iran.Mobil.Tele,20200517,27770.00,29800.00,27770.00,28587.00,297955844421,10422901,3054,D,29231.00,29499.00
Iran.Mobil.Tele,20200516,29301.00,29798.00,29202.00,29231.00,237072580253,8110397,2816,D,30738.00,29202.00
Iran.Mobil.Tele,20200513,30171.00,32090.00,30119.00,30738.00,297481085974,9678018,3736,D,31704.00,30119.00
