<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Office.Ind.,20200722,42950.00,44600.00,42735.00,42962.00,676573602242,15748331,11129,D,44984.00,42735.00
Iran.Office.Ind.,20200721,44840.00,47000.00,44840.00,44984.00,502497698118,11170674,7969,D,47200.00,44840.00
Iran.Office.Ind.,20200720,47860.00,48898.00,45001.00,47200.00,852535532327,18062245,15739,D,46607.00,45450.00
Iran.Office.Ind.,20200719,46764.00,46764.00,45000.00,46607.00,1177631573294,25267499,14694,D,44538.00,46764.00
Iran.Office.Ind.,20200718,44538.00,44538.00,44538.00,44538.00,220174627374,4943523,2667,D,42418.00,44538.00
Iran.Office.Ind.,20200715,40100.00,43744.00,39601.00,42418.00,969698324586,22860659,14607,D,41661.00,43000.00
Iran.Office.Ind.,20200714,43100.00,43200.00,39970.00,41661.00,758825175485,18214157,12806,D,41349.00,40100.00
Iran.Office.Ind.,20200713,42220.00,42980.00,40931.00,41349.00,745009002370,18017451,13140,D,43085.00,42000.00
Iran.Office.Ind.,20200712,43000.00,43333.00,42000.00,43085.00,617224698735,14325756,8197,D,41270.00,42220.00
Iran.Office.Ind.,20200711,41038.00,42950.00,41038.00,41270.00,722724187286,17512187,10459,D,43197.00,41100.00
Iran.Office.Ind.,20200708,43700.00,45820.00,42858.00,43197.00,719146147149,16648063,12330,D,45113.00,42858.00
Iran.Office.Ind.,20200707,47785.00,47785.00,44146.00,45113.00,847069736796,18776760,15005,D,46469.00,44220.00
Iran.Office.Ind.,20200706,46099.00,46739.00,44950.00,46469.00,883270445046,19007636,13471,D,44514.00,46739.00
Iran.Office.Ind.,20200705,43650.00,46914.00,43396.00,44514.00,1482835283971,33311453,22498,D,45679.00,44850.00
Iran.Office.Ind.,20200704,47800.00,47800.00,45212.00,45679.00,547880052764,11994135,11480,D,47591.00,45212.00
Iran.Office.Ind.,20200701,49450.00,49450.00,46000.00,47591.00,1007460148407,21169270,18238,D,48137.00,46750.00
Iran.Office.Ind.,20200630,46000.00,48346.00,46000.00,48137.00,2255777059122,46861607,23203,D,46044.00,48346.00
Iran.Office.Ind.,20200629,47890.00,50284.00,45496.00,46044.00,370458862690,8045753,4389,D,47881.00,45760.00
Iran.Office.Ind.,20200624,49000.00,51450.00,46860.00,48131.00,746428732287,15508366,9580,D,48353.00,46980.00
Iran.Office.Ind.,20200623,47233.00,49940.00,47233.00,48353.00,881733586286,18235503,15854,D,48624.00,47234.00
Iran.Office.Ind.,20200622,49438.00,50499.00,47110.00,48624.00,1420806753082,29220160,19025,D,49379.00,47550.00
