<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Zinc.Mines,20200722,52940.00,54490.00,52940.00,52990.00,534424362760,10086231,3077,D,55720.00,53550.00
Iran.Zinc.Mines,20200721,56110.00,56700.00,55650.00,55720.00,609245515510,10933109,4016,D,58570.00,55650.00
Iran.Zinc.Mines,20200720,59070.00,59070.00,55000.00,58570.00,859439326680,14672643,7471,D,56260.00,56960.00
Iran.Zinc.Mines,20200719,56260.00,56260.00,56260.00,56260.00,251364560340,4467909,2240,D,53590.00,56260.00
Iran.Zinc.Mines,20200718,52010.00,57400.00,52010.00,53590.00,1446199604990,26986300,10762,D,54740.00,55600.00
Iran.Zinc.Mines,20200715,54740.00,54740.00,54740.00,54740.00,140004666200,2557630,1122,D,57620.00,54740.00
Iran.Zinc.Mines,20200714,57590.00,59000.00,57590.00,57620.00,1046550203190,18163199,4452,D,60620.00,57590.00
Iran.Zinc.Mines,20200713,60620.00,60620.00,60620.00,60620.00,154842817780,2554319,1621,D,63810.00,60620.00
Iran.Zinc.Mines,20200712,63100.00,65200.00,59000.00,63810.00,1106567320290,17341612,8791,D,62100.00,59760.00
Iran.Zinc.Mines,20200711,61750.00,64600.00,61750.00,62100.00,743949953360,11978926,6084,D,65000.00,61750.00
Iran.Zinc.Mines,20200708,67100.00,68370.00,61870.00,65000.00,1003830402830,15443361,7461,D,65120.00,61870.00
Iran.Zinc.Mines,20200707,65900.00,66880.00,61000.00,65120.00,1212072416930,18611960,9781,D,63700.00,66880.00
Iran.Zinc.Mines,20200706,63720.00,63720.00,60990.00,63700.00,1189528842780,18673768,5125,D,60690.00,63720.00
Iran.Zinc.Mines,20200705,60920.00,60920.00,58030.00,60690.00,791299178710,13039101,3862,D,58020.00,60920.00
Iran.Zinc.Mines,20200704,58620.00,58620.00,53400.00,58020.00,1248458205210,21518690,5361,D,55830.00,58620.00
Iran.Zinc.Mines,20200701,55830.00,55830.00,55830.00,55830.00,127025811750,2275225,745,D,53180.00,55830.00
Iran.Zinc.Mines,20200630,53570.00,53570.00,53570.00,53180.00,49447038520,923036,583,D,51020.00,53570.00
Iran.Zinc.Mines,20200629,49000.00,52930.00,48890.00,51020.00,594304627440,11649463,4054,D,50410.00,52930.00
Iran.Zinc.Mines,20200628,50590.00,50590.00,48350.00,50410.00,1882564033300,37344890,6310,D,48190.00,50590.00
Iran.Zinc.Mines,20200627,48190.00,48190.00,48190.00,48190.00,85250615880,1769052,574,D,45900.00,48190.00
Iran.Zinc.Mines,20200624,45900.00,45900.00,45900.00,45900.00,204128820900,4447251,666,D,43720.00,45900.00
Iran.Zinc.Mines,20200621,43970.00,43970.00,43970.00,43720.00,48407452400,1100920,338,D,41880.00,43970.00
Iran.Zinc.Mines,20200620,41880.00,41880.00,41880.00,41880.00,177054819600,4227670,785,D,39890.00,41880.00
Iran.Zinc.Mines,20200616,38000.00,40070.00,38000.00,39890.00,955133850780,23944998,3723,D,38170.00,40070.00
Iran.Zinc.Mines,20200615,37820.00,40000.00,37820.00,38170.00,959914528230,25150826,6766,D,39810.00,38000.00
Iran.Zinc.Mines,20200614,41210.00,41210.00,37290.00,39810.00,921891404210,23156083,7737,D,39250.00,40000.00
Iran.Zinc.Mines,20200613,39000.00,40180.00,36850.00,39250.00,1309309641230,33356605,9063,D,38273.00,40180.00
Iran.Zinc.Mines,20200610,39800.00,40200.00,37000.00,38273.00,683524097406,17859255,7011,D,38641.00,37700.00
Iran.Zinc.Mines,20200609,38999.00,40920.00,38166.00,38641.00,613639764341,15880705,4986,D,40174.00,39400.00
Iran.Zinc.Mines,20200608,40337.00,40337.00,36497.00,40174.00,2799035658346,69672679,8507,D,38417.00,40102.00
Iran.Zinc.Mines,20200607,38574.00,38574.00,37016.00,38417.00,989002846267,25743858,6552,D,36738.00,37700.00
Iran.Zinc.Mines,20200606,36738.00,36738.00,36738.00,36738.00,67379990184,1834068,458,D,34989.00,36738.00
Iran.Zinc.Mines,20200602,34989.00,34989.00,34989.00,34989.00,130115343750,3718750,592,D,33323.00,34989.00
Iran.Zinc.Mines,20200601,33727.00,33727.00,33727.00,33323.00,43303815377,1283951,477,D,32121.00,33727.00
Iran.Zinc.Mines,20200531,32121.00,32121.00,32121.00,32121.00,99453104442,3096202,686,D,30592.00,32121.00
Iran.Zinc.Mines,20200530,30592.00,30592.00,30592.00,30592.00,353289754112,11548436,614,D,29136.00,30592.00
Iran.Zinc.Mines,20200527,29373.00,29373.00,29373.00,29136.00,41756304324,1421588,679,D,27975.00,29373.00
Iran.Zinc.Mines,20200526,26419.00,29100.00,26419.00,27975.00,497698000000,17790536,4298,D,27728.00,27000.00
Iran.Zinc.Mines,20200523,27747.00,28990.00,27747.00,27809.00,54589003140,1962983,842,D,29207.00,27747.00
Iran.Zinc.Mines,20200520,30752.00,30752.00,27824.00,29207.00,184128225071,6304340,3615,D,29288.00,28419.00
Iran.Zinc.Mines,20200519,29300.00,29300.00,28900.00,29288.00,246673455869,8422301,2834,D,27905.00,29300.00
Iran.Zinc.Mines,20200518,27928.00,27928.00,27400.00,27905.00,153773705706,5510519,1945,D,26599.00,27928.00
