<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jaber.Hayan.P.,20200722,52450.00,54900.00,51800.00,52940.00,126233290150,2384558,2066,D,52350.00,54100.00
Jaber.Hayan.P.,20200721,52390.00,52390.00,51800.00,52350.00,509417278300,9730646,2699,D,49900.00,52390.00
Jaber.Hayan.P.,20200720,49950.00,49950.00,49950.00,49900.00,56320373250,1127535,323,D,47580.00,49950.00
Jaber.Hayan.P.,20200719,47580.00,47580.00,47580.00,47580.00,133072790760,2796822,920,D,45320.00,47580.00
Jaber.Hayan.P.,20200718,45660.00,45660.00,45660.00,45320.00,44161758420,967187,630,D,43490.00,45660.00
Jaber.Hayan.P.,20200715,40200.00,43680.00,40200.00,43490.00,114211576930,2625868,1043,D,41600.00,43680.00
Jaber.Hayan.P.,20200714,40700.00,42800.00,40700.00,41600.00,101629306190,2442736,1526,D,42810.00,42380.00
Jaber.Hayan.P.,20200713,44290.00,44290.00,42000.00,42810.00,102957823650,2404876,1388,D,42470.00,42020.00
Jaber.Hayan.P.,20200712,41450.00,42490.00,41450.00,42470.00,72909489100,1716899,646,D,40470.00,42490.00
Jaber.Hayan.P.,20200711,40270.00,42380.00,40270.00,40470.00,139490962310,3446906,1429,D,42380.00,41500.00
Jaber.Hayan.P.,20200708,42200.00,43500.00,41370.00,42380.00,148314151500,3499363,1677,D,43540.00,41370.00
Jaber.Hayan.P.,20200707,45180.00,45180.00,43000.00,43540.00,137942127430,3167812,1966,D,44610.00,43000.00
Jaber.Hayan.P.,20200706,44800.00,45180.00,42000.00,44610.00,184062597500,4126156,2457,D,43030.00,45180.00
Jaber.Hayan.P.,20200705,43000.00,45690.00,42120.00,43030.00,245674312270,5708887,2616,D,44330.00,44220.00
Jaber.Hayan.P.,20200704,47000.00,47000.00,42740.00,44330.00,195927689830,4419542,2154,D,44980.00,44070.00
Jaber.Hayan.P.,20200701,45040.00,45040.00,44000.00,44980.00,185059842010,4114373,1803,D,42900.00,45040.00
Jaber.Hayan.P.,20200630,40000.00,43280.00,40000.00,42900.00,156042510740,3637417,1642,D,41220.00,43280.00
Jaber.Hayan.P.,20200629,41220.00,42990.00,41220.00,41220.00,85237991600,2067678,1109,D,43380.00,41220.00
Jaber.Hayan.P.,20200628,46790.00,46790.00,43270.00,43380.00,186851396130,4307150,1444,D,45540.00,43270.00
Jaber.Hayan.P.,20200627,45410.00,47000.00,45000.00,45540.00,124058976930,2724143,1692,D,45410.00,45440.00
Jaber.Hayan.P.,20200624,42000.00,46160.00,42000.00,45410.00,177337571140,3905545,1703,D,43970.00,45200.00
Jaber.Hayan.P.,20200623,44130.00,44130.00,41100.00,43970.00,149993217000,3410884,1329,D,42030.00,42530.00
Jaber.Hayan.P.,20200622,40500.00,43090.00,39100.00,42030.00,267967532020,6375206,2338,D,41040.00,43090.00
Jaber.Hayan.P.,20200621,42500.00,42500.00,39000.00,41040.00,185475353460,4519053,2027,D,40750.00,40800.00
Jaber.Hayan.P.,20200620,40000.00,40850.00,39050.00,40750.00,165973021840,4072975,1841,D,38910.00,40850.00
Jaber.Hayan.P.,20200616,40490.00,40490.00,37860.00,38910.00,246249510270,6328184,3932,D,39850.00,39920.00
Jaber.Hayan.P.,20200615,40500.00,41000.00,38880.00,39850.00,45252235470,1134681,581,D,39510.00,38900.00
Jaber.Hayan.P.,20200609,40000.00,41400.00,38501.00,40206.00,203208534809,5054214,1913,D,40106.00,40000.00
Jaber.Hayan.P.,20200608,39773.00,43959.00,39773.00,40106.00,244419929558,6094339,2659,D,41866.00,39774.00
Jaber.Hayan.P.,20200607,41867.00,41867.00,41373.00,41866.00,97203474390,2321778,986,D,39874.00,41866.00
Jaber.Hayan.P.,20200606,39875.00,39875.00,39503.00,39874.00,138148332674,3464620,1288,D,37977.00,39875.00
Jaber.Hayan.P.,20200602,37981.00,38467.00,36500.00,37977.00,163926425734,4316521,1734,D,36636.00,38467.00
Jaber.Hayan.P.,20200601,35050.00,36866.00,35050.00,36636.00,102946150765,2809941,1460,D,35111.00,36866.00
Jaber.Hayan.P.,20200531,36000.00,36000.00,34111.00,35111.00,145572031079,4145999,1463,D,35440.00,35210.00
Jaber.Hayan.P.,20200530,35700.00,36980.00,34200.00,35440.00,182241396915,5142224,2214,D,35631.00,35650.00
Jaber.Hayan.P.,20200527,35531.00,37000.00,35531.00,35631.00,169977512989,4770464,1636,D,37401.00,35700.00
Jaber.Hayan.P.,20200526,38308.00,38655.00,36393.00,37401.00,31942466731,865996,478,D,38308.00,36393.00
Jaber.Hayan.P.,20200523,38655.00,38655.00,36835.00,38308.00,581747628936,15185953,3360,D,36815.00,38655.00
Jaber.Hayan.P.,20200520,36835.00,36835.00,36835.00,36815.00,55367904055,1503133,474,D,35081.00,36835.00
Jaber.Hayan.P.,20200519,35081.00,35081.00,35081.00,35081.00,53374724151,1521471,306,D,33411.00,35081.00
Jaber.Hayan.P.,20200518,34174.00,34174.00,34174.00,33411.00,27603433368,807732,255,D,32547.00,34174.00
Jaber.Hayan.P.,20200517,30300.00,33202.00,30300.00,32547.00,75960210877,2333861,1004,D,31621.00,33202.00
Jaber.Hayan.P.,20200516,32886.00,33799.00,31240.00,31621.00,120835943908,3821352,2020,D,32884.00,31880.00
Jaber.Hayan.P.,20200513,30700.00,33762.00,30700.00,32884.00,189258269127,5755394,2746,D,32155.00,32330.00
Jaber.Hayan.P.,20200512,30999.00,34148.00,30896.00,32155.00,339143496081,10547158,4072,D,32522.00,31059.00
Jaber.Hayan.P.,20200511,32044.00,33730.00,32044.00,32522.00,372982479847,11468476,3958,D,33730.00,32044.00
Jaber.Hayan.P.,20200510,35999.00,36442.00,32972.00,33730.00,377953980769,11205288,4774,D,34707.00,33000.00
Jaber.Hayan.P.,20200509,33507.00,35182.00,33507.00,34707.00,139967983402,4032791,1460,D,31912.00,35182.00
Jaber.Hayan.P.,20200503,31912.00,31912.00,31912.00,31912.00,79330264184,2485907,1374,D,30393.00,31912.00
Jaber.Hayan.P.,20200502,30458.00,30458.00,29340.00,30393.00,194100864389,6386316,2598,D,29008.00,30458.00
Jaber.Hayan.P.,20200429,29139.00,29139.00,26365.00,29008.00,236735156218,8160891,2821,D,27752.00,29139.00
Jaber.Hayan.P.,20200428,28284.00,28284.00,28284.00,27752.00,34961852400,1236100,400,D,26938.00,28284.00
Jaber.Hayan.P.,20200427,26700.00,27573.00,25676.00,26938.00,109941481138,4081319,1498,D,26260.00,27573.00
Jaber.Hayan.P.,20200426,26443.00,26443.00,24022.00,26260.00,268205323875,10213366,2900,D,25184.00,26443.00
Jaber.Hayan.P.,20200425,25687.00,25687.00,25687.00,25184.00,30911401869,1203387,390,D,24464.00,25687.00
Jaber.Hayan.P.,20200422,25252.00,25252.00,25252.00,24464.00,20602627012,815881,270,D,24050.00,25252.00
Jaber.Hayan.P.,20200421,24439.00,24439.00,24439.00,24050.00,38565743999,1578041,334,D,23276.00,24439.00
Jaber.Hayan.P.,20200420,23875.00,23875.00,23875.00,23276.00,26737636375,1119901,330,D,22739.00,23875.00
Jaber.Hayan.P.,20200419,22739.00,22739.00,22739.00,22739.00,61738863551,2715109,621,D,21657.00,22739.00
Jaber.Hayan.P.,20200418,22142.00,22142.00,22142.00,21657.00,28319994414,1279017,631,D,21088.00,22142.00
Jaber.Hayan.P.,20200415,20100.00,21181.00,20099.00,21088.00,84810663935,4021706,1737,D,20173.00,21181.00
Jaber.Hayan.P.,20200414,20096.00,20697.00,20096.00,20173.00,68122205447,3376900,1990,D,21153.00,20096.00
Jaber.Hayan.P.,20200413,22448.00,22448.00,20709.00,21153.00,94603941319,4472413,1955,D,21798.00,20850.00
Jaber.Hayan.P.,20200412,21500.00,22520.00,21100.00,21798.00,158124468480,7254182,3221,D,21570.00,21620.00
Jaber.Hayan.P.,20200411,21520.00,22470.00,21520.00,21570.00,216762790684,10049440,3256,D,22652.00,21520.00
Jaber.Hayan.P.,20200408,23182.00,23182.00,20976.00,22652.00,105083817936,4638960,2811,D,22079.00,21870.00
Jaber.Hayan.P.,20200407,22100.00,22150.00,21659.00,22079.00,85061802982,3852635,1847,D,21096.00,22150.00
Jaber.Hayan.P.,20200406,21659.00,21659.00,19601.00,21096.00,153223257479,7263244,3693,D,20628.00,21659.00
Jaber.Hayan.P.,20200405,20785.00,20787.00,20002.00,20628.00,167782241497,8133767,3924,D,19798.00,20787.00
Jaber.Hayan.P.,20200404,19798.00,19798.00,19700.00,19798.00,204975960440,10353590,2756,D,18856.00,19798.00
Jaber.Hayan.P.,20200330,19400.00,19679.00,17821.00,18856.00,161384069740,8558951,4292,D,18758.00,19650.00
Jaber.Hayan.P.,20200329,18758.00,18758.00,18758.00,18758.00,58774122514,3133283,1102,D,17865.00,18758.00
Jaber.Hayan.P.,20200328,18450.00,18450.00,18450.00,17865.00,17546337450,951021,307,D,17572.00,18450.00
Jaber.Hayan.P.,20200325,18236.00,18236.00,18236.00,17572.00,12765965912,700042,237,D,17368.00,18236.00
Jaber.Hayan.P.,20200324,17600.00,17638.00,17000.00,17368.00,38217023377,2174216,860,D,16799.00,17638.00
Jaber.Hayan.P.,20200318,16201.00,16999.00,16201.00,16799.00,5547523073,330230,110,D,16556.00,16988.00
Jaber.Hayan.P.,20200315,16062.00,16512.00,16062.00,16556.00,19454478573,1210465,712,D,16907.00,16062.00
Jaber.Hayan.P.,20200314,18250.00,18250.00,16512.00,16907.00,79680478575,4712887,1808,D,17381.00,16517.00
Jaber.Hayan.P.,20200311,16031.00,17518.00,16031.00,17381.00,89622328980,5156231,2724,D,16684.00,17495.00
Jaber.Hayan.P.,20200310,16622.00,17420.00,16622.00,16684.00,50214994783,3009857,1417,D,17496.00,16622.00
Jaber.Hayan.P.,20200309,17207.00,17499.00,17207.00,17496.00,32758190327,1902969,814,D,18112.00,17207.00
Jaber.Hayan.P.,20200307,18500.00,18550.00,17150.00,18112.00,95164013798,5254255,2715,D,18042.00,17499.00
Jaber.Hayan.P.,20200304,18091.00,18091.00,17240.00,18042.00,188576237301,10452277,2641,D,17230.00,18091.00
Jaber.Hayan.P.,20200303,17563.00,17563.00,17563.00,17230.00,33863694501,1928127,325,D,16727.00,17563.00
Jaber.Hayan.P.,20200302,16440.00,16746.00,16440.00,16727.00,57140786658,3416023,1063,D,15949.00,16746.00
Jaber.Hayan.P.,20200301,15855.00,15981.00,15506.00,15949.00,84237644890,5281547,1437,D,15220.00,15981.00
Jaber.Hayan.P.,20200229,14825.00,15950.00,14825.00,15220.00,72251937432,4747286,1876,D,15605.00,15500.00
Jaber.Hayan.P.,20200226,16320.00,16320.00,14800.00,15605.00,100523498155,6441920,3726,D,15548.00,14920.00
Jaber.Hayan.P.,20200225,15390.00,15601.00,15120.00,15548.00,130076568429,8366099,2772,D,14859.00,15601.00
Jaber.Hayan.P.,20200224,15044.00,15044.00,14200.00,14859.00,136534232550,9188728,3616,D,14328.00,15044.00
Jaber.Hayan.P.,20200223,14328.00,14328.00,14328.00,14328.00,30211318728,2108551,706,D,13646.00,14328.00
Jaber.Hayan.P.,20200222,12530.00,13833.00,12530.00,13646.00,79713081429,5841500,1494,D,13175.00,13833.00
Jaber.Hayan.P.,20200219,12909.00,13350.00,12900.00,13175.00,48780711036,3702486,1859,D,12731.00,13250.00
Jaber.Hayan.P.,20200218,12912.00,12990.00,12470.00,12731.00,37205422149,2922368,1216,D,12912.00,12681.00
Jaber.Hayan.P.,20200217,13267.00,13267.00,12707.00,12912.00,36605213980,2834877,1131,D,12924.00,12981.00
Jaber.Hayan.P.,20200216,13200.00,13200.00,12800.00,12924.00,67070311253,5189617,1765,D,13077.00,13060.00
Jaber.Hayan.P.,20200215,13165.00,13447.00,12707.00,13077.00,51715493397,3954796,1643,D,13007.00,12955.00
Jaber.Hayan.P.,20200212,12845.00,13169.00,12700.00,13007.00,44790357911,3443481,1494,D,12550.00,13000.00
Jaber.Hayan.P.,20200210,13380.00,13380.00,12477.00,12550.00,71180946293,5671566,1762,D,13133.00,12590.00
Jaber.Hayan.P.,20200209,12710.00,13350.00,12709.00,13133.00,71114847564,5415010,1790,D,13117.00,13000.00
Jaber.Hayan.P.,20200208,13086.00,13449.00,12708.00,13117.00,54071029870,4122177,1905,D,12889.00,12855.00
Jaber.Hayan.P.,20200205,12360.00,13116.00,12360.00,12889.00,47778199490,3707029,1890,D,12925.00,12890.00
Jaber.Hayan.P.,20200204,13000.00,13283.00,12650.00,12925.00,60633353979,4691141,1936,D,13274.00,12790.00
Jaber.Hayan.P.,20200203,13899.00,13899.00,13051.00,13274.00,79364953589,5978992,3099,D,13596.00,13170.00
Jaber.Hayan.P.,20200202,12860.00,13855.00,12860.00,13596.00,62641317384,4607465,2244,D,13240.00,13350.00
Jaber.Hayan.P.,20200201,14000.00,14000.00,12978.00,13240.00,71082947106,5368817,2342,D,13661.00,13098.00
Jaber.Hayan.P.,20200128,13654.00,14250.00,13300.00,13661.00,61555954876,4506020,2093,D,13654.00,13451.00
Jaber.Hayan.P.,20200127,13500.00,14100.00,13400.00,13654.00,69060045617,5057850,2051,D,13964.00,13500.00
Jaber.Hayan.P.,20200126,14204.00,14204.00,13400.00,13964.00,144980091259,10382246,3102,D,13528.00,13792.00
Jaber.Hayan.P.,20200125,13530.00,13530.00,13200.00,13528.00,129912033598,9603432,1808,D,12886.00,13530.00
Jaber.Hayan.P.,20200122,12800.00,13300.00,12377.00,12886.00,62843565191,4876721,2122,D,12766.00,13000.00
Jaber.Hayan.P.,20200121,12765.00,13000.00,12600.00,12766.00,51811971427,4058519,1415,D,12693.00,12650.00
Jaber.Hayan.P.,20200120,12701.00,13099.00,12200.00,12693.00,63919993723,5036031,2063,D,12755.00,12698.00
Jaber.Hayan.P.,20200119,12881.00,13498.00,12529.00,12755.00,95843056413,7513997,2816,D,13188.00,12698.00
Jaber.Hayan.P.,20200118,13320.00,13320.00,12820.00,13188.00,123193158586,9341309,2486,D,12686.00,13141.00
Jaber.Hayan.P.,20200115,12590.00,12717.00,12399.00,12686.00,53338035618,4204548,980,D,12112.00,12717.00
Jaber.Hayan.P.,20200114,11899.00,12440.00,11311.00,12112.00,170482680958,14075056,3067,D,11848.00,12440.00
Jaber.Hayan.P.,20200113,11800.00,12198.00,11500.00,11848.00,50600347945,4270947,1796,D,11651.00,11875.00
Jaber.Hayan.P.,20200112,11655.00,11655.00,11220.00,11651.00,46071551396,3954220,881,D,11100.00,11655.00
Jaber.Hayan.P.,20200111,11100.00,11100.00,11100.00,11100.00,13665176700,1231097,217,D,10883.00,11100.00
Jaber.Hayan.P.,20200108,10702.00,10702.00,10702.00,10883.00,817129806,76353,65,D,10920.00,10702.00
Jaber.Hayan.P.,20200107,10920.00,10920.00,10920.00,10920.00,16477537440,1508932,276,D,11494.00,10920.00
Jaber.Hayan.P.,20200105,11494.00,11494.00,11494.00,11494.00,13658653526,1188329,258,D,12098.00,11494.00
Jaber.Hayan.P.,20200104,11780.00,11780.00,11780.00,12098.00,2605842020,221209,156,D,12400.00,11780.00
Jaber.Hayan.P.,20200101,12100.00,12453.00,11951.00,12400.00,148623245538,11985685,3065,D,11860.00,12452.00
Jaber.Hayan.P.,20191231,11793.00,12075.00,11400.00,11860.00,58492056423,4931773,2039,D,11552.00,11930.00
Jaber.Hayan.P.,20191230,11450.00,11795.00,11188.00,11552.00,65837280843,5699237,2185,D,11445.00,11620.00
Jaber.Hayan.P.,20191229,11769.00,11769.00,11249.00,11445.00,34817938198,3042158,1480,D,11509.00,11450.00
Jaber.Hayan.P.,20191228,11040.00,11624.00,11040.00,11509.00,94318617613,8195033,2108,D,11071.00,11624.00
Jaber.Hayan.P.,20191225,11055.00,11358.00,10975.00,11071.00,17923517488,1618965,899,D,11189.00,11040.00
Jaber.Hayan.P.,20191224,11000.00,11498.00,10902.00,11189.00,28403546553,2538559,1070,D,11416.00,11320.00
Jaber.Hayan.P.,20191223,12000.00,12000.00,11021.00,11416.00,40984560390,3590234,1537,D,11601.00,11235.00
Jaber.Hayan.P.,20191222,11004.00,11807.00,11004.00,11601.00,42520627489,3665279,1244,D,11245.00,11807.00
Jaber.Hayan.P.,20191221,11333.00,11420.00,11152.00,11245.00,23799179094,2116480,921,D,11202.00,11293.00
Jaber.Hayan.P.,20191218,11116.00,11379.00,11116.00,11202.00,27482966660,2453322,1132,D,11247.00,11171.00
Jaber.Hayan.P.,20191217,11287.00,11400.00,11100.00,11247.00,21727040257,1931733,1122,D,11112.00,11100.00
Jaber.Hayan.P.,20191216,11167.00,11345.00,10955.00,11112.00,23055485810,2074844,1015,D,11049.00,11111.00
Jaber.Hayan.P.,20191215,11399.00,11399.00,10895.00,11049.00,19783615979,1790455,1095,D,11219.00,11000.00
Jaber.Hayan.P.,20191214,11200.00,11460.00,11100.00,11219.00,19389177856,1728173,976,D,11135.00,11150.00
Jaber.Hayan.P.,20191211,11000.00,11343.00,10889.00,11135.00,26164368879,2349755,1009,D,11343.00,11210.00
