<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jahrom.Power.Plant,20200722,8160.00,8480.00,8151.00,8169.00,680815607002,83345555,17914,D,8580.00,8151.00
Jahrom.Power.Plant,20200721,8610.00,8838.00,8557.00,8580.00,1086447446612,126626538,27840,D,9007.00,8557.00
Jahrom.Power.Plant,20200720,9000.00,9299.00,8600.00,9007.00,1906824893718,211710619,52967,D,8865.00,8650.00
Jahrom.Power.Plant,20200719,8943.00,8943.00,8630.00,8865.00,2452952731283,276692635,54711,D,8518.00,8700.00
Jahrom.Power.Plant,20200718,8285.00,8541.00,8285.00,8518.00,989869268077,116204037,18017,D,8135.00,8541.00
Jahrom.Power.Plant,20200715,7950.00,8490.00,7850.00,8135.00,2159087037981,265396400,53047,D,8234.00,8110.00
Jahrom.Power.Plant,20200714,8300.00,8534.00,8132.00,8234.00,1405576679046,170703275,33258,D,8560.00,8132.00
Jahrom.Power.Plant,20200713,8563.00,8885.00,8534.00,8560.00,1336560699842,156135133,26581,D,8983.00,8534.00
Jahrom.Power.Plant,20200712,9140.00,9161.00,8543.00,8983.00,2305259947995,256618256,47990,D,8725.00,8628.00
Jahrom.Power.Plant,20200711,8694.00,8940.00,8694.00,8725.00,2794836829904,320322990,38789,D,9151.00,8694.00
Jahrom.Power.Plant,20200708,9190.00,9560.00,9095.00,9151.00,1026011646873,112117882,25524,D,9573.00,9095.00
Jahrom.Power.Plant,20200707,9850.00,9900.00,9200.00,9573.00,3236913591017,338114627,73102,D,9547.00,9361.00
Jahrom.Power.Plant,20200706,9550.00,9550.00,9273.00,9547.00,1265689696900,132577333,21874,D,9096.00,9550.00
Jahrom.Power.Plant,20200705,8960.00,9273.00,8550.00,9096.00,1593679301286,175200913,26644,D,8832.00,9273.00
Jahrom.Power.Plant,20200704,8937.00,8937.00,8210.00,8832.00,4489476817676,508323304,69215,D,8512.00,8900.00
Jahrom.Power.Plant,20200701,8512.00,8512.00,8512.00,8512.00,809558027712,95107851,6669,D,8107.00,8512.00
Jahrom.Power.Plant,20200630,8107.00,8107.00,8107.00,8107.00,122123734502,15063986,3905,D,7721.00,8107.00
Jahrom.Power.Plant,20200629,7570.00,7814.00,7457.00,7721.00,1124713217898,145667672,15430,D,7442.00,7814.00
Jahrom.Power.Plant,20200628,7457.00,7457.00,7211.00,7442.00,1707764831411,229487861,16544,D,7102.00,7457.00
Jahrom.Power.Plant,20200627,6989.00,7211.00,6970.00,7102.00,1277296027963,179860509,23792,D,6868.00,7211.00
Jahrom.Power.Plant,20200624,6840.00,7000.00,6840.00,6868.00,1660228165819,241728500,34119,D,7199.00,6840.00
Jahrom.Power.Plant,20200623,7250.00,7612.00,6900.00,7199.00,1543255603404,214367015,31242,D,6890.00,6910.00
Jahrom.Power.Plant,20200620,6850.00,6956.00,6668.00,6892.00,1978953551470,287133440,46230,D,6625.00,6956.00
Jahrom.Power.Plant,20200616,6560.00,6800.00,6410.00,6625.00,1651957748778,249342748,40654,D,6665.00,6665.00
Jahrom.Power.Plant,20200615,6830.00,6988.00,6452.00,6665.00,1193372459314,179055301,31989,D,6755.00,6495.00
Jahrom.Power.Plant,20200614,7125.00,7125.00,6620.00,6755.00,1215941973611,180017923,28504,D,6968.00,6752.00
Jahrom.Power.Plant,20200613,6985.00,6985.00,6766.00,6968.00,1102967314676,158300348,23070,D,6653.00,6985.00
Jahrom.Power.Plant,20200610,6580.00,6760.00,6444.00,6653.00,972189387893,146132078,25418,D,6444.00,6760.00
Jahrom.Power.Plant,20200609,6630.00,6799.00,6280.00,6444.00,796776425540,123647525,20778,D,6583.00,6329.00
Jahrom.Power.Plant,20200608,6600.00,6880.00,6250.00,6583.00,1255206842595,190681514,30797,D,6554.00,6438.00
Jahrom.Power.Plant,20200607,6554.00,6554.00,6554.00,6554.00,389731991162,59464753,7397,D,6242.00,6554.00
Jahrom.Power.Plant,20200606,6247.00,6247.00,6081.00,6242.00,549328130106,88001546,12376,D,5950.00,6247.00
Jahrom.Power.Plant,20200602,5810.00,6055.00,5750.00,5950.00,866742263200,145670141,22450,D,5767.00,5966.00
Jahrom.Power.Plant,20200601,5740.00,6117.00,5695.00,5767.00,1029799328668,178558084,23345,D,5994.00,5695.00
Jahrom.Power.Plant,20200531,6400.00,6400.00,5910.00,5994.00,699898700954,116758293,15606,D,6221.00,5910.00
Jahrom.Power.Plant,20200530,6200.00,6231.00,6066.00,6221.00,823615817820,132397089,17386,D,5935.00,6231.00
Jahrom.Power.Plant,20200527,5597.00,6175.00,5597.00,5935.00,978575998014,164889868,22529,D,5891.00,6021.00
Jahrom.Power.Plant,20200526,5891.00,5891.00,5891.00,5891.00,100078852912,16988432,2007,D,6201.00,5891.00
Jahrom.Power.Plant,20200523,6201.00,6201.00,6201.00,6201.00,141124100481,22758281,3678,D,6527.00,6201.00
Jahrom.Power.Plant,20200520,6527.00,6527.00,6527.00,6527.00,324951773006,49785778,7587,D,6870.00,6527.00
Jahrom.Power.Plant,20200519,7200.00,7200.00,6766.00,6870.00,882335987835,128426439,20648,D,7122.00,6766.00
Jahrom.Power.Plant,20200518,7101.00,7423.00,6800.00,7122.00,1856639988650,260682803,39717,D,7070.00,7078.00
Jahrom.Power.Plant,20200517,7070.00,7070.00,7070.00,7070.00,342227415250,48405575,6435,D,7442.00,7070.00
Jahrom.Power.Plant,20200516,7500.00,7500.00,7410.00,7442.00,400399460779,53803738,10242,D,7800.00,7410.00
Jahrom.Power.Plant,20200513,7800.00,7800.00,7800.00,7800.00,303616957800,38925251,2737,D,7207.00,7800.00
Jahrom.Power.Plant,20200512,7698.00,7698.00,6966.00,7207.00,2324650326094,322551147,33468,D,7332.00,6966.00
Jahrom.Power.Plant,20200511,7333.00,7333.00,7183.00,7332.00,1398136502683,190694828,17586,D,6984.00,7333.00
Jahrom.Power.Plant,20200510,6778.00,7129.00,6500.00,6984.00,4116660020887,589454691,58575,D,6790.00,7129.00
Jahrom.Power.Plant,20200509,6850.00,7077.00,6450.00,6790.00,2138749209816,315001467,47889,D,6773.00,6601.00
Jahrom.Power.Plant,20200506,6767.00,7105.00,6599.00,6773.00,1471804320872,217303141,24627,D,6445.00,6679.00
Jahrom.Power.Plant,20200503,6445.00,6445.00,6445.00,6445.00,1252369049765,194316377,15716,D,6139.00,6445.00
Jahrom.Power.Plant,20200502,6139.00,6139.00,6139.00,6139.00,1286276835774,209525466,14551,D,5847.00,6139.00
Jahrom.Power.Plant,20200429,5849.00,5849.00,5738.00,5847.00,1667899308202,285270194,18357,D,5571.00,5849.00
Jahrom.Power.Plant,20200428,5580.00,5593.00,5420.00,5571.00,1136593493768,204022385,15294,D,5327.00,5593.00
Jahrom.Power.Plant,20200427,5240.00,5434.00,5013.00,5327.00,1480156902525,277867118,25455,D,5176.00,5434.00
Jahrom.Power.Plant,20200426,5293.00,5293.00,4801.00,5176.00,1573336946095,303981967,26840,D,5041.00,5156.00
Jahrom.Power.Plant,20200425,5042.00,5042.00,4882.00,5041.00,1866253530972,370186800,21332,D,4802.00,5042.00
Jahrom.Power.Plant,20200422,4660.00,4882.00,4493.00,4802.00,1321839802210,275240482,21010,D,4650.00,4882.00
Jahrom.Power.Plant,20200421,4749.00,4749.00,4500.00,4650.00,771016663414,165815344,17659,D,4580.00,4601.00
Jahrom.Power.Plant,20200420,4317.00,4618.00,4305.00,4580.00,1298001222149,283423945,21402,D,4399.00,4618.00
Jahrom.Power.Plant,20200419,4590.00,4590.00,4255.00,4399.00,1263618963641,287236956,29103,D,4478.00,4260.00
Jahrom.Power.Plant,20200418,4475.00,4484.00,4361.00,4478.00,932579790549,208247474,17834,D,4271.00,4484.00
Jahrom.Power.Plant,20200415,4150.00,4282.00,4112.00,4271.00,505647846340,118390093,12285,D,4079.00,4282.00
Jahrom.Power.Plant,20200414,4050.00,4220.00,4039.00,4079.00,663460796290,162663551,21972,D,4251.00,4104.00
Jahrom.Power.Plant,20200413,4500.00,4500.00,4175.00,4251.00,548596697656,129063075,14151,D,4392.00,4189.00
Jahrom.Power.Plant,20200412,4247.00,4413.00,4187.00,4392.00,895464152947,203883938,16073,D,4203.00,4413.00
Jahrom.Power.Plant,20200411,4240.00,4340.00,4131.00,4203.00,761998765283,181281705,22163,D,4344.00,4145.00
Jahrom.Power.Plant,20200408,4450.00,4480.00,4180.00,4344.00,1204157081298,277181737,26491,D,4267.00,4247.00
Jahrom.Power.Plant,20200407,4190.00,4287.00,4125.00,4267.00,1579992646281,370301095,21216,D,4083.00,4287.00
Jahrom.Power.Plant,20200406,4088.00,4088.00,3953.00,4083.00,1786934298409,437602244,21053,D,3894.00,4088.00
Jahrom.Power.Plant,20200405,3810.00,3897.00,3810.00,3894.00,1417172545110,363905421,15376,D,3712.00,3897.00
Jahrom.Power.Plant,20200404,3680.00,3729.00,3593.00,3712.00,490748928767,132199068,11569,D,3552.00,3729.00
Jahrom.Power.Plant,20200330,3600.00,3640.00,3467.00,3552.00,293881258721,82728165,10906,D,3644.00,3582.00
Jahrom.Power.Plant,20200329,3780.00,3798.00,3512.00,3644.00,388167606536,106512645,16178,D,3627.00,3600.00
Jahrom.Power.Plant,20200328,3596.00,3643.00,3530.00,3627.00,328824256103,90667487,10511,D,3470.00,3643.00
Jahrom.Power.Plant,20200325,3380.00,3524.00,3360.00,3470.00,239376898049,68976082,8999,D,3357.00,3524.00
Jahrom.Power.Plant,20200324,3425.00,3480.00,3277.00,3357.00,153561908282,45737308,6954,D,3357.00,3352.00
Jahrom.Power.Plant,20200318,3270.00,3411.00,3270.00,3357.00,127384670962,37945591,6332,D,3271.00,3400.00
Jahrom.Power.Plant,20200317,3393.00,3393.00,3200.00,3271.00,94061849993,28754027,5957,D,3335.00,3260.00
Jahrom.Power.Plant,20200316,3400.00,3400.00,3266.00,3335.00,132001955080,39579074,6589,D,3248.00,3375.00
Jahrom.Power.Plant,20200315,3182.00,3320.00,3182.00,3248.00,89486119336,27548027,4243,D,3287.00,3254.00
Jahrom.Power.Plant,20200314,3360.00,3460.00,3260.00,3287.00,122679491775,37324917,4682,D,3431.00,3260.00
Jahrom.Power.Plant,20200311,3340.00,3497.00,3340.00,3431.00,186180826217,54266901,11031,D,3332.00,3398.00
Jahrom.Power.Plant,20200310,3305.00,3463.00,3305.00,3332.00,234556684324,70395619,10507,D,3478.00,3305.00
Jahrom.Power.Plant,20200309,3510.00,3576.00,3467.00,3478.00,110148706954,31667024,4284,D,3649.00,3467.00
Jahrom.Power.Plant,20200307,3780.00,3800.00,3558.00,3649.00,254298496971,69695234,15467,D,3743.00,3589.00
Jahrom.Power.Plant,20200304,3735.00,3790.00,3621.00,3743.00,464888231683,124216657,16281,D,3614.00,3784.00
Jahrom.Power.Plant,20200303,3510.00,3621.00,3481.00,3614.00,595343734452,164736890,13564,D,3449.00,3621.00
Jahrom.Power.Plant,20200302,3478.00,3495.00,3402.00,3449.00,273347080729,79247431,9867,D,3347.00,3451.00
Jahrom.Power.Plant,20200301,3202.00,3372.00,3202.00,3347.00,280428957341,83779994,10267,D,3212.00,3372.00
Jahrom.Power.Plant,20200229,3250.00,3279.00,3187.00,3212.00,334817080282,104240189,12361,D,3354.00,3218.00
Jahrom.Power.Plant,20200226,3440.00,3440.00,3308.00,3354.00,323899796126,96565153,14027,D,3390.00,3336.00
Jahrom.Power.Plant,20200225,3400.00,3479.00,3300.00,3390.00,416976813944,122985197,14694,D,3384.00,3378.00
Jahrom.Power.Plant,20200224,3499.00,3499.00,3331.00,3384.00,316728009118,93608577,12862,D,3449.00,3380.00
Jahrom.Power.Plant,20200223,3411.00,3486.00,3400.00,3449.00,348459520614,101043633,12720,D,3320.00,3430.00
Jahrom.Power.Plant,20200222,3176.00,3448.00,3176.00,3320.00,375774515010,113173123,13095,D,3343.00,3385.00
Jahrom.Power.Plant,20200219,3350.00,3389.00,3297.00,3343.00,306326160345,91619487,14702,D,3329.00,3332.00
Jahrom.Power.Plant,20200218,3440.00,3440.00,3285.00,3329.00,289235276524,86872059,12191,D,3431.00,3299.00
Jahrom.Power.Plant,20200217,3450.00,3510.00,3345.00,3431.00,675590783748,196885880,21028,D,3347.00,3400.00
Jahrom.Power.Plant,20200216,3233.00,3353.00,3232.00,3347.00,1379433741779,412200839,20955,D,3194.00,3353.00
Jahrom.Power.Plant,20200215,3290.00,3294.00,3143.00,3194.00,234670745821,73477533,10137,D,3266.00,3190.00
Jahrom.Power.Plant,20200212,3255.00,3355.00,3181.00,3266.00,247437382137,75752897,11457,D,3239.00,3249.00
Jahrom.Power.Plant,20200210,3350.00,3380.00,3216.00,3239.00,313337892251,96751782,10963,D,3385.00,3217.00
Jahrom.Power.Plant,20200209,3404.00,3461.00,3301.00,3385.00,341019710170,100742025,13080,D,3345.00,3350.00
Jahrom.Power.Plant,20200208,3260.00,3357.00,3235.00,3345.00,777021691873,232310887,18138,D,3198.00,3357.00
Jahrom.Power.Plant,20200205,3130.00,3249.00,3112.00,3198.00,314056646061,98218708,13998,D,3188.00,3212.00
Jahrom.Power.Plant,20200204,3230.00,3310.00,3007.00,3188.00,339654171563,106528339,13111,D,3165.00,3148.00
Jahrom.Power.Plant,20200203,3054.00,3169.00,3053.00,3165.00,601942579700,190197114,12779,D,3019.00,3169.00
Jahrom.Power.Plant,20200202,3035.00,3069.00,2980.00,3019.00,186672040680,61825126,9008,D,3034.00,3030.00
Jahrom.Power.Plant,20200201,3100.00,3100.00,3001.00,3034.00,192572825246,63477324,9484,D,3056.00,3035.00
Jahrom.Power.Plant,20200128,3061.00,3100.00,3027.00,3056.00,180423317193,59043524,11132,D,3051.00,3044.00
Jahrom.Power.Plant,20200127,3017.00,3114.00,3017.00,3051.00,159625042694,52317030,8506,D,3114.00,3029.00
Jahrom.Power.Plant,20200126,3200.00,3200.00,3012.00,3114.00,280235676789,89993229,12744,D,3087.00,3105.00
Jahrom.Power.Plant,20200125,3030.00,3096.00,3030.00,3087.00,272159631728,88167210,8017,D,2949.00,3096.00
Jahrom.Power.Plant,20200122,2919.00,2992.00,2897.00,2949.00,177558841194,60212423,7998,D,2929.00,2960.00
Jahrom.Power.Plant,20200121,2939.00,2995.00,2890.00,2929.00,152487535582,52065055,8230,D,2905.00,2904.00
Jahrom.Power.Plant,20200120,2922.00,2945.00,2889.00,2905.00,204651513789,70453225,9311,D,2917.00,2903.00
Jahrom.Power.Plant,20200119,2959.00,2960.00,2890.00,2917.00,191702941843,65717902,9143,D,2985.00,2922.00
Jahrom.Power.Plant,20200118,2958.00,3047.00,2940.00,2985.00,188344966461,63102675,9049,D,2921.00,2957.00
Jahrom.Power.Plant,20200115,2950.00,2970.00,2875.00,2921.00,157772828138,54019529,8096,D,2971.00,2929.00
Jahrom.Power.Plant,20200114,3070.00,3070.00,2900.00,2971.00,144067240616,48491834,7508,D,2991.00,2970.00
Jahrom.Power.Plant,20200113,2969.00,3012.00,2900.00,2991.00,247219228235,82641008,8656,D,2869.00,3012.00
Jahrom.Power.Plant,20200112,2869.00,2869.00,2860.00,2869.00,233228855478,81293181,4367,D,2733.00,2869.00
Jahrom.Power.Plant,20200111,2733.00,2733.00,2733.00,2733.00,94286002038,34499086,2165,D,2680.00,2733.00
