<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kharazmi.Info.,20200722,39463.00,41216.00,39463.00,39542.00,51506021039,1302577,831,D,41540.00,39463.00
Kharazmi.Info.,20200721,41406.00,42640.00,41406.00,41540.00,45578591816,1100243,831,D,43585.00,41406.00
Kharazmi.Info.,20200720,46300.00,47172.00,42680.00,43585.00,118962499069,2729459,1287,D,44926.00,42680.00
Kharazmi.Info.,20200719,45199.00,45199.00,42020.00,44926.00,174511326064,3884427,1432,D,43047.00,43500.00
Kharazmi.Info.,20200713,43251.00,43251.00,41001.00,43047.00,124304396245,2887652,1565,D,41192.00,43189.00
Kharazmi.Info.,20200712,39300.00,41221.00,39300.00,41192.00,75527710268,1833552,469,D,39259.00,41221.00
Kharazmi.Info.,20200711,38682.00,41100.00,38682.00,39259.00,51089599326,1301354,1088,D,40717.00,39000.00
Kharazmi.Info.,20200708,42490.00,43536.00,39390.00,40717.00,44122833524,1084234,800,D,41463.00,39390.00
Kharazmi.Info.,20200707,41550.00,43390.00,41286.00,41463.00,94475300736,2278555,1587,D,43458.00,41286.00
Kharazmi.Info.,20200706,45150.00,45200.00,41700.00,43458.00,138036773804,3176340,2266,D,43048.00,42000.00
Kharazmi.Info.,20200705,41100.00,44700.00,40470.00,43048.00,111673094056,2594176,1751,D,42600.00,43590.00
Kharazmi.Info.,20200704,42579.00,43856.00,42579.00,42600.00,200973348004,4717680,1733,D,44819.00,42579.00
Kharazmi.Info.,20200701,48740.00,48740.00,44165.00,44819.00,84640858269,1888509,1212,D,46489.00,44165.00
Kharazmi.Info.,20200630,43060.00,47524.00,43060.00,46489.00,136622954310,2938848,2071,D,45261.00,47524.00
Kharazmi.Info.,20200629,43996.00,43996.00,43996.00,45261.00,19920420888,452778,287,D,46311.00,43996.00
Kharazmi.Info.,20200628,46510.00,47560.00,46152.00,46311.00,50909396240,1099285,504,D,48581.00,46152.00
Kharazmi.Info.,20200627,49891.00,50200.00,47562.00,48581.00,107914594451,2221332,1196,D,50065.00,48202.00
Kharazmi.Info.,20200624,50000.00,51300.00,49887.00,50065.00,141687559310,2830083,997,D,52512.00,49887.00
Kharazmi.Info.,20200623,53000.00,53223.00,48900.00,52512.00,223411083372,4254482,1805,D,50689.00,49000.00
Kharazmi.Info.,20200622,50719.00,50719.00,48430.00,50689.00,141977193328,2800951,911,D,48304.00,50719.00
Kharazmi.Info.,20200621,48431.00,48431.00,46127.00,48304.00,191978924470,3974410,1778,D,46125.00,48431.00
Kharazmi.Info.,20200620,46800.00,48108.00,43528.00,46125.00,281312368200,6098902,2559,D,45818.00,48108.00
Kharazmi.Info.,20200616,47100.00,47100.00,44364.00,45818.00,102914436032,2246138,1461,D,45646.00,44978.00
