<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khazar.Shipping,20200722,31350.00,33865.00,31350.00,32768.00,48556042724,1481565,1135,D,32676.00,32300.00
Khazar.Shipping,20200721,32600.00,34090.00,31918.00,32676.00,87639921720,2682070,1542,D,33597.00,31918.00
Khazar.Shipping,20200720,34500.00,34805.00,32728.00,33597.00,101229431356,3013048,1957,D,34450.00,32728.00
Khazar.Shipping,20200719,34492.00,34492.00,33690.00,34450.00,75288524725,2185434,1200,D,32850.00,34492.00
Khazar.Shipping,20200718,31790.00,33289.00,30570.00,32850.00,58682588980,1786381,721,D,31704.00,33289.00
Khazar.Shipping,20200715,31500.00,32980.00,30807.00,31704.00,55006254406,1734997,1516,D,32427.00,31340.00
Khazar.Shipping,20200714,34530.00,34530.00,31246.00,32427.00,91225374153,2813211,1736,D,32890.00,31262.00
Khazar.Shipping,20200713,32499.00,33163.00,31200.00,32890.00,94203969844,2864202,1541,D,31584.00,33163.00
Khazar.Shipping,20200712,31729.00,31729.00,30100.00,31584.00,62465259516,1977753,1105,D,30219.00,31400.00
Khazar.Shipping,20200711,30105.00,31480.00,29983.00,30219.00,85333588908,2823871,1510,D,31561.00,30600.00
Khazar.Shipping,20200708,31491.00,32700.00,31491.00,31561.00,83934762911,2659474,1716,D,33148.00,31491.00
Khazar.Shipping,20200707,34700.00,34900.00,32800.00,33148.00,154760074812,4668776,2591,D,34526.00,32800.00
Khazar.Shipping,20200706,35100.00,35160.00,33510.00,34526.00,160189852417,4639690,3059,D,33501.00,34600.00
Khazar.Shipping,20200705,32006.00,35370.00,32006.00,33501.00,207816875566,6203378,2771,D,33690.00,34850.00
Khazar.Shipping,20200704,36580.00,36580.00,33141.00,33690.00,97084657078,2881719,1536,D,34885.00,33141.00
Khazar.Shipping,20200701,35288.00,35288.00,33845.00,34885.00,120387987204,3450963,2043,D,33608.00,35288.00
Khazar.Shipping,20200630,31000.00,33844.00,31000.00,33608.00,132830949859,3952364,1934,D,32233.00,33844.00
Khazar.Shipping,20200629,32223.00,32700.00,32223.00,32233.00,62122785690,1927282,921,D,33918.00,32223.00
Khazar.Shipping,20200628,35953.00,35953.00,32529.00,33918.00,70246321743,2071054,920,D,34241.00,33000.00
Khazar.Shipping,20200622,35999.00,35999.00,34970.00,35081.00,205155108301,5847965,3555,D,36810.00,35200.00
Khazar.Shipping,20200621,38999.00,38999.00,35513.00,36810.00,135084413712,3669794,2504,D,37382.00,36300.00
Khazar.Shipping,20200620,37650.00,37810.00,34210.00,37382.00,139039063229,3719390,1923,D,36010.00,37810.00
Khazar.Shipping,20200616,36144.00,36146.00,34500.00,36010.00,83636253111,2322585,1604,D,34425.00,36146.00
Khazar.Shipping,20200615,34500.00,35176.00,32800.00,34425.00,140145179485,4070997,2361,D,33501.00,35176.00
Khazar.Shipping,20200614,34489.00,35800.00,32733.00,33501.00,73943394474,2207188,1682,D,34453.00,34100.00
Khazar.Shipping,20200613,34457.00,34457.00,34000.00,34453.00,72941984738,2117165,925,D,32817.00,34457.00
Khazar.Shipping,20200610,32055.00,33404.00,31814.00,32817.00,96775961466,2948989,1935,D,31814.00,33404.00
Khazar.Shipping,20200609,31395.00,33200.00,31395.00,31814.00,53641208525,1686079,1289,D,33047.00,31800.00
Khazar.Shipping,20200608,33000.00,34200.00,32410.00,33047.00,80703044552,2442097,1474,D,34115.00,32410.00
Khazar.Shipping,20200607,34300.00,34498.00,32856.00,34115.00,65437504055,1918117,1494,D,32856.00,33697.00
Khazar.Shipping,20200606,33048.00,33048.00,31560.00,32856.00,113052242335,3440813,1510,D,31475.00,33048.00
Khazar.Shipping,20200602,31505.00,31505.00,29555.00,31475.00,59533022726,1891465,859,D,30005.00,31505.00
Khazar.Shipping,20200601,30386.00,30782.00,29318.00,30005.00,29522617263,965120,468,D,29317.00,30782.00
Khazar.Shipping,20200531,30395.00,30395.00,27502.00,29317.00,56526338709,1928110,1133,D,28948.00,29881.00
Khazar.Shipping,20200530,29420.00,29425.00,28000.00,28948.00,40324569028,1380081,985,D,28024.00,29425.00
Khazar.Shipping,20200527,26862.00,29413.00,26861.00,28024.00,46063550626,1643740,1421,D,28274.00,28999.00
Khazar.Shipping,20200526,28124.00,30000.00,28124.00,28274.00,44536952145,1576527,1070,D,29604.00,28124.00
Khazar.Shipping,20200523,29599.00,30036.00,29599.00,29604.00,68873494196,2326486,1215,D,31156.00,29599.00
Khazar.Shipping,20200520,33449.00,33449.00,31060.00,31156.00,53051086138,1702767,1090,D,32694.00,31060.00
Khazar.Shipping,20200519,32999.00,33300.00,31699.00,32694.00,56990619395,1743174,1644,D,31734.00,32900.00
Khazar.Shipping,20200518,30611.00,32357.00,29278.00,31734.00,80802268735,2546262,1878,D,30817.00,32357.00
Khazar.Shipping,20200517,30492.00,33000.00,30492.00,30817.00,88091012892,2858483,1835,D,32096.00,30492.00
Khazar.Shipping,20200516,31037.00,31037.00,31037.00,32096.00,16700637256,538088,461,D,32670.00,31037.00
Khazar.Shipping,20200513,32410.00,34739.00,32410.00,32670.00,112287091608,3437032,2597,D,34115.00,32410.00
Khazar.Shipping,20200512,33064.00,33064.00,33064.00,34115.00,19382282120,586205,559,D,34804.00,33064.00
Khazar.Shipping,20200511,35505.00,35505.00,34253.00,34804.00,37846887036,1101077,731,D,36055.00,34253.00
Khazar.Shipping,20200510,37138.00,37138.00,34021.00,36055.00,189748733641,5262807,3552,D,35370.00,34900.00
Khazar.Shipping,20200509,35440.00,35441.00,34000.00,35370.00,73718977371,2084219,1319,D,33754.00,35441.00
Khazar.Shipping,20200506,33465.00,34957.00,33465.00,33754.00,253756981263,7517763,4470,D,35226.00,33500.00
Khazar.Shipping,20200505,35500.00,37000.00,34874.00,35226.00,93224458258,2646476,1497,D,36709.00,34874.00
Khazar.Shipping,20200504,36516.00,37890.00,36516.00,36709.00,205403451890,5595426,3856,D,38437.00,36516.00
Khazar.Shipping,20200503,38575.00,38575.00,37000.00,38437.00,342452508311,8909464,5383,D,36739.00,37003.00
Khazar.Shipping,20200502,36739.00,36739.00,36739.00,36739.00,74504597877,2027943,1422,D,34990.00,36739.00
Khazar.Shipping,20200429,32708.00,36150.00,32708.00,34990.00,605845266326,17314680,8655,D,34429.00,36150.00
Khazar.Shipping,20200428,33447.00,33447.00,33447.00,34429.00,21070104885,629955,558,D,35207.00,33447.00
Khazar.Shipping,20200427,36499.00,38300.00,34675.00,35207.00,38304452018,1098415,720,D,36327.00,34675.00
Khazar.Shipping,20200425,36818.00,36818.00,36000.00,36327.00,40063997622,1091228,597,D,35065.00,36311.00
Khazar.Shipping,20200422,33247.00,35453.00,33205.00,35065.00,120799937684,3445069,1490,D,33765.00,35453.00
Khazar.Shipping,20200421,35898.00,35898.00,33247.00,33765.00,254484411697,7536976,4240,D,34996.00,33247.00
Khazar.Shipping,20200420,34321.00,35908.00,32600.00,34996.00,314517249460,8987294,3848,D,34199.00,34500.00
