<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20200722,60450.00,61485.00,58100.00,59917.00,15334815125,255934,303,D,58286.00,59350.00
Kian.Gold.ETF,20200721,58100.00,59020.00,56300.00,58286.00,43881074747,752855,441,D,60460.00,58212.00
Kian.Gold.ETF,20200720,63900.00,63900.00,58000.00,60460.00,41812308698,691572,560,D,66543.00,62000.00
Kian.Gold.ETF,20200719,66600.00,67499.00,66000.00,66543.00,6319146066,94964,233,D,66259.00,66000.00
Kian.Gold.ETF,20200718,65500.00,66800.00,65500.00,66259.00,17186109695,259376,377,D,64425.00,66628.00
Kian.Gold.ETF,20200715,65000.00,65000.00,63990.00,64425.00,18525919588,287560,292,D,62996.00,64500.00
Kian.Gold.ETF,20200714,64980.00,64980.00,61006.00,62996.00,10841452810,172098,276,D,64584.00,64000.00
Kian.Gold.ETF,20200713,64813.00,67000.00,63500.00,64584.00,47007136412,727843,607,D,64812.00,65000.00
Kian.Gold.ETF,20200712,68800.00,70000.00,62000.00,64812.00,9535883598,147131,226,D,65405.00,64390.00
Kian.Gold.ETF,20200711,64960.00,66000.00,64500.00,65405.00,49983325120,764217,532,D,64283.00,65109.00
Kian.Gold.ETF,20200708,65500.00,65500.00,62000.00,64283.00,13187695962,205149,348,D,60775.00,63900.00
Kian.Gold.ETF,20200707,64899.00,64899.00,59999.00,60775.00,31972128391,526070,615,D,65487.00,60800.00
Kian.Gold.ETF,20200706,70000.00,80000.00,58000.00,65487.00,135889496401,2075046,1277,D,62825.00,62399.00
Kian.Gold.ETF,20200705,59190.00,70000.00,59190.00,62825.00,99741755221,1587609,843,D,55492.00,65200.00
Kian.Gold.ETF,20200704,53560.00,56490.00,53000.00,55492.00,28534849554,514213,555,D,51606.00,56410.00
Kian.Gold.ETF,20200701,50109.00,52398.00,50109.00,51606.00,14050581815,272265,241,D,50009.00,52398.00
Kian.Gold.ETF,20200630,49710.00,50499.00,49100.00,50009.00,35404310830,707964,340,D,48617.00,50064.00
Kian.Gold.ETF,20200629,47900.00,49500.00,47700.00,48617.00,52509408462,1080054,473,D,47187.00,47700.00
Kian.Gold.ETF,20200628,47410.00,47500.00,46500.00,47187.00,13876479834,294072,283,D,44966.00,47500.00
Kian.Gold.ETF,20200627,46600.00,46600.00,43700.00,44966.00,23354873057,519390,451,D,45497.00,46100.00
Kian.Gold.ETF,20200624,46650.00,46650.00,45000.00,45497.00,18996472713,417533,325,D,46645.00,45351.00
Kian.Gold.ETF,20200623,47139.00,47560.00,46000.00,46645.00,16862840561,361518,410,D,45303.00,46650.00
Kian.Gold.ETF,20200622,45700.00,45700.00,45000.00,45303.00,27559632808,608341,502,D,43543.00,45499.00
Kian.Gold.ETF,20200621,43000.00,44100.00,42990.00,43543.00,23068747169,529797,417,D,42308.00,43780.00
Kian.Gold.ETF,20200620,42000.00,42500.00,41990.00,42308.00,17994099458,425314,374,D,41469.00,42449.00
Kian.Gold.ETF,20200616,41202.00,41978.00,41111.00,41469.00,28656746247,691040,227,D,41152.00,41319.00
Kian.Gold.ETF,20200615,42000.00,42000.00,41010.00,41152.00,190604376266,4631696,256,D,41283.00,41012.00
Kian.Gold.ETF,20200614,41730.00,41750.00,40800.00,41283.00,23010939753,557396,294,D,41678.00,41010.00
Kian.Gold.ETF,20200613,42000.00,42000.00,41225.00,41678.00,11529685933,276636,224,D,40807.00,41283.00
Kian.Gold.ETF,20200610,40572.00,41299.00,40499.00,40807.00,9130596798,223752,263,D,39938.00,40740.00
Kian.Gold.ETF,20200609,39200.00,40300.00,39200.00,39938.00,11345539822,284076,215,D,38883.00,39622.00
Kian.Gold.ETF,20200608,39997.00,39997.00,38315.00,38883.00,9717341373,249913,164,D,38961.00,39201.00
Kian.Gold.ETF,20200607,39800.00,39800.00,38502.00,38961.00,24161209183,620137,485,D,38515.00,39092.00
Kian.Gold.ETF,20200606,39000.00,39000.00,38131.00,38515.00,39780687940,1032857,361,D,39906.00,38222.00
Kian.Gold.ETF,20200602,40698.00,40698.00,39605.00,39906.00,7508608720,188158,185,D,39758.00,39800.00
Kian.Gold.ETF,20200601,40611.00,40800.00,39401.00,39758.00,21238848145,534209,328,D,39243.00,40010.00
Kian.Gold.ETF,20200531,39799.00,40000.00,39012.00,39243.00,14480252214,368992,206,D,40776.00,39500.00
Kian.Gold.ETF,20200530,42000.00,42000.00,40015.00,40776.00,25214903559,618382,297,D,39280.00,40701.00
Kian.Gold.ETF,20200527,39550.00,39981.00,39000.00,39280.00,18897354939,481093,280,D,40340.00,39020.00
Kian.Gold.ETF,20200526,43739.00,43739.00,39009.00,40340.00,31295301156,775795,340,D,42964.00,40445.00
Kian.Gold.ETF,20200523,43999.00,43999.00,42009.00,42964.00,8555443788,199131,201,D,43435.00,42977.00
Kian.Gold.ETF,20200520,44399.00,44399.00,42001.00,43435.00,23054349236,530782,346,D,41378.00,43985.00
Kian.Gold.ETF,20200519,41111.00,43000.00,40100.00,41378.00,15945397002,385357,345,D,42437.00,41256.00
Kian.Gold.ETF,20200518,44176.00,45980.00,41000.00,42437.00,79502390572,1873410,779,D,44176.00,42000.00
Kian.Gold.ETF,20200517,47002.00,48200.00,43000.00,44176.00,53235902633,1205098,659,D,48516.00,43216.00
Kian.Gold.ETF,20200513,50000.00,50001.00,46501.00,48516.00,36267030045,747520,550,D,48573.00,46820.00
Kian.Gold.ETF,20200512,46700.00,50000.00,46700.00,48573.00,88024868346,1812209,906,D,45797.00,48990.00
Kian.Gold.ETF,20200511,44500.00,46000.00,44493.00,45797.00,17794437994,388552,224,D,44134.00,46000.00
Kian.Gold.ETF,20200510,43512.00,44278.00,43512.00,44134.00,12566319359,284733,190,D,42775.00,44135.00
Kian.Gold.ETF,20200509,42900.00,43500.00,42110.00,42775.00,81033454936,1894418,507,D,41906.00,42650.00
Kian.Gold.ETF,20200506,42505.00,42628.00,41506.00,41906.00,14684836889,350423,319,D,41448.00,41590.00
Kian.Gold.ETF,20200505,41960.00,42000.00,41132.00,41448.00,59609590848,1438192,1352,D,41228.00,41600.00
Kian.Gold.ETF,20200504,40400.00,41900.00,39005.00,41228.00,35938270395,871703,485,D,40229.00,41489.00
Kian.Gold.ETF,20200503,40400.00,40899.00,39531.00,40229.00,48411732505,1203416,397,D,39069.00,40156.00
Kian.Gold.ETF,20200502,38710.00,40399.00,38301.00,39069.00,37467914772,959029,531,D,37887.00,39900.00
Kian.Gold.ETF,20200429,36901.00,38698.00,36901.00,37887.00,19641487143,518429,343,D,36774.00,38600.00
Kian.Gold.ETF,20200428,37950.00,37950.00,36700.00,36774.00,23490666359,638783,381,D,37707.00,36805.00
Kian.Gold.ETF,20200427,37990.00,38480.00,37000.00,37707.00,44976678296,1192807,460,D,37769.00,37800.00
Kian.Gold.ETF,20200426,37499.00,38500.00,37123.00,37769.00,20688368717,547759,420,D,36695.00,38500.00
Kian.Gold.ETF,20200425,36100.00,37100.00,36100.00,36695.00,37656550136,1026215,500,D,35457.00,36950.00
Kian.Gold.ETF,20200422,35099.00,35900.00,34800.00,35457.00,23709491772,668674,393,D,34091.00,35760.00
Kian.Gold.ETF,20200421,34001.00,34840.00,33899.00,34091.00,14016807303,411154,351,D,33456.00,34000.00
Kian.Gold.ETF,20200420,33010.00,33950.00,33010.00,33456.00,8789589428,262718,231,D,33059.00,33499.00
Kian.Gold.ETF,20200419,33500.00,33599.00,32900.00,33059.00,40078983074,1212334,479,D,33932.00,33500.00
Kian.Gold.ETF,20200418,35998.00,35998.00,33451.00,33932.00,63969546247,1885223,592,D,35924.00,34000.00
Kian.Gold.ETF,20200415,36438.00,36438.00,35720.00,35924.00,4366954733,121561,91,D,36374.00,35855.00
Kian.Gold.ETF,20200414,36500.00,36649.00,36205.00,36374.00,26189013369,719987,405,D,36371.00,36222.00
Kian.Gold.ETF,20200413,36640.00,36649.00,36100.00,36371.00,10266161679,282266,151,D,36479.00,36600.00
Kian.Gold.ETF,20200412,36300.00,36700.00,35700.00,36479.00,26739346000,733010,304,D,35218.00,36597.00
Kian.Gold.ETF,20200411,35253.00,35497.00,35002.00,35218.00,13166517690,373854,205,D,34987.00,35497.00
Kian.Gold.ETF,20200408,35151.00,35200.00,34801.00,34987.00,10696464071,305724,347,D,35804.00,35099.00
Kian.Gold.ETF,20200407,36400.00,36400.00,35411.00,35804.00,17360999461,484889,553,D,36272.00,35450.00
Kian.Gold.ETF,20200406,36425.00,37000.00,36124.00,36272.00,9701143922,267455,358,D,36693.00,36300.00
Kian.Gold.ETF,20200405,36690.00,37085.00,36400.00,36693.00,35970080587,980296,526,D,36392.00,36696.00
Kian.Gold.ETF,20200404,37700.00,37700.00,35850.00,36392.00,52389927390,1439595,886,D,36919.00,35999.00
Kian.Gold.ETF,20200330,36799.00,37400.00,36420.00,36919.00,231257407695,6263988,869,D,36019.00,37139.00
Kian.Gold.ETF,20200329,35890.00,36249.00,35890.00,36019.00,57530487170,1597208,614,D,35066.00,35999.00
Kian.Gold.ETF,20200328,34560.00,35700.00,34300.00,35066.00,23263650159,663417,505,D,33916.00,35000.00
Kian.Gold.ETF,20200325,34000.00,34298.00,33502.00,33916.00,35301103679,1040851,544,D,33901.00,34190.00
Kian.Gold.ETF,20200324,33550.00,34140.00,33550.00,33901.00,33452079396,986764,408,D,33133.00,34000.00
Kian.Gold.ETF,20200318,32370.00,33444.00,32370.00,33133.00,28485454607,859724,425,D,32249.00,33388.00
Kian.Gold.ETF,20200317,32133.00,32800.00,32000.00,32249.00,34995490942,1085161,283,D,32657.00,32498.00
Kian.Gold.ETF,20200316,32499.00,33300.00,31920.00,32657.00,32801316778,1004420,437,D,31799.00,32002.00
Kian.Gold.ETF,20200315,31680.00,32200.00,31680.00,31799.00,33823419622,1063667,284,D,30998.00,32014.00
Kian.Gold.ETF,20200314,30200.00,31400.00,30200.00,30998.00,24820235709,800712,295,D,32606.00,31400.00
Kian.Gold.ETF,20200311,32006.00,32990.00,32006.00,32606.00,5263488568,161425,140,D,32209.00,32677.00
Kian.Gold.ETF,20200310,32900.00,32900.00,32000.00,32209.00,8267994162,256695,324,D,32521.00,32250.00
Kian.Gold.ETF,20200309,32550.00,33000.00,32000.00,32521.00,63005845558,1937398,618,D,31564.00,32990.00
Kian.Gold.ETF,20200304,31800.00,31800.00,31004.00,31564.00,8134894393,257727,154,D,31124.00,31452.00
Kian.Gold.ETF,20200303,31600.00,31600.00,30750.00,31124.00,12958238226,416338,368,D,32108.00,30913.00
Kian.Gold.ETF,20200302,32600.00,32600.00,31690.00,32108.00,9900675039,308355,461,D,30021.00,31927.00
Kian.Gold.ETF,20200229,31461.00,31461.00,29100.00,30021.00,31851463535,1060969,378,D,31557.00,30300.00
Kian.Gold.ETF,20200226,32550.00,32700.00,31350.00,31557.00,65951362300,2089886,514,D,31608.00,31806.00
Kian.Gold.ETF,20200225,32500.00,33200.00,31200.00,31608.00,52791677737,1670190,583,D,31645.00,31749.00
Kian.Gold.ETF,20200224,31298.00,32222.00,31200.00,31645.00,36106122016,1140958,304,D,30794.00,32199.00
Kian.Gold.ETF,20200223,31239.00,31400.00,30051.00,30794.00,50720084756,1647065,525,D,30060.00,30100.00
Kian.Gold.ETF,20200222,29900.00,30600.00,29900.00,30060.00,60374079029,2008423,658,D,28795.00,30500.00
Kian.Gold.ETF,20200219,28999.00,29000.00,28300.00,28795.00,4526108153,157182,27,D,28677.00,29000.00
Kian.Gold.ETF,20200218,28300.00,28795.00,28300.00,28677.00,66719656018,2326614,215,D,28515.00,28569.00
Kian.Gold.ETF,20200217,28899.00,28899.00,28024.00,28515.00,838600616,29409,54,D,28304.00,28430.00
Kian.Gold.ETF,20200216,28004.00,28899.00,28004.00,28304.00,4107717626,145130,111,D,28195.00,28800.00
Kian.Gold.ETF,20200215,28900.00,28900.00,28001.00,28195.00,7448062636,264165,124,D,28146.00,28032.00
