<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kish.Parsian.E-COM,20200722,45820.00,45823.00,42000.00,44212.00,13884462416,304612,206,D,43641.00,44110.00
Kish.Parsian.E-COM,20200721,43690.00,44818.00,43514.00,43641.00,144279981557,3306028,2252,D,45804.00,43514.00
Kish.Parsian.E-COM,20200720,46750.00,46755.00,45394.00,45804.00,164856977225,3599150,2806,D,47783.00,45394.00
Kish.Parsian.E-COM,20200719,51010.00,51010.00,46310.00,47783.00,122666417920,2567144,1736,D,48581.00,46900.00
Kish.Parsian.E-COM,20200718,46001.00,50377.00,46001.00,48581.00,159116495292,3275254,2754,D,48310.00,49114.00
Kish.Parsian.E-COM,20200715,47911.00,49300.00,47911.00,48310.00,112677678210,2332411,1905,D,50432.00,47911.00
Kish.Parsian.E-COM,20200714,51542.00,51542.00,46634.00,50432.00,258292364800,5121613,3845,D,49088.00,47788.00
Kish.Parsian.E-COM,20200713,47700.00,49342.00,47010.00,49088.00,147559188081,3005987,1694,D,46993.00,49342.00
Kish.Parsian.E-COM,20200712,47001.00,47001.00,46000.00,46993.00,183640376097,3907854,1367,D,44763.00,47001.00
Kish.Parsian.E-COM,20200711,42100.00,46483.00,42057.00,44763.00,224240044367,5009452,2509,D,44270.00,46483.00
Kish.Parsian.E-COM,20200708,44000.00,45823.00,42530.00,44270.00,298030296842,6732149,3009,D,43641.00,42800.00
Kish.Parsian.E-COM,20200707,45100.00,45133.00,42453.00,43641.00,122264971773,2801617,2155,D,44687.00,43785.00
Kish.Parsian.E-COM,20200706,44688.00,44688.00,44600.00,44687.00,94625373170,2117498,1150,D,42560.00,44688.00
Kish.Parsian.E-COM,20200705,42000.00,44980.00,41048.00,42560.00,165728208163,3893997,3120,D,43208.00,44980.00
Kish.Parsian.E-COM,20200704,45250.00,45250.00,42881.00,43208.00,153478580126,3552089,1865,D,45137.00,42881.00
Kish.Parsian.E-COM,20200701,47363.00,48000.00,44139.00,45137.00,183224069393,4059325,2969,D,46462.00,44940.00
Kish.Parsian.E-COM,20200630,43020.00,46861.00,43020.00,46462.00,180514042340,3885221,2181,D,44630.00,46861.00
Kish.Parsian.E-COM,20200629,44610.00,45858.00,44519.00,44630.00,128090021391,2870066,2014,D,46862.00,44519.00
Kish.Parsian.E-COM,20200628,47698.00,48200.00,46674.00,46862.00,127361153506,2717770,1556,D,49130.00,46674.00
Kish.Parsian.E-COM,20200627,50670.00,51500.00,48276.00,49130.00,169086636939,3441629,2510,D,50816.00,48939.00
Kish.Parsian.E-COM,20200624,50670.00,52000.00,50670.00,50816.00,163976384719,3226845,1592,D,53336.00,50670.00
Kish.Parsian.E-COM,20200623,55000.00,55800.00,50557.00,53336.00,230009142424,4312482,3267,D,53217.00,50557.00
Kish.Parsian.E-COM,20200622,53241.00,53241.00,52000.00,53217.00,156563558208,2941965,2395,D,50706.00,53198.00
Kish.Parsian.E-COM,20200621,50909.00,50909.00,49000.00,50706.00,169692006123,3346582,1746,D,48485.00,50909.00
Kish.Parsian.E-COM,20200620,48485.00,48485.00,48480.00,48485.00,124483562670,2567467,1475,D,46177.00,48485.00
Kish.Parsian.E-COM,20200616,44369.00,46588.00,44300.00,46177.00,147754383309,3199771,1155,D,44370.00,46588.00
Kish.Parsian.E-COM,20200615,45135.00,46200.00,43100.00,44370.00,118147226175,2662801,2168,D,45146.00,44599.00
Kish.Parsian.E-COM,20200614,47475.00,47475.00,45040.00,45146.00,221323255934,4902372,2679,D,47410.00,45135.00
Kish.Parsian.E-COM,20200613,50238.00,50238.00,46000.00,47410.00,113827858416,2400921,2619,D,47846.00,47000.00
Kish.Parsian.E-COM,20200610,47111.00,48059.00,46481.00,47846.00,84611081387,1768406,1450,D,45771.00,48059.00
Kish.Parsian.E-COM,20200609,45700.00,45894.00,45000.00,45771.00,187574837757,4098071,2297,D,43709.00,45894.00
Kish.Parsian.E-COM,20200608,43783.00,43783.00,41783.00,43709.00,133572661509,3055940,1988,D,41699.00,43783.00
Kish.Parsian.E-COM,20200607,43087.00,43087.00,43087.00,41699.00,17610518640,408720,434,D,41036.00,43087.00
Kish.Parsian.E-COM,20200606,39590.00,41504.00,39590.00,41036.00,47086065163,1142939,721,D,39528.00,41504.00
Kish.Parsian.E-COM,20200602,38301.00,40500.00,38301.00,39528.00,80446509853,2035161,1759,D,39033.00,39064.00
Kish.Parsian.E-COM,20200601,39450.00,41000.00,37776.00,39033.00,87616366389,2244694,1569,D,39764.00,38300.00
Kish.Parsian.E-COM,20200531,42700.00,42700.00,39444.00,39764.00,52891402890,1330131,1174,D,41519.00,39444.00
Kish.Parsian.E-COM,20200530,41402.00,42989.00,41102.00,41519.00,50924236827,1226527,1457,D,40993.00,41530.00
Kish.Parsian.E-COM,20200527,39892.00,43422.00,39892.00,40993.00,71180010754,1736402,1646,D,41988.00,41113.00
Kish.Parsian.E-COM,20200526,40839.00,42064.00,40836.00,41988.00,21367428374,522804,612,D,42985.00,40836.00
Kish.Parsian.E-COM,20200523,43000.00,43999.00,42843.00,42985.00,97539305480,2269137,1910,D,45097.00,42843.00
Kish.Parsian.E-COM,20200520,48785.00,48785.00,44321.00,45097.00,52047795003,1154386,1058,D,46653.00,44321.00
Kish.Parsian.E-COM,20200519,46665.00,46665.00,46200.00,46653.00,161186266595,3454975,2384,D,44443.00,46665.00
Kish.Parsian.E-COM,20200518,44455.00,44455.00,43200.00,44443.00,143715467226,3233722,1897,D,42339.00,44455.00
Kish.Parsian.E-COM,20200517,39999.00,44000.00,39999.00,42339.00,82108041175,1939295,1894,D,42048.00,42600.00
Kish.Parsian.E-COM,20200516,40893.00,42999.00,40893.00,42048.00,27183172927,658406,526,D,43045.00,41400.00
Kish.Parsian.E-COM,20200513,39900.00,44049.00,39900.00,43045.00,137508403161,3194530,2082,D,41952.00,41898.00
Kish.Parsian.E-COM,20200512,41908.00,43999.00,41908.00,41952.00,211734068806,5047021,1787,D,44113.00,41908.00
Kish.Parsian.E-COM,20200511,44007.00,45000.00,43945.00,44113.00,55332174825,1254340,739,D,46257.00,43945.00
Kish.Parsian.E-COM,20200510,46310.00,48801.00,45667.00,46257.00,205195797219,4435987,3363,D,48070.00,45667.00
Kish.Parsian.E-COM,20200509,47650.00,50700.00,46398.00,48070.00,237005565559,4930413,3244,D,48840.00,47000.00
Kish.Parsian.E-COM,20200506,48729.00,50194.00,48729.00,48840.00,148231179128,3035060,1638,D,51293.00,48729.00
Kish.Parsian.E-COM,20200505,53401.00,55700.00,50430.00,51293.00,331400537801,6460883,2255,D,53084.00,50430.00
Kish.Parsian.E-COM,20200504,51358.00,53925.00,51358.00,53084.00,104289403725,1964601,1116,D,48913.00,53925.00
Kish.Parsian.E-COM,20200503,48913.00,48913.00,48913.00,48913.00,55768841732,1140164,277,D,46584.00,48913.00
Kish.Parsian.E-COM,20200502,46861.00,46861.00,46861.00,46584.00,45988729346,981386,443,D,44630.00,46861.00
Kish.Parsian.E-COM,20200429,41500.00,45616.00,41500.00,44630.00,358355789264,8029410,3315,D,43444.00,45616.00
Kish.Parsian.E-COM,20200428,45900.00,45900.00,42176.00,43444.00,188317185771,4334754,2612,D,44395.00,42179.00
Kish.Parsian.E-COM,20200427,43000.00,44849.00,40811.00,44395.00,331977353622,7477829,3079,D,42714.00,44849.00
Kish.Parsian.E-COM,20200426,43495.00,43495.00,39360.00,42714.00,448972209831,10511022,3217,D,41424.00,43495.00
Kish.Parsian.E-COM,20200425,41424.00,41424.00,41424.00,41424.00,82243168176,1985399,583,D,39452.00,41424.00
Kish.Parsian.E-COM,20200422,39544.00,39544.00,38200.00,39452.00,435041659044,11027012,2739,D,37661.00,39544.00
Kish.Parsian.E-COM,20200421,36000.00,37800.00,36000.00,37661.00,168922929600,4485336,1013,D,31461.00,37800.00
Kish.Parsian.E-COM,20200420,32246.00,32246.00,32246.00,31461.00,27308653710,846885,274,D,30711.00,32246.00
Kish.Parsian.E-COM,20200419,30758.00,30758.00,28111.00,30711.00,176271828973,5739740,972,D,29294.00,30758.00
Kish.Parsian.E-COM,20200418,30287.00,30287.00,30287.00,29294.00,16359189893,540139,250,D,28845.00,30287.00
Kish.Parsian.E-COM,20200415,29877.00,29877.00,29877.00,28845.00,16454339472,550736,491,D,28455.00,29877.00
Kish.Parsian.E-COM,20200414,28690.00,28690.00,28690.00,28455.00,47722486960,1663384,796,D,27324.00,28690.00
Kish.Parsian.E-COM,20200413,27834.00,27834.00,27834.00,27324.00,34383952548,1235322,341,D,26509.00,27834.00
Kish.Parsian.E-COM,20200412,27145.00,27145.00,27145.00,26509.00,27691890315,1020147,325,D,25853.00,27145.00
Kish.Parsian.E-COM,20200411,26127.00,26127.00,26127.00,25853.00,40940042301,1566963,354,D,24883.00,26127.00
Kish.Parsian.E-COM,20200408,25645.00,25645.00,25645.00,24883.00,22462122115,875887,466,D,24424.00,25645.00
Kish.Parsian.E-COM,20200407,24046.00,25169.00,25169.00,24424.00,22165004343,880647,408,D,23971.00,25169.00
Kish.Parsian.E-COM,20200406,23971.00,23971.00,23971.00,23971.00,56283884029,2347999,473,D,22830.00,23971.00
Kish.Parsian.E-COM,20200405,23512.00,23512.00,23512.00,22830.00,21396601848,910029,352,D,22393.00,23512.00
Kish.Parsian.E-COM,20200404,21600.00,22524.00,21600.00,22393.00,50367203768,2245691,636,D,21452.00,22524.00
Kish.Parsian.E-COM,20200330,21240.00,22300.00,21240.00,21452.00,76559497613,3568891,2662,D,22357.00,21400.00
