<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kosar.Ins.,20200722,31200.00,32700.00,29640.00,30163.00,64698529899,2144985,630,D,29839.00,29700.00
Kosar.Ins.,20200719,30404.00,30404.00,28700.00,30289.00,454910874306,15018841,3509,D,28957.00,30404.00
Kosar.Ins.,20200718,28547.00,29547.00,26733.00,28957.00,280149172078,9674617,2839,D,28140.00,29547.00
Kosar.Ins.,20200715,28266.00,28266.00,28266.00,28140.00,52295491920,1850120,523,D,26920.00,28266.00
Kosar.Ins.,20200714,27535.00,27535.00,27535.00,26920.00,29811566265,1082679,471,D,26224.00,27535.00
Kosar.Ins.,20200713,26224.00,26224.00,26224.00,26224.00,70348790864,2682611,464,D,24976.00,26224.00
Kosar.Ins.,20200712,24976.00,24976.00,24976.00,24976.00,54484045056,2181456,288,D,23787.00,24976.00
Kosar.Ins.,20200711,23275.00,25725.00,23275.00,23787.00,194071287835,8158733,2468,D,24500.00,25725.00
Kosar.Ins.,20200708,25500.00,25500.00,24383.00,24500.00,95259919637,3888101,1783,D,25666.00,24383.00
Kosar.Ins.,20200707,26160.00,26348.00,24908.00,25666.00,223803296156,8719721,2972,D,26167.00,25500.00
Kosar.Ins.,20200706,26345.00,26750.00,25451.00,26167.00,173704780025,6638275,3270,D,25528.00,25780.00
Kosar.Ins.,20200705,25110.00,26799.00,24737.00,25528.00,215307696218,8434176,3331,D,26038.00,25710.00
Kosar.Ins.,20200704,26300.00,27391.00,25781.00,26038.00,149041193157,5724055,2734,D,27137.00,25781.00
Kosar.Ins.,20200701,28650.00,28650.00,26220.00,27137.00,169124805698,6232262,3025,D,27296.00,26570.00
Kosar.Ins.,20200630,25354.00,27472.00,25354.00,27296.00,72026850500,2638767,1411,D,26164.00,27472.00
Kosar.Ins.,20200629,26158.00,27000.00,26158.00,26164.00,150664033296,5758378,1678,D,27534.00,26158.00
Kosar.Ins.,20200628,28579.00,28579.00,27401.00,27534.00,177125828086,6432984,2388,D,28843.00,27401.00
Kosar.Ins.,20200627,29000.00,30090.00,28580.00,28843.00,188711248644,6542684,2813,D,30084.00,28580.00
Kosar.Ins.,20200624,29100.00,31249.00,29000.00,30084.00,141421981354,4700829,2183,D,30372.00,29451.00
Kosar.Ins.,20200623,29110.00,30866.00,28999.00,30372.00,389464043610,12822930,4492,D,29397.00,29000.00
Kosar.Ins.,20200622,30120.00,30987.00,28599.00,29397.00,286570998540,9748196,5076,D,30104.00,28801.00
Kosar.Ins.,20200621,30109.00,30109.00,28910.00,30104.00,455265854540,15122874,2301,D,28676.00,30109.00
Kosar.Ins.,20200620,28676.00,28676.00,28676.00,28676.00,63179393340,2203215,540,D,27311.00,28676.00
Kosar.Ins.,20200616,27311.00,27311.00,27311.00,27311.00,61847889758,2264578,485,D,26011.00,27311.00
Kosar.Ins.,20200615,26057.00,26057.00,26057.00,26011.00,48585074433,1864569,428,D,24817.00,26057.00
Kosar.Ins.,20200614,26000.00,26000.00,24382.00,24817.00,201127216279,8104362,3555,D,25665.00,25100.00
Kosar.Ins.,20200613,26126.00,26800.00,24990.00,25665.00,239832045940,9344740,4287,D,25824.00,25501.00
Kosar.Ins.,20200610,26250.00,26862.00,25300.00,25824.00,184262042383,7135208,2903,D,26576.00,25650.00
Kosar.Ins.,20200609,27000.00,27999.00,26227.00,26576.00,72813410209,2739806,1416,D,27607.00,26227.00
Kosar.Ins.,20200608,27001.00,29198.00,26884.00,27607.00,153610798547,5564288,1831,D,28298.00,26884.00
Kosar.Ins.,20200607,28495.00,28614.00,27587.00,28298.00,164404009459,5809655,2276,D,27252.00,28289.00
Kosar.Ins.,20200606,26250.00,27482.00,26250.00,27252.00,112933244314,4144033,1698,D,26174.00,27482.00
Kosar.Ins.,20200602,25100.00,27000.00,25100.00,26174.00,125616094307,4799216,2150,D,26056.00,26508.00
Kosar.Ins.,20200601,26849.00,26849.00,26024.00,26056.00,69973253004,2685519,1242,D,27393.00,26024.00
Kosar.Ins.,20200531,29673.00,29673.00,26849.00,27393.00,76311466213,2785804,1215,D,28262.00,26849.00
Kosar.Ins.,20200530,28200.00,28291.00,27411.00,28262.00,57939572504,2050094,1047,D,26944.00,28291.00
Kosar.Ins.,20200527,26000.00,27365.00,25701.00,26944.00,68302730572,2534951,1803,D,26099.00,27365.00
Kosar.Ins.,20200526,25500.00,27300.00,25500.00,26099.00,90094730826,3452064,1895,D,26063.00,26000.00
Kosar.Ins.,20200523,26000.00,26450.00,25901.00,26063.00,118684001238,4553678,1631,D,26139.00,26000.00
Kosar.Ins.,20200520,26500.00,27376.00,25750.00,26139.00,196374295305,7512723,2322,D,27101.00,26500.00
Kosar.Ins.,20200519,27840.00,27840.00,26005.00,27101.00,158917474136,5863828,2650,D,26515.00,26399.00
Kosar.Ins.,20200518,26545.00,26545.00,25461.00,26515.00,98338265605,3708776,1192,D,25281.00,26545.00
Kosar.Ins.,20200517,24000.00,25462.00,24000.00,25281.00,129370096497,5117231,1243,D,24250.00,25462.00
Kosar.Ins.,20200516,24100.00,26000.00,23900.00,24250.00,164084362954,6766414,2723,D,24964.00,24003.00
Kosar.Ins.,20200513,24812.00,27222.00,24812.00,24964.00,304309035467,12189834,3426,D,26117.00,24812.00
Kosar.Ins.,20200512,25147.00,25147.00,25147.00,26117.00,12604103899,501217,307,D,26470.00,25147.00
Kosar.Ins.,20200511,26562.00,26562.00,26144.00,26470.00,39180055742,1495305,924,D,27520.00,26144.00
Kosar.Ins.,20200510,29356.00,29356.00,26562.00,27520.00,326114406659,11850151,5472,D,27959.00,26562.00
Kosar.Ins.,20200509,27980.00,27983.00,27600.00,27959.00,140473461209,5024187,1916,D,26651.00,27983.00
Kosar.Ins.,20200506,25300.00,27669.00,25300.00,26651.00,175937273705,6601468,3568,D,26366.00,27400.00
Kosar.Ins.,20200505,27000.00,28300.00,25650.00,26366.00,149447536301,5668168,2282,D,27679.00,25650.00
Kosar.Ins.,20200502,27707.00,27707.00,27100.00,27679.00,145110177675,5242596,2569,D,26388.00,27707.00
Kosar.Ins.,20200429,25525.00,27539.00,25525.00,26388.00,675565569914,25601649,9681,D,26868.00,26601.00
Kosar.Ins.,20200428,26799.00,26799.00,26799.00,26868.00,50525065866,1885334,1316,D,28209.00,26799.00
Kosar.Ins.,20200427,27806.00,29196.00,27305.00,28209.00,179067973258,6347985,3224,D,26482.00,27610.00
Kosar.Ins.,20200425,26482.00,26482.00,26450.00,26482.00,213053659527,8045291,3029,D,25221.00,26482.00
Kosar.Ins.,20200422,25000.00,25491.00,24424.00,25221.00,259924284874,10305881,4085,D,24278.00,25491.00
Kosar.Ins.,20200421,24424.00,24424.00,23634.00,24278.00,692291732054,28515580,7620,D,23261.00,24409.00
