<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Insur.,20200722,22290.00,23270.00,22290.00,22320.00,506817615840,22703224,5625,D,23460.00,22290.00
Mellat.Insur.,20200721,24000.00,24700.00,23320.00,23460.00,580962187370,24760085,8063,D,24540.00,23320.00
Mellat.Insur.,20200720,24000.00,24700.00,23310.00,24540.00,1616880586270,65881783,10779,D,23530.00,24700.00
Mellat.Insur.,20200719,23540.00,23540.00,23150.00,23530.00,1508089336310,64098046,7906,D,22420.00,23540.00
Mellat.Insur.,20200718,21600.00,22530.00,21500.00,22420.00,905016338110,40371218,3253,D,21460.00,22530.00
Mellat.Insur.,20200715,20320.00,22360.00,20320.00,21460.00,391787056250,18253853,5075,D,21360.00,20600.00
Mellat.Insur.,20200714,21900.00,21940.00,21090.00,21360.00,212603153380,9954433,3203,D,22200.00,21090.00
Mellat.Insur.,20200713,22820.00,22820.00,21200.00,22200.00,397936835120,17925330,5056,D,21740.00,21510.00
Mellat.Insur.,20200712,21350.00,21810.00,21310.00,21740.00,156433494800,7196558,1459,D,20780.00,21810.00
Mellat.Insur.,20200711,20550.00,22690.00,20550.00,20780.00,264044552490,12708797,3170,D,21630.00,21000.00
Mellat.Insur.,20200708,21800.00,22890.00,21480.00,21630.00,238340297730,11019761,3764,D,22610.00,21480.00
Mellat.Insur.,20200707,22990.00,23500.00,22490.00,22610.00,312913170230,13838498,4725,D,23670.00,22490.00
Mellat.Insur.,20200706,23680.00,23680.00,23500.00,23670.00,413214592860,17453870,4740,D,22560.00,23680.00
Mellat.Insur.,20200705,21460.00,23700.00,21460.00,22560.00,593721087840,26314624,6939,D,22580.00,23420.00
Mellat.Insur.,20200704,23480.00,23480.00,22390.00,22580.00,166221184070,7361333,3152,D,23560.00,22390.00
Mellat.Insur.,20200701,25040.00,25040.00,22660.00,23560.00,588628875520,24981322,7712,D,23850.00,23000.00
Mellat.Insur.,20200630,23850.00,23850.00,23850.00,23850.00,196496906400,8238864,1533,D,22720.00,23850.00
Mellat.Insur.,20200629,22440.00,23700.00,22440.00,22720.00,667629775740,29385482,4973,D,23620.00,23380.00
Mellat.Insur.,20200628,24850.00,24950.00,23360.00,23620.00,185367530560,7849057,2375,D,24580.00,23360.00
Mellat.Insur.,20200627,25700.00,25750.00,23940.00,24580.00,506219277300,20594713,5392,D,25190.00,23970.00
Mellat.Insur.,20200624,24840.00,26280.00,24840.00,25190.00,417849209670,16590454,3754,D,26140.00,24840.00
Mellat.Insur.,20200623,25900.00,26350.00,25000.00,26140.00,901899974940,34506212,7942,D,25100.00,25200.00
Mellat.Insur.,20200622,25100.00,25100.00,25100.00,25100.00,112093864100,4465891,1813,D,26420.00,25100.00
Mellat.Insur.,20200621,27580.00,27580.00,25100.00,26420.00,713985029150,27028531,7699,D,26270.00,25390.00
Mellat.Insur.,20200620,26270.00,26270.00,26270.00,26270.00,133587389630,5085169,849,D,25020.00,26270.00
Mellat.Insur.,20200616,25020.00,25020.00,25000.00,25020.00,311466733820,12448719,1919,D,23830.00,25020.00
Mellat.Insur.,20200615,23830.00,23830.00,23700.00,23830.00,266857247520,11198990,1569,D,22700.00,23830.00
Mellat.Insur.,20200614,22560.00,23700.00,21460.00,22700.00,770955376260,33956253,5603,D,22580.00,23700.00
Mellat.Insur.,20200613,22700.00,22700.00,21820.00,22580.00,477454954900,21145270,4150,D,21623.00,22700.00
Mellat.Insur.,20200610,21626.00,21626.00,21080.00,21623.00,441941344287,20438380,2013,D,20597.00,21626.00
Mellat.Insur.,20200607,19160.00,21077.00,19160.00,20597.00,257971751515,12524819,2471,D,20074.00,21077.00
Mellat.Insur.,20200606,20451.00,20451.00,19500.00,20074.00,440955370953,21965982,4624,D,19478.00,20134.00
Mellat.Insur.,20200602,19478.00,19478.00,19478.00,19478.00,86445370234,4438103,464,D,18551.00,19478.00
Mellat.Insur.,20200601,18551.00,18551.00,18551.00,18551.00,129562335916,6984116,484,D,17668.00,18551.00
Mellat.Insur.,20200531,17005.00,18075.00,16360.00,17668.00,313823937926,17762414,2910,D,17215.00,18075.00
Mellat.Insur.,20200530,17805.00,18000.00,16679.00,17215.00,364330869776,21163639,4542,D,17379.00,16800.00
Mellat.Insur.,20200527,17003.00,17841.00,16850.00,17379.00,196270382999,11293848,2848,D,17284.00,17112.00
Mellat.Insur.,20200526,17613.00,17613.00,16119.00,17284.00,484535000000,28033470,4679,D,16802.00,16600.00
Mellat.Insur.,20200523,16775.00,16775.00,16775.00,16775.00,395173489425,23557287,1430,D,15977.00,16775.00
Mellat.Insur.,20200520,15800.00,16496.00,14926.00,15977.00,349581529418,21879844,3830,D,15711.00,16496.00
Mellat.Insur.,20200519,16400.00,16401.00,15471.00,15711.00,345332263271,21979927,4564,D,16285.00,15700.00
Mellat.Insur.,20200518,16508.00,16508.00,15780.00,16285.00,464146425026,28501914,5821,D,15722.00,16150.00
Mellat.Insur.,20200517,15790.00,15790.00,15070.00,15722.00,492793580012,31344272,4316,D,15039.00,15790.00
Mellat.Insur.,20200516,15088.00,15088.00,14447.00,15039.00,1066895535388,70939927,7992,D,14370.00,15088.00
Mellat.Insur.,20200513,14376.00,14376.00,13700.00,14370.00,527530835632,36710042,2798,D,13692.00,14376.00
Mellat.Insur.,20200512,13532.00,14480.00,13532.00,13692.00,375051419994,27391698,4622,D,14244.00,14000.00
Mellat.Insur.,20200511,14210.00,14590.00,14104.00,14244.00,120162336505,8436103,1988,D,14846.00,14104.00
Mellat.Insur.,20200510,15700.00,15700.00,14414.00,14846.00,203324034739,13695969,3954,D,15172.00,14414.00
Mellat.Insur.,20200509,14808.00,15890.00,14808.00,15172.00,523848256069,34526900,6605,D,15587.00,15100.00
Mellat.Insur.,20200506,15499.00,15499.00,15499.00,15587.00,42472421167,2740333,627,D,16314.00,15499.00
Mellat.Insur.,20200505,16830.00,17000.00,16051.00,16314.00,108522525941,6652139,1740,D,16895.00,16051.00
Mellat.Insur.,20200504,16935.00,17200.00,16800.00,16895.00,210987412072,12488378,3410,D,17684.00,16800.00
Mellat.Insur.,20200503,17880.00,17906.00,17300.00,17684.00,433654020939,24522205,8216,D,17055.00,17391.00
Mellat.Insur.,20200502,16949.00,17078.00,16536.00,17055.00,216495303812,12693613,2840,D,16265.00,17078.00
Mellat.Insur.,20200429,15310.00,16536.00,15200.00,16265.00,201888640469,12412792,2330,D,15749.00,16536.00
Mellat.Insur.,20200428,16398.00,16495.00,14998.00,15749.00,286828837501,18212702,4116,D,15710.00,15050.00
Mellat.Insur.,20200427,15400.00,15809.00,15057.00,15710.00,234103667864,14901416,2413,D,15057.00,15809.00
Mellat.Insur.,20200426,15102.00,15102.00,14520.00,15057.00,218950154184,14541585,1405,D,14383.00,15102.00
Mellat.Insur.,20200425,14200.00,14526.00,13702.00,14383.00,96745703901,6726606,930,D,13835.00,14526.00
Mellat.Insur.,20200422,13835.00,13835.00,13800.00,13835.00,139326580265,10070658,842,D,13177.00,13835.00
Mellat.Insur.,20200421,13177.00,13177.00,13177.00,13177.00,100146702178,7600114,619,D,12550.00,13177.00
Mellat.Insur.,20200420,11852.00,12765.00,11852.00,12550.00,91740397706,7309818,785,D,12158.00,12765.00
Mellat.Insur.,20200419,12148.00,12755.00,11541.00,12158.00,122813760179,10101217,1016,D,11570.00,11850.00
Mellat.Insur.,20200415,11997.00,11997.00,11751.00,11570.00,4498786113,377181,112,D,11541.00,11899.00
Mellat.Insur.,20200414,11600.00,11746.00,10720.00,11541.00,102801259311,8907111,2021,D,11187.00,11746.00
