<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Leasing,20200722,16270.00,17000.00,16270.00,16360.00,44312620800,2721349,676,D,17120.00,16270.00
Mellat.Leasing,20200721,17170.00,17490.00,17090.00,17120.00,58577063090,3421836,1140,D,17980.00,17090.00
Mellat.Leasing,20200720,18070.00,18070.00,17300.00,17980.00,176271445480,9801637,2720,D,17210.00,17550.00
Mellat.Leasing,20200719,16910.00,17560.00,16080.00,17210.00,156945848330,9120614,2413,D,16730.00,17560.00
Mellat.Leasing,20200718,16000.00,17300.00,16000.00,16730.00,94954246000,5674622,1721,D,16680.00,16880.00
Mellat.Leasing,20200715,16670.00,17100.00,16670.00,16680.00,90049567070,5397442,1400,D,17540.00,16670.00
Mellat.Leasing,20200714,18350.00,18350.00,17440.00,17540.00,55199392980,3146491,840,D,18350.00,17440.00
Mellat.Leasing,20200713,18430.00,18540.00,17600.00,18350.00,158897468000,8659297,2186,D,17660.00,18150.00
Mellat.Leasing,20200712,17660.00,17660.00,17660.00,17660.00,53547874960,3032156,696,D,16820.00,17660.00
Mellat.Leasing,20200711,15640.00,17250.00,15630.00,16820.00,108707033460,6464268,1501,D,16430.00,17250.00
Mellat.Leasing,20200708,16100.00,17730.00,16100.00,16430.00,247040418690,15032973,2775,D,16940.00,16100.00
Mellat.Leasing,20200707,17870.00,17870.00,16900.00,16940.00,78716864450,4646611,1396,D,17780.00,16900.00
Mellat.Leasing,20200706,17940.00,17960.00,16800.00,17780.00,135767391570,7638108,2112,D,17110.00,17690.00
Mellat.Leasing,20200705,16900.00,18400.00,16720.00,17110.00,144580856450,8451683,2307,D,17600.00,17760.00
Mellat.Leasing,20200704,18700.00,18700.00,17350.00,17600.00,105543428490,5998105,2301,D,18260.00,17350.00
Mellat.Leasing,20200701,19140.00,19140.00,17430.00,18260.00,77512370830,4246086,1653,D,18240.00,18120.00
Mellat.Leasing,20200630,18100.00,18250.00,18100.00,18240.00,134064339710,7348433,1834,D,17390.00,18250.00
