<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melli.Ind..Grp.,20200722,582000.00,592980.00,562100.00,587080.00,985850993530,1679238,9509,D,564750.00,592980.00
Melli.Ind..Grp.,20200721,559000.00,575900.00,525000.00,564750.00,1612931002520,2856013,12528,D,548480.00,565990.00
Melli.Ind..Grp.,20200720,548480.00,548480.00,548480.00,548480.00,153704938240,280238,918,D,522370.00,548480.00
Melli.Ind..Grp.,20200719,505100.00,530350.00,505100.00,522370.00,376275586930,720321,1702,D,462050.00,530350.00
Melli.Ind..Grp.,20200713,462220.00,462220.00,462220.00,462220.00,346948340860,750613,1483,D,440210.00,462220.00
Melli.Ind..Grp.,20200712,440210.00,440210.00,440210.00,440210.00,120074761070,272767,328,D,419250.00,440210.00
Melli.Ind..Grp.,20200711,407440.00,444300.00,407440.00,419250.00,1022307289340,2438434,6530,D,428880.00,443010.00
Melli.Ind..Grp.,20200708,428390.00,440000.00,428390.00,428880.00,194814179260,454241,1797,D,450930.00,428390.00
Melli.Ind..Grp.,20200707,469880.00,469880.00,449280.00,450930.00,1002212845800,2222557,6057,D,472920.00,449280.00
Melli.Ind..Grp.,20200706,462000.00,477200.00,440870.00,472920.00,1031866887500,2181911,5218,D,454480.00,475000.00
Melli.Ind..Grp.,20200705,440080.00,486400.00,440080.00,454480.00,2161469375240,4755894,12141,D,463240.00,459560.00
Melli.Ind..Grp.,20200704,478440.00,478440.00,432880.00,463240.00,1865418229130,4026907,7325,D,455660.00,432880.00
Melli.Ind..Grp.,20200701,455660.00,455660.00,455660.00,455660.00,65192187520,143072,242,D,433970.00,455660.00
Melli.Ind..Grp.,20200630,433970.00,433970.00,433970.00,433970.00,74877617770,172541,180,D,413310.00,433970.00
Melli.Ind..Grp.,20200629,413310.00,413310.00,413310.00,413310.00,96725699370,234027,352,D,393630.00,413310.00
Melli.Ind..Grp.,20200628,393630.00,393630.00,393630.00,393630.00,156652931100,397970,446,D,374890.00,393630.00
Melli.Ind..Grp.,20200627,374890.00,374890.00,374890.00,374890.00,147892230550,394495,356,D,357040.00,374890.00
Melli.Ind..Grp.,20200624,357040.00,357040.00,357040.00,357040.00,357636613840,1001671,224,D,340040.00,357040.00
Melli.Ind..Grp.,20200623,343790.00,343790.00,343790.00,340040.00,42505164230,123637,213,D,327420.00,343790.00
Melli.Ind..Grp.,20200622,327420.00,327420.00,327420.00,327420.00,91155365100,278405,262,D,311830.00,327420.00
Melli.Ind..Grp.,20200615,311830.00,311830.00,311830.00,311830.00,62640098570,200879,205,D,296990.00,311830.00
Melli.Ind..Grp.,20200614,297180.00,297180.00,283550.00,296990.00,571332492020,1923742,2363,D,283030.00,297180.00
Melli.Ind..Grp.,20200613,283550.00,283550.00,283550.00,283030.00,50481824250,178035,199,D,270050.00,283550.00
Melli.Ind..Grp.,20200610,279902.00,279902.00,279902.00,270050.00,16625059192,59396,159,D,266574.00,279902.00
Melli.Ind..Grp.,20200609,266574.00,266574.00,266574.00,266574.00,66791981718,250557,250,D,253880.00,266574.00
Melli.Ind..Grp.,20200608,229940.00,254144.00,229940.00,253880.00,477416491174,1880484,1727,D,242042.00,254144.00
Melli.Ind..Grp.,20200607,242042.00,242042.00,242042.00,242042.00,55168633060,227930,179,D,230517.00,242042.00
Melli.Ind..Grp.,20200606,230518.00,230518.00,230518.00,230517.00,52493328442,227719,179,D,219541.00,230518.00
