<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mobin.One.Kish,20200722,71014.00,73680.00,71014.00,71183.00,320497643846,4502472,2481,D,74751.00,71014.00
Mobin.One.Kish,20200721,74751.00,74751.00,74751.00,74751.00,58924419276,788276,899,D,78685.00,74751.00
Mobin.One.Kish,20200720,81980.00,81980.00,78127.00,78685.00,159580151704,2028084,1607,D,82238.00,78127.00
Mobin.One.Kish,20200719,88980.00,90491.00,81873.00,82238.00,162498729662,1975946,1254,D,86182.00,81873.00
Mobin.One.Kish,20200718,87800.00,91490.00,84000.00,86182.00,37696089692,437337,447,D,86142.00,86000.00
Mobin.One.Kish,20200713,86010.00,90000.00,85022.00,86242.00,346831762365,4021608,2187,D,89496.00,88020.00
Mobin.One.Kish,20200712,91490.00,93190.00,85324.00,89496.00,255518535619,2855069,2721,D,89814.00,86000.00
Mobin.One.Kish,20200711,84500.00,92000.00,84500.00,89814.00,317071964305,3530302,2068,D,88761.00,87600.00
Mobin.One.Kish,20200708,89000.00,90878.00,82224.00,88761.00,980271924155,11043971,3588,D,86551.00,84700.00
Mobin.One.Kish,20200707,89500.00,89500.00,83300.00,86551.00,211913466682,2448423,2016,D,86785.00,85700.00
Mobin.One.Kish,20200706,90000.00,90000.00,84267.00,86785.00,428646423363,4939203,4011,D,88702.00,88190.00
Mobin.One.Kish,20200705,89500.00,90000.00,88429.00,88702.00,287007665696,3235639,2215,D,93083.00,88429.00
Mobin.One.Kish,20200704,92300.00,96840.00,87618.00,93083.00,220229568181,2365940,1349,D,92229.00,91003.00
Mobin.One.Kish,20200701,95500.00,98777.00,90691.00,92229.00,269895318227,2926351,1957,D,95464.00,90691.00
Mobin.One.Kish,20200630,90026.00,98900.00,90026.00,95464.00,295355297344,3093877,2277,D,94271.00,93800.00
Mobin.One.Kish,20200629,93885.00,98826.00,93885.00,94271.00,183203577662,1943376,1001,D,98826.00,93890.00
Mobin.One.Kish,20200628,103000.00,104632.00,94668.00,98826.00,262609372839,2657287,1538,D,99650.00,96424.00
Mobin.One.Kish,20200627,96000.00,100124.00,96000.00,99650.00,220212150130,2209856,1124,D,95357.00,100124.00
Mobin.One.Kish,20200621,100299.00,100299.00,90763.00,95357.00,284194825934,2980329,2441,D,95540.00,95000.00
Mobin.One.Kish,20200620,93455.00,97615.00,88319.00,95540.00,711625151616,7448416,2807,D,92967.00,94650.00
Mobin.One.Kish,20200616,89005.00,93455.00,89005.00,92967.00,189572529582,2039142,1168,D,89005.00,93455.00
Mobin.One.Kish,20200615,89071.00,89071.00,87010.00,89005.00,273921258208,3077604,1645,D,84830.00,89071.00
Mobin.One.Kish,20200614,85629.00,85629.00,81602.00,84830.00,307063289821,3619758,1563,D,81552.00,85629.00
Mobin.One.Kish,20200613,81000.00,81623.00,80001.00,81552.00,61994698620,760182,527,D,77737.00,81623.00
Mobin.One.Kish,20200610,80990.00,83675.00,75879.00,77737.00,342302612065,4403360,2387,D,79872.00,79990.00
Mobin.One.Kish,20200609,80400.00,81491.00,77616.00,79872.00,162882013557,2039296,1755,D,77611.00,78228.00
Mobin.One.Kish,20200608,77616.00,77616.00,77059.00,77611.00,236781498646,3050895,933,D,73920.00,77616.00
Mobin.One.Kish,20200607,71055.00,75421.00,70400.00,73920.00,585996897967,7927485,1340,D,71830.00,75421.00
Mobin.One.Kish,20200606,73280.00,73280.00,70000.00,71830.00,104940168316,1460952,1387,D,69935.00,71521.00
Mobin.One.Kish,20200602,69900.00,70059.00,68100.00,69935.00,170522339949,2438311,1253,D,66723.00,70059.00
Mobin.One.Kish,20200601,64550.00,67998.00,63671.00,66723.00,68018389796,1019417,848,D,64980.00,67260.00
Mobin.One.Kish,20200531,69800.00,69800.00,64814.00,64980.00,495119183530,7619573,1174,D,68225.00,65000.00
Mobin.One.Kish,20200530,69814.00,69814.00,66510.00,68225.00,49713257282,728061,1049,D,66490.00,68480.00
Mobin.One.Kish,20200527,66022.00,71961.00,66022.00,66490.00,129263495482,1944109,1109,D,69496.00,68990.00
Mobin.One.Kish,20200526,68981.00,72584.00,68979.00,69496.00,46053605715,663116,451,D,72609.00,68979.00
Mobin.One.Kish,20200523,74314.00,74314.00,70599.00,72609.00,83537780138,1150513,1134,D,74314.00,71599.00
Mobin.One.Kish,20200520,77400.00,77400.00,70300.00,74314.00,583108598605,7846595,2276,D,73832.00,73832.00
Mobin.One.Kish,20200519,73848.00,73848.00,72500.00,73832.00,195922875430,2653621,1262,D,70332.00,73848.00
Mobin.One.Kish,20200518,70332.00,70332.00,70332.00,70332.00,53925584028,766729,199,D,66983.00,70332.00
Mobin.One.Kish,20200517,62600.00,67971.00,62600.00,66983.00,111301833016,1661640,913,D,64735.00,67971.00
Mobin.One.Kish,20200516,67900.00,68699.00,62352.00,64735.00,467445668823,7220931,1860,D,65633.00,64840.00
Mobin.One.Kish,20200513,63656.00,68000.00,63656.00,65633.00,570132526137,8686677,2492,D,67006.00,63656.00
Mobin.One.Kish,20200512,67006.00,67006.00,67006.00,67006.00,45758397400,682900,515,D,70532.00,67006.00
Mobin.One.Kish,20200511,71500.00,72000.00,70114.00,70532.00,48537720823,688168,854,D,73804.00,70114.00
Mobin.One.Kish,20200510,75910.00,76761.00,73376.00,73804.00,262439554197,3555918,2348,D,77237.00,73376.00
Mobin.One.Kish,20200509,76448.00,79879.00,74536.00,77237.00,176206252839,2281374,2318,D,76961.00,74600.00
Mobin.One.Kish,20200506,76448.00,79880.00,76448.00,76961.00,282578403441,3671713,1740,D,80471.00,76448.00
Mobin.One.Kish,20200505,81750.00,83000.00,77653.00,80471.00,907582936880,11278423,1622,D,81740.00,77653.00
Mobin.One.Kish,20200504,80012.00,85240.00,79702.00,81740.00,430233739509,5263463,3269,D,83896.00,80815.00
Mobin.One.Kish,20200503,83000.00,84023.00,80747.00,83896.00,642468641489,7657939,2852,D,80022.00,84023.00
Mobin.One.Kish,20200502,80500.00,80616.00,77400.00,80022.00,538359391129,6727646,3736,D,76778.00,80616.00
Mobin.One.Kish,20200429,73500.00,77306.00,72000.00,76778.00,210857556038,2746341,1934,D,73625.00,77306.00
Mobin.One.Kish,20200428,76999.00,76999.00,72200.00,73625.00,320188149265,4348906,2714,D,75778.00,72502.00
Mobin.One.Kish,20200427,75002.00,79991.00,73866.00,75778.00,313000422299,4130495,3259,D,77753.00,75000.00
Mobin.One.Kish,20200426,80117.00,80117.00,72487.00,77753.00,383295163736,4929670,2844,D,76302.00,72487.00
Mobin.One.Kish,20200425,76560.00,76577.00,74427.00,76302.00,126164687687,1653489,909,D,72931.00,76577.00
Mobin.One.Kish,20200422,70000.00,73286.00,69513.00,72931.00,504989888210,6924179,2387,D,69797.00,73286.00
Mobin.One.Kish,20200421,72500.00,72500.00,67777.00,69797.00,182017461536,2607827,2636,D,70882.00,69900.00
Mobin.One.Kish,20200420,70434.00,70936.00,68700.00,70882.00,279159733807,3938378,1518,D,67559.00,70936.00
Mobin.One.Kish,20200419,67480.00,68126.00,64000.00,67559.00,531761975690,7871124,2263,D,64882.00,68126.00
Mobin.One.Kish,20200418,64100.00,65371.00,62850.00,64882.00,222991921920,3436905,2217,D,62259.00,65371.00
Mobin.One.Kish,20200415,60500.00,62525.00,60001.00,62259.00,182865917312,2937167,2216,D,59548.00,62525.00
Mobin.One.Kish,20200414,56930.00,62000.00,56930.00,59548.00,248030258834,4165242,3123,D,59926.00,61210.00
Mobin.One.Kish,20200413,58900.00,61845.00,56000.00,59926.00,70435400175,1175377,506,D,60268.00,60000.00
Mobin.One.Kish,20200412,61380.00,61380.00,59002.00,60268.00,44587740279,741372,815,D,61412.00,59802.00
Mobin.One.Kish,20200411,63300.00,63300.00,58500.00,61412.00,153392240270,2497777,2171,D,60787.00,59714.00
Mobin.One.Kish,20200408,61490.00,61782.00,58482.00,60787.00,234580307641,3859077,2469,D,58840.00,61782.00
Mobin.One.Kish,20200407,56742.00,59464.00,57100.00,58840.00,224240528931,3810994,3298,D,56633.00,59000.00
Mobin.One.Kish,20200406,55390.00,56929.00,54222.00,56633.00,156524591732,2763863,1509,D,54219.00,56929.00
Mobin.One.Kish,20200405,55920.00,55920.00,53210.00,54219.00,315637653882,5821492,3834,D,55920.00,55000.00
Mobin.One.Kish,20200404,56100.00,57500.00,54672.00,55920.00,206392496169,3690857,4324,D,56098.00,55002.00
Mobin.One.Kish,20200330,57800.00,57800.00,55169.00,56098.00,282135068547,5029309,3843,D,58072.00,56000.00
Mobin.One.Kish,20200329,58828.00,58828.00,56500.00,58072.00,178054689844,3066108,2546,D,56027.00,56900.00
Mobin.One.Kish,20200328,55988.00,56084.00,55100.00,56027.00,223708919673,3992852,2338,D,53414.00,56084.00
