<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Motogen,20200722,69030.00,72500.00,68900.00,69570.00,217745104530,3129981,2463,D,72520.00,70500.00
Motogen,20200721,72500.00,76120.00,68880.00,72520.00,245200199580,3381220,2795,D,72240.00,70100.00
Motogen,20200720,72000.00,72680.00,69510.00,72240.00,401791013820,5561549,3110,D,69220.00,72680.00
Motogen,20200719,69950.00,69950.00,66800.00,69220.00,347969780940,5026980,3730,D,66620.00,69400.00
Motogen,20200718,66700.00,66890.00,64100.00,66620.00,87403530210,1312052,1193,D,63710.00,66890.00
Motogen,20200715,60000.00,64930.00,59210.00,63710.00,215518877020,3383051,3327,D,61840.00,64930.00
Motogen,20200714,62490.00,64500.00,60500.00,61840.00,204701778810,3310284,2699,D,62190.00,60960.00
Motogen,20200713,64500.00,65000.00,61560.00,62190.00,182492923410,2934665,2546,D,64790.00,62110.00
Motogen,20200712,63000.00,65170.00,62800.00,64790.00,311451985070,4807019,3686,D,62070.00,64660.00
Motogen,20200711,61770.00,64370.00,61770.00,62070.00,212989800610,3431684,2870,D,65020.00,62000.00
Motogen,20200708,64810.00,67880.00,64590.00,65020.00,170469428030,2621768,2399,D,67980.00,64590.00
Motogen,20200707,68100.00,69970.00,67880.00,67980.00,330512186940,4862002,3771,D,71450.00,67880.00
Motogen,20200706,69900.00,73050.00,68350.00,71450.00,481018591580,6732615,5083,D,69580.00,69100.00
Motogen,20200705,68350.00,74310.00,68350.00,69580.00,374511386130,5382313,4758,D,71940.00,69020.00
Motogen,20200704,74000.00,74200.00,70080.00,71940.00,298588696140,4150774,2809,D,73760.00,70080.00
Motogen,20200701,77000.00,77000.00,70150.00,73760.00,412449190170,5591728,5003,D,73840.00,72700.00
Motogen,20200630,70000.00,74060.00,70000.00,73840.00,390280443180,5285235,2385,D,70540.00,74060.00
Motogen,20200629,71130.00,71990.00,70410.00,70540.00,436748218980,6191747,3615,D,74110.00,70410.00
Motogen,20200628,75570.00,75570.00,68500.00,74110.00,872344543480,11770816,6550,D,71980.00,72000.00
Motogen,20200627,72660.00,72660.00,72660.00,71980.00,42210737100,580935,317,D,69200.00,72660.00
Motogen,20200624,69630.00,69630.00,69630.00,69200.00,51577865460,740742,471,D,66320.00,69630.00
Motogen,20200623,67050.00,67050.00,67050.00,66320.00,44026102800,656616,520,D,63860.00,67050.00
Motogen,20200622,63860.00,63860.00,63860.00,63860.00,55728578480,872668,529,D,60820.00,63860.00
Motogen,20200621,60730.00,60980.00,60100.00,60820.00,213410150330,3509004,1817,D,58080.00,60980.00
Motogen,20200620,59300.00,60740.00,55860.00,58080.00,636286539350,10956274,7933,D,58790.00,59910.00
Motogen,20200616,56500.00,60700.00,56500.00,58790.00,399142813920,6789102,6340,D,57850.00,58000.00
Motogen,20200615,59900.00,59900.00,56910.00,57850.00,248356379970,4293105,3795,D,54460.00,56910.00
Motogen,20200613,56190.00,56190.00,56190.00,54460.00,18367331010,326879,446,D,53523.00,56190.00
Motogen,20200610,53523.00,53523.00,53523.00,53523.00,60635564424,1132888,928,D,50975.00,53523.00
Motogen,20200609,48000.00,51340.00,48000.00,50975.00,201993195890,3962587,3013,D,48896.00,51340.00
Motogen,20200608,46697.00,51611.00,46697.00,48896.00,188358893002,3852274,3531,D,49154.00,48072.00
Motogen,20200607,49154.00,49154.00,49154.00,49154.00,55686861524,1132906,1012,D,46814.00,49154.00
Motogen,20200606,46900.00,47021.00,45800.00,46814.00,98750417174,2109410,1721,D,44782.00,47021.00
Motogen,20200602,44700.00,45380.00,43470.00,44782.00,94681716601,2114261,1912,D,43227.00,44455.00
Motogen,20200601,44000.00,44000.00,42333.00,43227.00,69130146850,1599226,1501,D,43887.00,43500.00
Motogen,20200531,46390.00,46390.00,41987.00,43887.00,74956218766,1707941,1631,D,44196.00,43194.00
Motogen,20200530,44790.00,44818.00,42700.00,44196.00,43209664359,970812,1052,D,42684.00,44818.00
Motogen,20200527,40005.00,43876.00,40005.00,42684.00,56522611018,1324204,1795,D,42027.00,43490.00
Motogen,20200526,41776.00,43662.00,41776.00,42027.00,41602278740,994224,934,D,43873.00,41776.00
Motogen,20200523,44997.00,44997.00,43662.00,43974.00,43969474910,1003697,1030,D,45960.00,43662.00
Motogen,20200520,48200.00,48200.00,43800.00,45960.00,120317020073,2617858,3125,D,45976.00,45800.00
Motogen,20200519,45977.00,45977.00,45865.00,45976.00,62071776185,1350079,1150,D,43788.00,45977.00
Motogen,20200518,43818.00,43818.00,41923.00,43788.00,74310697637,1697050,1089,D,41732.00,43818.00
Motogen,20200517,40059.00,43997.00,40059.00,41732.00,132740501862,3180793,2422,D,42167.00,43274.00
Motogen,20200516,44000.00,44000.00,41827.00,42167.00,62762066856,1488434,1244,D,44028.00,41827.00
Motogen,20200513,43330.00,45700.00,43330.00,44028.00,269637052347,6124242,3655,D,45610.00,43330.00
Motogen,20200512,45602.00,46000.00,45602.00,45610.00,58175760323,1275508,1100,D,48002.00,45602.00
Motogen,20200511,50440.00,50440.00,47928.00,48002.00,198896809925,4143530,2855,D,50450.00,47928.00
Motogen,20200510,53490.00,53490.00,50008.00,50450.00,301120816453,5968733,4547,D,52640.00,50008.00
Motogen,20200509,51900.00,52920.00,50588.00,52640.00,285267116434,5419194,3653,D,50400.00,52340.00
Motogen,20200506,50351.00,51850.00,50351.00,50400.00,299047146016,5933417,3402,D,53001.00,50530.00
Motogen,20200505,55450.00,55990.00,51755.00,53001.00,216301695963,4081106,3643,D,54478.00,51755.00
Motogen,20200504,52000.00,54600.00,52000.00,54478.00,422879935954,7762400,3130,D,50345.00,54100.00
Motogen,20200502,50352.00,50352.00,50200.00,50345.00,164673100084,3270869,2328,D,47955.00,50352.00
Motogen,20200429,47000.00,49497.00,46100.00,47955.00,401736969703,8377305,6821,D,47747.00,48490.00
Motogen,20200428,49965.00,49965.00,47467.00,47747.00,214864448679,4500106,2713,D,46806.00,47467.00
Motogen,20200426,50669.00,50669.00,45873.00,46806.00,374259917485,7995913,6091,D,48287.00,45954.00
Motogen,20200425,48300.00,48311.00,47731.00,48287.00,273236993046,5658559,4028,D,46011.00,48311.00
Motogen,20200422,44950.00,47000.00,44650.00,46011.00,207072364482,4500508,2831,D,45199.00,45999.00
Motogen,20200421,45555.00,46000.00,44300.00,45199.00,181764717519,4021436,2657,D,45555.00,44634.00
Motogen,20200420,44221.00,47432.00,44221.00,45555.00,252565672057,5544144,3603,D,46507.00,45099.00
Motogen,20200419,49617.00,49617.00,44893.00,46507.00,238229568116,5122407,4722,D,47255.00,44893.00
Motogen,20200418,47289.00,47292.00,46395.00,47255.00,207597604245,4393134,2481,D,45040.00,47292.00
Motogen,20200415,45040.00,45040.00,45040.00,45040.00,100814112960,2238324,1228,D,42896.00,45040.00
Motogen,20200414,41500.00,43417.00,40500.00,42896.00,255287629956,5951254,2833,D,41350.00,43417.00
Motogen,20200413,42100.00,42800.00,40131.00,41350.00,114638465949,2772378,2237,D,42212.00,42000.00
Motogen,20200412,42780.00,43980.00,41001.00,42212.00,140738821271,3334101,2118,D,42781.00,42139.00
Motogen,20200411,43600.00,43997.00,41750.00,42781.00,94407215470,2206777,1833,D,43643.00,42004.00
Motogen,20200408,42600.00,43735.00,42555.00,43643.00,160992646207,3688852,1910,D,41653.00,43600.00
Motogen,20200407,40361.00,41681.00,40361.00,41653.00,104092738745,2499037,1373,D,39697.00,41681.00
Motogen,20200406,39710.00,40617.00,39276.00,39697.00,132773422088,3344702,2992,D,41343.00,40200.00
Motogen,20200405,43488.00,43488.00,40986.00,41343.00,192511443055,4656417,3999,D,43143.00,42710.00
Motogen,20200404,43490.00,43999.00,41003.00,43143.00,129737615305,3007119,2927,D,42417.00,42566.00
Motogen,20200330,43500.00,43500.00,41906.00,42417.00,139764751721,3295039,2493,D,44111.00,42500.00
Motogen,20200329,46192.00,46192.00,41800.00,44111.00,169342573027,3839047,2899,D,43993.00,42760.00
Motogen,20200328,43701.00,44119.00,42025.00,43993.00,165868048774,3770341,1367,D,42019.00,44119.00
Motogen,20200325,42022.00,42022.00,41900.00,42019.00,155473214456,3700029,1426,D,40021.00,42022.00
Motogen,20200324,38220.00,40873.00,38220.00,40021.00,42070514114,1044655,411,D,38927.00,40873.00
Motogen,20200318,38800.00,39183.00,37620.00,38927.00,85547475406,2197661,1152,D,37318.00,39183.00
Motogen,20200317,39101.00,39101.00,37259.00,37318.00,329450337828,8828115,2479,D,39220.00,37609.00
Motogen,20200316,38500.00,41896.00,38391.00,39220.00,335803464400,8562014,4275,D,40411.00,39500.00
Motogen,20200315,38867.00,38867.00,38867.00,40411.00,11247293593,289379,297,D,40912.00,38867.00
Motogen,20200314,42093.00,42255.00,40185.00,40912.00,41413563835,1017830,887,D,42300.00,40185.00
Motogen,20200311,42359.00,42359.00,41360.00,42300.00,256112258120,6054718,1749,D,40342.00,42359.00
Motogen,20200307,40713.00,40713.00,40713.00,40342.00,42447292374,1042598,473,D,38775.00,40713.00
