<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Nirou.Moharreke,20200722,22730.00,23100.00,22730.00,22740.00,588279154770,25865454,10409,D,23920.00,22730.00
Nirou.Moharreke,20200721,23600.00,25930.00,23470.00,23920.00,3777600049880,157893561,58376,D,24700.00,23470.00
Nirou.Moharreke,20200720,24810.00,24810.00,23950.00,24700.00,2590407595560,104874768,39362,D,23630.00,24000.00
Nirou.Moharreke,20200719,22320.00,24660.00,22320.00,23630.00,4945675918460,209328821,62757,D,23490.00,24200.00
Nirou.Moharreke,20200718,23490.00,23490.00,23490.00,23490.00,776751017940,33067306,19411,D,24720.00,23490.00
Nirou.Moharreke,20200715,24720.00,24720.00,24720.00,24720.00,313166556000,12668550,2770,D,23550.00,24720.00
Nirou.Moharreke,20200714,23570.00,23570.00,22500.00,23550.00,2300698076860,97700844,25032,D,22450.00,23570.00
Nirou.Moharreke,20200713,22520.00,23640.00,21400.00,22450.00,10167260818050,452913838,105191,D,11260.00,23230.00
Nirou.Moharreke,20200711,11340.00,11340.00,11340.00,11260.00,45190296900,3985035,396,D,10800.00,11340.00
Nirou.Moharreke,20200708,10800.00,10800.00,10800.00,10800.00,69653757600,6449422,698,D,10290.00,10800.00
Nirou.Moharreke,20200527,54996.00,60784.00,54996.00,57890.00,1986307242425,34311504,28226,D,57890.00,60784.00
Nirou.Moharreke,20200526,57890.00,60936.00,57890.00,57890.00,909929000000,15718239,13045,D,57890.00,57890.00
Nirou.Moharreke,20200523,60936.00,60936.00,60000.00,60936.00,1846835939845,30307997,14584,D,58035.00,60936.00
Nirou.Moharreke,20200520,58084.00,58084.00,55444.00,58035.00,1360285515204,23439067,8932,D,55319.00,58084.00
Nirou.Moharreke,20200519,52783.00,55422.00,52783.00,55319.00,100555678577,1817752,440,D,50270.00,55422.00
Nirou.Moharreke,20200517,51905.00,51905.00,51905.00,50270.00,18617337305,358681,109,D,49434.00,51905.00
Nirou.Moharreke,20200516,49502.00,49502.00,49502.00,49434.00,50984733406,1029953,537,D,47145.00,49502.00
Nirou.Moharreke,20200513,47145.00,47145.00,47145.00,47145.00,368703365625,7820625,3604,D,44900.00,47145.00
Nirou.Moharreke,20200512,45955.00,45955.00,41579.00,44900.00,1704556996231,37963771,12186,D,43767.00,45955.00
Nirou.Moharreke,20200511,44706.00,44706.00,44706.00,43767.00,30673591308,686118,242,D,42578.00,44706.00
Nirou.Moharreke,20200510,43845.00,43845.00,43845.00,42578.00,21155782485,482513,210,D,41758.00,43845.00
Nirou.Moharreke,20200509,42745.00,42745.00,42745.00,41758.00,27025825465,632257,210,D,40710.00,42745.00
Nirou.Moharreke,20200506,41623.00,41623.00,41623.00,40710.00,33515713683,805221,242,D,39641.00,41623.00
Nirou.Moharreke,20200505,39641.00,39641.00,39641.00,39641.00,509492651829,12852669,2983,D,37754.00,39641.00
Nirou.Moharreke,20200504,37785.00,37785.00,35986.00,37754.00,734076497269,19443816,5094,D,35986.00,37785.00
Nirou.Moharreke,20200503,35986.00,35986.00,35986.00,35986.00,334909610704,9306664,475,D,34273.00,35986.00
Nirou.Moharreke,20200502,35171.00,35171.00,35171.00,34273.00,24333408060,691860,249,D,33497.00,35171.00
Nirou.Moharreke,20200429,33497.00,33497.00,33497.00,33497.00,1100737715145,32860785,6395,D,31902.00,33497.00
Nirou.Moharreke,20200427,31902.00,31902.00,31902.00,31902.00,360193008318,11290609,2127,D,30383.00,31902.00
Nirou.Moharreke,20200426,30383.00,30383.00,30383.00,30383.00,232796065150,7662050,941,D,28937.00,30383.00
Nirou.Moharreke,20200425,29181.00,29181.00,29181.00,28937.00,43261036767,1482507,255,D,27792.00,29181.00
Nirou.Moharreke,20200422,28871.00,28871.00,28871.00,27792.00,12685109012,439372,132,D,27497.00,28871.00
Nirou.Moharreke,20200421,28715.00,28715.00,28715.00,27497.00,6435232505,224107,125,D,27348.00,28715.00
Nirou.Moharreke,20200420,27348.00,27348.00,27348.00,27348.00,195941200128,7164736,1694,D,26046.00,27348.00
Nirou.Moharreke,20200419,26071.00,26071.00,25001.00,26046.00,271893598744,10438969,1659,D,24830.00,26071.00
Nirou.Moharreke,20200418,25614.00,25614.00,25614.00,24830.00,18753699924,732166,161,D,24395.00,25614.00
Nirou.Moharreke,20200415,24395.00,24395.00,24395.00,24395.00,58123600185,2382603,410,D,23234.00,24395.00
Nirou.Moharreke,20200414,23825.00,23825.00,23825.00,23234.00,26677448125,1119725,472,D,22691.00,23825.00
Nirou.Moharreke,20200413,23071.00,23071.00,23071.00,22691.00,35279734851,1529181,267,D,21973.00,23071.00
Nirou.Moharreke,20200412,22786.00,22786.00,22786.00,21973.00,13376999806,587071,185,D,21701.00,22786.00
Nirou.Moharreke,20200411,22454.00,22454.00,22454.00,21701.00,15521731672,691268,175,D,21385.00,22454.00
Nirou.Moharreke,20200408,22118.00,22118.00,22118.00,21385.00,17103119506,773267,246,D,21065.00,22118.00
Nirou.Moharreke,20200407,21773.00,21773.00,21773.00,21065.00,17495541739,803543,241,D,20737.00,21773.00
Nirou.Moharreke,20200406,21315.00,21315.00,21315.00,20737.00,23305224180,1093372,275,D,20300.00,21315.00
Nirou.Moharreke,20200405,21012.00,21012.00,21012.00,20300.00,15371769852,731571,176,D,20012.00,21012.00
Nirou.Moharreke,20200404,20658.00,20658.00,20658.00,20012.00,17971303152,869944,239,D,19675.00,20658.00
