<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Novin.Bime,20200722,13694.00,13694.00,13694.00,13694.00,186484316852,13617958,640,D,13042.00,13694.00
Novin.Bime,20200721,13042.00,13042.00,13042.00,13042.00,115405919180,8848790,691,D,12421.00,13042.00
Novin.Bime,20200720,12435.00,12481.00,12000.00,12421.00,263093814263,21180683,4223,D,11887.00,12481.00
Novin.Bime,20200719,11690.00,12200.00,11281.00,11887.00,236043660883,19856555,5039,D,11843.00,11810.00
Novin.Bime,20200718,11800.00,12500.00,11558.00,11843.00,187516614177,15834092,4365,D,12165.00,11690.00
Novin.Bime,20200715,12700.00,12700.00,11500.00,12165.00,178258159990,14652988,4388,D,12105.00,11600.00
Novin.Bime,20200714,12132.00,12132.00,11750.00,12105.00,204242460782,16872388,3693,D,11555.00,12132.00
Novin.Bime,20200713,11700.00,11706.00,10901.00,11555.00,167786132125,14520216,2646,D,11149.00,11706.00
Novin.Bime,20200712,10650.00,11161.00,10650.00,11149.00,201300468093,18055070,1802,D,10630.00,11161.00
Novin.Bime,20200711,10569.00,10900.00,10569.00,10630.00,172201009832,16199862,3368,D,11125.00,10571.00
Novin.Bime,20200708,11580.00,11580.00,11001.00,11125.00,213826195985,19219598,4128,D,11580.00,11001.00
Novin.Bime,20200707,11702.00,12050.00,11460.00,11580.00,295003021159,25475798,5935,D,12063.00,11560.00
Novin.Bime,20200706,12230.00,12398.00,11500.00,12063.00,259910606281,21546212,5255,D,11809.00,11804.00
Novin.Bime,20200705,11650.00,12370.00,11489.00,11809.00,323156538459,27365059,5504,D,12093.00,11800.00
Novin.Bime,20200704,12888.00,12888.00,11946.00,12093.00,301643888080,24944170,5049,D,12574.00,11946.00
Novin.Bime,20200701,12635.00,12635.00,12150.00,12574.00,220782822347,17558712,3388,D,12034.00,12635.00
Novin.Bime,20200630,11590.00,12045.00,11590.00,12034.00,150310244729,12490083,1875,D,11472.00,12045.00
Novin.Bime,20200629,11426.00,11920.00,11315.00,11472.00,180682344910,15750506,3474,D,11910.00,11590.00
