<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ofogh.Koorosh,20200722,79820.00,82340.00,79820.00,79900.00,176062116140,2203607,3000,D,84020.00,79820.00
Ofogh.Koorosh,20200721,84120.00,88460.00,83530.00,84020.00,507979904850,6045843,6372,D,87920.00,83530.00
Ofogh.Koorosh,20200720,91750.00,91750.00,87090.00,87920.00,750486680820,8536313,9631,D,91670.00,87090.00
Ofogh.Koorosh,20200719,94800.00,94800.00,88000.00,91670.00,480850441660,5245350,8679,D,90770.00,89090.00
Ofogh.Koorosh,20200718,90000.00,91520.00,86000.00,90770.00,592457073720,6527313,6437,D,87170.00,91520.00
Ofogh.Koorosh,20200715,89000.00,90100.00,85550.00,87170.00,732598868040,8404257,10110,D,90050.00,87890.00
Ofogh.Koorosh,20200714,90300.00,90300.00,87000.00,90050.00,1152897913240,12802303,14054,D,86000.00,89980.00
Ofogh.Koorosh,20200713,86000.00,87110.00,78840.00,86000.00,675383884300,7853471,7351,D,82970.00,87110.00
Ofogh.Koorosh,20200712,82970.00,82970.00,82890.00,82970.00,1494461646890,18012536,10419,D,79020.00,82970.00
Ofogh.Koorosh,20200711,78990.00,79100.00,76000.00,79020.00,1224035240050,15490823,7969,D,75340.00,79100.00
Ofogh.Koorosh,20200708,75340.00,75340.00,75340.00,75340.00,741032788320,9835848,2315,D,71760.00,75340.00
Ofogh.Koorosh,20200707,70000.00,73500.00,69000.00,71760.00,1422234000790,19819939,2889,D,61280.00,73500.00
Ofogh.Koorosh,20200623,179990.00,182210.00,177300.00,181850.00,963977434030,5301043,5555,D,173540.00,182210.00
Ofogh.Koorosh,20200622,167600.00,177450.00,167600.00,173540.00,315946682040,1820553,3302,D,169140.00,176910.00
Ofogh.Koorosh,20200621,175000.00,175000.00,164970.00,169140.00,250009256190,1478131,3369,D,171890.00,168800.00
Ofogh.Koorosh,20200620,171890.00,171890.00,171780.00,171890.00,447891914360,2605723,3561,D,163710.00,171890.00
Ofogh.Koorosh,20200616,163710.00,163710.00,163710.00,163710.00,258325048530,1577943,1685,D,155920.00,163710.00
Ofogh.Koorosh,20200615,156000.00,159500.00,150010.00,155920.00,264427766460,1695922,2042,D,154590.00,156600.00
Ofogh.Koorosh,20200614,158740.00,158740.00,150660.00,154590.00,147125208540,951712,1767,D,157530.00,154880.00
Ofogh.Koorosh,20200613,157000.00,158990.00,152000.00,157530.00,140292980000,890574,1828,D,151643.00,158200.00
Ofogh.Koorosh,20200610,147200.00,156666.00,147200.00,151643.00,315238685145,2078820,1894,D,151490.00,153000.00
Ofogh.Koorosh,20200609,145504.00,155200.00,145504.00,151490.00,101366379090,669129,1332,D,152545.00,149600.00
Ofogh.Koorosh,20200608,160225.00,160225.00,144967.00,152545.00,217486859099,1425725,1775,D,152596.00,148000.00
Ofogh.Koorosh,20200607,157000.00,157119.00,149990.00,152596.00,174606436988,1144243,2588,D,149639.00,150002.00
Ofogh.Koorosh,20200606,149640.00,149640.00,149000.00,149639.00,159684597180,1067129,1373,D,142515.00,149640.00
Ofogh.Koorosh,20200602,137999.00,143116.00,136500.00,142515.00,207738998147,1457662,1818,D,136301.00,143116.00
Ofogh.Koorosh,20200601,135800.00,138480.00,131998.00,136301.00,143175702447,1050436,1005,D,131997.00,136500.00
Ofogh.Koorosh,20200531,138000.00,139000.00,131021.00,131997.00,247425177782,1874470,1285,D,137916.00,136000.00
Ofogh.Koorosh,20200530,138994.00,140800.00,136500.00,137916.00,97431408627,706456,1300,D,135659.00,137031.00
Ofogh.Koorosh,20200527,129301.00,139000.00,128313.00,135659.00,203288002409,1498519,1488,D,134961.00,136502.00
Ofogh.Koorosh,20200526,140000.00,141990.00,133923.00,134961.00,189880000000,1406926,1271,D,140045.00,133923.00
Ofogh.Koorosh,20200523,143990.00,145000.00,135869.00,140971.00,357470276869,2535769,2576,D,143020.00,140000.00
Ofogh.Koorosh,20200520,143020.00,143020.00,142500.00,143020.00,564967546220,3950277,2385,D,136210.00,143020.00
Ofogh.Koorosh,20200519,136210.00,136210.00,136210.00,136210.00,584605556030,4291943,1506,D,129724.00,136210.00
Ofogh.Koorosh,20200518,129724.00,129724.00,129724.00,129724.00,297103893548,2290277,1022,D,123547.00,129724.00
Ofogh.Koorosh,20200517,115000.00,125462.00,114000.00,123547.00,206794016469,1673815,1624,D,119488.00,125462.00
Ofogh.Koorosh,20200516,129500.00,129500.00,118389.00,119488.00,176709238675,1478892,1694,D,124620.00,118389.00
Ofogh.Koorosh,20200513,118000.00,126240.00,115201.00,124620.00,388223447993,3115257,2519,D,120229.00,126200.00
Ofogh.Koorosh,20200512,125740.00,126000.00,119453.00,120229.00,192473367692,1600891,1544,D,125740.00,120000.00
Ofogh.Koorosh,20200511,129000.00,130000.00,125009.00,125740.00,248320152532,1974876,2029,D,131588.00,125009.00
Ofogh.Koorosh,20200510,134100.00,135600.00,129078.00,131588.00,201834721720,1533839,2439,D,135871.00,130000.00
Ofogh.Koorosh,20200509,133955.00,137301.00,130510.00,135871.00,175828859904,1294090,2349,D,130763.00,133700.00
Ofogh.Koorosh,20200506,133000.00,134999.00,128213.00,130763.00,207975924687,1590482,2518,D,134961.00,131108.00
Ofogh.Koorosh,20200505,135000.00,143000.00,131225.00,134961.00,346484568801,2567296,3372,D,138131.00,131225.00
Ofogh.Koorosh,20200504,143000.00,143000.00,135000.00,138131.00,377260378914,2731170,4165,D,137136.00,135950.00
Ofogh.Koorosh,20200503,137137.00,137137.00,137000.00,137136.00,669726008673,4883661,4309,D,130607.00,137137.00
Ofogh.Koorosh,20200502,129814.00,130689.00,129000.00,130607.00,358630123002,2745864,1911,D,124466.00,130689.00
Ofogh.Koorosh,20200429,120031.00,125694.00,119900.00,124466.00,331594221979,2664140,3034,D,119709.00,125680.00
Ofogh.Koorosh,20200428,124600.00,124600.00,118374.00,119709.00,355521525926,2969874,3438,D,124604.00,120000.00
Ofogh.Koorosh,20200427,125000.00,127990.00,121049.00,124604.00,178810586986,1435029,2429,D,127420.00,124200.00
Ofogh.Koorosh,20200426,133998.00,133998.00,121965.00,127420.00,301234896764,2364113,2688,D,128302.00,123000.00
Ofogh.Koorosh,20200425,125999.00,129586.00,123400.00,128302.00,394471686777,3074555,3216,D,123416.00,129586.00
Ofogh.Koorosh,20200422,124800.00,125096.00,118200.00,123416.00,218338635449,1769133,2502,D,123901.00,125001.00
Ofogh.Koorosh,20200421,128000.00,128000.00,120001.00,123901.00,286407096128,2311589,2052,D,122283.00,122300.00
Ofogh.Koorosh,20200420,122300.00,126000.00,120493.00,122283.00,228845760411,1871437,2979,D,126834.00,121010.00
Ofogh.Koorosh,20200419,132000.00,133200.00,124409.00,126834.00,403518529702,3181466,3867,D,130956.00,124409.00
Ofogh.Koorosh,20200418,132000.00,133999.00,127276.00,130956.00,250596898825,1913591,3372,D,128711.00,131089.00
Ofogh.Koorosh,20200415,128000.00,132905.00,120536.00,128711.00,416127052155,3233037,3185,D,126880.00,128500.00
Ofogh.Koorosh,20200414,128000.00,131000.00,122486.00,126880.00,369168363110,2909597,4015,D,128932.00,129000.00
Ofogh.Koorosh,20200413,130000.00,132000.00,126001.00,128932.00,303777264167,2356102,1878,D,121553.00,127500.00
Ofogh.Koorosh,20200406,120689.00,127700.00,120689.00,121553.00,319039222055,2624690,4620,D,127041.00,120689.00
Ofogh.Koorosh,20200405,128376.00,128376.00,121000.00,127041.00,436247146226,3433896,7401,D,122263.00,128000.00
Ofogh.Koorosh,20200404,122264.00,122264.00,121100.00,122263.00,332223701805,2717290,3155,D,116442.00,122264.00
Ofogh.Koorosh,20200330,116442.00,116442.00,116270.00,116442.00,468553452979,4023930,3181,D,110898.00,116442.00
Ofogh.Koorosh,20200329,111074.00,111074.00,105801.00,110898.00,326992490431,2948592,2807,D,105785.00,111074.00
Ofogh.Koorosh,20200328,105785.00,105785.00,105785.00,105785.00,64506952505,609793,670,D,100748.00,105785.00
Ofogh.Koorosh,20200325,96908.00,101753.00,96908.00,100748.00,419173060769,4160600,1571,D,92294.00,101753.00
Ofogh.Koorosh,20200318,95000.00,95000.00,92626.00,92294.00,21816440071,230663,502,D,90806.00,94990.00
Ofogh.Koorosh,20200317,91170.00,92171.00,84150.00,90806.00,211230866371,2326188,2607,D,87782.00,92171.00
Ofogh.Koorosh,20200316,87110.00,88013.00,87000.00,87782.00,90633093626,1032476,1379,D,83822.00,88013.00
Ofogh.Koorosh,20200315,77711.00,85626.00,77711.00,83822.00,120720908513,1440198,1814,D,81549.00,85626.00
Ofogh.Koorosh,20200314,85880.00,85880.00,81162.00,81549.00,115004852817,1410259,1671,D,85433.00,81162.00
Ofogh.Koorosh,20200311,84799.00,86699.00,83000.00,85433.00,88974667385,1041450,1392,D,83488.00,84000.00
Ofogh.Koorosh,20200310,81500.00,84853.00,80813.00,83488.00,114162480488,1367408,1770,D,80813.00,82500.00
Ofogh.Koorosh,20200309,81521.00,83300.00,78758.00,80813.00,146832592670,1816951,2152,D,82901.00,82987.00
Ofogh.Koorosh,20200307,86000.00,86000.00,81835.00,82901.00,100343375591,1210400,1857,D,85842.00,82503.00
Ofogh.Koorosh,20200304,88873.00,88873.00,84600.00,85842.00,129822499179,1512343,2202,D,87226.00,85100.00
Ofogh.Koorosh,20200303,89000.00,89887.00,83001.00,87226.00,171977087677,1971623,2765,D,86513.00,87000.00
Ofogh.Koorosh,20200302,86516.00,86516.00,84561.00,86513.00,367334717577,4246020,3139,D,82397.00,86516.00
Ofogh.Koorosh,20200301,82500.00,82576.00,81111.00,82397.00,185399041439,2250079,1961,D,78644.00,82576.00
Ofogh.Koorosh,20200229,74300.00,79149.00,74200.00,78644.00,258815324611,3290964,3081,D,75380.00,79149.00
Ofogh.Koorosh,20200226,75902.00,76142.00,74200.00,75380.00,78799054135,1045353,1458,D,75241.00,76000.00
Ofogh.Koorosh,20200225,74999.00,76000.00,73990.00,75241.00,138895839258,1846018,2116,D,74338.00,74200.00
Ofogh.Koorosh,20200224,75988.00,75988.00,73866.00,74338.00,83235737676,1119690,1256,D,75382.00,75000.00
Ofogh.Koorosh,20200223,75491.00,76401.00,74500.00,75382.00,103269345758,1369952,1582,D,74640.00,74900.00
Ofogh.Koorosh,20200222,72500.00,75490.00,72500.00,74640.00,93188301394,1248507,1086,D,76158.00,74500.00
Ofogh.Koorosh,20200219,76022.00,76900.00,73564.00,76158.00,53550198195,703148,1045,D,76383.00,75399.00
Ofogh.Koorosh,20200218,77000.00,78050.00,74810.00,76383.00,34904907542,456975,736,D,78085.00,76021.00
Ofogh.Koorosh,20200217,77310.00,79300.00,76616.00,78085.00,62025922071,794341,940,D,79404.00,77000.00
Ofogh.Koorosh,20200216,77989.00,80000.00,77001.00,79404.00,153941637700,1938726,700,D,78742.00,78742.00
Ofogh.Koorosh,20200215,79401.00,79998.00,76831.00,78742.00,81001563070,1028691,919,D,77179.00,78700.00
Ofogh.Koorosh,20200212,77380.00,78000.00,75012.00,77179.00,90049653207,1166766,762,D,76515.00,77700.00
Ofogh.Koorosh,20200210,78900.00,79500.00,74954.00,76515.00,67374056562,880534,1017,D,78898.00,76295.00
Ofogh.Koorosh,20200209,77888.00,80000.00,76000.00,78898.00,66196569368,839016,995,D,78461.00,77110.00
Ofogh.Koorosh,20200208,79807.00,80600.00,76503.00,78461.00,84004229038,1070651,1535,D,80030.00,76930.00
Ofogh.Koorosh,20200205,82099.00,82099.00,79000.00,80030.00,72187703885,902004,1695,D,78677.00,79120.00
Ofogh.Koorosh,20200204,78889.00,78889.00,77101.00,78677.00,184791277986,2348735,2271,D,75133.00,78889.00
Ofogh.Koorosh,20200203,75133.00,75133.00,75133.00,75133.00,673618961371,8965687,844,D,71556.00,75133.00
Ofogh.Koorosh,20200202,70000.00,71626.00,70000.00,71556.00,182112776606,2545036,1327,D,68216.00,71626.00
Ofogh.Koorosh,20200201,69099.00,69980.00,67720.00,68216.00,328236865886,4811695,1049,D,68123.00,69850.00
Ofogh.Koorosh,20200128,67615.00,69000.00,67615.00,68123.00,33350627002,489566,1032,D,68656.00,69000.00
Ofogh.Koorosh,20200127,67600.00,69440.00,67600.00,68656.00,21860715398,318409,639,D,68351.00,68000.00
Ofogh.Koorosh,20200126,69015.00,69200.00,67800.00,68351.00,44159365581,646069,1070,D,69358.00,69000.00
Ofogh.Koorosh,20200125,68100.00,69800.00,68100.00,69358.00,37625560777,542486,983,D,68863.00,69440.00
Ofogh.Koorosh,20200122,68300.00,69200.00,67701.00,68863.00,30015577108,435873,755,D,68979.00,68900.00
Ofogh.Koorosh,20200121,68001.00,70000.00,67970.00,68979.00,35085636424,508639,954,D,67841.00,68900.00
Ofogh.Koorosh,20200120,68490.00,68490.00,67495.00,67841.00,25080671628,369697,842,D,67650.00,67949.00
Ofogh.Koorosh,20200119,68000.00,68000.00,67011.00,67650.00,34121726391,504389,764,D,67693.00,67700.00
Ofogh.Koorosh,20200118,67999.00,68500.00,66949.00,67693.00,106927741943,1579597,1599,D,67821.00,67880.00
Ofogh.Koorosh,20200115,68000.00,68500.00,67013.00,67821.00,27111775906,399752,678,D,68643.00,67872.00
Ofogh.Koorosh,20200114,70362.00,71000.00,67813.00,68643.00,65928835941,960456,869,D,69410.00,68000.00
Ofogh.Koorosh,20200113,69880.00,70299.00,67102.00,69410.00,41935933931,604176,869,D,67012.00,69998.00
Ofogh.Koorosh,20200112,67012.00,67012.00,67012.00,67012.00,94584221424,1411452,589,D,63821.00,67012.00
Ofogh.Koorosh,20200111,63821.00,63821.00,63821.00,63821.00,19521758943,305883,57,D,62570.00,63821.00
Ofogh.Koorosh,20200108,62570.00,62600.00,62570.00,62570.00,50927582070,813929,545,D,63846.00,62600.00
Ofogh.Koorosh,20200107,64120.00,67000.00,62604.00,63846.00,78333723787,1226914,916,D,65898.00,62604.00
Ofogh.Koorosh,20200105,63100.00,67999.00,63100.00,65898.00,50456665162,765683,979,D,66247.00,65997.00
Ofogh.Koorosh,20200104,66174.00,69656.00,66174.00,66247.00,211395488627,3191017,1291,D,69656.00,66673.00
Ofogh.Koorosh,20200101,70304.00,71310.00,69020.00,69656.00,23648556913,339504,587,D,70278.00,69350.00
Ofogh.Koorosh,20191231,71500.00,71500.00,69100.00,70278.00,21236723647,302183,602,D,70295.00,70303.00
Ofogh.Koorosh,20191230,69650.00,71523.00,69000.00,70295.00,75088822203,1068196,926,D,69440.00,70711.00
Ofogh.Koorosh,20191229,70000.00,70100.00,68999.00,69440.00,45983083249,662202,722,D,69661.00,69920.00
Ofogh.Koorosh,20191228,68515.00,70200.00,68515.00,69661.00,37889740153,543913,745,D,68515.00,69900.00
Ofogh.Koorosh,20191225,68951.00,70000.00,68000.00,68515.00,17263271580,251963,561,D,68956.00,68450.00
Ofogh.Koorosh,20191224,68121.00,69939.00,68121.00,68956.00,45587027824,661106,512,D,69255.00,68990.00
Ofogh.Koorosh,20191223,68600.00,70095.00,67901.00,69255.00,74720756768,1078928,861,D,69010.00,69250.00
Ofogh.Koorosh,20191222,70576.00,71000.00,68721.00,69010.00,13633292801,197554,623,D,69626.00,68760.00
Ofogh.Koorosh,20191221,70000.00,70575.00,68001.00,69626.00,66157750981,950191,684,D,69297.00,69705.00
Ofogh.Koorosh,20191218,68880.00,71700.00,67301.00,69297.00,32200813693,464680,772,D,69138.00,70000.00
Ofogh.Koorosh,20191217,70865.00,70865.00,68000.00,69138.00,61580182954,890684,1424,D,70823.00,68499.00
Ofogh.Koorosh,20191216,71586.00,72700.00,70000.00,70823.00,31590843544,446055,792,D,71264.00,70310.00
Ofogh.Koorosh,20191215,73970.00,73970.00,69486.00,71264.00,44501027832,624451,1149,D,70790.00,70500.00
Ofogh.Koorosh,20191214,68190.00,71033.00,68190.00,70790.00,129448598885,1828620,1511,D,67651.00,71033.00
Ofogh.Koorosh,20191211,66727.00,69090.00,65002.00,67651.00,32360446804,478341,758,D,67159.00,68190.00
Ofogh.Koorosh,20191210,66500.00,67999.00,66072.00,67159.00,44293949688,659534,990,D,67632.00,66400.00
Ofogh.Koorosh,20191209,68500.00,68500.00,67000.00,67632.00,40259204672,595266,1238,D,66579.00,67290.00
Ofogh.Koorosh,20191208,66006.00,67077.00,64800.00,66579.00,168781160112,2535035,1960,D,63883.00,67077.00
Ofogh.Koorosh,20191207,62259.00,64417.00,61900.00,63883.00,266001483235,4163888,1823,D,61350.00,64417.00
Ofogh.Koorosh,20191204,61000.00,62334.00,60300.00,61350.00,60308832444,983033,630,D,61003.00,61900.00
Ofogh.Koorosh,20191203,61002.00,61554.00,60350.00,61003.00,25071332088,410983,515,D,61019.00,61000.00
Ofogh.Koorosh,20191202,62000.00,62000.00,60355.00,61019.00,22836331182,374248,579,D,61331.00,61500.00
Ofogh.Koorosh,20191201,61999.00,61999.00,60900.00,61331.00,11565831044,188582,586,D,61832.00,61100.00
Ofogh.Koorosh,20191130,60505.00,62350.00,60500.00,61832.00,16700631535,270096,624,D,60864.00,61800.00
Ofogh.Koorosh,20191127,60002.00,62500.00,59989.00,60864.00,40469018884,664912,768,D,60486.00,62500.00
Ofogh.Koorosh,20191126,61399.00,61500.00,60142.00,60486.00,11359784020,187808,520,D,59980.00,60385.00
Ofogh.Koorosh,20191125,60099.00,60956.00,59700.00,59980.00,47631058409,794113,715,D,59947.00,60951.00
Ofogh.Koorosh,20191124,60000.00,60289.00,59501.00,59947.00,13572954257,226417,524,D,60218.00,59905.00
Ofogh.Koorosh,20191123,60800.00,61000.00,59980.00,60218.00,13802958343,229217,652,D,61004.00,60298.00
Ofogh.Koorosh,20191120,61020.00,61990.00,60700.00,61004.00,9460977608,155088,350,D,61018.00,60989.00
Ofogh.Koorosh,20191119,60700.00,61500.00,60111.00,61018.00,11311882128,185386,331,D,60702.00,61010.00
Ofogh.Koorosh,20191118,60022.00,61600.00,59880.00,60702.00,16838530960,277395,443,D,60585.00,60101.00
Ofogh.Koorosh,20191117,61700.00,62100.00,60000.00,60585.00,16181842677,267093,464,D,62234.00,61595.00
Ofogh.Koorosh,20191116,62999.00,62999.00,62000.00,62234.00,11953650789,192077,388,D,62609.00,62000.00
Ofogh.Koorosh,20191113,62751.00,62990.00,62001.00,62609.00,19146217144,305807,398,D,62987.00,62895.00
Ofogh.Koorosh,20191112,62990.00,63290.00,62350.00,62987.00,32660671912,518534,730,D,61854.00,62751.00
Ofogh.Koorosh,20191111,61701.00,62700.00,61013.00,61854.00,15958756331,258005,438,D,62240.00,61599.00
Ofogh.Koorosh,20191110,62100.00,62897.00,61600.00,62240.00,7870503352,126809,323,D,62923.00,61978.00
Ofogh.Koorosh,20191109,63100.00,63700.00,62100.00,62923.00,29883529962,474920,519,D,62874.00,62647.00
Ofogh.Koorosh,20191105,62110.00,63300.00,62110.00,62874.00,16448520486,261611,320,D,62846.00,62869.00
Ofogh.Koorosh,20191104,63685.00,63686.00,62108.00,62846.00,23950053582,381094,444,D,63685.00,62500.00
Ofogh.Koorosh,20191103,63578.00,64490.00,63010.00,63685.00,22144541605,347720,405,D,63578.00,63218.00
Ofogh.Koorosh,20191102,65000.00,65000.00,62001.00,63578.00,20354801390,320154,641,D,64398.00,63010.00
