<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PARS.Petrochemical,20200722,157000.00,157890.00,149150.00,154590.00,47744150740,313727,669,D,157050.00,150480.00
PARS.Petrochemical,20200719,164800.00,167470.00,164150.00,166550.00,201705569220,1211084,1257,D,159500.00,167470.00
PARS.Petrochemical,20200718,155000.00,165880.00,155000.00,159500.00,239115727660,1499154,3159,D,161020.00,162500.00
PARS.Petrochemical,20200715,167700.00,170000.00,154410.00,161020.00,389954386600,2421737,3155,D,162530.00,163740.00
PARS.Petrochemical,20200714,171900.00,171900.00,160010.00,162530.00,374465897400,2304017,3878,D,168430.00,162900.00
PARS.Petrochemical,20200713,168670.00,174400.00,165620.00,168430.00,332336291550,1973102,2844,D,174330.00,165630.00
PARS.Petrochemical,20200712,168050.00,176440.00,161640.00,174330.00,616426259450,3535929,3630,D,168040.00,168670.00
PARS.Petrochemical,20200711,164720.00,179470.00,164660.00,168040.00,369453531050,2198664,3008,D,173320.00,173990.00
PARS.Petrochemical,20200708,182460.00,182460.00,170480.00,173320.00,456692212420,2634937,3135,D,179450.00,170480.00
PARS.Petrochemical,20200707,189400.00,189400.00,174520.00,179450.00,514828803490,2868871,4009,D,183700.00,176000.00
PARS.Petrochemical,20200706,182760.00,183750.00,180000.00,183700.00,557580406500,3035314,2582,D,175000.00,183750.00
PARS.Petrochemical,20200705,170900.00,180830.00,167110.00,175000.00,269377468830,1539258,2873,D,175080.00,178430.00
PARS.Petrochemical,20200704,188000.00,188000.00,170190.00,175080.00,266505689020,1522225,3126,D,179140.00,170500.00
PARS.Petrochemical,20200701,179680.00,179680.00,174390.00,179140.00,170322396670,950760,1911,D,171130.00,179680.00
PARS.Petrochemical,20200630,166100.00,171950.00,166000.00,171130.00,118538992990,692686,1204,D,163770.00,171950.00
PARS.Petrochemical,20200629,162750.00,168980.00,162680.00,163770.00,139728653990,853215,2509,D,171240.00,164700.00
PARS.Petrochemical,20200628,186810.00,186810.00,169040.00,171240.00,311125220910,1816930,2907,D,177930.00,169040.00
PARS.Petrochemical,20200627,175000.00,180140.00,174000.00,177930.00,145105337790,815531,1848,D,171570.00,180140.00
PARS.Petrochemical,20200624,169990.00,171870.00,165000.00,171570.00,208948784040,1217833,1699,D,163690.00,171870.00
PARS.Petrochemical,20200623,163700.00,163700.00,161350.00,163690.00,188117313090,1149225,1491,D,155910.00,163700.00
PARS.Petrochemical,20200622,154430.00,156730.00,150020.00,155910.00,214371737430,1374980,1661,D,149270.00,156730.00
PARS.Petrochemical,20200621,152000.00,152000.00,146220.00,149270.00,168483953950,1128713,2187,D,145080.00,150000.00
PARS.Petrochemical,20200620,138510.00,152000.00,138510.00,145080.00,508902988930,3507799,3723,D,145660.00,151000.00
PARS.Petrochemical,20200616,150990.00,150990.00,140110.00,145660.00,272179528790,1868552,2684,D,146500.00,143300.00
PARS.Petrochemical,20200615,150010.00,153000.00,143000.00,146500.00,708884754080,4838758,2359,D,140920.00,147000.00
PARS.Petrochemical,20200610,139500.00,144473.00,130715.00,140917.00,307212771737,2180102,2399,D,137594.00,144473.00
PARS.Petrochemical,20200609,139000.00,142888.00,135180.00,137594.00,188838725550,1372434,1719,D,141712.00,136700.00
PARS.Petrochemical,20200608,137432.00,151898.00,137432.00,141712.00,214481766677,1513502,1886,D,144665.00,139000.00
PARS.Petrochemical,20200607,141150.00,144959.00,141150.00,144665.00,293760922176,2030625,2199,D,138057.00,144788.00
PARS.Petrochemical,20200606,137999.00,138899.00,135000.00,138057.00,298234370942,2160232,1864,D,132285.00,138899.00
PARS.Petrochemical,20200602,128901.00,135000.00,128901.00,132285.00,193945487251,1466114,1894,D,128924.00,133000.00
PARS.Petrochemical,20200601,129288.00,131100.00,126007.00,128924.00,207903089724,1612608,1693,D,129650.00,127712.00
PARS.Petrochemical,20200531,136000.00,136000.00,128001.00,129650.00,271838657681,2096711,2227,D,134430.00,129919.00
PARS.Petrochemical,20200530,130000.00,135328.00,130000.00,134430.00,481199191568,3579554,3078,D,128884.00,135059.00
PARS.Petrochemical,20200527,125215.00,129147.00,125005.00,128884.00,483010314137,3747624,2078,D,122998.00,129147.00
PARS.Petrochemical,20200526,131500.00,131500.00,122216.00,122998.00,442078000000,3594198,2614,D,128748.00,122216.00
PARS.Petrochemical,20200523,128500.00,129147.00,125600.00,128648.00,399665690682,3106667,3278,D,122998.00,129147.00
PARS.Petrochemical,20200520,126444.00,126500.00,116900.00,122998.00,248477761883,2020182,3334,D,120650.00,125500.00
PARS.Petrochemical,20200519,120650.00,120650.00,120650.00,120650.00,749812241800,6214772,1408,D,114905.00,120650.00
PARS.Petrochemical,20200518,114938.00,114938.00,110000.00,114905.00,485919038161,4228876,1605,D,109465.00,114938.00
PARS.Petrochemical,20200517,102501.00,113259.00,102501.00,109465.00,267302848711,2441907,2642,D,107868.00,112400.00
