<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Paksho,20200722,56980.00,60090.00,56980.00,57320.00,165884664070,2893855,1983,D,59970.00,59000.00
Paksho,20200721,60000.00,61450.00,59830.00,59970.00,123937589190,2066537,2339,D,62970.00,59830.00
Paksho,20200720,62800.00,65000.00,61250.00,62970.00,151598649760,2407353,3436,D,64200.00,61490.00
Paksho,20200719,66000.00,66980.00,62000.00,64200.00,248597329140,3872446,3699,D,63800.00,63100.00
Paksho,20200718,64770.00,65000.00,62300.00,63800.00,156752588300,2456822,3048,D,61910.00,64600.00
Paksho,20200715,58000.00,63650.00,57590.00,61910.00,322519348210,5209235,3611,D,60620.00,63650.00
Paksho,20200714,60900.00,63390.00,59120.00,60620.00,165509356250,2730134,3186,D,61330.00,59140.00
Paksho,20200713,59170.00,64100.00,58530.00,61330.00,274596859070,4477294,3644,D,61610.00,62000.00
Paksho,20200712,61470.00,62970.00,58900.00,61610.00,339820986400,5516096,4653,D,59980.00,59950.00
Paksho,20200711,58810.00,64790.00,58810.00,59980.00,283214820000,4721741,3927,D,61900.00,61470.00
Paksho,20200708,60100.00,63200.00,59980.00,61900.00,347122936100,5607626,4583,D,63130.00,59980.00
Paksho,20200707,64490.00,67000.00,61610.00,63130.00,390719102020,6189504,6380,D,64840.00,61800.00
Paksho,20200706,65100.00,68350.00,62900.00,64840.00,341609932540,5268140,5601,D,59980.00,64200.00
Paksho,20200704,61700.00,62220.00,56310.00,59980.00,474363145140,7908264,6591,D,59270.00,60000.00
Paksho,20200701,59560.00,59560.00,56730.00,59270.00,291378435370,4916363,3804,D,56730.00,59560.00
Paksho,20200630,56730.00,56730.00,56720.00,56730.00,146056324960,2574589,1802,D,54030.00,56730.00
Paksho,20200629,53000.00,55560.00,52940.00,54030.00,291606056350,5397579,4679,D,52920.00,55560.00
Paksho,20200628,55390.00,55390.00,50490.00,52920.00,377787301400,7138843,4898,D,53140.00,53500.00
Paksho,20200627,52760.00,54560.00,52000.00,53140.00,261567201330,4922460,4110,D,52360.00,54000.00
