<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Tousheh,20200722,31850.00,33500.00,31810.00,31900.00,202765089640,6356481,1331,D,33480.00,31810.00
Pars.Tousheh,20200721,35000.00,35140.00,33390.00,33480.00,144194790860,4307327,1401,D,35140.00,33390.00
Pars.Tousheh,20200720,35900.00,35900.00,34110.00,35140.00,50952380840,1449895,395,D,35870.00,35270.00
Pars.Tousheh,20200714,38680.00,38680.00,35000.00,36140.00,241446720280,6680930,1947,D,36840.00,35000.00
Pars.Tousheh,20200713,35130.00,37270.00,33730.00,36840.00,179164943710,4862923,1280,D,35500.00,37270.00
Pars.Tousheh,20200712,35510.00,35510.00,34410.00,35500.00,368291848510,10375453,1801,D,33820.00,35500.00
Pars.Tousheh,20200711,31500.00,34210.00,31220.00,33820.00,207895941030,6147812,1405,D,32590.00,34210.00
Pars.Tousheh,20200708,31330.00,32600.00,31330.00,32590.00,423215985450,12987780,1372,D,31050.00,32300.00
Pars.Tousheh,20200707,31990.00,32800.00,30210.00,31050.00,136571644870,4398639,1466,D,31800.00,32250.00
Pars.Tousheh,20200706,32900.00,33000.00,31300.00,31800.00,182755277010,5746733,1378,D,31600.00,31310.00
Pars.Tousheh,20200705,31300.00,31940.00,31000.00,31600.00,174389323690,5517948,1210,D,30420.00,31330.00
Pars.Tousheh,20200704,33000.00,33000.00,30180.00,30420.00,120917964000,3974984,1160,D,31760.00,31300.00
Pars.Tousheh,20200701,32290.00,32350.00,30310.00,31760.00,102056619720,3213790,1022,D,30810.00,32350.00
Pars.Tousheh,20200630,29640.00,31230.00,28270.00,30810.00,100922990490,3275716,1272,D,29750.00,31230.00
Pars.Tousheh,20200629,29750.00,31000.00,29640.00,29750.00,70872881660,2382102,865,D,31190.00,30000.00
Pars.Tousheh,20200628,32740.00,32740.00,31110.00,31190.00,110428274740,3539977,893,D,32740.00,31110.00
Pars.Tousheh,20200627,34400.00,34400.00,32000.00,32740.00,78232295310,2389543,962,D,33360.00,32120.00
Pars.Tousheh,20200624,33100.00,33580.00,32060.00,33360.00,151995499070,4556506,941,D,31990.00,32060.00
Pars.Tousheh,20200623,31890.00,32060.00,31000.00,31990.00,170600967880,5332931,667,D,30540.00,32060.00
