<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parsian.Ecommerc,20200722,20950.00,21500.00,20910.00,20960.00,141455446320,6749932,3117,D,22010.00,20910.00
Parsian.Ecommerc,20200721,22150.00,22790.00,21870.00,22010.00,463961704560,21077527,7835,D,23020.00,21870.00
Parsian.Ecommerc,20200720,23190.00,23190.00,22090.00,23020.00,528773427600,22972122,7963,D,22090.00,22580.00
Parsian.Ecommerc,20200719,22090.00,22090.00,22090.00,22090.00,130696655770,5916553,1261,D,21040.00,22090.00
Parsian.Ecommerc,20200718,21040.00,21040.00,21000.00,21040.00,674201333390,32044372,9449,D,20040.00,21040.00
Parsian.Ecommerc,20200715,20500.00,20880.00,19030.00,20040.00,387493870680,19340386,8948,D,20030.00,19780.00
Parsian.Ecommerc,20200714,20930.00,20930.00,18950.00,20030.00,626989201850,31298675,12058,D,19940.00,18950.00
Parsian.Ecommerc,20200713,19800.00,21000.00,19400.00,19940.00,290837448890,14587184,5663,D,20130.00,19550.00
Parsian.Ecommerc,20200712,20160.00,20160.00,19640.00,20130.00,496322389600,24650262,5330,D,19200.00,19800.00
Parsian.Ecommerc,20200711,18760.00,20320.00,18760.00,19200.00,444104605940,23129247,7430,D,19740.00,19890.00
Parsian.Ecommerc,20200708,19930.00,19930.00,18500.00,19740.00,698504900020,35381583,7860,D,18990.00,18900.00
Parsian.Ecommerc,20200707,19000.00,19590.00,17730.00,18990.00,601217302260,31667361,7760,D,18660.00,19590.00
Parsian.Ecommerc,20200706,18680.00,18710.00,18040.00,18660.00,292075762220,15653942,3198,D,17820.00,18710.00
Parsian.Ecommerc,20200705,16920.00,18580.00,16920.00,17820.00,256545001130,14399121,3887,D,17790.00,18000.00
Parsian.Ecommerc,20200704,18760.00,18760.00,16980.00,17790.00,340754638230,19155532,5295,D,17870.00,17000.00
Parsian.Ecommerc,20200701,18100.00,18200.00,17050.00,17870.00,293842641710,16440757,4194,D,17340.00,18200.00
Parsian.Ecommerc,20200630,17000.00,17440.00,16820.00,17340.00,322725363580,18613575,3908,D,16610.00,17440.00
Parsian.Ecommerc,20200629,16560.00,16890.00,16550.00,16610.00,228972821940,13786695,2710,D,17420.00,16570.00
Parsian.Ecommerc,20200628,18100.00,18300.00,16560.00,17420.00,325547963790,18688092,3469,D,17430.00,16560.00
Parsian.Ecommerc,20200627,16880.00,17540.00,16700.00,17430.00,244766051690,14043807,2382,D,16710.00,17540.00
Parsian.Ecommerc,20200624,16070.00,17200.00,16060.00,16710.00,181599004140,10865371,2263,D,16900.00,16370.00
Parsian.Ecommerc,20200623,16300.00,16980.00,16300.00,16900.00,338759316610,20041655,3273,D,16180.00,16490.00
Parsian.Ecommerc,20200622,16350.00,16450.00,15890.00,16180.00,238590300700,14743666,4198,D,16720.00,16020.00
Parsian.Ecommerc,20200621,17050.00,17050.00,16220.00,16720.00,205352774770,12280097,3572,D,16360.00,16390.00
Parsian.Ecommerc,20200620,16360.00,16360.00,16360.00,16360.00,73534175440,4494754,659,D,15590.00,16360.00
Parsian.Ecommerc,20200616,15650.00,15650.00,15650.00,15590.00,51297961250,3277825,594,D,14910.00,15650.00
Parsian.Ecommerc,20200615,14870.00,14920.00,14860.00,14910.00,70533696030,4730461,826,D,14210.00,14920.00
Parsian.Ecommerc,20200614,15080.00,15080.00,13870.00,14210.00,200889758060,14141336,2974,D,14600.00,14730.00
Parsian.Ecommerc,20200613,14390.00,14670.00,14200.00,14600.00,201695975320,13812193,2846,D,13976.00,14670.00
Parsian.Ecommerc,20200610,13650.00,14300.00,13632.00,13976.00,231157397771,16539610,2707,D,13910.00,14200.00
Parsian.Ecommerc,20200609,14009.00,14818.00,13774.00,13910.00,233967304613,16819752,2244,D,14498.00,14200.00
Parsian.Ecommerc,20200608,14155.00,15645.00,14155.00,14498.00,171648403932,11839772,2297,D,14900.00,14200.00
Parsian.Ecommerc,20200607,14811.00,14955.00,14501.00,14900.00,128060364540,8594487,1296,D,14243.00,14531.00
Parsian.Ecommerc,20200606,14256.00,14256.00,13750.00,14243.00,143341235629,10064103,1303,D,13578.00,14256.00
Parsian.Ecommerc,20200602,13012.00,13654.00,12900.00,13578.00,156254451211,11507534,1545,D,13004.00,13654.00
Parsian.Ecommerc,20200601,13000.00,13600.00,12643.00,13004.00,177142629666,13622186,2602,D,13308.00,12991.00
Parsian.Ecommerc,20200531,14200.00,14200.00,13244.00,13308.00,148941384434,11192158,1436,D,13941.00,13245.00
Parsian.Ecommerc,20200530,14212.00,14750.00,13674.00,13941.00,201419967748,14447580,3240,D,14393.00,14000.00
