<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parsian.Oil&Gas,20200722,61580.00,64819.00,61580.00,61677.00,179491202460,2910179,1577,D,64821.00,61580.00
Parsian.Oil&Gas,20200721,64873.00,65000.00,64782.00,64821.00,58540808283,903119,634,D,68191.00,64782.00
Parsian.Oil&Gas,20200720,70450.00,70600.00,65604.00,68191.00,398251158039,5840188,2679,D,69056.00,65604.00
Parsian.Oil&Gas,20200719,67525.00,70800.00,64300.00,69056.00,613411236196,8882829,3093,D,67525.00,69899.00
Parsian.Oil&Gas,20200718,66000.00,68553.00,62025.00,67525.00,422831212353,6261843,2672,D,65289.00,65320.00
Parsian.Oil&Gas,20200715,65289.00,65289.00,65289.00,65289.00,73602183081,1127329,495,D,68725.00,65289.00
Parsian.Oil&Gas,20200714,67563.00,67563.00,67563.00,68725.00,29383351389,434903,333,D,71118.00,67563.00
Parsian.Oil&Gas,20200713,70938.00,70938.00,70938.00,71118.00,43631764722,615069,403,D,74671.00,70938.00
Parsian.Oil&Gas,20200712,78121.00,78122.00,70682.00,74671.00,370702968812,4964494,2689,D,74402.00,70682.00
Parsian.Oil&Gas,20200711,73506.00,76900.00,73506.00,74402.00,231838635163,3116007,1863,D,77374.00,75900.00
Parsian.Oil&Gas,20200708,78260.00,78260.00,70808.00,77374.00,915023098667,11825931,3792,D,74534.00,71110.00
Parsian.Oil&Gas,20200707,73800.00,74602.00,71410.00,74534.00,827883114167,11107457,1515,D,71050.00,74602.00
Parsian.Oil&Gas,20200706,71700.00,71823.00,69000.00,71050.00,276558939907,3892450,1953,D,68403.00,70000.00
Parsian.Oil&Gas,20200705,66000.00,70195.00,63511.00,68403.00,272972720846,3990656,2514,D,66853.00,70000.00
Parsian.Oil&Gas,20200704,68000.00,69225.00,66403.00,66853.00,81782518871,1223312,1145,D,69897.00,66403.00
Parsian.Oil&Gas,20200701,69510.00,75950.00,69351.00,69897.00,276654680572,3958049,1723,D,73001.00,69351.00
Parsian.Oil&Gas,20200630,73050.00,75490.00,70610.00,73001.00,296267324181,4058422,2402,D,72110.00,71900.00
Parsian.Oil&Gas,20200629,70900.00,74730.00,70900.00,72110.00,272397640008,3777530,1385,D,74631.00,72500.00
Parsian.Oil&Gas,20200628,75620.00,78000.00,74183.00,74631.00,125868997375,1686541,594,D,78087.00,74183.00
Parsian.Oil&Gas,20200627,79870.00,80160.00,74000.00,78087.00,170937850487,2189077,1356,D,76451.00,75500.00
Parsian.Oil&Gas,20200624,71010.00,77551.00,70500.00,76451.00,413393855914,5407303,1915,D,73859.00,77551.00
Parsian.Oil&Gas,20200623,75500.00,75511.00,71900.00,73859.00,209016035011,2829932,1654,D,71916.00,71902.00
