<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parsian,20200722,21000.00,22700.00,20760.00,21450.00,156989681090,7317589,1182,D,21850.00,20760.00
Parsian,20200721,22010.00,22010.00,19950.00,21850.00,835012652640,38214653,5054,D,20970.00,20800.00
Parsian,20200720,20970.00,20970.00,20970.00,20970.00,59970467340,2859822,295,D,19980.00,20970.00
Parsian,20200719,19980.00,19980.00,19980.00,19980.00,59359640940,2970953,278,D,19030.00,19980.00
Parsian,20200718,19030.00,19030.00,19030.00,19030.00,54400014350,2858645,341,D,18130.00,19030.00
Parsian,20200715,18270.00,18270.00,18270.00,18130.00,50562115380,2767494,309,D,17400.00,18270.00
Parsian,20200714,17400.00,17400.00,17400.00,17400.00,58591663800,3367337,387,D,16580.00,17400.00
Parsian,20200713,16670.00,16670.00,16000.00,16580.00,91264840430,5503053,1157,D,15880.00,16670.00
Parsian,20200712,15940.00,15940.00,15940.00,15880.00,48801027300,3061545,305,D,15190.00,15940.00
Parsian,20200711,14330.00,15830.00,14330.00,15190.00,169151973000,11134142,1481,D,15080.00,15830.00
Parsian,20200708,15760.00,15760.00,14980.00,15080.00,113069782630,7496932,1310,D,15760.00,14980.00
Parsian,20200707,16700.00,16700.00,15440.00,15760.00,195861637700,12430906,2278,D,16250.00,15580.00
Parsian,20200706,16140.00,16290.00,15560.00,16250.00,230402188170,14176140,1473,D,15520.00,16290.00
Parsian,20200705,15220.00,16020.00,15220.00,15520.00,199774056240,12871604,2618,D,16020.00,16000.00
Parsian,20200704,16600.00,16600.00,15660.00,16020.00,46152211000,2885597,891,D,16480.00,15660.00
Parsian,20200701,16490.00,16500.00,15700.00,16480.00,243821889970,14791012,1931,D,15720.00,16490.00
Parsian,20200630,15460.00,15750.00,15200.00,15720.00,172923913490,10998274,983,D,15000.00,15750.00
Parsian,20200629,15280.00,15430.00,14970.00,15000.00,136311093140,9089882,1580,D,15750.00,14970.00
Parsian,20200628,16000.00,16240.00,14700.00,15750.00,167508350490,10633139,1879,D,15470.00,15200.00
Parsian,20200627,16300.00,16500.00,15270.00,15470.00,295526884910,19107303,2043,D,16070.00,15570.00
Parsian,20200624,16060.00,16460.00,16060.00,16070.00,186557940330,11611476,1228,D,16900.00,16080.00
Parsian,20200623,16700.00,17460.00,15800.00,16900.00,201213985760,11904968,2350,D,16630.00,16000.00
Parsian,20200622,17470.00,17470.00,16290.00,16630.00,162228824640,9755807,2301,D,17140.00,16290.00
Parsian,20200621,18000.00,18000.00,17100.00,17140.00,21620532280,1240164,223,D,16920.00,17300.00
Parsian,20200615,16900.00,17340.00,16600.00,17170.00,141775476530,8255013,1674,D,16520.00,16950.00
Parsian,20200614,16830.00,16880.00,16000.00,16520.00,146060629770,8839516,1428,D,16080.00,16880.00
Parsian,20200613,16050.00,16090.00,15900.00,16080.00,122239679950,7601874,805,D,15324.00,16090.00
Parsian,20200610,14879.00,15479.00,14521.00,15324.00,158764881333,10360827,1107,D,14742.00,15479.00
Parsian,20200609,15010.00,15498.00,14383.00,14742.00,125124835799,8487705,1555,D,15140.00,14599.00
Parsian,20200608,16218.00,16218.00,14674.00,15140.00,143391341461,9471107,1472,D,15446.00,14723.00
Parsian,20200607,15447.00,15447.00,14899.00,15446.00,151457060037,9805791,603,D,14712.00,15447.00
Parsian,20200606,14726.00,14727.00,14300.00,14712.00,57086943987,3880226,746,D,14026.00,14727.00
Parsian,20200602,13960.00,14070.00,13100.00,14026.00,108462433841,7733028,1233,D,13400.00,14070.00
Parsian,20200601,13200.00,13436.00,12900.00,13400.00,96009632449,7164765,825,D,12797.00,13436.00
Parsian,20200531,12804.00,12804.00,12208.00,12797.00,186684251387,14588194,975,D,12195.00,12804.00
Parsian,20200530,12000.00,12208.00,12000.00,12195.00,71161084699,5835114,390,D,11627.00,12208.00
Parsian,20200527,11289.00,12400.00,11289.00,11627.00,73836620343,6350244,1066,D,11883.00,12130.00
Parsian,20200526,11651.00,12200.00,11519.00,11883.00,26329286358,2250054,446,D,12125.00,11519.00
Parsian,20200523,12082.00,12351.00,12082.00,12125.00,46450377658,3835508,648,D,12717.00,12082.00
Parsian,20200520,13483.00,13515.00,12612.00,12717.00,123185914645,9686502,1164,D,13275.00,12612.00
Parsian,20200519,13351.00,13351.00,12720.00,13275.00,198005667135,14915766,1506,D,12716.00,13351.00
Parsian,20200518,12222.00,12778.00,11810.00,12716.00,154362530512,12139323,1268,D,12170.00,12778.00
Parsian,20200517,12167.00,12530.00,12167.00,12170.00,114074939960,9373464,898,D,12807.00,12167.00
