<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ParsianKosar.Hotel,20200722,151983.00,151983.00,151983.00,151983.00,81831446775,538425,470,D,144746.00,151983.00
ParsianKosar.Hotel,20200721,144000.00,149858.00,138500.00,144746.00,325020870537,2245461,3402,D,142722.00,149858.00
ParsianKosar.Hotel,20200720,143000.00,150000.00,137000.00,142722.00,365558317447,2561332,4742,D,143320.00,140400.00
ParsianKosar.Hotel,20200719,154000.00,154000.00,141099.00,143320.00,524379517891,3658798,7162,D,148525.00,141099.00
ParsianKosar.Hotel,20200718,143000.00,149717.00,142600.00,148525.00,148638170106,1000763,1769,D,142588.00,149717.00
ParsianKosar.Hotel,20200715,141111.00,149650.00,140331.00,142588.00,479768925642,3364728,5826,D,147716.00,143450.00
ParsianKosar.Hotel,20200714,150000.00,155500.00,145268.00,147716.00,597649198813,4045942,5828,D,152913.00,145268.00
ParsianKosar.Hotel,20200713,152913.00,152913.00,152913.00,152913.00,64489681533,421741,1191,D,160961.00,152913.00
ParsianKosar.Hotel,20200712,167500.00,175000.00,159125.00,160961.00,68812572690,427512,855,D,167027.00,159125.00
ParsianKosar.Hotel,20200706,169000.00,169173.00,163000.00,167977.00,535435154834,3187548,7415,D,161118.00,169173.00
ParsianKosar.Hotel,20200705,152000.00,164106.00,150100.00,161118.00,528743736984,3281726,4775,D,156292.00,164106.00
ParsianKosar.Hotel,20200704,160010.00,167000.00,155770.00,156292.00,581912922094,3723240,5238,D,163968.00,155770.00
ParsianKosar.Hotel,20200701,173000.00,173000.00,163381.00,163968.00,650928155032,3969850,5271,D,171980.00,163381.00
ParsianKosar.Hotel,20200630,173363.00,173363.00,168500.00,171980.00,689266129101,4007826,5989,D,165108.00,169920.00
ParsianKosar.Hotel,20200629,166500.00,170400.00,161880.00,165108.00,559316506191,3387586,5109,D,170400.00,169890.00
ParsianKosar.Hotel,20200628,178000.00,178000.00,169253.00,170400.00,572307376315,3358610,4432,D,178161.00,169253.00
ParsianKosar.Hotel,20200627,184500.00,188488.00,174377.00,178161.00,1213892515284,6813446,9159,D,183554.00,174377.00
ParsianKosar.Hotel,20200624,183598.00,183598.00,174950.00,183554.00,722957043839,3938654,2637,D,174856.00,183598.00
ParsianKosar.Hotel,20200623,174856.00,174856.00,174856.00,174856.00,72630461288,415373,188,D,166530.00,174856.00
ParsianKosar.Hotel,20200622,166530.00,166530.00,166530.00,166530.00,73314166380,440246,171,D,158600.00,166530.00
ParsianKosar.Hotel,20200621,152000.00,162011.00,148900.00,158600.00,440730811066,2778886,2548,D,154297.00,162011.00
ParsianKosar.Hotel,20200620,159200.00,164800.00,151952.00,154297.00,480669836057,3115228,4179,D,159949.00,151952.00
ParsianKosar.Hotel,20200616,166080.00,166080.00,150264.00,159949.00,798377746933,4991447,4919,D,158172.00,156000.00
ParsianKosar.Hotel,20200615,150555.00,166401.00,150555.00,158172.00,1169648653295,7394781,5129,D,158478.00,166401.00
ParsianKosar.Hotel,20200614,169333.00,172345.00,155933.00,158478.00,227841241444,1437684,1590,D,164139.00,155933.00
