<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pension.Fund,20200722,20010.00,21010.00,20010.00,20880.00,137863507600,6603112,695,D,20420.00,21000.00
Pension.Fund,20200719,21220.00,21220.00,21220.00,21220.00,172416425700,8125185,921,D,20210.00,21220.00
Pension.Fund,20200718,20040.00,20900.00,20040.00,20210.00,466841526010,23098650,5353,D,21090.00,20430.00
Pension.Fund,20200715,21080.00,21710.00,21080.00,21090.00,602760947430,28582803,3878,D,22180.00,21080.00
Pension.Fund,20200714,23200.00,23200.00,21840.00,22180.00,316968587570,14292098,3009,D,22980.00,21840.00
Pension.Fund,20200713,22960.00,23330.00,22960.00,22980.00,869916216440,37859661,4806,D,24160.00,23330.00
Pension.Fund,20200712,24500.00,24900.00,22540.00,24160.00,1206416246370,49930666,8410,D,23720.00,22600.00
Pension.Fund,20200711,23680.00,24390.00,23680.00,23720.00,1330742257360,56107602,5906,D,24920.00,23680.00
Pension.Fund,20200708,26050.00,26060.00,24640.00,24920.00,615749254470,24710862,4620,D,25930.00,24640.00
Pension.Fund,20200707,26020.00,26020.00,25230.00,25930.00,1317753201510,50819006,7284,D,24790.00,25500.00
Pension.Fund,20200706,24790.00,24790.00,24660.00,24790.00,609228876780,24576057,2467,D,23610.00,24790.00
Pension.Fund,20200705,22400.00,23790.00,22010.00,23610.00,1165433374800,49360785,4309,D,22660.00,23790.00
Pension.Fund,20200704,22800.00,22800.00,21000.00,22660.00,1351954546580,59670186,4829,D,21720.00,22800.00
Pension.Fund,20200630,22220.00,22220.00,22220.00,21720.00,74176092760,3338258,458,D,21170.00,22220.00
Pension.Fund,20200629,20520.00,21580.00,19700.00,21170.00,1048710298030,49535080,4301,D,20560.00,21580.00
Pension.Fund,20200628,20690.00,20690.00,19650.00,20560.00,1564927482910,76128846,5074,D,19710.00,20690.00
Pension.Fund,20200627,19700.00,19710.00,19680.00,19710.00,488741769180,24800260,1451,D,18780.00,19710.00
Pension.Fund,20200624,18680.00,18840.00,17950.00,18780.00,1024633890970,54559365,4129,D,17950.00,18840.00
Pension.Fund,20200623,17950.00,17950.00,17950.00,17950.00,233186798600,12990908,1063,D,17100.00,17950.00
Pension.Fund,20200622,17100.00,17100.00,17100.00,17100.00,172215194400,10071064,619,D,16290.00,17100.00
Pension.Fund,20200621,16330.00,16330.00,15600.00,16290.00,212108034410,13018602,1482,D,15560.00,16330.00
Pension.Fund,20200620,15500.00,15580.00,15060.00,15560.00,381923325220,24541775,2078,D,14840.00,15580.00
Pension.Fund,20200616,14300.00,15050.00,14050.00,14840.00,296295883060,19962578,2857,D,14340.00,15050.00
Pension.Fund,20200615,14160.00,14900.00,13670.00,14340.00,244810976240,17071768,2758,D,14370.00,14050.00
Pension.Fund,20200614,14900.00,14940.00,14070.00,14370.00,286999995780,19977139,3127,D,14790.00,14660.00
Pension.Fund,20200613,14880.00,14900.00,14200.00,14790.00,234920134580,15885436,3543,D,14193.00,14700.00
Pension.Fund,20200610,13441.00,14353.00,13441.00,14193.00,422737427877,29784454,4392,D,13670.00,14353.00
Pension.Fund,20200609,14100.00,14369.00,13443.00,13670.00,208379863330,15243589,2298,D,14150.00,13443.00
Pension.Fund,20200608,15541.00,15541.00,14061.00,14150.00,440727667677,31147838,4688,D,14801.00,14061.00
Pension.Fund,20200607,15500.00,15500.00,14725.00,14801.00,190672710798,12882118,2131,D,12726.00,14725.00
Pension.Fund,20200601,12570.00,12834.00,12100.00,12726.00,223339581458,17550541,2215,D,12223.00,12834.00
Pension.Fund,20200531,12400.00,12600.00,11700.00,12223.00,332784674747,27226134,3574,D,12077.00,12400.00
Pension.Fund,20200530,12000.00,12087.00,11750.00,12077.00,146651468312,12143310,909,D,11512.00,12087.00
Pension.Fund,20200527,10660.00,11725.00,10660.00,11512.00,292319973707,25392062,2833,D,11167.00,11725.00
Pension.Fund,20200526,11158.00,11790.00,11158.00,11167.00,222071000000,19885715,1683,D,11652.00,11158.00
Pension.Fund,20200523,11764.00,12385.00,11720.00,11745.00,210458811733,17918334,1758,D,12336.00,11790.00
Pension.Fund,20200520,12414.00,12414.00,11900.00,12336.00,823818541306,66781010,6875,D,11823.00,12399.00
Pension.Fund,20200519,11800.00,11849.00,11300.00,11823.00,328161511638,27756871,2145,D,11285.00,11849.00
Pension.Fund,20200518,11216.00,11776.00,11000.00,11285.00,226942852335,20110768,2155,D,10682.00,11545.00
Pension.Fund,20200517,10673.00,10900.00,10673.00,10682.00,595715815278,55770025,4350,D,11234.00,10675.00
Pension.Fund,20200516,11036.00,11036.00,11036.00,11234.00,75154321264,6809924,501,D,11616.00,11036.00
Pension.Fund,20200513,11450.00,12200.00,11450.00,11616.00,375349168065,32311772,4272,D,12052.00,11450.00
Pension.Fund,20200512,12025.00,12025.00,12025.00,12052.00,105686702875,8788915,798,D,12657.00,12025.00
Pension.Fund,20200511,13430.00,13430.00,12617.00,12657.00,407459834141,32192821,3598,D,13281.00,12617.00
Pension.Fund,20200510,14190.00,14190.00,12888.00,13281.00,581454369429,43780303,6768,D,13566.00,13450.00
Pension.Fund,20200509,12501.00,13735.00,12500.00,13566.00,574325440181,42335335,6251,D,13081.00,13734.00
Pension.Fund,20200506,13243.00,13698.00,12581.00,13081.00,685081062691,52373754,6861,D,13939.00,13000.00
Pension.Fund,20200504,13946.00,13946.00,13302.00,13939.00,212707135268,15259377,1250,D,13282.00,13302.00
Pension.Fund,20200503,13282.00,13282.00,13281.00,13282.00,860604091855,64794778,4783,D,12650.00,13282.00
Pension.Fund,20200502,12650.00,12650.00,12650.00,12650.00,288843952100,22833514,2145,D,12048.00,12650.00
Pension.Fund,20200429,12059.00,12066.00,11700.00,12048.00,598118154463,49644271,6194,D,11492.00,12066.00
Pension.Fund,20200428,11516.00,11518.00,11245.00,11492.00,740545492365,64439931,6531,D,10970.00,11518.00
Pension.Fund,20200427,11001.00,11009.00,10500.00,10970.00,453506220386,41341192,3612,D,10485.00,11009.00
Pension.Fund,20200426,10498.00,10498.00,10100.00,10485.00,677584894919,64626595,4495,D,9999.00,10498.00
Pension.Fund,20200425,9999.00,9999.00,9999.00,9999.00,293662200843,29369157,2849,D,9523.00,9999.00
Pension.Fund,20200422,9523.00,9523.00,9450.00,9523.00,359618096516,37764074,2599,D,9070.00,9523.00
Pension.Fund,20200421,8648.00,9080.00,8648.00,9070.00,305588492429,33691024,3091,D,8237.00,9080.00
Pension.Fund,20200418,8240.00,8409.00,8050.00,8237.00,63826969561,7661638,1138,D,8009.00,8409.00
Pension.Fund,20200415,8190.00,8285.00,7720.00,8009.00,140268150701,17514317,2264,D,7958.00,7980.00
Pension.Fund,20200414,7801.00,8120.00,7700.00,7958.00,131475618156,16521212,2068,D,7944.00,8120.00
Pension.Fund,20200413,8093.00,8093.00,7710.00,7944.00,117381957644,14776732,2212,D,7708.00,7910.00
Pension.Fund,20200412,7710.00,7710.00,7592.00,7708.00,179480921912,23285337,2207,D,7343.00,7710.00
Pension.Fund,20200411,7342.00,7343.00,7248.00,7343.00,222297866111,30275491,1807,D,6994.00,7343.00
Pension.Fund,20200408,6899.00,7008.00,6766.00,6994.00,195686162147,27980090,1581,D,6675.00,7008.00
Pension.Fund,20200407,6610.00,6848.00,6550.00,6675.00,122460234622,18345886,1593,D,6600.00,6756.00
Pension.Fund,20200406,6659.00,6880.00,6305.00,6600.00,71610088773,10850412,1262,D,6562.00,6649.00
Pension.Fund,20200405,6779.00,6779.00,6400.00,6562.00,70445015491,10734795,1244,D,6465.00,6577.00
Pension.Fund,20200404,6459.00,6499.00,6300.00,6465.00,99304574521,15360731,1556,D,6190.00,6499.00
Pension.Fund,20200330,6177.00,6316.00,6000.00,6190.00,91519318796,14784353,1346,D,6016.00,6180.00
Pension.Fund,20200329,6063.00,6063.00,5900.00,6016.00,78048865177,12974199,1607,D,5775.00,6033.00
Pension.Fund,20200328,5840.00,5852.00,5702.00,5775.00,82222369231,14236914,2054,D,5574.00,5851.00
Pension.Fund,20200325,5585.00,5660.00,5491.00,5574.00,45230375140,8071388,965,D,5487.00,5599.00
Pension.Fund,20200324,5840.00,5840.00,5481.00,5487.00,84798157316,15453520,1493,D,5769.00,5481.00
Pension.Fund,20200318,5850.00,5850.00,5700.00,5769.00,41389635871,7114572,723,D,5676.00,5770.00
Pension.Fund,20200317,5700.00,5890.00,5395.00,5676.00,35030609165,6173052,602,D,5677.00,5778.00
Pension.Fund,20200316,5798.00,5859.00,5670.00,5677.00,30755110224,5323014,610,D,5580.00,5791.00
Pension.Fund,20200315,5526.00,5995.00,5526.00,5580.00,81318016596,14574083,1024,D,5816.00,5810.00
Pension.Fund,20200314,5777.00,5999.00,5776.00,5816.00,54254074253,9392888,541,D,6079.00,5776.00
Pension.Fund,20200311,6045.00,6199.00,6045.00,6079.00,86317083941,14199780,1216,D,6363.00,6045.00
Pension.Fund,20200310,6120.00,6120.00,6120.00,6363.00,16172057160,2642493,223,D,6442.00,6120.00
Pension.Fund,20200309,6335.00,6335.00,6335.00,6442.00,46402652345,7324807,327,D,6668.00,6335.00
Pension.Fund,20200307,6396.00,6730.00,6396.00,6668.00,51434099704,7742083,855,D,6730.00,6679.00
Pension.Fund,20200304,6687.00,6769.00,6402.00,6730.00,130440898590,19382971,1538,D,6447.00,6768.00
Pension.Fund,20200303,6400.00,6476.00,6333.00,6447.00,81363574645,12619557,1409,D,6168.00,6476.00
Pension.Fund,20200302,5960.00,6250.00,5950.00,6168.00,156727536351,25409003,1526,D,5953.00,6250.00
Pension.Fund,20200301,5904.00,6000.00,5886.00,5953.00,51695949310,8684009,979,D,5814.00,5897.00
Pension.Fund,20200229,5930.00,5955.00,5769.00,5814.00,84869175275,14598479,1142,D,6072.00,5807.00
Pension.Fund,20200226,5990.00,6167.00,5950.00,6072.00,51960687135,8557423,1191,D,5885.00,6060.00
Pension.Fund,20200225,5949.00,5969.00,5800.00,5885.00,131064831089,22271385,1404,D,5885.00,5896.00
Pension.Fund,20200224,6049.00,6150.00,5823.00,5885.00,169222849639,28755610,1552,D,6065.00,5900.00
Pension.Fund,20200223,5877.00,6084.00,5877.00,6065.00,237593138338,39171881,1563,D,5795.00,6000.00
Pension.Fund,20200222,5571.00,5933.00,5568.00,5795.00,81802836348,14117114,1038,D,5861.00,5800.00
Pension.Fund,20200219,5948.00,5964.00,5751.00,5861.00,65192745097,11123636,713,D,5874.00,5893.00
Pension.Fund,20200218,5935.00,5960.00,5750.00,5874.00,34075553739,5801538,529,D,5977.00,5841.00
Pension.Fund,20200217,6140.00,6187.00,5807.00,5977.00,58144708243,9728120,999,D,6031.00,5930.00
Pension.Fund,20200216,5951.00,6190.00,5950.00,6031.00,156502901427,25950141,1453,D,5983.00,6118.00
Pension.Fund,20200215,6033.00,6033.00,5835.00,5983.00,187230987755,31296226,1745,D,5746.00,5900.00
Pension.Fund,20200212,5688.00,5761.00,5501.00,5746.00,91360142777,15900710,620,D,5487.00,5761.00
Pension.Fund,20200210,5563.00,5679.00,5453.00,5487.00,152476200017,27788042,1130,D,5740.00,5472.00
Pension.Fund,20200209,5809.00,5822.00,5504.00,5740.00,74396564486,12960377,964,D,5722.00,5600.00
Pension.Fund,20200208,5722.00,5722.00,5684.00,5722.00,536334011155,93739714,2784,D,5450.00,5722.00
Pension.Fund,20200205,5375.00,5475.00,5337.00,5450.00,150514080170,27618152,1539,D,5215.00,5475.00
Pension.Fund,20200204,5230.00,5293.00,5151.00,5215.00,26036378456,4992265,468,D,5246.00,5293.00
Pension.Fund,20200203,5196.00,5330.00,5102.00,5246.00,85748095892,16346939,1169,D,5102.00,5102.00
Pension.Fund,20200202,5200.00,5219.00,5064.00,5102.00,45178943170,8855930,627,D,5157.00,5120.00
Pension.Fund,20200201,5053.00,5223.00,5053.00,5157.00,58170201772,11280542,662,D,5052.00,5188.00
Pension.Fund,20200128,5042.00,5244.00,4985.00,5052.00,86005525630,17025116,1159,D,5003.00,5096.00
Pension.Fund,20200127,4980.00,5027.00,4870.00,5003.00,21381402415,4274056,418,D,5000.00,5000.00
Pension.Fund,20200126,5077.00,5091.00,4813.00,5000.00,26584788302,5317366,563,D,5033.00,4951.00
Pension.Fund,20200125,5111.00,5111.00,4986.00,5033.00,29054744596,5772420,602,D,5043.00,5057.00
Pension.Fund,20200122,4881.00,5150.00,4880.00,5043.00,72003212878,14279138,756,D,4980.00,5082.00
Pension.Fund,20200121,5105.00,5105.00,4886.00,4980.00,38222518808,7675319,679,D,5111.00,4980.00
Pension.Fund,20200120,5118.00,5178.00,5084.00,5111.00,82014555374,16045808,909,D,5116.00,5106.00
Pension.Fund,20200119,5080.00,5170.00,5080.00,5116.00,52195200174,10201891,1044,D,5071.00,5090.00
Pension.Fund,20200118,4900.00,5140.00,4900.00,5071.00,59915379865,11815939,1116,D,4932.00,5050.00
Pension.Fund,20200115,4872.00,5088.00,4701.00,4932.00,83903873926,17011099,1068,D,4876.00,4873.00
Pension.Fund,20200114,5055.00,5055.00,4750.00,4876.00,80467750619,16504423,1153,D,4815.00,4810.00
Pension.Fund,20200113,4683.00,4822.00,4601.00,4815.00,157693363626,32752847,1448,D,4593.00,4822.00
Pension.Fund,20200112,4593.00,4593.00,4593.00,4593.00,136345382082,29685474,745,D,4375.00,4593.00
Pension.Fund,20200111,4375.00,4375.00,4375.00,4375.00,10196808125,2330699,76,D,4290.00,4375.00
Pension.Fund,20200108,4281.00,4449.00,4281.00,4290.00,58942125319,13738041,620,D,4368.00,4395.00
Pension.Fund,20200107,4503.00,4580.00,4256.00,4368.00,83477999441,19111268,891,D,4480.00,4256.00
Pension.Fund,20200105,4300.00,4659.00,4300.00,4480.00,61300061548,13683450,732,D,4458.00,4502.00
Pension.Fund,20200104,4458.00,4460.00,4458.00,4458.00,283454359030,63583296,1862,D,4692.00,4458.00
Pension.Fund,20200101,4660.00,4850.00,4624.00,4692.00,178436325743,38028885,2507,D,4630.00,4625.00
Pension.Fund,20191231,4519.00,4667.00,4519.00,4630.00,156196017907,33738919,1708,D,4445.00,4600.00
Pension.Fund,20191230,4376.00,4520.00,4352.00,4445.00,61040273679,13731641,976,D,4398.00,4476.00
Pension.Fund,20191229,4389.00,4434.00,4330.00,4398.00,92815294803,21106361,963,D,4363.00,4411.00
Pension.Fund,20191228,4331.00,4488.00,4231.00,4363.00,52379203271,12004718,855,D,4322.00,4389.00
Pension.Fund,20191225,4319.00,4353.00,4231.00,4322.00,40555039843,9382694,626,D,4285.00,4348.00
Pension.Fund,20191224,4265.00,4360.00,4152.00,4285.00,114842054318,26798325,1563,D,4232.00,4300.00
Pension.Fund,20191223,4179.00,4287.00,4172.00,4232.00,104740220263,24750146,1361,D,4177.00,4199.00
Pension.Fund,20191222,4226.00,4231.00,4165.00,4177.00,27430351595,6567718,488,D,4192.00,4170.00
Pension.Fund,20191221,4286.00,4286.00,4170.00,4192.00,19390257984,4625017,492,D,4164.00,4180.00
Pension.Fund,20191218,4150.00,4190.00,4112.00,4164.00,17422960867,4184372,415,D,4164.00,4178.00
Pension.Fund,20191217,4150.00,4201.00,4121.00,4164.00,39546504713,9496836,666,D,4169.00,4147.00
Pension.Fund,20191216,4122.00,4202.00,4110.00,4169.00,30551017510,7328368,495,D,4167.00,4125.00
Pension.Fund,20191215,4197.00,4270.00,4003.00,4167.00,30438900466,7304483,585,D,4196.00,4162.00
Pension.Fund,20191214,4258.00,4261.00,4145.00,4196.00,25060742353,5973001,566,D,4145.00,4260.00
Pension.Fund,20191211,4115.00,4200.00,4000.00,4145.00,21462352686,5178133,586,D,4160.00,4159.00
Pension.Fund,20191210,4144.00,4198.00,4101.00,4160.00,104467654897,25113827,1360,D,4066.00,4145.00
Pension.Fund,20191209,4099.00,4148.00,4007.00,4066.00,40454655326,9949434,1173,D,4006.00,4090.00
Pension.Fund,20191208,3897.00,4048.00,3840.00,4006.00,70035480492,17481569,1119,D,3856.00,3999.00
Pension.Fund,20191207,3856.00,3900.00,3831.00,3856.00,29345205049,7610143,679,D,3818.00,3860.00
Pension.Fund,20191204,3819.00,3840.00,3784.00,3818.00,14922127276,3908175,370,D,3808.00,3820.00
Pension.Fund,20191203,3830.00,3844.00,3796.00,3808.00,24234082911,6363943,538,D,3790.00,3803.00
Pension.Fund,20191202,3820.00,3837.00,3775.00,3790.00,62697809732,16544029,821,D,3753.00,3803.00
Pension.Fund,20191201,3840.00,3840.00,3705.00,3753.00,105883826941,28210953,1696,D,3787.00,3788.00
Pension.Fund,20191130,3750.00,3816.00,3750.00,3787.00,15537489220,4102474,507,D,3779.00,3776.00
Pension.Fund,20191127,3750.00,3815.00,3746.00,3779.00,38162517407,10099475,709,D,3777.00,3750.00
Pension.Fund,20191126,3840.00,3840.00,3749.00,3777.00,33639123925,8906651,621,D,3808.00,3779.00
Pension.Fund,20191125,3820.00,3880.00,3770.00,3808.00,25394468413,6669197,581,D,3848.00,3800.00
Pension.Fund,20191124,3861.00,3948.00,3802.00,3848.00,35763821066,9294615,545,D,3914.00,3811.00
Pension.Fund,20191123,3901.00,3960.00,3891.00,3914.00,15843654222,4047697,220,D,3983.00,3934.00
Pension.Fund,20191120,3935.00,4099.00,3837.00,3983.00,33106200331,8312272,465,D,3943.00,3913.00
Pension.Fund,20191119,3964.00,3964.00,3857.00,3943.00,22198312729,5630483,227,D,3932.00,3899.00
Pension.Fund,20191118,3820.00,3975.00,3820.00,3932.00,14303450327,3637930,243,D,3956.00,3900.00
Pension.Fund,20191117,3851.00,4060.00,3849.00,3956.00,20720937440,5237961,301,D,3906.00,3871.00
Pension.Fund,20191116,3990.00,3990.00,3852.00,3906.00,18405454449,4712273,271,D,3923.00,3921.00
Pension.Fund,20191113,3955.00,3990.00,3855.00,3923.00,10644849351,2713151,219,D,3956.00,3900.00
Pension.Fund,20191112,3801.00,4019.00,3801.00,3956.00,68636372195,17351171,864,D,3828.00,3852.00
Pension.Fund,20191111,3839.00,3890.00,3790.00,3828.00,8295831582,2166318,144,D,3823.00,3832.00
Pension.Fund,20191110,3909.00,3909.00,3783.00,3823.00,22348106356,5845984,298,D,3872.00,3887.00
Pension.Fund,20191109,3960.00,3990.00,3812.00,3872.00,19128566946,4939817,491,D,3895.00,3890.00
Pension.Fund,20191105,3862.00,4033.00,3729.00,3895.00,39420804611,10121145,610,D,3842.00,3919.00
Pension.Fund,20191104,3921.00,3921.00,3805.00,3842.00,11402231976,2967641,300,D,3885.00,3885.00
Pension.Fund,20191103,3912.00,3935.00,3819.00,3885.00,9535621648,2454433,261,D,3881.00,3819.00
Pension.Fund,20191102,3900.00,3948.00,3777.00,3881.00,15460696392,3983689,370,D,3890.00,3910.00
Pension.Fund,20191030,3992.00,3995.00,3866.00,3890.00,10188862662,2619549,263,D,3878.00,3880.00
Pension.Fund,20191028,3900.00,3936.00,3840.00,3878.00,10880117042,2805674,293,D,3909.00,3925.00
Pension.Fund,20191026,3904.00,3950.00,3800.00,3909.00,15424674122,3945926,221,D,3898.00,3950.00
Pension.Fund,20191023,3950.00,3993.00,3851.00,3898.00,27218265003,6983300,380,D,3938.00,3948.00
Pension.Fund,20191022,3939.00,3945.00,3900.00,3938.00,55688214666,14141923,690,D,3758.00,3945.00
Pension.Fund,20191021,3621.00,3890.00,3621.00,3758.00,8310530593,2206391,234,D,3716.00,3838.00
Pension.Fund,20191020,3895.00,3900.00,3641.00,3716.00,31656757205,8518316,469,D,3803.00,3643.00
Pension.Fund,20191016,3694.00,3898.00,3694.00,3803.00,27371651001,7197759,382,D,3751.00,3778.00
Pension.Fund,20191015,3875.00,3979.00,3732.00,3751.00,87262609324,23264101,821,D,3928.00,3770.00
Pension.Fund,20191014,4083.00,4083.00,3871.00,3928.00,37203095519,9471510,540,D,4074.00,3880.00
Pension.Fund,20191013,4010.00,4082.00,3901.00,4074.00,146619446821,35989482,1380,D,3888.00,4005.00
Pension.Fund,20191012,3890.00,3999.00,3819.00,3888.00,18693166524,4808306,326,D,3819.00,3994.00
Pension.Fund,20191009,3720.00,3899.00,3661.00,3819.00,43757376243,11458297,572,D,3815.00,3870.00
Pension.Fund,20191008,3875.00,3960.00,3740.00,3815.00,37080635863,9718976,506,D,3936.00,3750.00
Pension.Fund,20191007,3877.00,3971.00,3877.00,3936.00,28704206387,7292385,403,D,3917.00,3960.00
Pension.Fund,20191006,3875.00,4007.00,3873.00,3917.00,37995188708,9699868,484,D,3908.00,3940.00
Pension.Fund,20191005,3960.00,3970.00,3855.00,3908.00,34129196841,8733731,424,D,3948.00,3914.00
Pension.Fund,20191002,3900.00,4021.00,3877.00,3948.00,41125701017,10417432,604,D,3965.00,3979.00
Pension.Fund,20191001,3960.00,4030.00,3885.00,3965.00,40145320593,10125253,551,D,3978.00,3885.00
Pension.Fund,20190930,3898.00,4010.00,3894.00,3978.00,68967428760,17335396,837,D,3890.00,4000.00
Pension.Fund,20190929,4044.00,4044.00,3811.00,3890.00,55014992398,14142516,851,D,3972.00,3850.00
Pension.Fund,20190928,4090.00,4090.00,3940.00,3972.00,32415210276,8160112,655,D,3976.00,3975.00
Pension.Fund,20190925,3848.00,3986.00,3722.00,3976.00,60835645625,15301853,883,D,3797.00,3977.00
Pension.Fund,20190924,3849.00,3849.00,3750.00,3797.00,17950157283,4727321,405,D,3785.00,3820.00
Pension.Fund,20190923,3750.00,3814.00,3720.00,3785.00,105670071765,27919617,1431,D,3633.00,3779.00
Pension.Fund,20190922,3650.00,3685.00,3534.00,3633.00,32174333225,8856242,434,D,3611.00,3685.00
Pension.Fund,20190921,3620.00,3650.00,3559.00,3611.00,16178965619,4480488,260,D,3531.00,3650.00
Pension.Fund,20190918,3535.00,3620.00,3451.00,3531.00,20759176685,5879275,362,D,3622.00,3601.00
Pension.Fund,20190917,3685.00,3707.00,3560.00,3622.00,27540399829,7604193,444,D,3707.00,3580.00
Pension.Fund,20190916,3715.00,3738.00,3681.00,3707.00,22879381418,6172592,317,D,3673.00,3699.00
Pension.Fund,20190915,3665.00,3701.00,3627.00,3673.00,22302369296,6072129,355,D,3658.00,3694.00
Pension.Fund,20190914,3578.00,3700.00,3578.00,3658.00,25844988434,7064687,480,D,3555.00,3670.00
Pension.Fund,20190911,3599.00,3601.00,3467.00,3555.00,19600707551,5513023,437,D,3535.00,3599.00
Pension.Fund,20190908,3570.00,3572.00,3463.00,3535.00,20430166568,5779031,513,D,3467.00,3501.00
Pension.Fund,20190907,3440.00,3568.00,3400.00,3467.00,28256485656,8150863,717,D,3399.00,3567.00
Pension.Fund,20190904,3440.00,3440.00,3385.00,3399.00,23408267132,6885992,419,D,3402.00,3411.00
Pension.Fund,20190903,3356.00,3424.00,3350.00,3402.00,20899421947,6142586,393,D,3382.00,3410.00
Pension.Fund,20190902,3379.00,3426.00,3320.00,3382.00,35591862038,10523518,513,D,3396.00,3399.00
Pension.Fund,20190901,3360.00,3487.00,3336.00,3396.00,24320581423,7160578,535,D,3368.00,3425.00
Pension.Fund,20190831,3390.00,3442.00,3275.00,3368.00,30470551184,9047833,554,D,3309.00,3390.00
Pension.Fund,20190828,3270.00,3392.00,3259.00,3309.00,95995940135,29014673,1181,D,3322.00,3368.00
Pension.Fund,20190827,3375.00,3388.00,3270.00,3322.00,46519787522,14003924,844,D,3233.00,3277.00
Pension.Fund,20190826,3145.00,3242.00,3080.00,3233.00,105302090183,32566448,978,D,3088.00,3242.00
Pension.Fund,20190825,3150.00,3150.00,3050.00,3088.00,24189389958,7834426,415,D,3115.00,3106.00
Pension.Fund,20190824,3140.00,3150.00,3085.00,3115.00,21773788885,6990346,460,D,3078.00,3145.00
Pension.Fund,20190821,3036.00,3120.00,3036.00,3078.00,58010615595,18849281,622,D,3074.00,3120.00
Pension.Fund,20190819,3060.00,3088.00,3055.00,3074.00,18332897244,5964221,430,D,3050.00,3073.00
Pension.Fund,20190818,3049.00,3078.00,3040.00,3050.00,18908320567,6199152,349,D,3049.00,3052.00
Pension.Fund,20190817,3083.00,3085.00,3040.00,3049.00,21174315662,6945417,378,D,3079.00,3041.00
Pension.Fund,20190814,3109.00,3115.00,3040.00,3079.00,17992626804,5843009,330,D,3036.00,3050.00
Pension.Fund,20190813,3128.00,3128.00,3022.00,3036.00,11841153243,3899709,216,D,3055.00,3034.00
Pension.Fund,20190811,3052.00,3070.00,3041.00,3055.00,10556063928,3455677,256,D,3053.00,3049.00
Pension.Fund,20190810,3021.00,3069.00,3021.00,3053.00,19241435023,6303084,397,D,3062.00,3052.00
Pension.Fund,20190807,3100.00,3131.00,3020.00,3062.00,25890775395,8456091,404,D,3089.00,3040.00
Pension.Fund,20190806,3141.00,3141.00,3075.00,3089.00,22022709139,7129234,383,D,3148.00,3090.00
Pension.Fund,20190805,3150.00,3181.00,3102.00,3148.00,11722386871,3724000,250,D,3160.00,3138.00
Pension.Fund,20190804,3143.00,3189.00,3143.00,3160.00,15345321756,4856261,345,D,3157.00,3158.00
Pension.Fund,20190803,3140.00,3182.00,3140.00,3157.00,10324434434,3270297,209,D,3146.00,3149.00
Pension.Fund,20190731,3150.00,3177.00,3101.00,3146.00,16300495683,5180647,340,D,3108.00,3177.00
Pension.Fund,20190730,3099.00,3126.00,3080.00,3108.00,15285430819,4918418,318,D,3044.00,3126.00
Pension.Fund,20190729,3005.00,3104.00,3005.00,3044.00,38128050342,12527355,652,D,3014.00,3051.00
Pension.Fund,20190728,3016.00,3110.00,2966.00,3014.00,30551768545,10137232,554,D,2991.00,3090.00
Pension.Fund,20190727,3000.00,3089.00,2953.00,2991.00,22382261932,7482255,553,D,2887.00,2953.00
Pension.Fund,20190720,3320.00,3320.00,3250.00,3287.00,58957970079,17934174,841,D,3294.00,3300.00
Pension.Fund,20190717,3263.00,3397.00,3260.00,3294.00,31663707087,9611192,514,D,3260.00,3261.00
Pension.Fund,20190716,3389.00,3389.00,3230.00,3260.00,51821884477,15895226,717,D,3399.00,3275.00
Pension.Fund,20190715,3455.00,3456.00,3301.00,3399.00,45652918582,13431872,733,D,3455.00,3350.00
Pension.Fund,20190714,3497.00,3497.00,3402.00,3455.00,57248376463,16569108,792,D,3353.00,3427.00
Pension.Fund,20190713,3295.00,3400.00,3295.00,3353.00,53830360955,16055597,927,D,3259.00,3349.00
Pension.Fund,20190710,3261.00,3285.00,3245.00,3259.00,32363917757,9929927,465,D,3241.00,3250.00
Pension.Fund,20190709,3326.00,3326.00,3210.00,3241.00,29360569696,9058459,455,D,3249.00,3243.00
Pension.Fund,20190708,3255.00,3297.00,3212.00,3249.00,27360993430,8422136,436,D,3218.00,3271.00
Pension.Fund,20190707,3207.00,3280.00,3183.00,3218.00,16853629963,5236620,414,D,3222.00,3238.00
