<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Reyl.Pardazseir,20200722,8270.00,8659.00,8012.00,8437.00,561471291183,66546315,12142,D,8247.00,8659.00
Reyl.Pardazseir,20200721,8330.00,8580.00,8209.00,8247.00,635487172759,77053542,13157,D,8641.00,8209.00
Reyl.Pardazseir,20200720,8700.00,9000.00,8328.00,8641.00,963187145438,111466699,18446,D,8766.00,8360.00
Reyl.Pardazseir,20200719,9400.00,9400.00,8512.00,8766.00,975888845893,111329287,18598,D,8960.00,8512.00
Reyl.Pardazseir,20200718,8358.00,9236.00,8358.00,8960.00,642836797076,71741628,10911,D,8797.00,9236.00
Reyl.Pardazseir,20200715,8797.00,8797.00,8797.00,8797.00,96412815186,10959738,2324,D,9259.00,8797.00
Reyl.Pardazseir,20200714,9247.00,9450.00,9247.00,9259.00,468451748397,50592985,6560,D,9733.00,9247.00
Reyl.Pardazseir,20200713,9715.00,9990.00,9715.00,9733.00,354562034174,36428737,5707,D,10226.00,9715.00
Reyl.Pardazseir,20200712,10280.00,10350.00,9500.00,10226.00,687141205660,67196522,9056,D,9858.00,9851.00
Reyl.Pardazseir,20200711,9858.00,9858.00,9858.00,9858.00,215457049338,21856061,3983,D,10376.00,9858.00
Reyl.Pardazseir,20200708,10676.00,10676.00,9660.00,10376.00,1378766428496,132885717,20182,D,10168.00,9660.00
Reyl.Pardazseir,20200707,10168.00,10168.00,10168.00,10168.00,169050463312,16625734,1819,D,9684.00,10168.00
Reyl.Pardazseir,20200706,9684.00,9684.00,9684.00,9684.00,118533786912,12240168,1216,D,9223.00,9684.00
Reyl.Pardazseir,20200705,9267.00,9267.00,9267.00,9223.00,48610317243,5245529,940,D,8826.00,9267.00
Reyl.Pardazseir,20200704,8930.00,9017.00,8159.00,8826.00,1275585621704,144519310,16716,D,8588.00,9017.00
Reyl.Pardazseir,20200701,8608.00,8608.00,8290.00,8588.00,281725446851,32804071,4529,D,8199.00,8608.00
Reyl.Pardazseir,20200630,8000.00,8217.00,8000.00,8199.00,289403746860,35298907,5730,D,7826.00,8217.00
Reyl.Pardazseir,20200629,7826.00,7826.00,7826.00,7826.00,167139514178,21356953,3786,D,8237.00,7826.00
Reyl.Pardazseir,20200628,8590.00,8590.00,8179.00,8237.00,454573114558,55189970,8072,D,8609.00,8179.00
Reyl.Pardazseir,20200627,8680.00,8930.00,8280.00,8609.00,444423072936,51620188,8804,D,8649.00,8396.00
Reyl.Pardazseir,20200624,8502.00,9000.00,8502.00,8649.00,505308011888,58421955,8810,D,8949.00,8660.00
Reyl.Pardazseir,20200623,9140.00,9164.00,8400.00,8949.00,848073074408,94762068,16771,D,8728.00,8420.00
Reyl.Pardazseir,20200622,8728.00,8728.00,8728.00,8728.00,110226793528,12629101,2051,D,8313.00,8728.00
Reyl.Pardazseir,20200621,8325.00,8325.00,8088.00,8313.00,265381580517,31922502,4095,D,7929.00,8325.00
Reyl.Pardazseir,20200620,7980.00,8067.00,7700.00,7929.00,398730677801,50288812,8530,D,7683.00,8067.00
Reyl.Pardazseir,20200616,7700.00,7990.00,7310.00,7683.00,392906315190,51142709,9149,D,7638.00,7773.00
Reyl.Pardazseir,20200615,7800.00,7800.00,7294.00,7638.00,342023051269,44779815,8239,D,7448.00,7570.00
Reyl.Pardazseir,20200614,7569.00,7569.00,7050.00,7448.00,452210174517,60715287,9163,D,7209.00,7569.00
Reyl.Pardazseir,20200613,7209.00,7209.00,7209.00,7209.00,72436053627,10048003,1550,D,6866.00,7209.00
Reyl.Pardazseir,20200610,6835.00,7176.00,6601.00,6866.00,198237454322,28872232,4141,D,6460.00,6905.00
Reyl.Pardazseir,20200609,6565.00,6879.00,6370.00,6460.00,256280301355,39672561,5400,D,6705.00,6400.00
Reyl.Pardazseir,20200608,6566.00,6990.00,6565.00,6705.00,232156750113,34626773,5589,D,6910.00,6565.00
Reyl.Pardazseir,20200607,6923.00,6923.00,6714.00,6910.00,177827436855,25735195,3160,D,6594.00,6811.00
Reyl.Pardazseir,20200606,6601.00,6602.00,6442.00,6594.00,94235019561,14290891,2181,D,6288.00,6602.00
Reyl.Pardazseir,20200602,6150.00,6400.00,6050.00,6288.00,205541064669,32689393,5807,D,6135.00,6290.00
Reyl.Pardazseir,20200601,6225.00,6400.00,5920.00,6135.00,197152985165,32135450,4891,D,6192.00,6049.00
Reyl.Pardazseir,20200531,6358.00,6358.00,5850.00,6192.00,340661379189,55012677,7113,D,6056.00,6130.00
Reyl.Pardazseir,20200530,6060.00,6060.00,5953.00,6056.00,60398598805,9972941,1452,D,5772.00,6060.00
Reyl.Pardazseir,20200527,5630.00,6170.00,5630.00,5772.00,329096134653,57017546,6730,D,5926.00,5820.00
Reyl.Pardazseir,20200526,5783.00,5783.00,5783.00,5926.00,23868707936,4127392,779,D,6087.00,5783.00
Reyl.Pardazseir,20200523,6087.00,6087.00,6087.00,6087.00,73688016774,12105802,1967,D,6407.00,6087.00
Reyl.Pardazseir,20200520,6450.00,6680.00,6346.00,6407.00,146990923857,22943019,3139,D,6680.00,6346.00
Reyl.Pardazseir,20200519,7050.00,7051.00,6560.00,6680.00,232821357579,34852283,5599,D,6905.00,6560.00
Reyl.Pardazseir,20200518,7000.00,7250.00,6680.00,6905.00,236328681408,34223524,5717,D,6827.00,6955.00
Reyl.Pardazseir,20200517,6816.00,7097.00,6816.00,6827.00,300924439273,44080564,4277,D,7174.00,6816.00
Reyl.Pardazseir,20200516,7250.00,7633.00,7085.00,7174.00,97761973477,13627200,2001,D,7457.00,7085.00
Reyl.Pardazseir,20200513,7230.00,7980.00,7230.00,7457.00,662569894577,88849658,11295,D,7610.00,7230.00
Reyl.Pardazseir,20200512,7898.00,7898.00,7472.00,7610.00,161856215233,21268621,3658,D,7865.00,7472.00
Reyl.Pardazseir,20200511,7900.00,7900.00,7524.00,7865.00,775670796860,98622584,10283,D,7524.00,7900.00
Reyl.Pardazseir,20200510,7590.00,7590.00,7590.00,7524.00,44318860080,5839112,706,D,7229.00,7590.00
Reyl.Pardazseir,20200509,7341.00,7341.00,7341.00,7229.00,35698952655,4862955,734,D,6992.00,7341.00
Reyl.Pardazseir,20200506,6791.00,7130.00,6600.00,6992.00,311311835426,44525416,5683,D,6791.00,7130.00
Reyl.Pardazseir,20200505,6958.00,6958.00,6350.00,6791.00,667757358856,98323340,11370,D,6627.00,6590.00
Reyl.Pardazseir,20200504,6766.00,6769.00,6300.00,6627.00,482107739068,72750577,8073,D,6447.00,6769.00
Reyl.Pardazseir,20200503,6466.00,6466.00,6466.00,6447.00,54118493132,8369702,778,D,6159.00,6466.00
Reyl.Pardazseir,20200502,5875.00,6168.00,5875.00,6159.00,84818196137,13772154,737,D,5596.00,6168.00
Reyl.Pardazseir,20200427,5500.00,5750.00,5267.00,5596.00,199043341287,35571415,4653,D,5521.00,5729.00
Reyl.Pardazseir,20200426,5686.00,5686.00,5147.00,5521.00,519785396845,94152799,10493,D,5416.00,5490.00
Reyl.Pardazseir,20200425,5419.00,5419.00,5321.00,5416.00,242132985845,44705606,3613,D,5161.00,5419.00
Reyl.Pardazseir,20200422,4994.00,5224.00,4994.00,5161.00,341510459710,66166562,6627,D,4976.00,5224.00
Reyl.Pardazseir,20200421,5049.00,5125.00,4800.00,4976.00,350098932817,70357360,7471,D,4907.00,4870.00
Reyl.Pardazseir,20200420,4665.00,5040.00,4665.00,4907.00,277077757872,56462497,6909,D,4844.00,4900.00
Reyl.Pardazseir,20200419,5044.00,5044.00,4564.00,4844.00,509539133411,105180182,12226,D,4804.00,4570.00
Reyl.Pardazseir,20200418,4815.00,4815.00,4815.00,4804.00,50023723545,10389143,1164,D,4586.00,4815.00
Reyl.Pardazseir,20200415,4490.00,4600.00,4446.00,4586.00,231205641610,50420295,4997,D,4381.00,4600.00
Reyl.Pardazseir,20200414,4400.00,4555.00,4185.00,4381.00,279305164181,63752374,7793,D,4405.00,4446.00
Reyl.Pardazseir,20200413,4438.00,4438.00,4270.00,4405.00,469215817420,106530839,8983,D,4227.00,4438.00
Reyl.Pardazseir,20200412,4260.00,4260.00,4260.00,4227.00,45826545300,10757405,1089,D,4058.00,4260.00
Reyl.Pardazseir,20200411,4010.00,4088.00,3970.00,4058.00,175877219254,43338291,3721,D,3894.00,4088.00
Reyl.Pardazseir,20200408,3830.00,3936.00,3788.00,3894.00,319640661572,82078698,7319,D,3749.00,3936.00
Reyl.Pardazseir,20200407,3714.00,3847.00,3660.00,3749.00,268389577033,71582293,7959,D,3714.00,3764.00
Reyl.Pardazseir,20200406,3900.00,3900.00,3686.00,3714.00,174653987497,47021406,6694,D,3879.00,3709.00
Reyl.Pardazseir,20200405,4000.00,4050.00,3800.00,3879.00,176034091761,45379888,7434,D,3917.00,3830.00
Reyl.Pardazseir,20200404,3928.00,3939.00,3851.00,3917.00,126903721510,32401945,4619,D,3752.00,3939.00
Reyl.Pardazseir,20200330,3818.00,3846.00,3625.00,3752.00,169588207491,45195540,6731,D,3772.00,3818.00
Reyl.Pardazseir,20200329,3840.00,3840.00,3657.00,3772.00,227404126138,60285952,9873,D,3658.00,3710.00
Reyl.Pardazseir,20200328,3666.00,3697.00,3550.00,3658.00,76124373091,20810053,2977,D,3521.00,3697.00
Reyl.Pardazseir,20200325,3420.00,3600.00,3387.00,3521.00,191463914179,54383770,8556,D,3498.00,3564.00
Reyl.Pardazseir,20200324,3580.00,3619.00,3360.00,3498.00,47893919843,13695308,3291,D,3523.00,3520.00
Reyl.Pardazseir,20200318,3393.00,3566.00,3393.00,3523.00,48955270911,13895805,2707,D,3397.00,3566.00
Reyl.Pardazseir,20200317,3611.00,3611.00,3329.00,3397.00,52075993562,15331053,3255,D,3504.00,3390.00
Reyl.Pardazseir,20200316,3587.00,3587.00,3400.00,3504.00,68270266619,19483025,3532,D,3417.00,3569.00
Reyl.Pardazseir,20200315,3361.00,3430.00,3344.00,3417.00,28409871765,8475916,1382,D,3519.00,3344.00
Reyl.Pardazseir,20200314,3598.00,3598.00,3423.00,3519.00,26774733333,7754599,1595,D,3603.00,3423.00
Reyl.Pardazseir,20200311,3500.00,3685.00,3500.00,3603.00,84242936166,23381948,4244,D,3545.00,3550.00
Reyl.Pardazseir,20200310,3527.00,3650.00,3527.00,3545.00,119727862038,33776964,4361,D,3712.00,3527.00
Reyl.Pardazseir,20200309,3632.00,3777.00,3632.00,3712.00,26613289775,7322291,1563,D,3823.00,3632.00
Reyl.Pardazseir,20200307,3830.00,3941.00,3807.00,3823.00,103550827236,27083288,4809,D,4007.00,3807.00
Reyl.Pardazseir,20200304,4000.00,4084.00,3911.00,4007.00,185822183322,46373286,7681,D,4010.00,4010.00
Reyl.Pardazseir,20200303,4130.00,4139.00,3960.00,4010.00,298587021456,74452466,13436,D,4160.00,3990.00
Reyl.Pardazseir,20200302,4190.00,4200.00,4033.00,4160.00,245052280497,58904318,8775,D,4011.00,4124.00
Reyl.Pardazseir,20200301,3967.00,4028.00,3901.00,4011.00,199779700124,49810878,5218,D,3837.00,4028.00
