<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Alborz.Bimeh,20200722,16060.00,16400.00,16060.00,16070.00,132341708720,8237759,1471,D,16900.00,16060.00
S*Alborz.Bimeh,20200721,16900.00,17440.00,16870.00,16900.00,200863676610,11888644,2501,D,17750.00,16870.00
S*Alborz.Bimeh,20200720,17800.00,18020.00,17010.00,17750.00,318863348530,17962394,4582,D,17170.00,17500.00
S*Alborz.Bimeh,20200719,17250.00,17330.00,16500.00,17170.00,472981548630,27540221,3793,D,16510.00,17330.00
S*Alborz.Bimeh,20200718,16530.00,16530.00,16100.00,16510.00,305920558600,18529311,2686,D,15750.00,16530.00
S*Alborz.Bimeh,20200715,15590.00,17000.00,15590.00,15750.00,384389859570,24409732,5445,D,16410.00,15680.00
S*Alborz.Bimeh,20200714,17300.00,17300.00,16360.00,16410.00,197623567380,12042744,2043,D,17220.00,16360.00
S*Alborz.Bimeh,20200713,17900.00,17920.00,17010.00,17220.00,186513702040,10828648,3003,D,17900.00,17010.00
S*Alborz.Bimeh,20200712,17910.00,17920.00,17500.00,17900.00,381123784630,21290944,2682,D,17070.00,17800.00
S*Alborz.Bimeh,20200711,17010.00,17900.00,17010.00,17070.00,626415059190,36695841,4549,D,17900.00,17200.00
S*Alborz.Bimeh,20200708,19000.00,19000.00,17730.00,17900.00,443104229000,24753189,5012,D,18660.00,17730.00
S*Alborz.Bimeh,20200707,18820.00,18820.00,18110.00,18660.00,556401415520,29811745,6262,D,17930.00,18820.00
S*Alborz.Bimeh,20200706,18010.00,18010.00,18010.00,17930.00,50882932600,2825260,498,D,17160.00,18010.00
S*Alborz.Bimeh,20200705,17140.00,17350.00,16700.00,17160.00,175796655670,10243941,2229,D,16530.00,17350.00
S*Alborz.Bimeh,20200704,16820.00,16820.00,15500.00,16530.00,777021921830,47004032,6921,D,16020.00,16770.00
S*Alborz.Bimeh,20200701,16020.00,16020.00,16020.00,16020.00,152713085040,9532652,1750,D,15260.00,16020.00
S*Alborz.Bimeh,20200630,15100.00,15290.00,14850.00,15260.00,137140082760,8985252,1591,D,14570.00,15290.00
S*Alborz.Bimeh,20200629,14510.00,15000.00,14510.00,14570.00,424110496440,29102441,4760,D,15270.00,14600.00
S*Alborz.Bimeh,20200628,16470.00,16470.00,14920.00,15270.00,528100192650,34592463,5040,D,15700.00,14980.00
S*Alborz.Bimeh,20200627,15390.00,15840.00,15000.00,15700.00,367420191330,23409613,2474,D,15090.00,15840.00
S*Alborz.Bimeh,20200624,14970.00,15750.00,14970.00,15090.00,489462640540,32442651,4204,D,15750.00,15000.00
