<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Alborz.Inv.,20200722,28100.00,29080.00,27670.00,27740.00,636689443780,22948621,5221,D,29120.00,27970.00
S*Alborz.Inv.,20200721,29100.00,29900.00,29080.00,29120.00,590300342890,20273094,5479,D,30610.00,29080.00
S*Alborz.Inv.,20200720,31660.00,31690.00,29000.00,30610.00,550567209100,17984830,8735,D,30250.00,29140.00
S*Alborz.Inv.,20200719,30250.00,30250.00,30250.00,30250.00,317027925500,10480262,2591,D,28810.00,30250.00
S*Alborz.Inv.,20200718,28810.00,28810.00,28810.00,28810.00,174802687110,6067431,1733,D,27440.00,28810.00
S*Alborz.Inv.,20200715,27270.00,28630.00,27270.00,27440.00,987946958920,35997772,9329,D,28700.00,27460.00
S*Alborz.Inv.,20200714,28640.00,29900.00,28640.00,28700.00,549114564720,19131518,5460,D,30140.00,28640.00
S*Alborz.Inv.,20200713,30110.00,30800.00,30110.00,30140.00,482584957530,16011882,4680,D,31690.00,30110.00
S*Alborz.Inv.,20200712,32050.00,33700.00,30870.00,31690.00,1332173425120,42042265,15455,D,32490.00,30870.00
S*Alborz.Inv.,20200711,33000.00,33000.00,32000.00,32490.00,60601917340,1866108,675,D,33070.00,32000.00
S*Alborz.Inv.,20200706,33840.00,33900.00,32800.00,33740.00,500157382040,14822123,6090,D,32290.00,33900.00
S*Alborz.Inv.,20200705,31000.00,33720.00,30540.00,32290.00,628149959450,19452836,6652,D,32130.00,33700.00
S*Alborz.Inv.,20200704,34000.00,34000.00,30830.00,32130.00,562690599610,17512236,7442,D,32450.00,31730.00
S*Alborz.Inv.,20200701,32450.00,32450.00,32450.00,32450.00,179378992100,5527858,1931,D,30910.00,32450.00
S*Alborz.Inv.,20200630,30910.00,30910.00,30910.00,30910.00,70006544410,2264851,1366,D,29440.00,30910.00
S*Alborz.Inv.,20200629,28980.00,31400.00,28980.00,29440.00,630383542850,21409846,6600,D,30500.00,29930.00
S*Alborz.Inv.,20200628,31920.00,31920.00,30390.00,30500.00,955358448400,31325184,7236,D,31980.00,30390.00
S*Alborz.Inv.,20200627,33300.00,33300.00,30300.00,31980.00,650642636190,20342174,8281,D,31790.00,31000.00
S*Alborz.Inv.,20200624,30000.00,32290.00,29500.00,31790.00,610318297830,19195733,5234,D,30760.00,32290.00
S*Alborz.Inv.,20200623,30930.00,30930.00,28600.00,30760.00,507666506630,16501714,4537,D,29460.00,30000.00
S*Alborz.Inv.,20200622,27600.00,29860.00,27600.00,29460.00,388945083940,13200357,3538,D,28440.00,29860.00
S*Alborz.Inv.,20200621,30400.00,30400.00,28090.00,28440.00,1038259227310,36502959,11871,D,29560.00,28560.00
S*Alborz.Inv.,20200620,29730.00,29740.00,28430.00,29560.00,726237392660,24569255,6633,D,28330.00,29740.00
