<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*EN.Bank,20200722,5420.00,5980.00,5420.00,5690.00,3537376090310,621479046,38856,D,5700.00,5980.00
S*EN.Bank,20200721,5920.00,5920.00,5630.00,5700.00,751516405970,131896190,6756,D,5720.00,5630.00
S*EN.Bank,20200718,5720.00,5720.00,5720.00,5720.00,659603464520,115315291,6479,D,6020.00,5720.00
S*EN.Bank,20200715,6020.00,6020.00,6020.00,6020.00,93958606840,15607742,2878,D,6330.00,6020.00
S*EN.Bank,20200714,6330.00,6330.00,6330.00,6330.00,141782277120,22398464,3375,D,6660.00,6330.00
S*EN.Bank,20200713,6660.00,6660.00,6660.00,6660.00,1285737342300,193053655,9289,D,7010.00,6660.00
S*EN.Bank,20200712,7040.00,7080.00,6700.00,7010.00,784366498490,111965409,14591,D,6750.00,6770.00
S*EN.Bank,20200711,6650.00,6980.00,6650.00,6750.00,522135560820,77409834,9783,D,6990.00,6650.00
S*EN.Bank,20200708,7310.00,7370.00,6670.00,6990.00,1226223309020,175539596,21238,D,7020.00,6680.00
S*EN.Bank,20200707,7060.00,7080.00,6420.00,7020.00,904832640960,128898572,14705,D,6750.00,7080.00
S*EN.Bank,20200706,6730.00,6760.00,6690.00,6750.00,465040983310,68902260,5983,D,6440.00,6760.00
S*EN.Bank,20200705,6200.00,6690.00,6110.00,6440.00,817226089570,126937685,16784,D,6430.00,6590.00
S*EN.Bank,20200704,6900.00,6900.00,6270.00,6430.00,867792341430,134963422,19179,D,6590.00,6300.00
S*EN.Bank,20200701,6510.00,6770.00,6360.00,6590.00,874753432890,132730551,12790,D,5970.00,6650.00
S*EN.Bank,20200629,5960.00,6100.00,5960.00,5970.00,663145356750,111085974,10452,D,6270.00,6060.00
S*EN.Bank,20200628,6750.00,6750.00,6130.00,6270.00,812008009050,129546440,12554,D,6450.00,6130.00
S*EN.Bank,20200627,6320.00,6540.00,6240.00,6450.00,722213572050,111946356,10199,D,6230.00,6490.00
S*EN.Bank,20200624,6100.00,6430.00,6010.00,6230.00,619003241600,99362256,11897,D,6320.00,6250.00
S*EN.Bank,20200623,6300.00,6360.00,6100.00,6320.00,1133395645530,179302732,16083,D,6060.00,6130.00
S*EN.Bank,20200622,5900.00,6190.00,5610.00,6060.00,907442229470,149658422,14393,D,5900.00,6190.00
