<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*HiWeb,20200722,38500.00,39000.00,38500.00,38940.00,586091014390,15049493,4322,D,37150.00,39000.00
S*HiWeb,20200721,36760.00,37810.00,35010.00,37150.00,1452957773520,39105352,14000,D,36010.00,36980.00
S*HiWeb,20200720,34640.00,36540.00,33500.00,36010.00,1825740353020,50697499,16751,D,34800.00,36250.00
S*HiWeb,20200719,35180.00,35180.00,33000.00,34800.00,1412074063420,40580616,16395,D,33510.00,33830.00
S*HiWeb,20200718,33510.00,33510.00,33510.00,33510.00,297762387270,8885777,3616,D,31920.00,33510.00
S*HiWeb,20200715,31990.00,31990.00,31200.00,31920.00,797017915480,24972762,7912,D,30470.00,31990.00
S*HiWeb,20200714,30510.00,30510.00,29750.00,30470.00,1075064608370,35278706,12698,D,29060.00,30510.00
S*HiWeb,20200713,28500.00,29780.00,27470.00,29060.00,991000165180,34103489,12596,D,28370.00,29780.00
S*HiWeb,20200712,28420.00,28420.00,27470.00,28370.00,523377984130,18448527,6472,D,27070.00,28370.00
S*HiWeb,20200711,25550.00,28230.00,25550.00,27070.00,1078228189520,39827648,13838,D,26890.00,28230.00
S*HiWeb,20200708,27210.00,27500.00,26740.00,26890.00,504359817500,18756648,10038,D,28140.00,26740.00
S*HiWeb,20200707,29400.00,29400.00,27770.00,28140.00,1136989319340,40401432,16744,D,29230.00,27770.00
S*HiWeb,20200706,29300.00,29300.00,28700.00,29230.00,1501126487910,51348751,17007,D,27910.00,29300.00
S*HiWeb,20200705,26610.00,29050.00,26600.00,27910.00,953087786230,34151634,14295,D,27750.00,27910.00
S*HiWeb,20200704,29840.00,29840.00,27130.00,27750.00,958328693850,34539500,13331,D,28550.00,27130.00
S*HiWeb,20200701,28710.00,28710.00,27570.00,28550.00,982710471520,34423656,14260,D,27350.00,28700.00
S*HiWeb,20200630,27170.00,27420.00,27100.00,27350.00,301080672920,11007633,5396,D,26120.00,27420.00
S*HiWeb,20200629,26000.00,26500.00,26000.00,26120.00,1009559933980,38656719,14762,D,27360.00,26230.00
S*HiWeb,20200628,28400.00,28440.00,27210.00,27360.00,921067227070,33663431,11161,D,28640.00,27210.00
S*HiWeb,20200627,28570.00,29510.00,27850.00,28640.00,854443955430,29836815,12871,D,28780.00,28000.00
S*HiWeb,20200624,28500.00,29560.00,27910.00,28780.00,1097016468850,38112181,12295,D,29250.00,28510.00
S*HiWeb,20200623,29500.00,31000.00,28170.00,29250.00,1518299291470,51900153,23753,D,29650.00,28170.00
S*HiWeb,20200622,29700.00,29700.00,28800.00,29650.00,1048820690510,35367826,11438,D,28290.00,29700.00
S*HiWeb,20200621,28400.00,28570.00,27250.00,28290.00,653308844990,23090339,8600,D,27210.00,28570.00
S*HiWeb,20200620,27210.00,27210.00,27210.00,27210.00,354141496830,13015123,5244,D,25920.00,27210.00
S*HiWeb,20200616,25050.00,26300.00,24450.00,25920.00,717747008350,27688151,10525,D,25050.00,26300.00
S*HiWeb,20200615,26000.00,26800.00,24500.00,25050.00,893040234370,35643354,13982,D,25780.00,24850.00
S*HiWeb,20200614,26900.00,26900.00,25600.00,25780.00,841035172710,32628074,11684,D,26940.00,26110.00
S*HiWeb,20200613,27000.00,27600.00,26330.00,26940.00,570695578380,21182007,8536,D,26331.00,26680.00
S*HiWeb,20200610,25800.00,26452.00,25123.00,26331.00,881617905413,33481757,11188,D,25193.00,26452.00
S*HiWeb,20200609,25550.00,26350.00,24870.00,25193.00,932743411117,37023813,12179,D,26178.00,25198.00
S*HiWeb,20200608,28686.00,28686.00,25954.00,26178.00,694324683371,26523245,11171,D,27320.00,25954.00
S*HiWeb,20200607,27800.00,28000.00,26110.00,27320.00,1311463191724,48004245,24268,D,26848.00,26200.00
S*HiWeb,20200606,26299.00,27613.00,25100.00,26848.00,1023523121850,38123524,11805,D,23637.00,27335.00
S*HiWeb,20200602,23653.00,23653.00,22890.00,23637.00,343094857902,14515069,3186,D,22527.00,23653.00
S*HiWeb,20200601,22300.00,22672.00,21590.00,22527.00,436728326956,19387015,6164,D,21593.00,22672.00
S*HiWeb,20200531,22150.00,22150.00,20400.00,21593.00,634893712048,29402401,8350,D,21096.00,21599.00
S*HiWeb,20200530,21096.00,21096.00,21096.00,21096.00,140472167256,6658711,751,D,20092.00,21096.00
S*HiWeb,20200527,18800.00,20606.00,18800.00,20092.00,460625272325,22925723,6452,D,19625.00,20606.00
S*HiWeb,20200526,19693.00,20469.00,19451.00,19625.00,161230000000,8215472,3082,D,20440.00,19451.00
S*HiWeb,20200523,21300.00,21300.00,20406.00,20474.00,381323224599,18624480,4305,D,21480.00,20469.00
S*HiWeb,20200520,22062.00,22480.00,20959.00,21480.00,718653001045,33456610,9890,D,23223.00,21900.00
S*HiWeb,20200519,23830.00,23830.00,22022.00,23223.00,843057822252,36302389,11508,D,22696.00,22293.00
S*HiWeb,20200518,22714.00,22714.00,22004.00,22696.00,563857413307,24844055,4821,D,21633.00,22714.00
S*HiWeb,20200517,21261.00,21715.00,20501.00,21633.00,906098467221,41885528,8893,D,20681.00,21715.00
S*HiWeb,20200516,20050.00,21132.00,19706.00,20681.00,1173528811674,56743609,13618,D,20126.00,21132.00
S*HiWeb,20200513,19823.00,21499.00,19823.00,20126.00,1624595333611,80719741,19566,D,20866.00,19835.00
S*HiWeb,20200512,20866.00,20866.00,20866.00,20866.00,196022882688,9394368,1519,D,21964.00,20866.00
S*HiWeb,20200511,21964.00,21964.00,21964.00,21964.00,221755638372,10096323,2014,D,23119.00,21964.00
S*HiWeb,20200510,24300.00,24300.00,22764.00,23119.00,628230083493,27173177,9788,D,23962.00,22764.00
S*HiWeb,20200509,23300.00,24405.00,23202.00,23962.00,1260627973204,52609379,14236,D,23243.00,23800.00
S*HiWeb,20200506,23243.00,23243.00,23243.00,23243.00,303636906155,13063585,2816,D,24466.00,23243.00
S*HiWeb,20200505,25000.00,25555.00,23585.00,24466.00,486944530878,19902649,6126,D,24826.00,23585.00
S*HiWeb,20200504,23700.00,24885.00,23700.00,24826.00,662501519331,26686084,3807,D,24515.00,24885.00
S*HiWeb,20200503,24524.00,24524.00,24221.00,24515.00,1517043397238,61881739,13241,D,23357.00,24524.00
S*HiWeb,20200502,23300.00,23424.00,22800.00,23357.00,675748456651,28930996,7163,D,22309.00,23424.00
S*HiWeb,20200429,21580.00,22513.00,21300.00,22309.00,940060161177,42138947,12047,D,21441.00,22497.00
S*HiWeb,20200428,21890.00,22009.00,20994.00,21441.00,949851666635,44301747,13838,D,21909.00,21140.00
