<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*IRI.Marine.Co.,20200722,62700.00,63850.00,62000.00,63570.00,1935171304590,30439309,19362,D,60810.00,63850.00
S*IRI.Marine.Co.,20200721,60000.00,61230.00,58350.00,60810.00,7019238191450,115433634,53521,D,58320.00,61200.00
S*IRI.Marine.Co.,20200720,58320.00,58320.00,58320.00,58320.00,614658449520,10539411,2134,D,55550.00,58320.00
S*IRI.Marine.Co.,20200719,54000.00,57560.00,54000.00,55550.00,2789991559330,50221957,13037,D,54820.00,57560.00
S*IRI.Marine.Co.,20200718,54820.00,54820.00,54820.00,54820.00,821474794540,14984947,18258,D,57700.00,54820.00
S*IRI.Marine.Co.,20200715,58000.00,58000.00,55100.00,57700.00,4968209533610,86103451,40156,D,55240.00,55900.00
S*IRI.Marine.Co.,20200714,55240.00,55240.00,55240.00,55240.00,516737884600,9354415,2612,D,52610.00,55240.00
S*IRI.Marine.Co.,20200713,52610.00,52610.00,50110.00,52610.00,2523045021980,47957518,17025,D,50110.00,52610.00
S*IRI.Marine.Co.,20200712,50110.00,50110.00,50110.00,50110.00,336722413150,6719665,1248,D,47730.00,50110.00
S*IRI.Marine.Co.,20200711,45100.00,49360.00,45100.00,47730.00,1210845558720,25367828,11094,D,47010.00,49360.00
S*IRI.Marine.Co.,20200708,47990.00,47990.00,43430.00,47010.00,4631778992010,98519016,42362,D,45710.00,44350.00
S*IRI.Marine.Co.,20200707,45710.00,45710.00,45710.00,45710.00,388854284350,8506985,2229,D,43540.00,45710.00
S*IRI.Marine.Co.,20200706,43540.00,43540.00,43540.00,43540.00,204303177400,4692310,2020,D,41470.00,43540.00
S*IRI.Marine.Co.,20200630,41790.00,41790.00,41790.00,41470.00,116322590370,2783503,1996,D,39800.00,41790.00
S*IRI.Marine.Co.,20200629,37840.00,41820.00,37840.00,39800.00,4352964813570,109370048,33343,D,39830.00,41820.00
S*IRI.Marine.Co.,20200628,39830.00,39830.00,39830.00,39830.00,683176706450,17152315,2185,D,37940.00,39830.00
S*IRI.Marine.Co.,20200627,37940.00,37940.00,37940.00,37940.00,159968167240,4216346,1350,D,36140.00,37940.00
S*IRI.Marine.Co.,20200624,36140.00,36140.00,36140.00,36140.00,320143913180,8858437,2337,D,34420.00,36140.00
S*IRI.Marine.Co.,20200623,34420.00,34420.00,34420.00,34420.00,472224639280,13719484,2619,D,32790.00,34420.00
S*IRI.Marine.Co.,20200622,32880.00,32880.00,32880.00,32790.00,131084372880,3986751,1413,D,31320.00,32880.00
S*IRI.Marine.Co.,20200621,31320.00,31320.00,31320.00,31320.00,315893707920,10086006,1871,D,29830.00,31320.00
S*IRI.Marine.Co.,20200620,29830.00,29830.00,29830.00,29830.00,145774407370,4886839,1688,D,28410.00,29830.00
S*IRI.Marine.Co.,20200616,28410.00,28410.00,28410.00,28410.00,221691980280,7803308,2772,D,27060.00,28410.00
S*IRI.Marine.Co.,20200615,26430.00,27640.00,25610.00,27060.00,1065125584760,39363501,15931,D,26360.00,27450.00
S*IRI.Marine.Co.,20200614,28100.00,28100.00,25780.00,26360.00,774325802120,29369500,14516,D,27130.00,26490.00
S*IRI.Marine.Co.,20200613,26450.00,27210.00,26450.00,27130.00,1089107700480,40141648,13937,D,25915.00,27210.00
S*IRI.Marine.Co.,20200610,25500.00,27400.00,25409.00,25915.00,1034656158532,39925129,19747,D,26606.00,25740.00
S*IRI.Marine.Co.,20200609,26518.00,27400.00,26518.00,26606.00,678511055816,25501914,9830,D,27913.00,26518.00
S*IRI.Marine.Co.,20200608,29894.00,29894.00,27048.00,27913.00,623437036171,22335349,12488,D,28471.00,27048.00
S*IRI.Marine.Co.,20200607,28505.00,28507.00,28000.00,28471.00,677516472425,23797082,10032,D,27150.00,28507.00
S*IRI.Marine.Co.,20200606,27600.00,28300.00,26035.00,27150.00,1233042422063,45415329,22200,D,27403.00,27800.00
S*IRI.Marine.Co.,20200602,26480.00,27804.00,26480.00,27403.00,1031462981702,37640401,11415,D,23492.00,27400.00
S*IRI.Marine.Co.,20200523,30800.00,30955.00,28115.00,30581.00,2457598225384,80363144,29628,D,29481.00,30955.00
S*IRI.Marine.Co.,20200520,29481.00,29481.00,29481.00,29481.00,425531495733,14434093,2029,D,28078.00,29481.00
S*IRI.Marine.Co.,20200519,28078.00,28078.00,28078.00,28078.00,109967823936,3916512,863,D,26741.00,28078.00
S*IRI.Marine.Co.,20200518,26741.00,26741.00,26741.00,26741.00,106223488228,3972308,640,D,25468.00,26741.00
S*IRI.Marine.Co.,20200517,25468.00,25468.00,25468.00,25468.00,243679020996,9568047,2681,D,24256.00,25468.00
S*IRI.Marine.Co.,20200516,24800.00,26578.00,23289.00,24256.00,899616137950,37087720,13352,D,25804.00,23431.00
S*IRI.Marine.Co.,20200513,26878.00,26878.00,25535.00,25804.00,241835392682,9372145,3622,D,28292.00,25535.00
S*IRI.Marine.Co.,20200512,28292.00,28292.00,28292.00,28292.00,604286847560,21358930,8577,D,29781.00,28292.00
S*IRI.Marine.Co.,20200511,30800.00,30800.00,29651.00,29781.00,336898028622,11312564,7086,D,31211.00,29651.00
S*IRI.Marine.Co.,20200510,32310.00,32322.00,29250.00,31211.00,1446486452356,46345196,24092,D,30787.00,30172.00
S*IRI.Marine.Co.,20200509,30864.00,30875.00,29800.00,30787.00,1048672541417,34062052,12091,D,29405.00,30875.00
S*IRI.Marine.Co.,20200506,29283.00,30255.00,29283.00,29405.00,1705589426964,58004198,17945,D,30824.00,29283.00
S*IRI.Marine.Co.,20200505,32649.00,33437.00,30253.00,30824.00,774780373186,25135881,12918,D,31845.00,30253.00
S*IRI.Marine.Co.,20200504,32500.00,33487.00,30745.00,31845.00,2559147592063,80361843,30917,D,32363.00,31470.00
S*IRI.Marine.Co.,20200503,32363.00,32363.00,32353.00,32363.00,932894768517,28826228,9965,D,30822.00,32363.00
S*IRI.Marine.Co.,20200502,30826.00,30826.00,30150.00,30822.00,1217347219460,39496033,9904,D,29359.00,30826.00
S*IRI.Marine.Co.,20200429,28042.00,29444.00,28042.00,29359.00,330817119058,11268048,1208,D,26707.00,29444.00
S*IRI.Marine.Co.,20200421,26800.00,26905.00,25900.00,26707.00,2183130174385,81743115,22459,D,25624.00,26905.00
S*IRI.Marine.Co.,20200420,25150.00,25994.00,25130.00,25624.00,415450899145,16213327,3394,D,24757.00,25994.00
S*IRI.Marine.Co.,20200419,25177.00,25177.00,23000.00,24757.00,2277187163070,91982014,27151,D,23979.00,23800.00
S*IRI.Marine.Co.,20200418,23986.00,23986.00,23986.00,23979.00,104355794256,4350696,613,D,22844.00,23986.00
S*IRI.Marine.Co.,20200415,22844.00,22844.00,22844.00,22844.00,129503138568,5669022,1222,D,21757.00,22844.00
S*IRI.Marine.Co.,20200414,21200.00,22244.00,20142.00,21757.00,1370068311318,62971539,13339,D,21185.00,22244.00
S*IRI.Marine.Co.,20200413,21185.00,21185.00,21185.00,21185.00,498019077315,23508099,1501,D,20177.00,21185.00
S*IRI.Marine.Co.,20200412,20344.00,20344.00,20344.00,20177.00,110454248832,5429328,725,D,19376.00,20344.00
S*IRI.Marine.Co.,20200411,19376.00,19376.00,19376.00,19376.00,179235052864,9250364,1488,D,18454.00,19376.00
S*IRI.Marine.Co.,20200408,18472.00,18477.00,18100.00,18454.00,372110423847,20164693,4188,D,17598.00,18477.00
S*IRI.Marine.Co.,20200407,17599.00,17682.00,17150.00,17598.00,344323273739,19566143,4462,D,16840.00,17682.00
S*IRI.Marine.Co.,20200406,17090.00,17488.00,16627.00,16840.00,771714067274,45825259,12103,D,17502.00,17104.00
S*IRI.Marine.Co.,20200405,18450.00,18450.00,17212.00,17502.00,448714435730,25637491,11282,D,18117.00,17212.00
S*IRI.Marine.Co.,20200404,17599.00,18237.00,17470.00,18117.00,640343560073,35345232,9992,D,17369.00,18237.00
S*IRI.Marine.Co.,20200330,17600.00,18111.00,17290.00,17369.00,796698154843,45868789,12748,D,18199.00,17290.00
S*IRI.Marine.Co.,20200329,18816.00,18816.00,17051.00,18199.00,713752597566,39219422,14965,D,17920.00,17711.00
S*IRI.Marine.Co.,20200328,17942.00,17943.00,17500.00,17920.00,662843566618,36988298,10197,D,17089.00,17943.00
S*IRI.Marine.Co.,20200325,16980.00,17103.00,16600.00,17089.00,1138766124896,66636647,12021,D,16289.00,17103.00
S*IRI.Marine.Co.,20200324,16393.00,16396.00,15690.00,16289.00,958870009170,58864510,14156,D,15616.00,16396.00
S*IRI.Marine.Co.,20200318,15110.00,15678.00,14991.00,15616.00,598902680045,38350662,5643,D,14932.00,15678.00
S*IRI.Marine.Co.,20200317,15270.00,15795.00,14706.00,14932.00,789168997903,52850624,9073,D,15480.00,14898.00
S*IRI.Marine.Co.,20200316,15364.00,16172.00,15364.00,15480.00,2224313892533,143687841,17109,D,16172.00,15600.00
S*IRI.Marine.Co.,20200315,16031.00,16031.00,16031.00,16172.00,78456627767,4894057,472,D,16874.00,16031.00
S*IRI.Marine.Co.,20200314,16162.00,16162.00,16162.00,16874.00,15387856362,952101,432,D,17012.00,16162.00
