<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Iran.Aluminium,20200722,26000.00,26000.00,24700.00,25860.00,22217722980,887725,534,D,26480.00,24940.00
S*Iran.Aluminium,20200718,26250.00,27900.00,25470.00,26630.00,182777967540,6862459,3829,D,26810.00,26780.00
S*Iran.Aluminium,20200715,26770.00,27700.00,26770.00,26810.00,100510056970,3748663,2501,D,28170.00,26770.00
S*Iran.Aluminium,20200714,28560.00,29250.00,28030.00,28170.00,114621042730,4069099,2059,D,29500.00,28030.00
S*Iran.Aluminium,20200713,29880.00,30490.00,29300.00,29500.00,179641737080,6089729,2413,D,30840.00,29300.00
S*Iran.Aluminium,20200712,31090.00,31100.00,29250.00,30840.00,294495885960,9549344,3562,D,29620.00,30200.00
S*Iran.Aluminium,20200711,28300.00,30910.00,28300.00,29620.00,210472485120,7106720,2966,D,29440.00,30890.00
S*Iran.Aluminium,20200708,29740.00,29740.00,26920.00,29440.00,314410172580,10680516,2562,D,28330.00,28090.00
S*Iran.Aluminium,20200707,28500.00,29160.00,26410.00,28330.00,430450998120,15196335,3359,D,27780.00,29160.00
S*Iran.Aluminium,20200706,27640.00,27820.00,27480.00,27780.00,96327070150,3468000,1268,D,26500.00,27820.00
S*Iran.Aluminium,20200705,24700.00,27300.00,24700.00,26500.00,470724583880,17760377,4593,D,26000.00,27300.00
S*Iran.Aluminium,20200704,26000.00,26400.00,25810.00,26000.00,89018808300,3423239,2068,D,27160.00,25810.00
S*Iran.Aluminium,20200701,29000.00,29000.00,26430.00,27160.00,188902290780,6954943,3699,D,27760.00,26810.00
S*Iran.Aluminium,20200630,26490.00,27810.00,26490.00,27760.00,148252179280,5341084,2315,D,26490.00,27810.00
S*Iran.Aluminium,20200629,26420.00,27260.00,26420.00,26490.00,102245717490,3860452,2031,D,27810.00,26500.00
S*Iran.Aluminium,20200628,30000.00,30000.00,27160.00,27810.00,191218352870,6875885,2758,D,28580.00,27160.00
S*Iran.Aluminium,20200627,28660.00,28660.00,27660.00,28580.00,79281304130,2774301,1353,D,27300.00,28660.00
S*Iran.Aluminium,20200624,26980.00,27830.00,25190.00,27300.00,162942884700,5968501,1738,D,26510.00,27830.00
S*Iran.Aluminium,20200623,26310.00,26710.00,25660.00,26510.00,247391398820,9332274,3802,D,25440.00,26710.00
S*Iran.Aluminium,20200622,25400.00,26210.00,24900.00,25440.00,230571320250,9061585,5135,D,26210.00,25660.00
S*Iran.Aluminium,20200621,26900.00,27000.00,25100.00,26210.00,91958698590,3508102,1928,D,25870.00,25400.00
S*Iran.Aluminium,20200613,26520.00,26910.00,25790.00,25870.00,425756826440,16455807,6783,D,27137.00,25790.00
S*Iran.Aluminium,20200610,27400.00,27760.00,26000.00,27137.00,198554351109,7316835,3506,D,26439.00,26360.00
S*Iran.Aluminium,20200609,26150.00,26574.00,25300.00,26439.00,230856246805,8731578,2288,D,25309.00,26574.00
S*Iran.Aluminium,20200608,24002.00,26528.00,24002.00,25309.00,204805765474,8092084,3043,D,25265.00,25400.00
S*Iran.Aluminium,20200607,25288.00,25288.00,24802.00,25265.00,176440849246,6983471,1773,D,24084.00,25279.00
S*Iran.Aluminium,20200606,24134.00,24134.00,24134.00,24084.00,50207939188,2080382,448,D,22985.00,24134.00
S*Iran.Aluminium,20200602,22985.00,22985.00,22985.00,22985.00,63816358475,2776435,489,D,21891.00,22985.00
S*Iran.Aluminium,20200601,22485.00,22485.00,22485.00,21891.00,25459832955,1132303,439,D,21415.00,22485.00
S*Iran.Aluminium,20200531,21200.00,21575.00,20954.00,21415.00,142517849008,6654898,1816,D,20548.00,21575.00
S*Iran.Aluminium,20200530,19670.00,20647.00,19670.00,20548.00,61764520298,3005837,925,D,19664.00,20647.00
S*Iran.Aluminium,20200527,19563.00,20458.00,19563.00,19664.00,88787842465,4515291,1593,D,20592.00,19617.00
S*Iran.Aluminium,20200526,19641.00,19780.00,19641.00,20592.00,3734971842,190162,134,D,20674.00,19641.00
S*Iran.Aluminium,20200523,19780.00,19780.00,19780.00,20674.00,6703323320,338894,204,D,20821.00,19780.00
S*Iran.Aluminium,20200520,20750.00,20780.00,20570.00,20821.00,36590903474,1776178,859,D,21652.00,20570.00
S*Iran.Aluminium,20200519,22000.00,22600.00,20585.00,21652.00,113709643528,5251621,2131,D,21668.00,21600.00
S*Iran.Aluminium,20200518,21000.00,21871.00,21000.00,21668.00,133640420354,6167637,1972,D,20830.00,21846.00
S*Iran.Aluminium,20200517,20086.00,22155.00,20086.00,20830.00,241400545201,11588871,3396,D,21143.00,20800.00
S*Iran.Aluminium,20200516,21143.00,21143.00,21143.00,21143.00,74896455768,3542376,820,D,22255.00,21143.00
S*Iran.Aluminium,20200513,22017.00,24299.00,22017.00,22255.00,268922933806,12083914,3854,D,23175.00,22017.00
S*Iran.Aluminium,20200512,23169.00,23169.00,23169.00,23175.00,52998485106,2287474,983,D,24388.00,23169.00
S*Iran.Aluminium,20200511,24649.00,24649.00,22550.00,24388.00,368570158626,15112708,5635,D,23476.00,24201.00
S*Iran.Aluminium,20200510,23476.00,23476.00,23476.00,23476.00,79957589204,3405929,633,D,22359.00,23476.00
S*Iran.Aluminium,20200509,22836.00,22836.00,22836.00,22359.00,29468145300,1290425,656,D,21749.00,22836.00
S*Iran.Aluminium,20200506,21111.00,22161.00,21106.00,21749.00,113812073670,5233034,1642,D,21106.00,22161.00
S*Iran.Aluminium,20200505,21597.00,21597.00,19600.00,21106.00,203237777330,9629170,3318,D,20569.00,20520.00
S*Iran.Aluminium,20200504,20584.00,20584.00,20105.00,20569.00,180758047106,8787704,2675,D,19604.00,20584.00
S*Iran.Aluminium,20200503,20105.00,20105.00,20105.00,19604.00,26022363915,1294323,393,D,19148.00,20105.00
