<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Iran.Chem..Ind.,20200722,39900.00,41920.00,38490.00,39190.00,870611567230,22213652,12487,D,40510.00,38970.00
S*Iran.Chem..Ind.,20200721,40900.00,41750.00,40360.00,40510.00,1362966766420,33649337,14880,D,42480.00,40360.00
S*Iran.Chem..Ind.,20200720,42880.00,44350.00,40970.00,42480.00,1245884041880,29325494,19506,D,42880.00,41300.00
S*Iran.Chem..Ind.,20200719,45500.00,45500.00,41500.00,42880.00,1340662428210,31268494,19933,D,43520.00,41610.00
S*Iran.Chem..Ind.,20200718,42000.00,43650.00,42000.00,43520.00,1632206086390,37506150,15850,D,41580.00,43650.00
S*Iran.Chem..Ind.,20200715,41560.00,42700.00,41560.00,41580.00,1818173069570,43722773,16641,D,43740.00,42400.00
S*Iran.Chem..Ind.,20200714,44300.00,46180.00,43510.00,43740.00,1702836054400,38927615,13713,D,45800.00,43510.00
S*Iran.Chem..Ind.,20200713,46400.00,47800.00,45510.00,45800.00,1023560449890,22348861,14567,D,47900.00,45510.00
S*Iran.Chem..Ind.,20200712,47200.00,49440.00,46310.00,47900.00,1574013058670,32859164,18269,D,42890.00,46400.00
S*Iran.Chem..Ind.,20200708,45450.00,47130.00,42650.00,42890.00,1976483598680,46079660,19655,D,44890.00,42650.00
S*Iran.Chem..Ind.,20200707,44400.00,46760.00,43500.00,44890.00,2351027618270,52371321,29653,D,45490.00,44880.00
S*Iran.Chem..Ind.,20200706,45840.00,45840.00,42000.00,45490.00,2912173251620,64019454,33584,D,43660.00,44640.00
S*Iran.Chem..Ind.,20200705,43690.00,43740.00,42000.00,43660.00,808623888870,18519896,6131,D,41660.00,43740.00
S*Iran.Chem..Ind.,20200704,41730.00,41730.00,40000.00,41660.00,2538106831510,60920934,12814,D,39750.00,41730.00
S*Iran.Chem..Ind.,20200701,39750.00,39750.00,39750.00,39750.00,225536451750,5673873,2182,D,37860.00,39750.00
S*Iran.Chem..Ind.,20200630,37860.00,37860.00,37860.00,37860.00,135427643040,3577064,1991,D,36060.00,37860.00
S*Iran.Chem..Ind.,20200629,33300.00,36750.00,33300.00,36060.00,1156111478410,32056495,8905,D,35000.00,36750.00
S*Iran.Chem..Ind.,20200628,35610.00,36480.00,34920.00,35000.00,2200148787580,62853753,16318,D,36750.00,34920.00
S*Iran.Chem..Ind.,20200627,36730.00,38000.00,35000.00,36750.00,1173493637210,31929965,13141,D,36280.00,35750.00
S*Iran.Chem..Ind.,20200624,34500.00,38120.00,34500.00,36280.00,1690397390220,46590458,15002,D,36310.00,36830.00
S*Iran.Chem..Ind.,20200623,37170.00,37170.00,33640.00,36310.00,1407999658650,38773689,12768,D,35400.00,34110.00
S*Iran.Chem..Ind.,20200622,35000.00,35730.00,33510.00,35400.00,568380069290,16056995,6561,D,34030.00,35730.00
S*Iran.Chem..Ind.,20200621,34800.00,34800.00,33100.00,34030.00,1567776468010,46072196,17913,D,34560.00,34750.00
