<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Iran.Transfo,20200722,60720.00,62990.00,60690.00,60820.00,602080696240,9899216,5244,D,63880.00,60690.00
S*Iran.Transfo,20200721,66000.00,66000.00,63730.00,63880.00,963625070520,15084205,9401,D,67080.00,63730.00
S*Iran.Transfo,20200720,67410.00,67420.00,64700.00,67080.00,2013114498670,30010372,13015,D,64210.00,65000.00
S*Iran.Transfo,20200719,64850.00,64850.00,61770.00,64210.00,1258444610840,19597989,13262,D,61770.00,62800.00
S*Iran.Transfo,20200718,59660.00,65500.00,59660.00,61770.00,2458796679800,39805308,21769,D,62790.00,62880.00
S*Iran.Transfo,20200715,62790.00,62790.00,62790.00,62790.00,382045755000,6084500,2497,D,66090.00,62790.00
S*Iran.Transfo,20200714,66090.00,66090.00,66090.00,66090.00,298927977960,4523044,2808,D,69560.00,66090.00
S*Iran.Transfo,20200713,71750.00,72000.00,68170.00,69560.00,578325174260,8313774,4079,D,71750.00,68170.00
S*Iran.Transfo,20200708,73480.00,76560.00,69280.00,72100.00,2153171866290,29865237,21040,D,72920.00,69280.00
S*Iran.Transfo,20200707,73060.00,73060.00,70000.00,72920.00,3355674381550,46021380,23170,D,69590.00,72940.00
S*Iran.Transfo,20200706,69590.00,69590.00,69570.00,69590.00,1168173544410,16786520,7076,D,66280.00,69590.00
S*Iran.Transfo,20200705,65800.00,67020.00,63900.00,66280.00,1138096698240,17170974,6981,D,63830.00,67020.00
S*Iran.Transfo,20200704,63900.00,63900.00,60920.00,63830.00,2676917804910,41940720,12172,D,60860.00,63900.00
S*Iran.Transfo,20200701,60920.00,60920.00,59950.00,60860.00,1252673554770,20581800,8227,D,58020.00,60920.00
S*Iran.Transfo,20200630,58020.00,58020.00,58020.00,58020.00,363054115920,6257396,3202,D,55260.00,58020.00
S*Iran.Transfo,20200629,54000.00,57630.00,52160.00,55260.00,1273977317990,23052474,9613,D,54900.00,56800.00
S*Iran.Transfo,20200628,54000.00,57500.00,53070.00,54900.00,1563369303710,28478023,10305,D,55860.00,54200.00
S*Iran.Transfo,20200627,58750.00,58750.00,54160.00,55860.00,1170216807460,20950609,11050,D,56990.00,54180.00
S*Iran.Transfo,20200624,53850.00,59000.00,53850.00,56990.00,1234235763780,21656616,8764,D,56560.00,57890.00
S*Iran.Transfo,20200623,57220.00,57220.00,52780.00,56560.00,2090206536870,36955296,16706,D,54500.00,53500.00
S*Iran.Transfo,20200621,54510.00,54510.00,53920.00,54500.00,938385859080,17216518,3292,D,51920.00,54220.00
S*Iran.Transfo,20200620,51920.00,51920.00,51920.00,51920.00,164084281680,3160329,966,D,49450.00,51920.00
S*Iran.Transfo,20200616,49450.00,49450.00,49450.00,49450.00,163317427100,3302678,878,D,47100.00,49450.00
S*Iran.Transfo,20200615,45500.00,47220.00,43800.00,47100.00,2922077912930,62041706,7872,D,44980.00,47220.00
S*Iran.Transfo,20200614,46800.00,46800.00,43060.00,44980.00,520833078520,11579180,6249,D,45320.00,45020.00
S*Iran.Transfo,20200613,45580.00,45630.00,44500.00,45320.00,588810226950,12993518,6957,D,43465.00,45630.00
S*Iran.Transfo,20200610,42332.00,44200.00,42332.00,43465.00,638308367817,14685473,6628,D,42766.00,43451.00
S*Iran.Transfo,20200609,43381.00,45700.00,42332.00,42766.00,557260887149,13030565,5702,D,44559.00,42332.00
S*Iran.Transfo,20200608,47947.00,47947.00,43381.00,44559.00,972155080308,21817239,7901,D,45664.00,43400.00
S*Iran.Transfo,20200607,45499.00,45937.00,44500.00,45664.00,596207463473,13056429,7778,D,43750.00,44640.00
S*Iran.Transfo,20200606,43765.00,43775.00,43000.00,43750.00,326898730537,7471890,3640,D,41691.00,43775.00
S*Iran.Transfo,20200602,41697.00,41698.00,40800.00,41691.00,454605161240,10904111,3000,D,39713.00,41698.00
S*Iran.Transfo,20200601,38850.00,40225.00,38157.00,39713.00,387301919830,9752423,5027,D,38310.00,40225.00
S*Iran.Transfo,20200531,39302.00,39302.00,35576.00,38310.00,558830512609,14587001,6229,D,37431.00,37820.00
S*Iran.Transfo,20200530,37431.00,37431.00,37431.00,37431.00,132957382446,3552066,1499,D,35649.00,37431.00
S*Iran.Transfo,20200527,33355.00,36865.00,33355.00,35649.00,335409558127,9408745,5211,D,35110.00,36865.00
S*Iran.Transfo,20200526,35051.00,36355.00,35051.00,35110.00,380025000000,10823841,3384,D,36821.00,35051.00
S*Iran.Transfo,20200523,38000.00,38140.00,36354.00,36895.00,421242021062,11417341,5497,D,38267.00,36355.00
S*Iran.Transfo,20200520,38500.00,40701.00,37587.00,38267.00,485229097737,12679927,6641,D,39565.00,38000.00
S*Iran.Transfo,20200519,41301.00,41301.00,38115.00,39565.00,394617791559,9973940,6120,D,39556.00,38300.00
S*Iran.Transfo,20200518,38800.00,39811.00,37900.00,39556.00,495616139702,12529444,5692,D,37916.00,39811.00
S*Iran.Transfo,20200517,37814.00,39429.00,37814.00,37916.00,471592384855,12437799,5066,D,39804.00,37814.00
S*Iran.Transfo,20200516,40201.00,41500.00,39429.00,39804.00,110400767070,2773580,1807,D,41504.00,39429.00
S*Iran.Transfo,20200513,40543.00,44280.00,40543.00,41504.00,701770138541,16908509,8267,D,42676.00,40543.00
S*Iran.Transfo,20200512,44999.00,44999.00,42275.00,42676.00,275914891113,6465365,3718,D,44499.00,42275.00
S*Iran.Transfo,20200511,45500.00,46500.00,42500.00,44499.00,730834478561,16423432,12652,D,44460.00,44500.00
S*Iran.Transfo,20200510,44569.00,44569.00,43000.00,44460.00,1453194272680,32685464,12908,D,42447.00,44569.00
S*Iran.Transfo,20200509,42447.00,42447.00,42447.00,42447.00,211873945818,4991494,2064,D,40426.00,42447.00
S*Iran.Transfo,20200506,38180.00,41072.00,38180.00,40426.00,722759764488,17878676,5645,D,39117.00,41072.00
S*Iran.Transfo,20200505,40428.00,40428.00,36579.00,39117.00,926805724766,23693465,8831,D,38503.00,37430.00
S*Iran.Transfo,20200504,39800.00,40468.00,36887.00,38503.00,1173900642202,30488511,11192,D,38828.00,39799.00
S*Iran.Transfo,20200503,38836.00,38836.00,37989.00,38828.00,1462217008266,37658373,12798,D,36987.00,38836.00
S*Iran.Transfo,20200502,36989.00,36989.00,36700.00,36987.00,456396713357,12339336,3755,D,35228.00,36989.00
S*Iran.Transfo,20200429,33690.00,35512.00,32500.00,35228.00,1083934767647,30768870,8392,D,33821.00,35512.00
S*Iran.Transfo,20200428,35700.00,35700.00,33360.00,33821.00,805955192460,23829953,11212,D,35115.00,33690.00
S*Iran.Transfo,20200427,35500.00,36500.00,34091.00,35115.00,814971717000,23208429,9973,D,35884.00,35205.00
S*Iran.Transfo,20200426,38139.00,38139.00,34507.00,35884.00,1545263919080,43063270,15896,D,36323.00,35150.00
S*Iran.Transfo,20200425,34692.00,36426.00,34692.00,36323.00,118997511278,3276111,730,D,33040.00,36426.00
S*Iran.Transfo,20200419,33600.00,34499.00,31612.00,33040.00,868985083369,26300802,12110,D,33275.00,31612.00
S*Iran.Transfo,20200418,33000.00,33450.00,32500.00,33275.00,429633469712,12911560,5431,D,31858.00,33450.00
S*Iran.Transfo,20200415,30497.00,32021.00,30497.00,31858.00,480431253783,15080312,5134,D,29045.00,32021.00
S*Iran.Transfo,20200412,28500.00,29600.00,28500.00,29045.00,43745511813,1502055,553,D,28402.00,29361.00
S*Iran.Transfo,20200411,28157.00,29000.00,28157.00,28402.00,865735456701,30481497,10599,D,29638.00,28400.00
S*Iran.Transfo,20200408,29099.00,29731.00,28700.00,29638.00,553973336983,18691359,5103,D,28316.00,29212.00
S*Iran.Transfo,20200407,27988.00,28646.00,27500.00,28316.00,560878931760,19807578,6636,D,27282.00,28646.00
S*Iran.Transfo,20200406,27700.00,28000.00,26301.00,27282.00,656019671482,24046034,9328,D,27611.00,27449.00
S*Iran.Transfo,20200405,27729.00,27729.00,26550.00,27611.00,842897627069,30527845,9574,D,26409.00,27729.00
S*Iran.Transfo,20200404,26409.00,26409.00,26409.00,26409.00,56773540020,2149780,589,D,25152.00,26409.00
S*Iran.Transfo,20200330,25000.00,26172.00,23680.00,25152.00,929640486310,36960682,12392,D,24926.00,26170.00
S*Iran.Transfo,20200329,24954.00,24954.00,23520.00,24926.00,552945178728,22183624,5191,D,23766.00,24954.00
S*Iran.Transfo,20200328,24131.00,24131.00,24131.00,23766.00,35829974241,1484811,384,D,22982.00,24131.00
S*Iran.Transfo,20200325,22982.00,22982.00,22982.00,22982.00,64436678798,2803789,745,D,21888.00,22982.00
S*Iran.Transfo,20200324,22130.00,22252.00,21228.00,21888.00,237648234167,10857247,3992,D,21193.00,22252.00
S*Iran.Transfo,20200318,21190.00,21228.00,20300.00,21193.00,316380273675,14928827,2790,D,20218.00,21228.00
S*Iran.Transfo,20200317,20548.00,20900.00,19311.00,20218.00,332453393083,16443212,6447,D,20070.00,20700.00
S*Iran.Transfo,20200316,19027.00,20289.00,19027.00,20070.00,565771979227,28190284,7113,D,19323.00,20289.00
S*Iran.Transfo,20200315,19323.00,19323.00,19323.00,19323.00,93352910463,4831181,976,D,20340.00,19323.00
S*Iran.Transfo,20200314,20319.00,20319.00,20319.00,20340.00,46560704034,2291486,959,D,21388.00,20319.00
S*Iran.Transfo,20200311,22000.00,22500.00,20528.00,21388.00,455882490253,21314970,7321,D,21608.00,20998.00
S*Iran.Transfo,20200310,21496.00,22157.00,21496.00,21608.00,554226181329,25649668,5318,D,22627.00,21496.00
S*Iran.Transfo,20200309,23500.00,23600.00,22460.00,22627.00,130545334897,5769394,2189,D,23642.00,22460.00
S*Iran.Transfo,20200307,23800.00,25070.00,22697.00,23642.00,827521148689,35001448,10463,D,23891.00,23800.00
S*Iran.Transfo,20200304,23891.00,23891.00,23891.00,23891.00,253343819323,10604153,1708,D,22754.00,23891.00
S*Iran.Transfo,20200303,23007.00,23007.00,23007.00,22754.00,45120661197,1961171,520,D,21912.00,23007.00
S*Iran.Transfo,20200302,21917.00,21917.00,21400.00,21912.00,462196593015,21093454,2918,D,20874.00,21917.00
S*Iran.Transfo,20200301,20000.00,21000.00,20000.00,20874.00,245188170421,11745829,1887,D,19597.00,21000.00
S*Iran.Transfo,20200226,20250.00,20250.00,18945.00,19597.00,732870151546,37396667,12370,D,19672.00,19394.00
S*Iran.Transfo,20200225,19672.00,19672.00,19550.00,19672.00,797268116718,40528691,6674,D,18736.00,19672.00
S*Iran.Transfo,20200224,18736.00,18736.00,18736.00,18736.00,119459855408,6375953,666,D,17844.00,18736.00
S*Iran.Transfo,20200223,17844.00,17844.00,17844.00,17844.00,13720929672,768938,295,D,16995.00,17844.00
S*Iran.Transfo,20200222,16990.00,17268.00,16501.00,16995.00,368000585987,21653874,3809,D,16446.00,17268.00
S*Iran.Transfo,20200219,16447.00,16448.00,16222.00,16446.00,677203674042,41177970,4782,D,15665.00,16448.00
S*Iran.Transfo,20200218,16012.00,16190.00,15623.00,15665.00,178149369960,11372134,2869,D,16445.00,15623.00
S*Iran.Transfo,20200217,16785.00,17227.00,15700.00,16445.00,248127885596,15088030,5654,D,16477.00,15849.00
S*Iran.Transfo,20200216,16502.00,17050.00,16023.00,16477.00,477154895678,28959242,7837,D,16866.00,16609.00
S*Iran.Transfo,20200215,17110.00,17659.00,16462.00,16866.00,237255328158,14066725,3873,D,17328.00,16462.00
S*Iran.Transfo,20200212,17400.00,17900.00,16871.00,17328.00,419719625819,24221538,8769,D,17606.00,16990.00
S*Iran.Transfo,20200210,18800.00,18805.00,17428.00,17606.00,659671376020,37468132,7286,D,18345.00,17428.00
S*Iran.Transfo,20200209,17756.00,18643.00,17756.00,18345.00,632983151895,34504117,7771,D,16911.00,18540.00
S*Iran.Transfo,20200205,16930.00,16930.00,16750.00,16911.00,38058130237,2250430,355,D,16193.00,16898.00
S*Iran.Transfo,20200204,16000.00,16202.00,15950.00,16193.00,821768565711,50748591,5649,D,15431.00,16202.00
S*Iran.Transfo,20200203,15011.00,15696.00,14900.00,15431.00,298627656212,19351824,3992,D,14949.00,15696.00
S*Iran.Transfo,20200202,15200.00,15300.00,14600.00,14949.00,242596207895,16228535,4845,D,14948.00,14789.00
S*Iran.Transfo,20200201,14749.00,15069.00,14430.00,14948.00,542278134006,36277071,6827,D,14352.00,15049.00
S*Iran.Transfo,20200128,13600.00,14402.00,13600.00,14352.00,447383003905,31171501,4516,D,13717.00,14402.00
S*Iran.Transfo,20200127,13296.00,14135.00,13052.00,13717.00,292093706439,21293578,4541,D,13462.00,13632.00
S*Iran.Transfo,20200126,13801.00,13801.00,12990.00,13462.00,549899938628,40847995,7073,D,13144.00,13196.00
S*Iran.Transfo,20200125,13030.00,13210.00,12870.00,13144.00,80920019270,6156438,1293,D,12581.00,13210.00
S*Iran.Transfo,20200122,12400.00,12995.00,12100.00,12581.00,252392190735,20061604,4565,D,12409.00,12867.00
S*Iran.Transfo,20200121,12800.00,12800.00,12070.00,12409.00,269389286171,21710028,5612,D,12432.00,12250.00
S*Iran.Transfo,20200120,12255.00,12455.00,12210.00,12432.00,373242166558,30021707,4302,D,11862.00,12455.00
S*Iran.Transfo,20200119,11500.00,12034.00,11301.00,11862.00,340952411317,28742343,4677,D,11461.00,12034.00
S*Iran.Transfo,20200118,11083.00,11518.00,11083.00,11461.00,352300762561,30740354,5771,D,10970.00,11514.00
S*Iran.Transfo,20200115,10901.00,11160.00,10707.00,10970.00,197970957452,18046560,4238,D,11075.00,11006.00
S*Iran.Transfo,20200114,11200.00,11357.00,10901.00,11075.00,234435652930,21168663,5288,D,11319.00,11090.00
S*Iran.Transfo,20200113,11350.00,11498.00,11000.00,11319.00,327991799414,28978080,6331,D,11249.00,11231.00
S*Iran.Transfo,20200112,11200.00,11749.00,11000.00,11249.00,575391502685,51150831,12051,D,11239.00,11290.00
S*Iran.Transfo,20200111,11400.00,11400.00,11172.00,11239.00,474118830934,42184118,6689,D,9412.00,11172.00
S*Iran.Transfo,20200107,9352.00,9845.00,9352.00,9412.00,232378562059,24689056,2853,D,9844.00,9352.00
S*Iran.Transfo,20200105,10343.00,10343.00,9826.00,9844.00,24501566875,2488931,533,D,10887.00,9826.00
S*Iran.Transfo,20191230,10900.00,11157.00,10610.00,10887.00,220545504074,20258096,5262,D,10821.00,10840.00
S*Iran.Transfo,20191229,11100.00,11100.00,10520.00,10821.00,155504613631,14370264,3837,D,10702.00,10804.00
S*Iran.Transfo,20191228,10540.00,10727.00,10450.00,10702.00,190206914856,17773148,2679,D,10217.00,10727.00
S*Iran.Transfo,20191225,10222.00,10495.00,10100.00,10217.00,113551815192,11113719,3071,D,10357.00,10365.00
S*Iran.Transfo,20191224,10200.00,10575.00,10070.00,10357.00,106382387620,10271781,2868,D,10184.00,10332.00
S*Iran.Transfo,20191223,10548.00,10800.00,9938.00,10184.00,316895382400,31117634,6490,D,10461.00,10098.00
S*Iran.Transfo,20191222,10694.00,10694.00,10300.00,10461.00,141624231253,13538841,4060,D,10714.00,10375.00
S*Iran.Transfo,20191221,10500.00,10890.00,10466.00,10714.00,190455377988,17776275,4997,D,10399.00,10648.00
S*Iran.Transfo,20191218,10577.00,10600.00,10325.00,10399.00,437650755623,42084314,8795,D,10868.00,10449.00
S*Iran.Transfo,20191217,11310.00,11310.00,10377.00,10868.00,459377837203,42268451,12167,D,10777.00,10500.00
S*Iran.Transfo,20191216,10490.00,10850.00,10420.00,10777.00,172439744354,16000853,2434,D,10334.00,10850.00
S*Iran.Transfo,20191215,10392.00,10392.00,9900.00,10334.00,515782538150,49909420,7408,D,9898.00,10392.00
S*Iran.Transfo,20191214,9900.00,10023.00,9550.00,9898.00,251438816442,25401734,4949,D,9546.00,10023.00
S*Iran.Transfo,20191211,9349.00,9682.00,9101.00,9546.00,594876198084,62314621,8266,D,9221.00,9682.00
S*Iran.Transfo,20191210,9200.00,9227.00,9101.00,9221.00,400164541219,43398521,2806,D,8788.00,9227.00
S*Iran.Transfo,20191209,8900.00,8999.00,8650.00,8788.00,115722705397,13167711,3554,D,8881.00,8710.00
S*Iran.Transfo,20191208,9049.00,9049.00,8700.00,8881.00,112305021775,12645392,4002,D,8895.00,8820.00
S*Iran.Transfo,20191207,8610.00,8964.00,8610.00,8895.00,202099622375,22720907,4841,D,8538.00,8899.00
S*Iran.Transfo,20191204,8380.00,8690.00,8297.00,8538.00,104965875993,12294007,3107,D,8319.00,8630.00
S*Iran.Transfo,20191203,8269.00,8450.00,8161.00,8319.00,59315517307,7130449,2076,D,8374.00,8270.00
S*Iran.Transfo,20191202,8500.00,8740.00,8120.00,8374.00,117620402822,14045132,3652,D,8498.00,8260.00
S*Iran.Transfo,20191201,8500.00,8650.00,8390.00,8498.00,116012134955,13651504,3551,D,8247.00,8420.00
S*Iran.Transfo,20191130,8080.00,8373.00,8030.00,8247.00,105353795762,12775241,2635,D,7975.00,8373.00
S*Iran.Transfo,20191127,8120.00,8120.00,7882.00,7975.00,60940708106,7641360,1870,D,7987.00,7960.00
S*Iran.Transfo,20191126,7840.00,8149.00,7771.00,7987.00,85174080018,10664033,2590,D,7785.00,8052.00
S*Iran.Transfo,20191125,7651.00,7950.00,7651.00,7785.00,57278897881,7358045,2085,D,7712.00,7800.00
S*Iran.Transfo,20191124,7801.00,7850.00,7658.00,7712.00,56887536137,7376512,1858,D,7902.00,7699.00
S*Iran.Transfo,20191123,8090.00,8150.00,7774.00,7902.00,63795338053,8073402,2495,D,7934.00,7815.00
S*Iran.Transfo,20191120,7870.00,7984.00,7710.00,7934.00,84631448054,10666797,2311,D,7604.00,7984.00
S*Iran.Transfo,20191119,7499.00,7639.00,7330.00,7604.00,43909012168,5774550,1078,D,7276.00,7639.00
S*Iran.Transfo,20191118,7000.00,7400.00,7000.00,7276.00,33703054552,4631791,1447,D,7093.00,7320.00
S*Iran.Transfo,20191117,7100.00,7260.00,7087.00,7093.00,101848718893,14359178,2671,D,7459.00,7087.00
S*Iran.Transfo,20191116,7700.00,7712.00,7327.00,7459.00,107089935598,14357528,3192,D,7712.00,7327.00
S*Iran.Transfo,20191113,7880.00,7880.00,7640.00,7712.00,36022699022,4670987,1721,D,7767.00,7690.00
S*Iran.Transfo,20191112,7700.00,7939.00,7577.00,7767.00,44704421488,5755887,2002,D,7637.00,7749.00
S*Iran.Transfo,20191111,7720.00,7774.00,7555.00,7637.00,55842442005,7312483,1986,D,7637.00,7610.00
S*Iran.Transfo,20191110,7840.00,7840.00,7517.00,7637.00,83712634250,10962140,2689,D,7912.00,7701.00
S*Iran.Transfo,20191109,8175.00,8175.00,7750.00,7912.00,88386383568,11171806,3085,D,8013.00,7799.00
S*Iran.Transfo,20191105,7899.00,8177.00,7725.00,8013.00,117050168369,14607482,3190,D,8109.00,8050.00
S*Iran.Transfo,20191104,8285.00,8397.00,7880.00,8109.00,165203116846,20371948,4381,D,8180.00,7899.00
S*Iran.Transfo,20191103,8190.00,8277.00,7990.00,8180.00,423483502788,51773094,7423,D,7883.00,8269.00
S*Iran.Transfo,20191102,7884.00,7884.00,7701.00,7883.00,396123458555,50250415,3178,D,7509.00,7884.00
S*Iran.Transfo,20191030,7699.00,7699.00,7381.00,7509.00,99083091131,13195079,3615,D,7352.00,7461.00
S*Iran.Transfo,20191028,7200.00,7440.00,7153.00,7352.00,66149590989,8997532,2056,D,7093.00,7340.00
S*Iran.Transfo,20191026,7100.00,7295.00,7000.00,7093.00,37519255890,5289978,1398,D,7097.00,7080.00
